title,type,url
,Supachai: “These negotiations are in trouble”,https://www.wto.org/english/news_e/spsp_e/spsp40_e.htm
,Introductory Remarks by the General Council Chairman,https://www.wto.org/english/news_e/news05_e/remarks_chair_8july05_e.htm
,"Stability is as important as freer trade, Supachai tells Asian business leaders",https://www.wto.org/english/news_e/spsp_e/spsp39_e.htm
,Supachai underscores WTO contribution to world peace and development,https://www.wto.org/english/news_e/spsp_e/spsp38_e.htm
,Programme,https://www.wto.org/english/news_e/events_e/symp05_e/symp_devagenda_prog_05_e.htm
,Supachai: Doha success will enhance global food security,https://www.wto.org/english/news_e/spsp_e/spsp37_e.htm
,Supachai calls for substantial Doha progress before summer break,https://www.wto.org/english/news_e/spsp_e/spsp36_e.htm
,10th Geneva Week,https://www.wto.org/english/tratop_e/devel_e/genwk10_e.htm
,WTO's first 10 years “a success” — Supachai,https://www.wto.org/english/news_e/spsp_e/spsp35_e.htm
,"WTO talks can be ‘a catalyst for growth’, Supachai tells African meeting",https://www.wto.org/english/news_e/spsp_e/spsp34_e.htm
,Dr. Supachai pays tribute to textiles body at its final meeting,https://www.wto.org/english/news_e/spsp_e/spsp33_e.htm
,Dr. Supachai urges China to ensure further Doha momentum,https://www.wto.org/english/news_e/spsp_e/spsp32_e.htm
,Dr. Supachai: “we are back on track and moving forward”,https://www.wto.org/english/news_e/spsp_e/spsp31_e.htm
,Supachai consults on possible emergency meeting for textiles and clothing adjustment challenges,https://www.wto.org/english/news_e/pres04_e/pr384_e.htm
,Dr. Supachai calls on UNCTAD XI to deliver clear message in support of the Doha Round,https://www.wto.org/english/news_e/spsp_e/spsp30_e.htm
,Ten Years After Marrakesh: the WTO and Developing Countries,https://www.wto.org/english/news_e/spsp_e/spsp29_e.htm
,Africa stands to gain from successful trade negotiations — Dr. Supachai,https://www.wto.org/english/news_e/spsp_e/spsp28_e.htm
,Dr. Supachai opens WTO public symposium,https://www.wto.org/english/news_e/spsp_e/spsp27_e.htm
,Dr. Supachai underlines importance of Doha progress for LDCs,https://www.wto.org/english/news_e/spsp_e/spsp26_e.htm
,Dr. Supachai lauds IMF's new policy,https://www.wto.org/english/news_e/spsp_e/spsp25_e.htm
,Dr. Supachai opens WTO African workshop on cotton,https://www.wto.org/english/news_e/spsp_e/spsp24_e.htm
,Summary conclusions,http://docsonline.wto.org/imrd/directdoc.asp?DDFDocuments/t/wt/l/564.doc
,Dr. Supachai says small countries too have a responsibility to strengthen the trading system,https://www.wto.org/english/news_e/spsp_e/spsp23_e.htm
,Dr. Supachai says US must lead in Doha talks,https://www.wto.org/english/news_e/spsp_e/spsp22_e.htm
,speech,https://www.wto.org/english/news_e/spsp_e/spsp20_e.htm
,address,https://www.wto.org/english/news_e/spsp_e/spsp21_e.htm
,Supachai urges China to help rebuild confidence in trade talks,https://www.wto.org/english/news_e/spsp_e/spsp19_e.htm
,Supachai says DDA failure would be lost opportunity for developing countries,https://www.wto.org/english/news_e/spsp_e/spsp18_e.htm
,"‘Show leadership at Cancún,’ Supachai tells African Union",https://www.wto.org/english/news_e/spsp_e/spsp17_e.htm
,address at trade union event,https://www.wto.org/english/news_e/spsp_e/spsp15_e.htm
,address at “sustainable trade day” opening,https://www.wto.org/english/news_e/spsp_e/spsp16_e.htm
,Supachai: Doha talks can unlock Africa's huge economic potential,https://www.wto.org/english/news_e/spsp_e/spsp14_e.htm
,Dr. Supachai underlines need to conclude Doha talks successfully and on time,https://www.wto.org/english/news_e/spsp_e/spsp13_e.htm
,"End of textile quotas to strengthen WTO, says Dr. Supachai",https://www.wto.org/english/news_e/spsp_e/spsp12_e.htm
,"Lead the way towards compromise, Supachai urges OECD ministers",https://www.wto.org/english/news_e/spsp_e/spsp11_e.htm
,Dr. Supachai pledges WTO help in Arab trade reform efforts,https://www.wto.org/english/news_e/spsp_e/spsp10_e.htm
,Dr. Supachai urges members to give a major push to the negotiations,https://www.wto.org/english/news_e/spsp_e/spsp09_e.htm
,Supachai: Cancún success is vital not only for trade,https://www.wto.org/english/news_e/spsp_e/spsp08_e.htm
,The Doha Development Agenda: Challenges Ahead,https://www.wto.org/english/news_e/spsp_e/spsp07_e.htm
,Supachai cites importance of agriculture liberalization to developing countries,https://www.wto.org/english/news_e/spsp_e/spsp06_e.htm
,"Trade policies cannot work on their own, Supachai tells development seminar",https://www.wto.org/english/news_e/spsp_e/spsp05_e.htm
,DG Supachai: WTO on track to meeting Doha technical cooperation commitments,https://www.wto.org/english/news_e/spsp_e/spsp04_e.htm
,Supachai announces “four pillars” to help conclude the negotiations,https://www.wto.org/english/news_e/spsp_e/spsp03_e.htm
,DDA offers unique opportunity for Arab countries to diversify exports — DG Supachai,https://www.wto.org/english/news_e/spsp_e/spsp02_e.htm
,DG Supachai underlines WTO's contribution to sustainable development,https://www.wto.org/english/news_e/spsp_e/spsp01_e.htm
,Speeches given by Mike Moore 1999–2002,https://www.wto.org/english/news_e/spmm_e/spmm_e.htm
