title,type,url
"Before his departure, Pascal Lamy signs new WTO infrastructure contract in Bern",News item,https://www.wto.org/english/news_e/news13_e/dgpl_29aug13_e.htm
"Lamy: “Together, we have strengthened the WTO as the global trade body”",Farewell statement to the General Council,https://www.wto.org/english/news_e/news13_e/gc_rpt_24jul13_e.htm
"Lamy: “Together, we have strengthened the WTO as the global trade body”",Audio: Farewell statement by Pascal Lamy,https://www.wto.org/audio/2013_07_24_gc_lamy_stat.mp3
"Lamy: “Together, we have strengthened the WTO as the global trade body”",Proposed agenda,https://www.wto.org/english/thewto_e/gcounc_e/meet_jul13_e.htm
Lamy launches the “book of record” on the WTO,Speech,https://www.wto.org/english/news_e/sppl_e/sppl297_e.htm
Lamy launches the “book of record” on the WTO,DG Lamy’s remarks at book launch,https://www.wto.org/audio/2013_07_23_wto_lamy_opening.mp3
Road to Bali much clearer than two months ago — Lamy,News story with audio and Lamy’s statement,https://www.wto.org/english/news_e/news13_e/tnc_stat_22jul13_e.htm
Road to Bali much clearer than two months ago — Lamy,Audio: Statement by Pascal Lamy to the TNC,https://www.wto.org/audio/2013_07_22_tnc_lamy_stat.mp3
Lamy: “Trade capacity building is now firmly embedded in the WTO psyche”,Speech,https://www.wto.org/english/news_e/sppl_e/sppl296_e.htm
WTO Chairs Programme’s track record “impressive” —Lamy,Speech,https://www.wto.org/english/news_e/sppl_e/sppl295_e.htm
WTO Chairs Programme’s track record “impressive” —Lamy,Pascal Lamy’s opening remarks at the 2013 WCP Annual Conference,https://www.wto.org/audio/chairconf_dgspeech_11_07_2013.mp3
Lamy: “We cannot afford to lose the momentum on Aid for Trade”,Speech,https://www.wto.org/english/news_e/sppl_e/sppl294_e.htm
Lamy: “We cannot afford to lose the momentum on Aid for Trade”,Statement by Pascal Lamy,https://www.wto.org/audio/2013_07_10_a4t_lamy_closing.mp3
"Lamy: The WTO has its doors open to all, not least NGOs",Speech,https://www.wto.org/english/news_e/sppl_e/sppl293_e.htm
Lamy stresses need to overcome skills gaps in developing countries,Speech,https://www.wto.org/english/news_e/sppl_e/sppl292_e.htm
