title,type,url
,Participants agree to resume information technology talks in February 1999,https://www.wto.org/english/news_e/news98_e/ita2pr.htm
,Annual Overview Report -,https://www.wto.org/english/news_e/news98_e/dgov.htm
,"Director-General's Talking Points, Wednesday, 9 December 1998",https://www.wto.org/english/news_e/news98_e/dgov.htm
,"WTO, UNCTAD and ITC launch joint francophone training programme",https://www.wto.org/english/news_e/news98_e/train.htm
,Discussion develops on geographical indication,https://www.wto.org/english/news_e/news98_e/pu_e.htm
,Final ITA II package to be considered on 11 December,https://www.wto.org/english/news_e/news98_e/itaprx.htm
,Agriculture Committee 17-18 November 1998 Upturn predicted for food aid,https://www.wto.org/english/news_e/news98_e/231198.htm
,WTO Web Site sets record in October,https://www.wto.org/english/news_e/news98_e/website.htm
,Participants agree to give final push to ITA II talks,https://www.wto.org/english/news_e/news98_e/itaweb.htm
,Panel set to examine EC's complaint against US tax treatment for FSCs,https://www.wto.org/english/news_e/news98_e/wdsbsept.htm
,"Panel established in gov't procurement dispute, DSB considers 3 new panel requests",https://www.wto.org/english/news_e/news98_e/wdsboct.htm
,General Council paves the way for WTO membership of the Kyrgyz Republic and Latvia,https://www.wto.org/english/news_e/news98_e/waccs.htm
,"Joint Statement by the Heads of the International Monetary Fund (IMF), the World Bank and the World Trade Organization (WTO)",https://www.wto.org/english/news_e/news98_e/tripart.htm
,Who will succeed Renato Ruggiero?,https://www.wto.org/english/news_e/news98_e/dgcand.htm
,Service standards for open global markets,https://www.wto.org/english/news_e/news98_e/iso.htm
,"WTO completes framework for environmental, regional and R&D subsidies",https://www.wto.org/english/news_e/news98_e/subpr2.htm
,WTO Ministerial Conference and 50th anniversary - live world-wide broadcast through internet,https://www.wto.org/english/news_e/news98_e/pressun.htm
,"Opening Remarks given by Renato Ruggiero, Director-General, to the Joint ADB/WTO Seminar",https://www.wto.org/english/news_e/news98_e/adb_wto.htm
,"WTO, UNCTAD and ITC launch a common trust fund for technical assistance to Africa in the trade sector",https://www.wto.org/english/news_e/news98_e/joint_txt.htm
,Non-attributable summary of the main improvements in the new financial services commitments,https://www.wto.org/english/news_e/news98_e/finsum.htm
,Transcript of Financial Services on-line forum 4-9 February 1998,https://www.wto.org/english/news_e/news98_e/fsfor.htm
,WTO organizes symposium on trade facilitation,https://www.wto.org/english/news_e/news98_e/prtrfac.htm
