title,type,url
Sweden donates SEK 19.2 million to help developing countries participate in global trade,Press release,https://www.wto.org/english/news_e/pres20_e/pr869_e.htm
"Czech Republic gives CZK 550,000 to support implementation of Trade Facilitation Agreement",Press release,https://www.wto.org/english/news_e/pres20_e/pr868_e.htm
"Ireland gives EUR 350,000 to help developing countries strengthen trading skill-set",Press release,https://www.wto.org/english/news_e/pres20_e/pr867_e.htm
Sweden gives SEK 40 million to help developing countries meet farm trade standards,Press release,https://www.wto.org/english/news_e/pres20_e/pr866_e.htm
"China pledges USD 500,000 to support WTO accession and least developed countries",Press release,https://www.wto.org/english/news_e/pres20_e/pr865_e.htm
Denmark gives DKK 8 million to help developing countries participate in farm trade,Press release,https://www.wto.org/english/news_e/pres20_e/pr864_e.htm
"Trade shows signs of rebound from COVID-19, recovery still uncertain",Press release,https://www.wto.org/english/news_e/pres20_e/pr862_e.htm
"Estonia donates EUR 20,000 to help developing countries enhance trading capacities",Press release,https://www.wto.org/english/news_e/pres20_e/pr863_e.htm
"Germany gives EUR 150,000 to enhance developing countries’ participation in farm trade",Press release,https://www.wto.org/english/news_e/pres20_e/pr861_e.htm
"Liechtenstein donates CHF 40,000 to help developing countries expand trading capacities",Press release,https://www.wto.org/english/news_e/pres20_e/pr860_e.htm
EU donates EUR 2 million to enhance developing countries’ trading capacity,Press release,https://www.wto.org/english/news_e/pres20_e/pr859_e.htm
Trade falls steeply in first half of 2020,Press release,https://www.wto.org/english/news_e/pres20_e/pr858_e.htm
"Canada donates CAD 90,000 to help developing countries participate in international trade",Press release,https://www.wto.org/english/news_e/pres20_e/pr857_e.htm
"Canada gives CAD 450,000 to help developing countries take part in farm trade",Press release,https://www.wto.org/english/news_e/pres20_e/pr856_e.htm
Trade set to plunge as COVID-19 pandemic upends global economy,Press release,https://www.wto.org/english/news_e/pres20_e/pr855_e.htm
"Japan donates CHF 125,000 to help LDCs participate effectively in global trade",Press release,https://www.wto.org/english/news_e/pres20_e/pr854_e.htm
WTO chairpersons for 2020,Press release,https://www.wto.org/english/news_e/pres20_e/pr853_e.htm
"Korea donates CHF 350,000 to enhance developing countries’ trading skills",Press release,https://www.wto.org/english/news_e/pres20_e/pr852_e.htm
"US donates USD 600,000 to further developing countries’ trading capacities",Press release,https://www.wto.org/english/news_e/pres20_e/pr851_e.htm
"Lithuania donates EUR 50,000 to enhance developing countries’ trading capacity",Press release,https://www.wto.org/english/news_e/pres20_e/pr850_e.htm
"US gives USD 600,000 to help developing countries comply with farm trade standards",Press release,https://www.wto.org/english/news_e/pres20_e/pr849_e.htm
"Austria gives EUR 200,000 to further developing countries’ negotiating capacity",Press release,https://www.wto.org/english/news_e/pres20_e/pr847_e.htm
