title,type,url
Turkmenistan advances work aimed at starting WTO accession negotiations in 2024,News item,https://www.wto.org/english/news_e/news23_e/acc_27oct23_e.htm
"China commits USD 450,000 to support WTO accession and least-developed countries",News item,https://www.wto.org/english/news_e/news23_e/tech_23oct23_e.htm
Timor-Leste moves within a few steps of concluding WTO accession negotiations,News item,https://www.wto.org/english/news_e/news23_e/acc_11oct23_e.htm
Members welcome progress by Comoros towards concluding accession negotiations ahead of MC13,News item,https://www.wto.org/english/news_e/news23_e/acc_05oct23_e.htm
Working Party injects fresh momentum into Azerbaijan’s WTO accession process,News item,https://www.wto.org/english/news_e/news23_e/acc_06jul23_e.htm
"DG Okonjo-Iweala: Faced with risk of fragmentation, WTO members must stick together",News item,https://www.wto.org/english/news_e/news23_e/dgno_09jun23_e.htm
Astana Forum highlights benefits of WTO accession for Central Asian countries,News item,https://www.wto.org/english/news_e/news23_e/acc_08jun23_e.htm
Turkmenistan begins preparations for engaging in accession talks with WTO members,News item,https://www.wto.org/english/news_e/news23_e/acc_30may23_e.htm
Chair discusses resumption of Azerbaijan’s Working Party activity during visit to Baku,News item,https://www.wto.org/english/news_e/news23_e/acc_28apr23_e.htm
"Technical Assistance Coordination Group reviews Comoros, Timor-Leste post-accession needs",News item,https://www.wto.org/english/news_e/news23_e/acc_26apr23_e.htm
Timor-Leste drives WTO membership bid into final stages,News item,https://www.wto.org/english/news_e/news23_e/acc_20apr23_e.htm
Uzbekistan brings fresh impetus to WTO membership negotiations,News item,https://www.wto.org/english/news_e/news23_e/acc_14mar23_e.htm
Future leaders look at ways to increase youth engagement in trade for peace worldwide,News item,https://www.wto.org/english/news_e/news23_e/tfp_27feb23_e.htm
"11th China Round Table looks at integration of Asia-Pacific in world trade, LDC accessions",News item,https://www.wto.org/english/news_e/news23_e/chp_03feb23_e.htm
Eleventh China Round Table marks Lao’s 10th WTO accession anniversary,News item,https://www.wto.org/english/news_e/news23_e/acc_03feb23_e.htm
Least-developed countries discuss trade priorities ahead of UN Conference on LDCs,News item,https://www.wto.org/english/news_e/news23_e/ldevc_30jan23_e.htm
Members commend Comoros’ efforts to clear final hurdles on path to WTO accession by MC13,News item,https://www.wto.org/english/news_e/news23_e/acc_19jan23_e.htm
"China commits USD 500,000 to support WTO accession and least developed countries",News item,https://www.wto.org/english/news_e/news23_e/tech_01dec23_e.htm
Trade for Peace Research and Knowledge Hub reviews latest research collaboration,News item,https://www.wto.org/english/news_e/news22_e/tfp_07dec22_e.htm
Trade for Peace Week looks at fragile and conflict-affected states’ WTO integration,News item,https://www.wto.org/english/news_e/news22_e/tfp_14nov22_e.htm
Working Party welcomes strong commitment by Timor-Leste to join WTO in 2023,News item,https://www.wto.org/english/news_e/news22_e/acc_tls_30sep22_e.htm
Ambassador Alan Wolff discusses WTO reform in second Chiedu Osakwe memorial lecture,News item,https://www.wto.org/english/news_e/news22_e/acc_26sep22_e.htm
Accessions-related Coordination Group launched at Aid for Trade Global Review,News item,https://www.wto.org/english/news_e/news22_e/acc_27jul22_e.htm
Working Party chair commends Timor-Leste’s commitment to WTO accession on visit to Dili,News item,https://www.wto.org/english/news_e/news22_e/acc_11jul22_e.htm
High-level conference highlights synergies between Timor-Leste’s WTO and ASEAN accessions,News item,https://www.wto.org/english/news_e/news22_e/acc_15jul22_e.htm
"DDG Zhang: Turkmenistan’s WTO accession process, domestic reform are mutually beneficial",News item,https://www.wto.org/english/news_e/news22_e/acc_05jul22_e.htm
Launch of the work programme on the preparation of the memorandum on the foreign trade regime of Turkmenistan,News item,https://www.wto.org/english/news_e/news22_e/ddgxz_11jul22_e.htm
Uzbekistan reaffirms commitment to intensify WTO accession efforts,News item,https://www.wto.org/english/news_e/news22_e/acc_uzb_21jun22_e.htm
g7+ Accessions Group urges WTO to play active role in promoting peace,News item,https://www.wto.org/english/news_e/news22_e/acc_20jun22_e.htm
New study looks at challenges and opportunities of LDCs’ accession to WTO,News item,https://www.wto.org/english/news_e/news22_e/acc_24may22_e.htm
WTO accession for the Comoros moves towards final stages,News item,https://www.wto.org/english/news_e/news22_e/acc_19may22_e.htm
Members commend Timor-Leste’s proactive approach to advance WTO accession process,News item,https://www.wto.org/english/news_e/news22_e/acc_03may22_e.htm
DDG Zhang encourages Uzbekistan to maintain positive WTO accession momentum,News item,https://www.wto.org/english/news_e/news22_e/ddgxz_25mar22_e.htm
"DDG Zhang: trade for peace, one of the raisons d’être of the multilateral trading system",News item,https://www.wto.org/english/news_e/news22_e/ddgxz_15mar22_e.htm
WTO members initiate membership talks for Turkmenistan,News item,https://www.wto.org/english/news_e/news22_e/acc_23feb22_e.htm
EU initiates WTO dispute complaint regarding Chinese intellectual property enforcement,News item,https://www.wto.org/english/news_e/news22_e/ds611rfc_22feb22_e.htm
High-level dialogue takes stock of Arab countries’ ongoing WTO accessions,News item,https://www.wto.org/english/news_e/news22_e/acc_09feb22_e.htm
Tenth China Round Table looks at impact of 10 years of China Programme on LDC accessions,News item,https://www.wto.org/english/news_e/news22_e/acc_20jan22_e.htm
"Comoros discusses accession, post-accession technical assistance with development partners",News item,https://www.wto.org/english/news_e/news22_e/acc_13jan22_e.htm
High-Level Forum marks 20 years of China’s WTO membership,News item,https://www.wto.org/english/news_e/news21_e/acc_10dec21_e.htm
Timor-Leste remains actively engaged in WTO accession talks despite MC12 postponement,News item,https://www.wto.org/english/news_e/news21_e/acc_04dec21_e.htm
Turkmenistan formally applies for WTO membership,News item,https://www.wto.org/english/news_e/news21_e/acc_25nov21_e.htm
WTO and Kazakhstan host Trade for Peace Week 2021 with focus on trade and global security,News item,https://www.wto.org/english/news_e/news21_e/tfp_17nov21_e.htm
DDG Zhang champions cross-cutting partnerships as way forward for peacebuilding efforts,News item,https://www.wto.org/english/news_e/news21_e/ddgxz_11nov21_e.htm
Uzbekistan stresses determination to accelerate WTO accession negotiations,News item,https://www.wto.org/english/news_e/news21_e/acc_30oct21_e.htm
g7+ WTO Accessions Group to advance Trade for Peace agenda in run-up to MC12,News item,https://www.wto.org/english/news_e/news21_e/tfp_05oct21_e.htm
"WTO, ITC reflect on five years of Liberia’s WTO membership",News item,https://www.wto.org/english/news_e/news21_e/acc_04oct21_e.htm
Geneva Trade Week 2021 Opening Plenary — Trade for Peace,Speech,https://www.wto.org/english/news_e/spno_e/spno17_e.htm
DG Okonjo-Iweala launches discussion on “trade for peace” at Geneva Trade Week,News item,https://www.wto.org/english/news_e/news21_e/acc_27sep21_e.htm
AfCFTA Secretary-General delivers first lecture in series dedicated to Ambassador Osakwe,News item,https://www.wto.org/english/news_e/news21_e/acc_28sep21_e.htm
Members commend considerable progress by the Comoros to secure WTO membership,News item,https://www.wto.org/english/news_e/news21_e/acc_21sep21_e.htm
Call for papers issued for WTO Trade for Peace Programme,News item,https://www.wto.org/english/news_e/news21_e/tfp_13aug21_e.htm
Event marks 5 years of Afghanistan’s WTO membership,News item,https://www.wto.org/english/news_e/news21_e/acc_09aug21_e.htm
Members engage with Timor-Leste in its ongoing bid to join the WTO,News item,https://www.wto.org/english/news_e/news21_e/acc_29jul21_e.htm
Members welcome formal resumption of Sudan WTO accession talks,News item,https://www.wto.org/english/news_e/news21_e/acc_26jul21_e.htm
EU challenges Russian import substitution measures in new WTO dispute complaint,News item,https://www.wto.org/english/news_e/news21_e/ds604rfc_26jul21_e.htm
Trade for Peace Programme marks fifth anniversary of Liberia and Afghanistan joining WTO,News item,https://www.wto.org/english/news_e/news21_e/acc_12jul21_e.htm
DDG Zhang highlights power of trade in transforming economies and people’s livelihoods,News item,https://www.wto.org/english/news_e/news21_e/ddgxz_07jul21_e.htm
"DDG Zhang highlights role of trade in promoting security, peace and development",News item,https://www.wto.org/english/news_e/news21_e/ddgxz_17jun21_e.htm
"Sudan, WTO host Round Table with development partners to discuss accession needs",News item,https://www.wto.org/english/news_e/news21_e/acc_29mar21a_e.htm
Training course on trade in services for acceding governments concludes,News item,https://www.wto.org/english/news_e/news21_e/tra_26mar21_e.htm
WTO launches Trade for Peace Network in support of fragile and conflict-affected states,News item,https://www.wto.org/english/news_e/news21_e/acc_29mar21_e.htm
DDG Wolff: Africa is a priority for the WTO,News item,https://www.wto.org/english/news_e/news21_e/ddgaw_17mar21_e.htm
DDG Wolff: “WTO accession has been a story of transformation”,News item,https://www.wto.org/english/news_e/news20_e/ddgaw_14dec20_e.htm
Ninth China Round Table to reflect on 25 years of WTO accessions,News item,https://www.wto.org/english/news_e/news20_e/acc_08dec20_e.htm
DDG Wolff calls for deepening work on “Trade for Peace” efforts,News item,https://www.wto.org/english/news_e/news20_e/ddgaw_04dec20_e.htm
"China pledges USD 500,000 to support WTO accession and least developed countries",Press release,https://www.wto.org/english/news_e/pres20_e/pr865_e.htm
DDG Wolff calls for more structured WTO cooperation with humanitarian and peace communities,News item,https://www.wto.org/english/news_e/news20_e/ddgaw_30nov20_e.htm
WTO to host first Trade for Peace Week,News item,https://www.wto.org/english/news_e/news20_e/acc_25nov20_e.htm
DDG Wolff marks 20th anniversary of Oman’s accession to WTO,News item,https://www.wto.org/english/news_e/news20_e/ddgaw_09nov20_e.htm
"High-level dialogue reviews accessions of Arab countries, marks Oman’s 20th WTO anniversary",News item,https://www.wto.org/english/news_e/news20_e/acc_08nov20_e.htm
DDG Wolff: WTO accession is a catalyst for domestic reform and economic growth,News item,https://www.wto.org/english/news_e/news20_e/ddgaw_06nov20_e.htm
Timor-Leste formally kick-starts its WTO accession process,News item,https://www.wto.org/english/news_e/news20_e/acc_01oct20_e.htm
