title,type,url
"WTO members address trade and development dimension of cotton, potential MC13 outcome",News item,https://www.wto.org/english/news_e/news23_e/cott_10nov23_e.htm
"Timely food market information is key amid crises, agriculture group says",News item,https://www.wto.org/english/news_e/news23_e/agri_07nov23_e.htm
Working group on food security moves closer to finalizing report and recommendations,News item,https://www.wto.org/english/news_e/news23_e/agri_31oct23_e.htm
Agriculture negotiators discuss new proposals submitted by WTO members,News item,https://www.wto.org/english/news_e/news23_e/agri_20oct23_e.htm
Conclusion of first phase of advanced workshop on agricultural notifications,News item,https://www.wto.org/english/news_e/news23_e/agri_05oct23_e.htm
"Agriculture negotiators prepare ground for October senior officials meeting, MC13",News item,https://www.wto.org/english/news_e/news23_e/agng_03oct23_e.htm
"WTO members review farm policies, discuss food security, agri-food system resilience",News item,https://www.wto.org/english/news_e/news23_e/agri_28sep23_e.htm
"Working group on food security reviews coordinator’s report, discusses way forward",News item,https://www.wto.org/english/news_e/news23_e/wpfs_21sep23_e.htm
"DDG Paugam: Trade can help us respond to food security, sustainable development challenges",News item,https://www.wto.org/english/news_e/news23_e/ddgjp_04sep23_e.htm
DG Okonjo-Iweala underlines role of trade in transforming food systems at UN summit,News item,https://www.wto.org/english/news_e/news23_e/dgno_26jul23_e.htm
Chair praises “more concrete” farm trade talks as members explore ways forward,News item,https://www.wto.org/english/news_e/news23_e/agng_21jul23_e.htm
Food security work programme enters decisive phase,News item,https://www.wto.org/english/news_e/news23_e/wpfs_19jul23_e.htm
"Members conclude tariff quota review, discuss food security, farm policies, transparency",News item,https://www.wto.org/english/news_e/news23_e/agri_28jun23_e.htm
New submissions revitalise agriculture talks ahead of ministerial conference,News item,https://www.wto.org/english/news_e/news23_e/agng_22jun23_e.htm
DDG Paugam: Cooperation and agricultural reform are needed to tackle food security crisis,News item,https://www.wto.org/english/news_e/news23_e/ddgjp_12jun23_e.htm
"Working group on food security intensifies discussions, eyes first report in July",News item,https://www.wto.org/english/news_e/news23_e/wpfs_08jun23_e.htm
Global imports of seaborne wheat maintain upward trend,Blog,https://www.wto.org/english/blogs_e/data_blog_e/blog_dta_08jun23_e.htm
DG Okonjo-Iweala: Trade key to ensuring food security in a time of crisis,News item,https://www.wto.org/english/news_e/news23_e/ddgno_01jun23_e.htm
New Global Trade Data Portal offers real-time access to trade data,News item,https://www.wto.org/english/news_e/news23_e/rese_31may23_e.htm
"Cotton meetings urge progress before MC13, discuss World Cotton Day 2023, FIFA-WTO work",News item,https://www.wto.org/english/news_e/news23_e/cott_17may23_e.htm
DDG Paugam urges ministers to harness WTO potential for advancing agricultural innovation,News item,https://www.wto.org/english/news_e/news23_e/ddgjp_09may23_e.htm
DDG Paugam explores closer WTO-IICA cooperation on agriculture and food security,News item,https://www.wto.org/english/news_e/news23_e/ddgjp_05may23_e.htm
"Progress in agriculture talks in “immediate future” is crucial, chair tells negotiators",News item,https://www.wto.org/english/news_e/news23_e/agng_04may23_e.htm
DDG Paugam: Trade is essential in responding to food security crisis,News item,https://www.wto.org/english/news_e/news23_e/ddgjp_20apr23_e.htm
"Working group on food security discusses building resilience, financing challenges",News item,https://www.wto.org/english/news_e/news23_e/fsec_12apr23_e.htm
New report calls for G20 coordination to address causes of food insecurity,News item,https://www.wto.org/english/news_e/news23_e/agri_13apr23_e.htm
DG stresses urgent need for progress on trade and food security ahead of MC13,News item,https://www.wto.org/english/news_e/news23_e/agri_31mar23_e.htm
"Members maintain focus on food security, discuss farm policies, transparency",News item,https://www.wto.org/english/news_e/news23_e/agri_28mar23_e.htm
Food security: The key to unlocking agriculture negotiations at the WTO?,Blog,https://www.wto.org/english/blogs_e/ddg_jean_marie_paugam_e/blog_jp_28mar23_e.htm
"New working group on food security discusses financing challenges, questionnaire results",News item,https://www.wto.org/english/news_e/news23_e/wpfs_01mar23_e.htm
"Farm talks restart with positive momentum, focus on food security",News item,https://www.wto.org/english/news_e/news23_e/agng_27feb23_e.htm
"DDG Ellard discusses benefits of multilateralism, risks of unilateralism, WTO reform",News item,https://www.wto.org/english/news_e/news23_e/ddgae_13feb23_e.htm
Agency heads call for urgent action to address food and nutrition security crisis,News item,https://www.wto.org/english/news_e/news23_e/fsec_09feb23_e.htm
WTO members appoint new chairs for fisheries and agriculture talks,News item,https://www.wto.org/english/news_e/news23_e/agrifish_27jan23_e.htm
DDG Paugam: Trade is crucial to ensure sustainable food supplies in times of crisis,News item,https://www.wto.org/english/news_e/news23_e/ddgjp_21jan23_e.htm
Germany gives EUR 2.85 million to support safe agriculture trade in developing countries,Press release,https://www.wto.org/english/news_e/pres23_e/pr914_e.htm
DDG González: Multilateral trading system must do more to avert food security crisis,News item,https://www.wto.org/english/news_e/news22_e/ddgag_08dec22_e.htm
Agriculture Committee’s new working group on food security launches a needs questionnaire,News item,https://www.wto.org/english/news_e/news22_e/agri_07dec22_e.htm
First course on Essentials for SPS Committee Participation concludes,News item,https://www.wto.org/english/news_e/news22_e/tech_24nov22_e.htm
"Committee establishes work programme to address food security, reviews farm policies",News item,https://www.wto.org/english/news_e/news22_e/acc_22nov22_e.htm
22nd Session of the AMIS Global Food Market Information Group,News item,https://www.wto.org/english/news_e/news22_e/ddgag_18nov22_e.htm
"DDG González: Timely and quality market information is key to transparency, food security",News item,https://www.wto.org/english/news_e/news22_e/agri_18nov22_e.htm
First virtual course on essentials for SPS Committee participation gets under way,News item,https://www.wto.org/english/news_e/news22_e/sps_16nov22_e.htm
"WTO, FAO study calls for global action to improve access to fertilizers, avert food crisis",News item,https://www.wto.org/english/news_e/news22_e/igo_14nov22_e.htm
