title,type,url
Agriculture negotiators discuss new proposals submitted by WTO members,News item,https://www.wto.org/english/news_e/news23_e/agri_20oct23_e.htm
"Agriculture negotiators prepare ground for October senior officials meeting, MC13",News item,https://www.wto.org/english/news_e/news23_e/agng_03oct23_e.htm
Chair praises “more concrete” farm trade talks as members explore ways forward,News item,https://www.wto.org/english/news_e/news23_e/agng_21jul23_e.htm
New submissions revitalise agriculture talks ahead of ministerial conference,News item,https://www.wto.org/english/news_e/news23_e/agng_22jun23_e.htm
"Progress in agriculture talks in “immediate future” is crucial, chair tells negotiators",News item,https://www.wto.org/english/news_e/news23_e/agng_04may23_e.htm
"Working group on food security discusses building resilience, financing challenges",News item,https://www.wto.org/english/news_e/news23_e/fsec_12apr23_e.htm
DG stresses urgent need for progress on trade and food security ahead of MC13,News item,https://www.wto.org/english/news_e/news23_e/agri_31mar23_e.htm
"Farm talks restart with positive momentum, focus on food security",News item,https://www.wto.org/english/news_e/news23_e/agng_27feb23_e.htm
WTO members appoint new chairs for fisheries and agriculture talks,News item,https://www.wto.org/english/news_e/news23_e/agrifish_27jan23_e.htm
"Committee establishes work programme to address food security, reviews farm policies",News item,https://www.wto.org/english/news_e/news22_e/acc_22nov22_e.htm
DDG Paugam: More collective efforts needed to address food crisis,News item,https://www.wto.org/english/news_e/news22_e/agri_04nov22_e.htm
DG Okonjo-Iweala urges update to WTO rules to address global food market challenges,News item,https://www.wto.org/english/news_e/news22_e/agri_24oct22_e.htm
"Count on WTO in coordinated action to fight food security crisis, says DDG Paugam",News item,https://www.wto.org/english/news_e/news22_e/ddgjp_10oct22_e.htm
DDG Paugam on World Cotton Day: WTO must help cotton-producing countries tackle current crises,News item,https://www.wto.org/english/news_e/news22_e/ddgjp_07oct22_e.htm
"DDG González: “A well-functioning global trading system is not a choice, it’s a necessity”",News item,https://www.wto.org/english/news_e/news22_e/ddgag_04oct22_e.htm
WTO concludes second phase of advanced workshop on agriculture notifications,News item,https://www.wto.org/english/news_e/news22_e/tech_16sep22_e.htm
"Agriculture meeting highlights food security, urgency of implementing MC12 outcomes",News item,https://www.wto.org/english/news_e/news22_e/agri_14sep22_e.htm
"DG calls for increased investment on cotton projects, welcomes Afreximbank pledge",News item,https://www.wto.org/english/news_e/news22_e/cott_27jul22_e.htm
DDG Paugam calls on WTO Chairs Programme to contribute fresh ideas to food security debate,News item,https://www.wto.org/english/news_e/news22_e/ddgjp_26jul22_e.htm
Members urged to find new ways to rejuvenate agriculture negotiations,News item,https://www.wto.org/english/news_e/news22_e/agng_21jul22_e.htm
"WTO response to the pandemic, trade and food security take centre stage at MC12",News item,https://www.wto.org/english/news_e/news22_e/mc12_13jun22_e.htm
"DG Okonjo-Iweala, Chair urge members to support draft agriculture texts on eve of MC12",News item,https://www.wto.org/english/news_e/news22_e/agri_10jun22_e.htm
Chair introduces streamlined agriculture negotiation texts for MC12,News item,https://www.wto.org/english/news_e/news22_e/agri_07jun22_e.htm
Agriculture negotiators strive for results in final stretch to Ministerial Conference,News item,https://www.wto.org/english/news_e/news22_e/agri_19may22_e.htm
"MC12 outcome must help end hunger, improve food security, says chair",News item,https://www.wto.org/english/news_e/news22_e/agng_02may22_e.htm
Agriculture negotiators chart path towards MC12,News item,https://www.wto.org/english/news_e/news22_e/agng_21mar22_e.htm
DG Okonjo-Iweala hails achievements of Agriculture Committee following its 100th session,News item,https://www.wto.org/english/news_e/news22_e/agri_18mar22_e.htm
"Agriculture Committee’s 100th session discusses food security, farm policies, Nairobi Decision",News item,https://www.wto.org/english/news_e/news22_e/agri_16mar22_e.htm
Farm talks forge ahead despite MC12 uncertainty,News item,https://www.wto.org/english/news_e/news22_e/agng_24jan22_e.htm
Agriculture negotiators discuss revised draft text,News item,https://www.wto.org/english/news_e/news21_e/agri_30nov21_e.htm
Agriculture negotiations chair introduces revised text ahead of MC12,News item,https://www.wto.org/english/news_e/news21_e/agng_23nov21_e.htm
Chair set to introduce revised agriculture negotiation text,News item,https://www.wto.org/english/news_e/news21_e/agng_15nov21_e.htm
"WTO agriculture negotiations at “critical juncture”, Chair tells delegation heads",News item,https://www.wto.org/english/news_e/news21_e/agri_28oct21_e.htm
"WTO agriculture negotiators must step up engagement for MC12, says Chair",News item,https://www.wto.org/english/news_e/news21_e/agri_15oct21_e.htm
Agriculture negotiators intensify talks on draft text,News item,https://www.wto.org/english/news_e/news21_e/agri_27sep21_e.htm
Agriculture negotiations chair says progress on new draft text depends on WTO members,News item,https://www.wto.org/english/news_e/news21_e/agri_14sep21_e.htm
