title,type,url
"Mainstreaming trade key to supporting development, say WTO members",News item,https://www.wto.org/english/news_e/news23_e/aid_14nov23_e.htm
Aid-for-Trade monitoring and evaluation exercise gets under way,News item,https://www.wto.org/english/news_e/news23_e/aid_09oct23_e.htm
South-South cooperation is key to sustainable growth,Blog,https://www.wto.org/english/blogs_e/ddg_xiangchen_zhang_e/blog_xz_21jul23_e.htm
"WTO webinar looks at how South-South, multi-party cooperation supports developing economies",News item,https://www.wto.org/english/news_e/news23_e/devel_23jun23_e.htm
"Members, partner organizations stress importance of boosting Aid for Trade disbursements",News item,https://www.wto.org/english/news_e/news23_e/aid_12may23_e.htm
DDG Ellard: Technology presents challenges and opportunities for future of trade,News item,https://www.wto.org/english/news_e/news23_e/ddgae_16feb23_e.htm
WTO members agree on Aid for Trade Work Programme for 2023-24,News item,https://www.wto.org/english/news_e/news23_e/aid_10feb23_e.htm
Members and partner organizations look into future priorities for Aid for Trade,News item,https://www.wto.org/english/news_e/news22_e/aid_14oct22_e.htm
"WTO, OECD to redouble collaborative efforts in addressing challenges of the global commons",News item,https://www.wto.org/english/news_e/news22_e/igo_14sep22_e.htm
WTO launches database on gender equality provisions in regional trade agreements,News item,https://www.wto.org/english/news_e/news22_e/women_28jul22_e.htm
DG Okonjo-Iweala highlights success of Nigeria’s Growth Platform in driving digital trade,News item,https://www.wto.org/english/news_e/news22_e/dtech_28jul22_e.htm
"Aid for Trade must adapt to channel resources for an effective, green transition",News item,https://www.wto.org/english/news_e/news22_e/aid_28jul22_e.htm
Aid for Trade Global Review 2022 — Session 28 — Plenary: Sustainable Aid for Trade,News item,https://www.wto.org/english/news_e/news22_e/ddgxz_28jul22_e.htm
WTO Gender Research Hub outlines data collection methodologies and statistical gaps on women in trade,News item,https://www.wto.org/english/news_e/news22_e/women_27jul22_e.htm
"DG calls for increased investment on cotton projects, welcomes Afreximbank pledge",News item,https://www.wto.org/english/news_e/news22_e/cott_27jul22_e.htm
Aid for Trade Global Review 2022 — Session 35 — “Implementing the WTO Agreement on Fisheries Subsidies — Challenges and Opportunities for Developing Members”,Speech,https://www.wto.org/english/news_e/spno_e/spno31_e.htm
"DG Okonjo-Iweala calls for more support for sustainable fisheries, launches new report",News item,https://www.wto.org/english/news_e/news22_e/fish_29jul22_e.htm
WTO high-level event examines how international cooperation can tackle illicit trade,News item,https://www.wto.org/english/news_e/news22_e/igo_27jul22_e.htm
Heads of multilateral agencies outline central role in addressing multiple crises,News item,https://www.wto.org/english/news_e/news22_e/igo_28jul22_e.htm
"In a world of polycrisis, Aid for Trade Global Review focuses on recovery, resilience",News item,https://www.wto.org/english/news_e/news22_e/aid_27jul22_e.htm
"Aid for Trade Global Review to focus on environment, empowerment and connectivity",News item,https://www.wto.org/english/news_e/news22_e/aid_07jul22_e.htm
WTO members discuss key findings of Aid for Trade Monitoring and Evaluation Exercise,News item,https://www.wto.org/english/news_e/news22_e/aid_03jun22_e.htm
"Members, partner organizations outline priorities for Aid for Trade Global Review",News item,https://www.wto.org/english/news_e/news22_e/aid_04may22_e.htm
Global Review of Aid for Trade to take place in late July,News item,https://www.wto.org/english/news_e/news22_e/aid_11apr22_e.htm
"WTO members, international organizations outline Aid for Trade activities amid COVID-19",News item,https://www.wto.org/english/news_e/news22_e/aid_08feb22_e.htm
Deadline extended to submit Aid-for-Trade questionnaires for 2022 Global Review,News item,https://www.wto.org/english/news_e/news22_e/aid_21jan22_e.htm
Members and partners invited to submit Aid-for-Trade questionnaires for 2022 Global Review,News item,https://www.wto.org/english/news_e/news21_e/aid_25nov21_e.htm
"WTO members, international organizations outline latest Aid for Trade initiatives",News item,https://www.wto.org/english/news_e/news21_e/aid_04nov21_e.htm
"Aid for Trade monitoring exercise to look into sustainability, women’s economic empowerment",News item,https://www.wto.org/english/news_e/news21_e/aid_22oct21_e.htm
Members discuss how Aid for Trade can support women’s economic empowerment,News item,https://www.wto.org/english/news_e/news21_e/iwgtg_16jul21_e.htm
WTO members consider how to monitor Aid for Trade for 2022 Global Review,News item,https://www.wto.org/english/news_e/news21_e/aid_17jun21_e.htm
