title,type,url
Ecuador confirms final removal of import surcharges,News item,https://www.wto.org/english/news_e/news17_e/bop_24jul17_e.htm
Members welcome Ecuador’s commitment to remove import surcharge by June 2017,News item,https://www.wto.org/english/news_e/news17_e/bop_24apr17_e.htm
Ecuador’s import surcharge still under review as WTO members remain divided,News item,https://www.wto.org/english/news_e/news16_e/bop_29nov16_e.htm
Support expressed for advancing WTO work on electronic commerce,News item,https://www.wto.org/english/news_e/news16_e/good_14jul16_e.htm
Consultations continue on Ecuador’s import surcharge as WTO members remain divided,News item,https://www.wto.org/english/news_e/news16_e/bop_23jun16_e.htm
Ecuador starts phasing out import surcharge,News item,https://www.wto.org/english/news_e/news16_e/bop_17feb16_e.htm
WTO members remain divided on Ecuador’s import surcharge for balance-of-payments reasons,News item,https://www.wto.org/english/news_e/news15_e/bop_16oct15_e.htm
WTO members consult with Ecuador on its import surcharges imposed on balance-of-payments grounds,News item,https://www.wto.org/english/news_e/news15_e/bop_29jun15_e.htm
Members adopt report on Ukraine’s import surcharge imposed for balance-of-payments reasons,News item,https://www.wto.org/english/news_e/news15_e/bop_19jun15_e.htm
Consultations on Ukraine’s import surcharge conclude without consensus,News item,https://www.wto.org/english/news_e/news15_e/bop_12jun15_e.htm
Members consult with Ukraine on its import surcharge imposed on balance-of-payments grounds,News item,https://www.wto.org/english/news_e/news15_e/impl_28apr15_e.htm
