title,type,url
"Members briefed on US report on COVID diagnostics and therapeutics, TRIPS flexibilities",News item,https://www.wto.org/english/news_e/news23_e/covid_19oct23_e.htm
"Members discuss improvements to service exports data in LDCs, COVID-19, WTO reform",News item,https://www.wto.org/english/news_e/news23_e/serv_05oct23_e.htm
DG Okonjo-Iweala: International cooperation on trade policy is key to global health equity,News item,https://www.wto.org/english/news_e/news23_e/dgno_03oct23_e.htm
Members meet external stakeholders to advance discussion on extending TRIPS Decision,News item,https://www.wto.org/english/news_e/news23_e/trip_28sep23_e.htm
DDG Ellard: International trade and WTO indispensable to resolving global crises,News item,https://www.wto.org/english/news_e/news23_e/ddgae_08sep23_e.htm
"Second update of information note on integrated health, trade, IP response to COVID-19 launched",News item,https://www.wto.org/english/news_e/news23_e/heal_14jul23_e.htm
Technology transfer partners share insights at WHO-WIPO-WTO webinar,News item,https://www.wto.org/english/news_e/news23_e/trip_27jun23_e.htm
"Members address financial inclusion, transport and logistics during services week",News item,https://www.wto.org/english/news_e/news23_e/serv_14jun23_e.htm
"Private sector shares views on trading goods in digital era, post-pandemic changes",News item,https://www.wto.org/english/news_e/news23_e/mark_01jun23_e.htm
Members share customs valuation experiences and practices since start of the pandemic,News item,https://www.wto.org/english/news_e/news23_e/val_24may23_e.htm
Trade in medical goods stabilises after peaking during pandemic,Blog,https://www.wto.org/english/blogs_e/data_blog_e/blog_dta_23may23_e.htm
WTO members praise value of capturing lessons learned from COVID-19 pandemic,News item,https://www.wto.org/english/news_e/news23_e/mark_27apr23_e.htm
New data reveals regional variations in digitally delivered services trade,News item,https://www.wto.org/english/news_e/news23_e/serv_26apr23_e.htm
Least-developed countries share experiences on trade in essential goods to fight COVID-19,News item,https://www.wto.org/english/news_e/news23_e/mark_24mar23_e.htm
Members continue discussion on TRIPS Decision extension to therapeutics and diagnostics,News item,https://www.wto.org/english/news_e/news23_e/heal_17mar23_e.htm
"The world needs a strong WTO. Now, more than ever",Blog,https://www.wto.org/english/blogs_e/ddg_anabel_gonzalez_e/blog_ag_17feb23_e.htm
"Technical Symposium (WHO, WIPO and WTO) on “COVID-19 Pandemic: Response, Preparedness, Resilience”",Speech,https://www.wto.org/english/news_e/spno_e/spno37_e.htm
"WHO, WIPO, WTO call for innovation and cooperation to support timely access to pandemic products",News item,https://www.wto.org/english/news_e/news22_e/igo_16dec22_e.htm
"Members to stretch deadline on extending TRIPS Decision to COVID diagnostics, therapeutics",News item,https://www.wto.org/english/news_e/news22_e/trip_15dec22_e.htm
DDG González: Multilateral trading system must do more to avert food security crisis,News item,https://www.wto.org/english/news_e/news22_e/ddgag_08dec22_e.htm
"Report shows increase in trade restrictions amidst economic uncertainty, multiple crises",News item,https://www.wto.org/english/news_e/news22_e/tmwto_06dec22_e.htm
"Members discuss lessons learned from COVID-19 pandemic, hear views of external stakeholders",News item,https://www.wto.org/english/news_e/news22_e/mark_23nov22_e.htm
"Committee establishes work programme to address food security, reviews farm policies",News item,https://www.wto.org/english/news_e/news22_e/acc_22nov22_e.htm
