title,type,url
WTO Secretariat to highlight role of trade policy for climate action at COP28 in Dubai,News item,https://www.wto.org/english/news_e/news23_e/cop28_09nov23_e.htm
WTO and partner organizations unveil Trade House pavilion for UN COP28 climate summit,News item,https://www.wto.org/english/news_e/news23_e/envir_26oct23_e.htm
"WHO, WIPO, WTO to hold technical symposium on human health and climate change",News item,https://www.wto.org/english/news_e/news23_e/trip_16oct23_e.htm
"DG Okonjo-Iweala: Trade is important for innovation, women’s economic empowerment, climate",News item,https://www.wto.org/english/news_e/news23_e/msmes_28sep23_e.htm
"High-level panel discusses inclusive strategies for climate action, sustainable trade",News item,https://www.wto.org/english/news_e/news23_e/pf23_14sep23_e.htm
Steel industry highlights importance of trade policy in decarbonisation efforts ahead of COP28,News item,https://www.wto.org/english/news_e/news23_e/clim_14sep23_e.htm
Public Forum panel examines trade’s role in promoting climate action,News item,https://www.wto.org/english/news_e/news23_e/pf23_13sep23_e.htm
DDG Ellard: International trade and WTO indispensable to resolving global crises,News item,https://www.wto.org/english/news_e/news23_e/ddgae_08sep23_e.htm
WTO to help put the spotlight on trade at COP28,News item,https://www.wto.org/english/news_e/news23_e/envir_20jul23_e.htm
"WTO, World Bank, WEF launch joint effort to provide tailored trade and climate analysis",News item,https://www.wto.org/english/news_e/news23_e/envir_20apr23_e.htm
"DDG Ellard urges prompt acceptance of Fisheries Subsidies Agreement, completion of talks",News item,https://www.wto.org/english/news_e/news23_e/ddgae_06apr23_e.htm
"Public Forum 2023 to examine how trade can contribute to a greener, more sustainable future",News item,https://www.wto.org/english/news_e/news23_e/pf23_30mar23_e.htm
Members advance work on environmental issues in specific sectors after stocktaking event,News item,https://www.wto.org/english/news_e/news23_e/tessd_17mar23_e.htm
"Members share experiences on environmental regulations, standards for climate and plastics",News item,https://www.wto.org/english/news_e/news23_e/tbt_10mar23_e.htm
Trade Forum for Decarbonization Standards: Promoting coherence and transparency in the steel sector,News item,https://www.wto.org/english/news_e/news23_e/ddgjp_09mar23_e.htm
Cooperation on standards at WTO could speed up steel sector decarbonization: Trade Forum,News item,https://www.wto.org/english/news_e/news23_e/clim_09mar23_e.htm
Event on decarbonization standards to promote transparency and coherence in steel sector,News item,https://www.wto.org/english/news_e/news23_e/clim_14feb23_e.htm
"DDG Ellard discusses WTO success, need for reform, relevance to addressing climate crisis",News item,https://www.wto.org/english/news_e/news23_e/ddgae_14feb23_e.htm
"DDG Ellard discusses benefits of multilateralism, risks of unilateralism, WTO reform",News item,https://www.wto.org/english/news_e/news23_e/ddgae_13feb23_e.htm
DDG Paugam: Trade is crucial to ensure sustainable food supplies in times of crisis,News item,https://www.wto.org/english/news_e/news23_e/ddgjp_21jan23_e.htm
"WTO issues information note on steel decarbonization standards, readies for March event",News item,https://www.wto.org/english/news_e/news22_e/clim_21dec22_e.htm
WTO going green,Blog,https://www.wto.org/english/blogs_e/ddg_anabel_gonzalez_e/blog_ag_19dec22_e.htm
WTO joins call for greener markets and trade logistics to promote low-carbon transition,News item,https://www.wto.org/english/news_e/news22_e/cop27_11nov22_e.htm
DG Okonjo-Iweala: Make trade and investment a key part of delivering on climate action,News item,https://www.wto.org/english/news_e/news22_e/cop27_10nov22_e.htm
