title,type,url
"WTO members address trade and development dimension of cotton, potential MC13 outcome",News item,https://www.wto.org/english/news_e/news23_e/cott_10nov23_e.htm
DG Okonjo-Iweala urges WTO members to engage on cotton for potential outcome at MC13,News item,https://www.wto.org/english/news_e/news23_e/cott_04oct23_e.htm
"Cotton meetings urge progress before MC13, discuss World Cotton Day 2023, FIFA-WTO work",News item,https://www.wto.org/english/news_e/news23_e/cott_17may23_e.htm
"WTO, FIFA event highlights role of football as a tool for trade and women’s empowerment",News item,https://www.wto.org/english/news_e/news23_e/women_01may23_e.htm
"Cotton meetings stress need to advance talks, focus on fertilizer issues and development",News item,https://www.wto.org/english/news_e/news22_e/cott_10nov22_e.htm
DDG Paugam on World Cotton Day: WTO must help cotton-producing countries tackle current crises,News item,https://www.wto.org/english/news_e/news22_e/ddgjp_07oct22_e.htm
"WTO, FIFA team up to use trade and football as drivers of economic and social development",News item,https://www.wto.org/english/news_e/news22_e/igo_27sep22_e.htm
"DG calls for increased investment on cotton projects, welcomes Afreximbank pledge",News item,https://www.wto.org/english/news_e/news22_e/cott_27jul22_e.htm
"Members discuss potential outcome on cotton at MC12, World Cotton Day, Partners’ Conference",News item,https://www.wto.org/english/news_e/news22_e/cott_12may22_e.htm
WTO members highlight cotton’s central role in COVID-19 recovery,News item,https://www.wto.org/english/news_e/news21_e/cott_09nov21_e.htm
How to develop a sustainable cotton to clothing value chain in Africa,News item,https://www.wto.org/english/news_e/news21_e/ddgjp_07oct21_e.htm
DG Okonjo-Iweala on World Cotton Day: Cotton is crucial for sustainable development,News item,https://www.wto.org/english/news_e/news21_e/cott_07oct21_e.htm
WTO celebrates UN resolution recognizing 7 October as World Cotton Day,News item,https://www.wto.org/english/news_e/news21_e/cott_16sep21_e.htm
Members updated on progress in cotton trade and development assistance at WTO cotton meetings,News item,https://www.wto.org/english/news_e/news21_e/cott_28may21_e.htm
"Cotton-4 reports on by-products initiative, cotton trade and development issues discussed",News item,https://www.wto.org/english/news_e/news20_e/cott_13nov20_e.htm
WTO marks the 1st anniversary of World Cotton Day on 7 October,News item,https://www.wto.org/english/news_e/news20_e/cott_06oct20_e.htm
