title,type,url
Goods Council reviews work on MC12 follow-up,News item,https://www.wto.org/english/news_e/news23_e/good_07jul23_e.htm
Members reach consensus on 2023 chairs for subsidiary bodies of Goods Council,News item,https://www.wto.org/english/news_e/news23_e/good_05jun23_e.htm
Members take concrete steps towards WTO reform implementation at Goods Council,News item,https://www.wto.org/english/news_e/news23_e/good_03apr23_e.htm
"Goods Council discusses high number of trade concerns, MC12 implementation, LDC graduation",News item,https://www.wto.org/english/news_e/news22_e/good_28nov22_e.htm
WTO members consider record number of trade concerns at Goods Council meeting,News item,https://www.wto.org/english/news_e/news22_e/good_14jul22_e.htm
Members reach consensus on 2022 chairs for subsidiary bodies of Goods Council,News item,https://www.wto.org/english/news_e/news22_e/good_23may22_e.htm
"Goods Council addresses high number of trade concerns, notification issues, LDC graduation",News item,https://www.wto.org/english/news_e/news22_e/good_22apr22_e.htm
WTO members consider revised proposal for transparency reforms at Goods Council meeting,News item,https://www.wto.org/english/news_e/news21_e/good_09jul21_e.htm
Goods Barometer signals trade resilience amid ongoing COVID concerns,News item,https://www.wto.org/english/news_e/news20_e/wtoi_20nov20_e.htm
Goods Council agrees on 2020 chairs for subsidiary bodies,News item,https://www.wto.org/english/news_e/news20_e/good_27jul20_e.htm
Goods Council considers EU plans for carbon taxes on certain imports,News item,https://www.wto.org/english/news_e/news20_e/good_11jun20_e.htm
Members press EU and UK to address concerns of reduced market access following Brexit,News item,https://www.wto.org/english/news_e/news19_e/good_15nov19_e.htm
WTO members consider transparency reforms at Goods Council meeting,News item,https://www.wto.org/english/news_e/news19_e/good_10jul19_e.htm
Goods Council agrees on 2019 chairs for subsidiary bodies,News item,https://www.wto.org/english/news_e/news19_e/good_04jun19_e.htm
Members call on EU and UK to use Brexit extension to resolve market access concerns,News item,https://www.wto.org/english/news_e/news19_e/good_12apr19_e.htm
Goods Council considers revised transparency proposal to “reinvigorate” the WTO,News item,https://www.wto.org/english/news_e/news18_e/good_12nov18_e.htm
United Kingdom submits draft schedule to the WTO outlining post-Brexit goods commitments,News item,https://www.wto.org/english/news_e/news18_e/mark_24jul18_e.htm
Members raise concerns over US Section 232 investigation on automobiles and automotive parts,News item,https://www.wto.org/english/news_e/news18_e/good_03jul18_e.htm
US “Section 301” action against China’s intellectual property regime questioned at WTO Goods Council,News item,https://www.wto.org/english/news_e/news18_e/good_28mar18_e.htm
"Goods Council elects new chair, agrees on 2018 chairs for subsidiary bodies",News item,https://www.wto.org/english/news_e/news18_e/good_26mar18_e.htm
WTO members raise concerns over US tariffs on steel and aluminium at Goods Council,News item,https://www.wto.org/english/news_e/news18_e/good_23mar18_e.htm
Statement by Director-General Azevêdo in relation to the Council on Trade in Goods,News item,https://www.wto.org/english/news_e/news18_e/dgra_23mar18_e.htm
Goods Council discusses US proposal to enhance transparency,News item,https://www.wto.org/english/news_e/news17_e/good_16nov17_e.htm
70th anniversary of the General Agreement on Tariffs and Trade,News item,https://www.wto.org/english/news_e/news17_e/gen_30oct17_e.htm
National security cited in two trade concerns at Goods Council meeting,News item,https://www.wto.org/english/news_e/news17_e/good_10jul17_e.htm
Goods Council agrees on 2017 chairs for subsidiary bodies,News item,https://www.wto.org/english/news_e/news17_e/good_11may17_e.htm
Members discuss development dimension of e-commerce at Goods Council,News item,https://www.wto.org/english/news_e/news17_e/good_13apr17_e.htm
Proposal for e-commerce discussions draws interest,News item,https://www.wto.org/english/news_e/news16_e/good_17nov16_e.htm
Support expressed for advancing WTO work on electronic commerce,News item,https://www.wto.org/english/news_e/news16_e/good_14jul16_e.htm
LDCs call on WTO members to consider post-Nairobi list of priorities,News item,https://www.wto.org/english/news_e/news16_e/sldcw_24jun16_e.htm
Goods Council agrees on 2016 chairs for subsidiary bodies,News item,https://www.wto.org/english/news_e/news16_e/good_11may16_e.htm
"WTO members voice concerns on transit restrictions, minimum import pricing measures",News item,https://www.wto.org/english/news_e/news16_e/good_15apr16_e.htm
Appellate Body issues report in Panama/Argentina dispute,Appellate Body Report,https://www.wto.org/english/news_e/news16_e/453abr_e.htm
LDCs urge rapid implementation of Nairobi package amid volatile commodity prices,News item,https://www.wto.org/english/news_e/news16_e/sldcw_13apr16_e.htm
"Goods Council approves AGOA waiver, hears call for talks on illicit trade",News item,https://www.wto.org/english/news_e/news15_e/good_10nov15_e.htm
Panama appeals panel report on measures relating to trade in goods and services,News item,https://www.wto.org/english/news_e/news15_e/ds453apl_27oct15_e.htm
Gabon announces final deal reached with WTO members on tariff changes,News item,https://www.wto.org/english/news_e/news14_e/good_17nov14_e.htm
Goods Council approves Philippine waiver request for rice,News item,https://www.wto.org/english/news_e/news14_e/good_24jun14_e.htm
