title,type,url
Members agree on changes to improve the functioning of the Customs Valuation Committee,News item,https://www.wto.org/english/news_e/news23_e/val_15nov23_e.htm
Members share customs valuation experiences and practices since start of the pandemic,News item,https://www.wto.org/english/news_e/news23_e/val_24may23_e.htm
WTO arbitrators issue award in EU-Colombia frozen fries dispute,News item,https://www.wto.org/english/news_e/news22_e/ds591arb25_21dec22_e.htm
"Philippines, Thailand sign understanding aimed at resolving customs valuation dispute",News item,https://www.wto.org/english/news_e/news22_e/disp_07jun22_e.htm
Members review notification activity on national customs legislation,News item,https://www.wto.org/english/news_e/news22_e/val_17may22_e.htm
"WTO, WCO launch publication on role of latest technologies in facilitating trade",News item,https://www.wto.org/english/news_e/news22_e/publ_29mar22_e.htm
DDG González: Now is the time to think big on customs reform,News item,https://www.wto.org/english/news_e/news22_e/ddgag_20jan22_e.htm
Members welcome increased notification activity on national customs legislation,News item,https://www.wto.org/english/news_e/news21_e/val_25oct21_e.htm
WTO launches new online tool to help users navigate changes in product nomenclatures,News item,https://www.wto.org/english/news_e/news21_e/igo_07oct21_e.htm
Customs Valuation Committee sees encouraging increase in notification activity,News item,https://www.wto.org/english/news_e/news21_e/val_27may21_e.htm
DDG Yi praises WCO-WTO partnership in implementation of Customs Valuation Agreement,News item,https://www.wto.org/english/news_e/news20_e/ddgyx_12oct20_e.htm
Members look at proposal to update decision on customs valuation of software,News item,https://www.wto.org/english/news_e/news14_e/good_12may14_e.htm
WTO adopts dispute panel report on Colombia’s restrictions on ports of entry,Summary of the meeting,https://www.wto.org/english/news_e/news09_e/dsb_20may09_e.htm
