title,type,url
Two years at the WTO: My take on the future of the multilateral trading system,Blog,https://www.wto.org/english/blogs_e/ddg_anabel_gonzalez_e/blog_ag_03aug23_e.htm
Five reasons to fear a global subsidy race and what to do about it,Blog,https://www.wto.org/english/blogs_e/ddg_anabel_gonzalez_e/blog_ag_27jun23_e.htm
Building on research for better trade outcomes,Blog,https://www.wto.org/english/blogs_e/ddg_anabel_gonzalez_e/blog_ag_16may23_e.htm
"DDG González urges academics, researchers to support evidence-based policymaking",News item,https://www.wto.org/english/news_e/news23_e/ddgag_11may23_e.htm
How can trade facilitation make trade more inclusive?,Blog,https://www.wto.org/english/blogs_e/ddg_anabel_gonzalez_e/blog_ag_27apr23_e.htm
"DDG González: A stronger WTO is good for people, planet and prosperity",News item,https://www.wto.org/english/news_e/news23_e/ddgag_25apr23_e.htm
"DDG González: To make trade more inclusive, make it easier, faster and less costly",News item,https://www.wto.org/english/news_e/news23_e/ddgag_13apr23_e.htm
"WTO offers venue for cooperation amid geostrategic competition, says DDG González",News item,https://www.wto.org/english/news_e/news23_e/ddgag_11apr23_e.htm
DDG González to business: “Rise to the moment to help strengthen rules-based trade”,News item,https://www.wto.org/english/news_e/news23_e/ddgag_29mar23_e.htm
Ironing out diverging standards. One reason for business to support the WTO,Blog,https://www.wto.org/english/blogs_e/ddg_anabel_gonzalez_e/blog_ag_21mar23_e.htm
DDG Zhang calls on international community to redouble efforts to improve welfare of LDCs,News item,https://www.wto.org/english/news_e/news23_e/ldevc_06mar23_e.htm
"The world needs a strong WTO. Now, more than ever",Blog,https://www.wto.org/english/blogs_e/ddg_anabel_gonzalez_e/blog_ag_17feb23_e.htm
"DDG González: “WTO reform is about promoting resilient, sustainable and inclusive trade”",News item,https://www.wto.org/english/news_e/news23_e/ddgag_14feb23_e.htm
A new WTO deal to facilitate investment could be ready in 2023. It could not be more timely,Blog,https://www.wto.org/english/blogs_e/ddg_anabel_gonzalez_e/blog_ag_18jan23_e.htm
WTO going green,Blog,https://www.wto.org/english/blogs_e/ddg_anabel_gonzalez_e/blog_ag_19dec22_e.htm
"Members to stretch deadline on extending TRIPS Decision to COVID diagnostics, therapeutics",News item,https://www.wto.org/english/news_e/news22_e/trip_15dec22_e.htm
DDG González: Multilateral trading system must do more to avert food security crisis,News item,https://www.wto.org/english/news_e/news22_e/ddgag_08dec22_e.htm
Managing trade tensions at the WTO,Blog,https://www.wto.org/english/blogs_e/ddg_anabel_gonzalez_e/blog_ag_28nov22_e.htm
18th edition of WTO-WIPO colloquium for intellectual property teachers concludes in Geneva,News item,https://www.wto.org/english/news_e/news22_e/igo_18nov22_e.htm
22nd Session of the AMIS Global Food Market Information Group,News item,https://www.wto.org/english/news_e/news22_e/ddgag_18nov22_e.htm
"DDG González: Timely and quality market information is key to transparency, food security",News item,https://www.wto.org/english/news_e/news22_e/agri_18nov22_e.htm
Trade for Peace Week looks at fragile and conflict-affected states’ WTO integration,News item,https://www.wto.org/english/news_e/news22_e/tfp_14nov22_e.htm
WTO marks 75th anniversary of the General Agreement on Tariffs and Trade,News item,https://www.wto.org/english/news_e/news22_e/hist_02nov22_e.htm
Trade cooperation needed to support finance ministers and central bankers,Blog,https://www.wto.org/english/blogs_e/ddg_anabel_gonzalez_e/blog_ag_20oct22_e.htm
"DDG González: “More cooperation on digital will create trade opportunities, reduce costs”",News item,https://www.wto.org/english/news_e/news22_e/ddgag_12oct22_e.htm
Five takeaways from the WTO Public Forum,Blog,https://www.wto.org/english/blogs_e/ddg_anabel_gonzalez_e/blog_ag_06oct22_e.htm
"DDG González: “A well-functioning global trading system is not a choice, it’s a necessity”",News item,https://www.wto.org/english/news_e/news22_e/ddgag_04oct22_e.htm
WTO Chairs Programme sees launch of trade capacity-building activities in Ecuador,News item,https://www.wto.org/english/news_e/news22_e/chair_14sep22_e.htm
"Members mark 5th anniversary of Trade Facilitation Agreement, share experiences on impact",News item,https://www.wto.org/english/news_e/news22_e/fac_04jul22_e.htm
A new formula to facilitate negotiated outcomes at the WTO,Blog,https://www.wto.org/english/blogs_e/ddg_anabel_gonzalez_e/blog_ag_29jun22_e.htm
DDG González: “More cooperation on services trade key to building the WTO of tomorrow”,News item,https://www.wto.org/english/news_e/news22_e/ddgag_27jun22_e.htm
"DDG González: “Now more than ever, business needs the WTO”",News item,https://www.wto.org/english/news_e/news22_e/ddgag_21jun22_e.htm
MC12: more than meets the eye,Blog,https://www.wto.org/english/blogs_e/ddg_anabel_gonzalez_e/blog_ag_20jun22_e.htm
DG Okonjo-Iweala urges members to seize opportunity at MC12 to deliver meaningful outcomes,News item,https://www.wto.org/english/news_e/news22_e/gc_07jun22_e.htm
WTO-World Bank publication stresses key role of trade in responding to health crises,News item,https://www.wto.org/english/news_e/news22_e/heal_03jun22_e.htm
From confrontation to cooperation on subsidies. Let’s start with conversation.,Blog,https://www.wto.org/english/blogs_e/ddg_anabel_gonzalez_e/blog_ag_01jun22_e.htm
DDG González: “Trade is essential to win the fight against climate change”,News item,https://www.wto.org/english/news_e/news22_e/ddgag_20may22_e.htm
Registration opens for virtual event on finance and trade lessons from COVID-19 pandemic,News item,https://www.wto.org/english/news_e/news22_e/covid_17may22_e.htm
Moving towards a WTO deal on COVID-19 vaccines?,Blog,https://www.wto.org/english/blogs_e/ddg_anabel_gonzalez_e/blog_ag_12may22_e.htm
Members welcome Quad document as basis for text-based negotiations on pandemic IP response,News item,https://www.wto.org/english/news_e/news22_e/gc_10may22_e.htm
Foreign Trade University in Viet Nam launches activities under WTO Chairs Programme,News item,https://www.wto.org/english/news_e/news22_e/chair_11may22_e.htm
TRIPS Council hears initial reactions to Quad’s outcome document on IP COVID-19 response,News item,https://www.wto.org/english/news_e/news22_e/trip_06may22_e.htm
"Transparency, analysis, cooperation key to address trade impacts of subsidies — report",News item,https://www.wto.org/english/news_e/news22_e/scm_06may22_e.htm
"WTO launches book on trade in knowledge in today’s technological, commercial environment",News item,https://www.wto.org/english/news_e/news22_e/trip_04apr22_e.htm
Trade reform can help Latin America and the Caribbean usher in new era of growth,News item,https://www.wto.org/english/news_e/news22_e/ddgag_29mar22a_e.htm
"WTO, WCO launch publication on role of latest technologies in facilitating trade",News item,https://www.wto.org/english/news_e/news22_e/publ_29mar22_e.htm
"DDG González: Resilient supply chains call for trade diversification, not decoupling",News item,https://www.wto.org/english/news_e/news22_e/ddgag_29mar22_e.htm
Supply chain challenges and heightened uncertainty: How can the WTO help?,Blog,https://www.wto.org/english/blogs_e/ddg_anabel_gonzalez_e/blog_ag_22mar22_e.htm
"DDG González: the trading system, a crucial ally in the fight against the pandemic",News item,https://www.wto.org/english/news_e/news22_e/ddgag_18mar22_e.htm
DDG González: The WTO’s work on trade facilitation benefits small businesses,News item,https://www.wto.org/english/news_e/news22_e/ddgag_10mar22_e.htm
"DDG González: Trade cooperation essential for fairer, greener and resilient economies",News item,https://www.wto.org/english/news_e/news22_e/ddgag_09mar22_e.htm
"DDG González: We need a plan, not just a promise, to revitalize trade cooperation",News item,https://www.wto.org/english/news_e/news22_e/ddgag_07mar22_e.htm
"DDG González: WTO rulebook instrumental in tackling fraud, weeding out illicit trade",News item,https://www.wto.org/english/news_e/news22_e/ddgag_03mar22_e.htm
One year of exporting COVID-19 vaccines: what does the evidence show?,Blog,https://www.wto.org/english/blogs_e/ddg_anabel_gonzalez_e/blog_ag_22feb22_e.htm
Workshop looks into practical aspects of supporting equitable access to COVID-19 vaccines,News item,https://www.wto.org/english/news_e/news22_e/trip_11feb22_e.htm
"DDG González: Agricultural trade reform can deliver gains for people, planet and economy",News item,https://www.wto.org/english/news_e/news22_e/ddgag_02feb22_e.htm
DDG González: “Trade facilitation and economic resilience are two sides of the same coin”,News item,https://www.wto.org/english/news_e/news22_e/ddgag_01feb22_e.htm
DDG González: Now is the time to think big on customs reform,News item,https://www.wto.org/english/news_e/news22_e/ddgag_20jan22_e.htm
Five best wishes for WTO members in 2022,Blog,https://www.wto.org/english/blogs_e/ddg_anabel_gonzalez_e/blog_ag_10jan22_e.htm
Omicron stopped trade ministers from meeting. It need not stop WTO members from delivering.,Blog,https://www.wto.org/english/blogs_e/ddg_anabel_gonzalez_e/blog_ag_06dec21_e.htm
DDG Gonzalez highlights benefits of global value chains for LDCs,News item,https://www.wto.org/english/news_e/news21_e/ddgag_16nov21_e.htm
Event looks at how to mitigate impact of rising shipping rates on trade flows,News item,https://www.wto.org/english/news_e/news21_e/serv_11nov21_e.htm
DDG González: Trade is a source of resilience in times of crisis,News item,https://www.wto.org/english/news_e/news21_e/ddgag_29oct21_e.htm
Slash services trade red tape. At the WTO,Blog,https://www.wto.org/english/blogs_e/ddg_anabel_gonzalez_e/blog_ag_red_tape_e.htm
Logistics services critical for trade and economic development — DDG González,News item,https://www.wto.org/english/news_e/news21_e/ddgag_18oct21_e.htm
100 days at the WTO. What have I learned?,Blog,https://www.wto.org/english/blogs_e/ddg_anabel_gonzalez_e/blog_ag_100days_e.htm
DDG González underscores importance of women’s economic empowerment in trade,News item,https://www.wto.org/english/news_e/news21_e/ddgno_09aug21_e.htm
