title,type,url
"DDG Ellard calls for APEC leadership in reforming the WTO, delivering at MC13",News item,https://www.wto.org/english/news_e/news23_e/ddgae_15nov23_e.htm
DG and fisheries subsidies chair urge members to bridge differences before year-end,News item,https://www.wto.org/english/news_e/news23_e/fish_10nov23_e.htm
DDG Ellard: Africa shows admirable leadership in achieving development objectives,News item,https://www.wto.org/english/news_e/news23_e/ddgae_26oct23_e.htm
Members complete sixth Fish Week this year of fisheries subsidies negotiations,News item,https://www.wto.org/english/news_e/news23_e/fish_13oct23_e.htm
DDG Ellard highlights impact of technological developments on global trade,News item,https://www.wto.org/english/news_e/news23_e/ddgae_06oct23_e.htm
New WTO publication underlines need to boost women’s participation in trade,News item,https://www.wto.org/english/news_e/news23_e/women_14sep23_e.htm
DDG Ellard: International trade and WTO indispensable to resolving global crises,News item,https://www.wto.org/english/news_e/news23_e/ddgae_08sep23_e.htm
DDG Ellard showcases WTO’s work in delivering global public goods at award event,News item,https://www.wto.org/english/news_e/news23_e/ddgae_19jul23_e.htm
First members to formally accept Fisheries Subsidies Agreement urge others to follow suit,News item,https://www.wto.org/english/news_e/news23_e/fish_21jun23_e.htm
"DDG Ellard urges acceptance of Fisheries Subsidies Agreement, progress on new disciplines",News item,https://www.wto.org/english/news_e/news23_e/ddgae_13jun23_e.htm
WTO Workshop on Fisheries Subsidies for the Asia Region,News item,https://www.wto.org/english/news_e/news23_e/ddgae_25may23a_e.htm
DDG Ellard highlights importance of Fisheries Subsidies Agreement at workshop in Malaysia,News item,https://www.wto.org/english/news_e/news23_e/ddgae_25may23_e.htm
DDG Ellard urges prompt ratification of Fisheries Subsidies Agreement,News item,https://www.wto.org/english/news_e/news23_e/ddgae_15may23_e.htm
Germany provides first of a series of donations to the Fisheries Fund and offers expertise,Press release,https://www.wto.org/english/news_e/pres23_e/pr925_e.htm
DDG Ellard highlights importance of WTO work on fisheries subsidies for Africa,News item,https://www.wto.org/english/news_e/news23_e/fish_02may23a_e.htm
WTO Workshop on Fisheries Subsidies for English-speaking Africa,News item,https://www.wto.org/english/news_e/news23_e/ddgae_02may23_e.htm
