title,type,url
"DDG Paugam: Trade is becoming more political, more sustainable, more traceable",News item,https://www.wto.org/english/news_e/news23_e/ddgjp_03oct23_e.htm
"DDG Paugam: Trade can help us respond to food security, sustainable development challenges",News item,https://www.wto.org/english/news_e/news23_e/ddgjp_04sep23_e.htm
"Standards cooperation, quality infrastructure key to boosting value chains — DDG Paugam",News item,https://www.wto.org/english/news_e/news23_e/ddgjp_01sep23_e.htm
STDF Annual Report: Adapting and learning to facilitate safe trade in food,News item,https://www.wto.org/english/news_e/news23_e/stdf_07jul23_e.htm
DDG Paugam: Cooperation and agricultural reform are needed to tackle food security crisis,News item,https://www.wto.org/english/news_e/news23_e/ddgjp_12jun23_e.htm
DDG Paugam urges ministers to harness WTO potential for advancing agricultural innovation,News item,https://www.wto.org/english/news_e/news23_e/ddgjp_09may23_e.htm
DDG Paugam explores closer WTO-IICA cooperation on agriculture and food security,News item,https://www.wto.org/english/news_e/news23_e/ddgjp_05may23_e.htm
DDG Paugam: Global cooperation is vital to combat plastic pollution,News item,https://www.wto.org/english/news_e/news23_e/ddgjp_02may23_e.htm
DDG Paugam: Trade is essential in responding to food security crisis,News item,https://www.wto.org/english/news_e/news23_e/ddgjp_20apr23_e.htm
DDG Paugam: Ensuring safe agriculture trade crucial for a sustainable future,News item,https://www.wto.org/english/news_e/news23_e/ddgjp_06apr23_e.htm
Food security: The key to unlocking agriculture negotiations at the WTO?,Blog,https://www.wto.org/english/blogs_e/ddg_jean_marie_paugam_e/blog_jp_28mar23_e.htm
"Plastics Dialogue participants brainstorm on MC13 outcomes, welcome US co-sponsorship",News item,https://www.wto.org/english/news_e/news23_e/ppesp_14mar23_e.htm
Trade Forum for Decarbonization Standards: Promoting coherence and transparency in the steel sector,News item,https://www.wto.org/english/news_e/news23_e/ddgjp_09mar23_e.htm
DDG Paugam: A mix of trade policy approaches is needed to achieve sustainability goals,News item,https://www.wto.org/english/news_e/news23_e/ddgjp_20feb23_e.htm
DDG Paugam: Trade is crucial to ensure sustainable food supplies in times of crisis,News item,https://www.wto.org/english/news_e/news23_e/ddgjp_21jan23_e.htm
TESSD High-Level Stocktaking Event,News item,https://www.wto.org/english/news_e/news22_e/ddgjp_02dec22_e.htm
"Members take stock of sustainability discussions, signal priorities for concrete action",News item,https://www.wto.org/english/news_e/news22_e/tessd_02dec22_e.htm
"Cotton meetings stress need to advance talks, focus on fertilizer issues and development",News item,https://www.wto.org/english/news_e/news22_e/cott_10nov22_e.htm
DDG Paugam: More collective efforts needed to address food crisis,News item,https://www.wto.org/english/news_e/news22_e/agri_04nov22_e.htm
High level event on multilateral trade and environment cooperation: Answering crisis and furthering resilience,News item,https://www.wto.org/english/news_e/news22_e/ddgno_17oct22_e.htm
"Work fast and work together, speakers urge at opening of Trade and Environment Week",News item,https://www.wto.org/english/news_e/news22_e/envir_17oct22_e.htm
Symposium highlights importance of WTO’s work on easing regulatory bottlenecks,News item,https://www.wto.org/english/news_e/news22_e/tbt_18oct22_e.htm
TBT Symposium on Alleviating Regulatory Bottlenecks in Global Supply Chains,News item,https://www.wto.org/english/news_e/news22_e/ddgjp_17oct22_e.htm
"Technical Barriers Committee helps strengthen value chains, acts as incubator for WTO reforms",News item,https://www.wto.org/english/news_e/news22_e/tbt_14oct22_e.htm
"Count on WTO in coordinated action to fight food security crisis, says DDG Paugam",News item,https://www.wto.org/english/news_e/news22_e/ddgjp_10oct22_e.htm
DDG Paugam on World Cotton Day: WTO must help cotton-producing countries tackle current crises,News item,https://www.wto.org/english/news_e/news22_e/ddgjp_07oct22_e.htm
DDG Paugam: “Clear that sustainability is at the heart of trading models of the future”,News item,https://www.wto.org/english/news_e/news22_e/ddgjp_26sep22_e.htm
DDG Paugam calls on WTO Chairs Programme to contribute fresh ideas to food security debate,News item,https://www.wto.org/english/news_e/news22_e/ddgjp_26jul22_e.htm
"DDG Paugam calls for coherent standards, support for small players in transition toward decarbonisation",News item,https://www.wto.org/english/news_e/news22_e/ddgjp_05jul22_e.htm
DDG Paugam cites need for closer WCO-WTO cooperation to facilitate green transformation,News item,https://www.wto.org/english/news_e/news22_e/ddgjp_28jun22_e.htm
DDG Paugam highlights WTO role in promoting sustainable agriculture,News item,https://www.wto.org/english/news_e/news22_e/ddgjp_07jun22_e.htm
DDG Paugam: WTO is actively participating in efforts to preserve global food security,News item,https://www.wto.org/english/news_e/news22_e/ddgjp_25may22_e.htm
"Plastics dialogue discusses MC12 plans, next steps to implement Ministerial Statement",News item,https://www.wto.org/english/news_e/news22_e/ppesp_24may22_e.htm
DDG Paugam highlights public-private sector dialogue in addressing supply chain challenges,News item,https://www.wto.org/english/news_e/news22_e/ddgjp_23may22_e.htm
"STDF, Asian Development Bank champion “smart” regulations to promote safe food trade",News item,https://www.wto.org/english/news_e/news22_e/sps_10may22_e.htm
Trade must be part of the global effort to address plastics pollution: DDG Paugam,News item,https://www.wto.org/english/news_e/news22_e/ddgjp_01apr22_e.htm
"Focus on food safety, trade opportunities for Africa on Francophonie Day",News item,https://www.wto.org/english/news_e/news22_e/stdf_21mar22_e.htm
"DDG Paugam underscores important role of trade for food security, sustainable land use",News item,https://www.wto.org/english/news_e/news22_e/ddgjp_28jan22_e.htm
"Launch event of ministerial statements on trade, environment and sustainable development",News item,https://www.wto.org/english/news_e/news21_e/ddgjp_15dec21_e.htm
DDG Paugam highlights MC12 expectations for WTO at EU Parliament event,News item,https://www.wto.org/english/news_e/news21_e/ddgjp_11nov21_e.htm
The WTO has weathered recent global crises — DDG Paugam,News item,https://www.wto.org/english/news_e/news21_e/ddgjp_20oct21_e.htm
Vital role of trade policy for women and the environment stressed at clean cooking event,News item,https://www.wto.org/english/news_e/news21_e/ddgjp_25oct21_e.htm
DDG Paugam commends STDF’s broad impact on catalysing SPS capacity development,News item,https://www.wto.org/english/news_e/news21_e/stdf_14oct21_e.htm
How to develop a sustainable cotton to clothing value chain in Africa,News item,https://www.wto.org/english/news_e/news21_e/ddgjp_07oct21_e.htm
