title,type,url
Youth Trade Summit emphasizes contribution of youth to the trade and gender debate,News item,https://www.wto.org/english/news_e/news23_e/women_14nov23_e.htm
WTO-WIPO colloquium for intellectual property teachers opens in Geneva,News item,https://www.wto.org/english/news_e/news23_e/trip_13nov23_e.htm
Exploring new pathways for LDC integration into global trade,Blog,https://www.wto.org/english/blogs_e/ddg_xiangchen_zhang_e/blog_xz_03nov23_e.htm
DDG Zhang calls on LDCs to explore ways of boosting agriculture and services trade,News item,https://www.wto.org/english/news_e/news23_e/devel_03nov23_e.htm
WTO Regional Trade Policy Course begins in Lomé,News item,https://www.wto.org/english/news_e/news23_e/tra_30oct23_e.htm
Timor-Leste's participation in Information Technology Agreement and its Expansion approved,News item,https://www.wto.org/english/news_e/news23_e/ita_19oct23_e.htm
Timor-Leste moves within a few steps of concluding WTO accession negotiations,News item,https://www.wto.org/english/news_e/news23_e/acc_11oct23_e.htm
Aid-for-Trade monitoring and evaluation exercise gets under way,News item,https://www.wto.org/english/news_e/news23_e/aid_09oct23_e.htm
"WTO, St. Gallen University launch trade for peace research project",News item,https://www.wto.org/english/news_e/news23_e/tfp_28sep23_e.htm
New WTO publication underlines need to boost women’s participation in trade,News item,https://www.wto.org/english/news_e/news23_e/women_14sep23_e.htm
South-South cooperation is key to sustainable growth,Blog,https://www.wto.org/english/blogs_e/ddg_xiangchen_zhang_e/blog_xz_21jul23_e.htm
Panel explores role of trade in addressing global fragility and conflict,News item,https://www.wto.org/english/news_e/news23_e/tfp_20jul23_e.htm
Exploring pathways for LDC integration into global trade,Blog,https://www.wto.org/english/blogs_e/ddg_xiangchen_zhang_e/blog_xz_23jun23_e.htm
DDG Zhang calls on least developed countries to “strategize on their trade priorities”,News item,https://www.wto.org/english/news_e/news23_e/ldevc_22jun23_e.htm
WTO Chairs Programme activities launched at University of Rwanda,News item,https://www.wto.org/english/news_e/news23_e/chair_08jun23_e.htm
New report looks at WTO technical assistance activities in post-pandemic era,News item,https://www.wto.org/english/news_e/news23_e/tech_26may23_e.htm
Trade capacity-building activities launched in Tanzania under Chairs Programme,News item,https://www.wto.org/english/news_e/news23_e/chair_31mar23_e.htm
DDG Zhang: Women’s perspectives are crucial to achieve sustainable peace through trade,News item,https://www.wto.org/english/news_e/news23_e/ddgxz_31mar23_e.htm
A path to prosperity: Harnessing trade to deliver for LDCs,Blog,https://www.wto.org/english/blogs_e/ddg_xiangchen_zhang_e/blog_xz_20mar23_e.htm
"DDG Zhang welcomes new cohort of interns from developing countries, LDCs at WTO",News item,https://www.wto.org/english/news_e/news23_e/tech_14mar23_e.htm
DDG Zhang: WTO can help explore how to bring further economic gains to LDCs,News item,https://www.wto.org/english/news_e/news23_e/ldevc_10mar23_e.htm
It is time to boost LDCs’ integration into trading system — DDG Zhang at LDC5 Conference,News item,https://www.wto.org/english/news_e/news23_e/devel_07mar23_e.htm
DDG Zhang calls on international community to redouble efforts to improve welfare of LDCs,News item,https://www.wto.org/english/news_e/news23_e/ldevc_06mar23_e.htm
WTO to champion importance of trade in supporting LDCs’ economic development,News item,https://www.wto.org/english/news_e/news23_e/devel_03mar23_e.htm
"11th China Round Table looks at integration of Asia-Pacific in world trade, LDC accessions",News item,https://www.wto.org/english/news_e/news23_e/chp_03feb23_e.htm
Eleventh China Round Table marks Lao’s 10th WTO accession anniversary,News item,https://www.wto.org/english/news_e/news23_e/acc_03feb23_e.htm
Least-developed countries discuss trade priorities ahead of UN Conference on LDCs,News item,https://www.wto.org/english/news_e/news23_e/ldevc_30jan23_e.htm
WTO Chair in Cameroon hosts high-level event on trade and sustainability,News item,https://www.wto.org/english/news_e/news22_e/chair_15dec22_e.htm
First Interdisciplinary Master’s Course on Trade for Peace successfully concludes,News item,https://www.wto.org/english/news_e/news22_e/tfp_14dec22_e.htm
"International Forum for Inclusive and Sustainable Development in the Southeast Asia, Latin America and the Caribbean (SEA-LAC) Region",News item,https://www.wto.org/english/news_e/news22_e/ddgxz_12dec22_e.htm
"WTO Chair in Indonesia hosts interregional forum for inclusive, sustainable development",News item,https://www.wto.org/english/news_e/news22_e/chair_12dec22_e.htm
Officials from least-developed countries outline trade priorities at Geneva seminar,News item,https://www.wto.org/english/news_e/news22_e/devel_07dec22_e.htm
WTO members take steps to invigorate working group on trade and transfer of technology,News item,https://www.wto.org/english/news_e/news22_e/devel_24nov22_e.htm
DDG Zhang calls for strengthened cooperation in Latin America through WTO Chairs Programme,News item,https://www.wto.org/english/news_e/news22_e/chair_16nov22_e.htm
"Cotton meetings stress need to advance talks, focus on fertilizer issues and development",News item,https://www.wto.org/english/news_e/news22_e/cott_10nov22_e.htm
7th International Conference on Contemporary Issues in International Trade: A development Lens,News item,https://www.wto.org/english/news_e/news22_e/ddgxz_08nov22_e.htm
DDG Zhang stresses importance of WTO Chairs Programme in fostering “South to South” learning,News item,https://www.wto.org/english/news_e/news22_e/chair_06nov22_e.htm
"DDG Zhang underscores importance of implementing MC12 outcomes, other trade agreements",News item,https://www.wto.org/english/news_e/news22_e/chair_04nov22_e.htm
DDG Zhang welcomes Kathmandu University School of Management to Chairs Programme,News item,https://www.wto.org/english/news_e/news22_e/chair_18oct22_e.htm
Standards transparency champions programme kicks off in Geneva,News item,https://www.wto.org/english/news_e/news22_e/tbt_19oct22_e.htm
DDG Zhang inaugurates the new WTO Chair at the Indian Institute of Foreign Trade,News item,https://www.wto.org/english/news_e/news22_e/chair_14oct22_e.htm
Members and partner organizations look into future priorities for Aid for Trade,News item,https://www.wto.org/english/news_e/news22_e/aid_14oct22_e.htm
Working Party welcomes strong commitment by Timor-Leste to join WTO in 2023,News item,https://www.wto.org/english/news_e/news22_e/acc_tls_30sep22_e.htm
DDG Zhang: Both AfCFTA and WTO are important to support Africa’s growth and prosperity,News item,https://www.wto.org/english/news_e/news22_e/ddgxz_07sep22_e.htm
"Aid for Trade must adapt to channel resources for an effective, green transition",News item,https://www.wto.org/english/news_e/news22_e/aid_28jul22_e.htm
Aid for Trade Global Review 2022 — Session 28 — Plenary: Sustainable Aid for Trade,News item,https://www.wto.org/english/news_e/news22_e/ddgxz_28jul22_e.htm
The launch of the WTO Chair in Lesotho,News item,https://www.wto.org/english/news_e/news22_e/ddgxz_15jul22_e.htm
National University of Lesotho launches activities under WTO Chairs Programme,News item,https://www.wto.org/english/news_e/news22_e/chair_13jul22_e.htm
"DDG Zhang: Turkmenistan’s WTO accession process, domestic reform are mutually beneficial",News item,https://www.wto.org/english/news_e/news22_e/acc_05jul22_e.htm
Launch of the work programme on the preparation of the memorandum on the foreign trade regime of Turkmenistan,News item,https://www.wto.org/english/news_e/news22_e/ddgxz_11jul22_e.htm
"Trade ministers present early results, pledge to advance plastics dialogue at MC12 event",News item,https://www.wto.org/english/news_e/news22_e/ppesp_13jun22_e.htm
WTO members share early results and plans to ramp up action on trade and environment,News item,https://www.wto.org/english/news_e/news22_e/envir_13jun22_e.htm
