title,type,url
Global Trade and Blockchain Forum 2021,News item,https://www.wto.org/english/news_e/news21_e/ddgyx_30mar21_e.htm
WTO launches Trade for Peace Network in support of fragile and conflict-affected states,News item,https://www.wto.org/english/news_e/news21_e/acc_29mar21_e.htm
DDG Wolff: Africa is a priority for the WTO,News item,https://www.wto.org/english/news_e/news21_e/ddgaw_17mar21_e.htm
Two internship programmes for developing countries and LDCs get under way,News item,https://www.wto.org/english/news_e/news21_e/stud_05mar21_e.htm
DDG Wolff: AfCFTA and WTO can help “knit together” Africa in peace and prosperity,News item,https://www.wto.org/english/news_e/news21_e/ddgaw_04mar21_e.htm
This year holds great promise for WTO and multilateral system — DDG Wolff,News item,https://www.wto.org/english/news_e/news21_e/ddgaw_01mar21_e.htm
DDG Wolff calls on members to work with new Director-General to reform WTO,News item,https://www.wto.org/english/news_e/news21_e/ddgaw_25feb21_e.htm
DDG Wolff — WTO must demonstrate soon it can deliver,News item,https://www.wto.org/english/news_e/news21_e/ddgaw_09feb21_e.htm
WTO DDGs call for heightened cooperation on vaccine availability,News item,https://www.wto.org/english/news_e/news21_e/ddgra_01feb21_e.htm
DDG Wolff urges WTO ministers to address the pandemic and make 2021 a year of action,News item,https://www.wto.org/english/news_e/news21_e/igo_29jan21_e.htm
DDG Wolff stresses need to make progress in WTO negotiations to enhance resilience of farm sector,News item,https://www.wto.org/english/news_e/news21_e/ddgaw_22jan21_e.htm
DDG Wolff: Focused WTO talks needed on trade and climate change issues,News item,https://www.wto.org/english/news_e/news21_e/ddgaw_14jan21_e.htm
DDG Wolff outlines possible responses to calls for WTO reform,News item,https://www.wto.org/english/news_e/news21_e/ddgaw_13jan21_e.htm
Sweden donates SEK 19.2 million to help developing countries participate in global trade,Press release,https://www.wto.org/english/news_e/pres20_e/pr869_e.htm
DDG Wolff: “WTO accession has been a story of transformation”,News item,https://www.wto.org/english/news_e/news20_e/ddgaw_14dec20_e.htm
Report shows marked decline in trade restrictions by WTO members amidst COVID-19 pandemic,News item,https://www.wto.org/english/news_e/news20_e/trdev_11dec20_e.htm
Trade Policy Review Body — Trade Monitoring Overview of Developments in the International Trading Environment,News item,https://www.wto.org/english/news_e/news20_e/ddgya_11dec20_e.htm
DDG Wolff: “The WTO must not continue as it is”,News item,https://www.wto.org/english/news_e/news20_e/ddgaw_10dec20_e.htm
Advanced Global E-workshop on the Plurilateral WTO Agreement on Government Procurement (GPA),News item,https://www.wto.org/english/news_e/news20_e/ddgyx_07dec20_e.htm
DDG Wolff calls for deepening work on “Trade for Peace” efforts,News item,https://www.wto.org/english/news_e/news20_e/ddgaw_04dec20_e.htm
DDG Agah: Trade key to mitigating impact of COVID-19 pandemic on Africa,News item,https://www.wto.org/english/news_e/news20_e/ddgya_03dec20_e.htm
DDG Wolff pays tribute to James Wolfensohn,News item,https://www.wto.org/english/news_e/news20_e/ddgaw_25dec20_e.htm
“Pressing needs for a breakthrough” in WTO farm trade talks,News item,https://www.wto.org/english/news_e/news20_e/ddgaw_02dec20_e.htm
DDG Wolff calls for more structured WTO cooperation with humanitarian and peace communities,News item,https://www.wto.org/english/news_e/news20_e/ddgaw_30nov20_e.htm
