title,type,url
Plastics Pollution Dialogue makes progress on draft MC13 statement,News item,https://www.wto.org/english/news_e/news23_e/ppesp_21sep23_e.htm
Plastics Pollution Dialogue unveils elements of potential outcome for MC13,News item,https://www.wto.org/english/news_e/news23_e/ppesp_25may23_e.htm
DDG Paugam: Global cooperation is vital to combat plastic pollution,News item,https://www.wto.org/english/news_e/news23_e/ddgjp_02may23_e.htm
"Environment committee draws members’ broad engagement, considers proposals to enhance work",News item,https://www.wto.org/english/news_e/news23_e/envir_15mar23_e.htm
"Plastics Dialogue participants brainstorm on MC13 outcomes, welcome US co-sponsorship",News item,https://www.wto.org/english/news_e/news23_e/ppesp_14mar23_e.htm
DDG Paugam: A mix of trade policy approaches is needed to achieve sustainability goals,News item,https://www.wto.org/english/news_e/news23_e/ddgjp_20feb23_e.htm
Plastics Dialogue participants prepare ground for achieving outcomes at MC13,News item,https://www.wto.org/english/news_e/news23_e/ppesp_16feb23_e.htm
"Plastics Dialogue hails substantive progress, sets path towards achieving concrete results",News item,https://www.wto.org/english/news_e/news22_e/ppesp_07dec22_e.htm
Plastics Dialogue advances on ministerial mandate to seek outcomes by MC13,News item,https://www.wto.org/english/news_e/news22_e/ppesp_11oct22_e.htm
"Trade ministers present early results, pledge to advance plastics dialogue at MC12 event",News item,https://www.wto.org/english/news_e/news22_e/ppesp_13jun22_e.htm
WTO members share early results and plans to ramp up action on trade and environment,News item,https://www.wto.org/english/news_e/news22_e/envir_13jun22_e.htm
DG Okonjo-Iweala and negotiations chair join call to ‘stop the fish meltdown’ on Ocean Day,News item,https://www.wto.org/english/news_e/news22_e/envir_08jun22_e.htm
"Plastics dialogue discusses MC12 plans, next steps to implement Ministerial Statement",News item,https://www.wto.org/english/news_e/news22_e/ppesp_24may22_e.htm
Trade must be part of the global effort to address plastics pollution: DDG Paugam,News item,https://www.wto.org/english/news_e/news22_e/ddgjp_01apr22_e.htm
Plenary Meeting of the Informal Dialogue on Plastics Pollution and Environmentally Sustainable Plastics Trade,News item,https://www.wto.org/english/news_e/news22_e/ddgxz_30mar22_e.htm
"Plastics dialogue emphasizes need for international collaboration, cooperation",News item,https://www.wto.org/english/news_e/news22_e/ppesp_31mar22_e.htm
Plastics dialogue launches three workstreams to advance discussions,News item,https://www.wto.org/english/news_e/news22_e/ppesp_21mar22_e.htm
"Launch event of ministerial statements on trade, environment and sustainable development",Speech,https://www.wto.org/english/news_e/spno_e/spno20_e.htm
"Launch event of ministerial statements on trade, environment and sustainable development",News item,https://www.wto.org/english/news_e/news21_e/ddgjp_15dec21_e.htm
New initiatives seek to put environment at heart of trade discussions,News item,https://www.wto.org/english/news_e/news21_e/envir_15dec21_e.htm
"Plastics dialogue on track for very positive MC12 outcome, says co-coordinator",News item,https://www.wto.org/english/news_e/news21_e/ppesp_22oct21_e.htm
"Plastics pollution dialogue advances discussions, eyeing MC12 outcome",News item,https://www.wto.org/english/news_e/news21_e/ega_21jun21_e.htm
Informal Dialogue on Plastics Pollution kicks off again,News item,https://www.wto.org/english/news_e/news21_e/tessd_29mar21_e.htm
New initiatives launched to intensify WTO work on trade and the environment,News item,https://www.wto.org/english/news_e/news20_e/envir_17nov20_e.htm
