title,type,url
"Members discuss product safety in e-commerce, use of digital tools, air 65 trade concerns",News item,https://www.wto.org/english/news_e/news23_e/tbt_10nov23_e.htm
DDG Ellard highlights impact of technological developments on global trade,News item,https://www.wto.org/english/news_e/news23_e/ddgae_06oct23_e.htm
The WTO and the Organisation Internationale de la Francophonie launch a call for submissions on digital trade,News item,https://www.wto.org/english/news_e/news23_e/igo_28jul23_e.htm
New publication sets out common framework for measuring digital trade,News item,https://www.wto.org/english/news_e/news23_e/dtech_28jul23_e.htm
DG Okonjo-Iweala: Africa has many of the ingredients for digital success,News item,https://www.wto.org/english/news_e/news23_e/dgno_21jul23_e.htm
"Small business group appoints new coordinator, discusses digitalisation, finance and standards",News item,https://www.wto.org/english/news_e/news23_e/igmsm_26apr23_e.htm
DDG González to business: “Rise to the moment to help strengthen rules-based trade”,News item,https://www.wto.org/english/news_e/news23_e/ddgag_29mar23_e.htm
"DDG Ellard: The future of globalization is services, digital technology",News item,https://www.wto.org/english/news_e/news23_e/ddgae_29mar23_e.htm
DDG Ellard: Technology presents challenges and opportunities for future of trade,News item,https://www.wto.org/english/news_e/news23_e/ddgae_16feb23_e.htm
"DDG González: “WTO reform is about promoting resilient, sustainable and inclusive trade”",News item,https://www.wto.org/english/news_e/news23_e/ddgag_14feb23_e.htm
WTO members agree on Aid for Trade Work Programme for 2023-24,News item,https://www.wto.org/english/news_e/news23_e/aid_10feb23_e.htm
Trade cooperation needed to support finance ministers and central bankers,Blog,https://www.wto.org/english/blogs_e/ddg_anabel_gonzalez_e/blog_ag_20oct22_e.htm
"DDG González: “More cooperation on digital will create trade opportunities, reduce costs”",News item,https://www.wto.org/english/news_e/news22_e/ddgag_12oct22_e.htm
"WTO, WCO publication looks at how new technologies can assist cross-border trade",News item,https://www.wto.org/english/news_e/news22_e/publ_03oct22_e.htm
DG Okonjo-Iweala highlights success of Nigeria’s Growth Platform in driving digital trade,News item,https://www.wto.org/english/news_e/news22_e/dtech_28jul22_e.htm
"Aid for Trade Global Review to focus on environment, empowerment and connectivity",News item,https://www.wto.org/english/news_e/news22_e/aid_07jul22_e.htm
New joint publication highlights benefits of paperless trade,News item,https://www.wto.org/english/news_e/news22_e/publ_30jun22_e.htm
WTO-WEF publication looks at policy approaches to harness “TradeTech” potential,News item,https://www.wto.org/english/news_e/news22_e/publ_12apr22_e.htm
Global Trade and Blockchain Forum 2021,News item,https://www.wto.org/english/news_e/news21_e/ddgyx_30mar21_e.htm
Blockchain forum looks at how to accelerate digitalization to facilitate trade,News item,https://www.wto.org/english/news_e/news21_e/rese_30mar21_e.htm
New WTO publication looks at impact of digital technologies on developing countries,News item,https://www.wto.org/english/news_e/news21_e/publ_28jan21_e.htm
World Trade Report 2020 explores increasing use of policies to foster digital innovation,News item,https://www.wto.org/english/news_e/news20_e/wtr_23nov20_e.htm
DDG Yi: Regulatory work needed to enhance trade impact of blockchain technologies,News item,https://www.wto.org/english/news_e/news19_e/ddgyx_02dec19_e.htm
Research Workshop on Blockchain,Speech,https://www.wto.org/english/news_e/spra_e/spra248_e.htm
New WTO publication analyses potential impact of Blockchain on international trade,News item,https://www.wto.org/english/news_e/news18_e/publ_26nov18_e.htm
World Trade Report 2018 highlights transformative impact of digital technologies on trade,News item,https://www.wto.org/english/news_e/news18_e/wtr_03oct18_e.htm
