title,type,url
Spain donates EUR 2 million to WTO Fisheries Funding Mechanism,Press release,https://www.wto.org/english/news_e/pres23_e/pr937_e.htm
DG and fisheries subsidies chair urge members to bridge differences before year-end,News item,https://www.wto.org/english/news_e/news23_e/fish_10nov23_e.htm
"US gives USD 600,000 to support trade-related capacity-building in developing economies",Press release,https://www.wto.org/english/news_e/pres23_e/pr936_e.htm
WTO and partner organizations unveil Trade House pavilion for UN COP28 climate summit,News item,https://www.wto.org/english/news_e/news23_e/envir_26oct23_e.htm
Fiji formally accepts Agreement on Fisheries Subsidies,News item,https://www.wto.org/english/news_e/news23_e/fish_24oct23_e.htm
Senior Officials Meeting paves way for progress on deliverables at MC13,News item,https://www.wto.org/english/news_e/news23_e/gc_24oct23_e.htm
WTO members reach deal to support least-developed countries on path to graduation,News item,https://www.wto.org/english/news_e/news23_e/ldevc_23oct23_e.htm
"China commits USD 450,000 to support WTO accession and least-developed countries",News item,https://www.wto.org/english/news_e/news23_e/tech_23oct23_e.htm
Surge of formal acceptances of Agreement on Fisheries Subsidies — entry into force closer,News item,https://www.wto.org/english/news_e/news23_e/fish_23oct23_e.htm
"Macao, China formally accepts Agreement on Fisheries Subsidies",News item,https://www.wto.org/english/news_e/news23_e/fish_19oct23_e.htm
DG Okonjo-Iweala calls for enhanced efforts to boost access to trade finance,News item,https://www.wto.org/english/news_e/news23_e/dgno_13oct23_e.htm
WTO members embark on sixth “Fish Week” ahead of Senior Officials Meeting,News item,https://www.wto.org/english/news_e/news23_e/fish_09oct23_e.htm
DG Okonjo-Iweala urges WTO members to engage on cotton for potential outcome at MC13,News item,https://www.wto.org/english/news_e/news23_e/cott_04oct23_e.htm
"Japan gives over CHF 55,000 to help LDCs engage in fisheries subsidies negotiations",Press release,https://www.wto.org/english/news_e/pres23_e/pr933_e.htm
DG Okonjo-Iweala: International cooperation on trade policy is key to global health equity,News item,https://www.wto.org/english/news_e/news23_e/dgno_03oct23_e.htm
Global Health Equity and the Role of Trade,Speech,https://www.wto.org/english/news_e/spno_e/spno40_e.htm
DG Okonjo-Iweala welcomes Timor-Leste’s President José Ramos-Horta to the WTO,News item,https://www.wto.org/english/news_e/news23_e/dgno_02oct23_e.htm
North Macedonia ratifies revised government procurement pact,News item,https://www.wto.org/english/news_e/news23_e/gpro_30sep23_e.htm
"DG Okonjo-Iweala: Trade is important for innovation, women’s economic empowerment, climate",News item,https://www.wto.org/english/news_e/news23_e/msmes_28sep23_e.htm
Costa Rica submits application to join government procurement pact,News item,https://www.wto.org/english/news_e/news23_e/gpro_28sep23_e.htm
Members share views in informal talks on trade and industrial policy,News item,https://www.wto.org/english/news_e/news23_e/gc_26sep23_e.htm
"Iceland donates CHF 500,000 to WTO Fisheries Funding Mechanism",Press release,https://www.wto.org/english/news_e/pres23_e/pr932_e.htm
Steel industry highlights importance of trade policy in decarbonisation efforts ahead of COP28,News item,https://www.wto.org/english/news_e/news23_e/clim_14sep23_e.htm
"Former UK PM Gordon Brown calls for new era of international cooperation, multilateralism",News item,https://www.wto.org/english/news_e/news23_e/pls_12sep23_e.htm
DG Okonjo-Iweala congratulates participants in Caribbean regional trade policy course,News item,https://www.wto.org/english/news_e/news23_e/tra_08sep23_e.htm
New Zealand formally accepts Agreement on Fisheries Subsidies,News item,https://www.wto.org/english/news_e/news23_e/fish_06sep23_e.htm
"New WTO report underscores role of trade in meeting SDGs, bolstering economic recovery",News item,https://www.wto.org/english/news_e/news23_e/sdgs_06sep23_e.htm
"DG Okonjo-Iweala: turning away from open trade risks price volatility, weaker growth",News item,https://www.wto.org/english/news_e/news23_e/dgno_26aug23_e.htm
Jackson Hole Economic Policy Symposium — Structural shifts in the global economy,Speech,https://www.wto.org/english/news_e/spno_e/spno39_e.htm
DG Okonjo-Iweala to G20: time to roll up our sleeves and deliver at MC13,News item,https://www.wto.org/english/news_e/news23_e/dgno_24aug23_e.htm
"Hong Kong, China formally accepts Agreement on Fisheries Subsidies",News item,https://www.wto.org/english/news_e/news23_e/fish_21aug23_e.htm
Ukraine formally accepts Agreement on Fisheries Subsidies,News item,https://www.wto.org/english/news_e/news23_e/fish_17aug23_e.htm
"WTO members facilitate imports, reduce trade restrictions, but food export curbs persist",News item,https://www.wto.org/english/news_e/news23_e/tmwto_27jul23_e.htm
Sweden donates SEK 5 million to WTO Fisheries Funding Mechanism,Press release,https://www.wto.org/english/news_e/pres23_e/pr930_e.htm
Report of the TPRB from the Director-General on trade-related developments,Speech,https://www.wto.org/english/news_e/spno_e/spno38_e.htm
DG Okonjo-Iweala underlines role of trade in transforming food systems at UN summit,News item,https://www.wto.org/english/news_e/news23_e/dgno_26jul23_e.htm
Members examine “road map” for MC13 on the WTO’s reform of its deliberative function,News item,https://www.wto.org/english/news_e/news23_e/gc_25jul23_e.htm
WTO members elect Chairperson for 13th Ministerial Conference in Abu Dhabi,News item,https://www.wto.org/english/news_e/news23_e/gc_24jul23_e.htm
DG Okonjo-Iweala: Africa has many of the ingredients for digital success,News item,https://www.wto.org/english/news_e/news23_e/dgno_21jul23_e.htm
WTO issues 2023 Annual Report,News item,https://www.wto.org/english/news_e/news23_e/anrp_20jul23_e.htm
DG Okonjo-Iweala calls on members to “narrow down realistic deliverables” for MC13,News item,https://www.wto.org/english/news_e/news23_e/tnc_20jul23_e.htm
Peru formally accepts Agreement on Fisheries Subsidies,News item,https://www.wto.org/english/news_e/news23_e/fish_19jul23_e.htm
DG Okonjo-Iweala welcomes President Gabriel Boric of Chile to the WTO,News item,https://www.wto.org/english/news_e/news23_e/dgno_19jul23_e.htm
Statement by WTO Director-General,News item,https://www.wto.org/english/news_e/news23_e/dgno_17jul23_e.htm
Gabon formally accepts Agreement on Fisheries Subsidies,News item,https://www.wto.org/english/news_e/news23_e/fish_12jul23_e.htm
Investment facilitation negotiators announce deal on Agreement’s text,News item,https://www.wto.org/english/news_e/news23_e/infac_06jul23_e.htm
"Co-convenors of e-commerce negotiations review progress, reflect on way forward",News item,https://www.wto.org/english/news_e/news23_e/jsec_06jul23_e.htm
Japan formally accepts Agreement on Fisheries Subsidies,News item,https://www.wto.org/english/news_e/news23_e/fish_04jul23_e.htm
China formally accepts Agreement on Fisheries Subsidies,News item,https://www.wto.org/english/news_e/news23_e/fish_27jun23_e.htm
France commits EUR 1 million to WTO Fisheries Funding Mechanism,Press release,https://www.wto.org/english/news_e/pres23_e/pr929_e.htm
DG Okonjo-Iweala sets up civil society and business advisory groups,News item,https://www.wto.org/english/news_e/news23_e/bus_15jun23_e.htm
"One year on from MC12, WTO Chairs Programme holds Annual Conference",News item,https://www.wto.org/english/news_e/news23_e/chair_21jun23_e.htm
DG Okonjo-Iweala welcomes His Highness Sayyid Bilarab Bin Haitam Al-Said of Oman to WTO,News item,https://www.wto.org/english/news_e/news23_e/dgno_21jun23_e.htm
DG Okonjo-Iweala to business leaders: We must push for re-globalization and reform,News item,https://www.wto.org/english/news_e/news23_e/igo_21jun23_e.htm
WTO congratulates participants in 21st Edition of John H. Jackson Moot Court Competition,News item,https://www.wto.org/english/news_e/news23_e/disp_17jun23_e.htm
Belize formally accepts the Agreement on Fisheries Subsidies,News item,https://www.wto.org/english/news_e/news23_e/fish_16jun23_e.htm
DG Okonjo-Iweala welcomes Prime Minister Mia Mottley of Barbados to the WTO,News item,https://www.wto.org/english/news_e/news23_e/dgno_16jun23_e.htm
"Members examine deliberative functions, institutional matters on WTO reform agenda",News item,https://www.wto.org/english/news_e/news23_e/gc_16jun23_e.htm
"DG welcomes the Head of Government of Togo, Victoire Tomegah Dogbé, to the WTO",News item,https://www.wto.org/english/news_e/news23_e/dgno_15jun23_e.htm
Nigeria formally accepts the Agreement on Fisheries Subsidies,News item,https://www.wto.org/english/news_e/news23_e/fish_12jun23_e.htm
"DG Okonjo-Iweala: Faced with risk of fragmentation, WTO members must stick together",News item,https://www.wto.org/english/news_e/news23_e/dgno_09jun23_e.htm
"On World Oceans Day, DG Okonjo-Iweala welcomes EU acceptance of fishing subsidies agreement",News item,https://www.wto.org/english/news_e/news23_e/fish_08jun23_e.htm
Strong and effective WTO a vital tool for building economic resilience — DG Okonjo-Iweala,News item,https://www.wto.org/english/news_e/news23_e/dgno_08jun23_e.htm
Australia donates AUD 2 million to WTO Fisheries Funding Mechanism,Press release,https://www.wto.org/english/news_e/pres23_e/pr927_e.htm
DG Okonjo-Iweala welcomes Joint University Study Tour students to the WTO,News item,https://www.wto.org/english/news_e/news23_e/dgno_05jun23_e.htm
"DG Okonjo-Iweala: E-commerce has emerged as major force in global economic output, trade",News item,https://www.wto.org/english/news_e/news23_e/ecom_02jun23_e.htm
DG Okonjo-Iweala: Trade key to ensuring food security in a time of crisis,News item,https://www.wto.org/english/news_e/news23_e/ddgno_01jun23_e.htm
DG Okonjo-Iweala praises Viet Nam for using trade to drive growth and reduce poverty,News item,https://www.wto.org/english/news_e/news23_e/dgno_18may23_e.htm
United Arab Emirates formally accepts Agreement on Fisheries Subsidies,News item,https://www.wto.org/english/news_e/news23_e/fish_16may23_e.htm
"Iceland formally accepts Agreement on Fisheries Subsidies, pledges CHF 500,000 to Fund",News item,https://www.wto.org/english/news_e/news23_e/fish_10may23_e.htm
DG Okonjo-Iweala: Delivering meaningful development outcomes key to successful MC13,News item,https://www.wto.org/english/news_e/news23_e/gc_08may23_e.htm
"Botswana President: Inclusive, sustainable trade will allow Africa to realize full potential",News item,https://www.wto.org/english/news_e/news23_e/pls_02may23_e.htm
Canada formally accepts Agreement on Fisheries Subsidies,News item,https://www.wto.org/english/news_e/news23_e/fish_02may23_e.htm
"WTO, FIFA event highlights role of football as a tool for trade and women’s empowerment",News item,https://www.wto.org/english/news_e/news23_e/women_01may23_e.htm
Director-General Okonjo-Iweala urges ECOWAS to harness trade for sustainable growth,News item,https://www.wto.org/english/news_e/news23_e/dgno_28apr23_e.htm
"WTO Director-General Okonjo-Iweala to visit Ghana, Côte d’Ivoire and Kenya",News item,https://www.wto.org/english/news_e/news23_e/dgno_24apr23_e.htm
Canada donates CAD 1.4 million to WTO Fisheries Funding Mechanism,Press release,https://www.wto.org/english/news_e/pres23_e/pr924_e.htm
DG Okonjo-Iweala: WTO must contribute solutions to economic challenges the world is facing,News item,https://www.wto.org/english/news_e/news23_e/tnc_19apr23_e.htm
United States formally accepts Agreement on Fisheries Subsidies,News item,https://www.wto.org/english/news_e/news23_e/fish_11apr23_e.htm
DG stresses urgent need for progress on trade and food security ahead of MC13,News item,https://www.wto.org/english/news_e/news23_e/agri_31mar23_e.htm
DG Okonjo-Iweala: Trade finance is lifeblood for African small businesses,News item,https://www.wto.org/english/news_e/news23_e/trfin_21mar23_e.htm
DG Okonjo-Iweala: WTO can advance sustainable development goals by delivering results at MC13,News item,https://www.wto.org/english/news_e/news23_e/dgno_20mar23_e.htm
WTO Director-General receives the 2022 Award of the Group of Francophone Ambassadors,News item,https://www.wto.org/english/news_e/news23_e/dgno_20mar23a_e.htm
DG Okonjo-Iweala calls on members to build on MC12 outcomes to advance development issues,News item,https://www.wto.org/english/news_e/news23_e/devel_20mar23_e.htm
Seychelles is first WTO member from Africa to formally accept fishing subsidies agreement,News item,https://www.wto.org/english/news_e/news23_e/fish_10mar23_e.htm
DG Okonjo-Iweala receives honour from government of Brazil,News item,https://www.wto.org/english/news_e/news23_e/dgno_10mar23_e.htm
Cooperation on standards at WTO could speed up steel sector decarbonization: Trade Forum,News item,https://www.wto.org/english/news_e/news23_e/clim_09mar23_e.htm
"Combat inequality amid global upheavals, Okonjo-Iweala and Lagarde urge on Women’s Day",News item,https://www.wto.org/english/news_e/news23_e/women_08mar23_e.htm
DG Okonjo-Iweala: Delivering meaningful outcomes at MC13 “not beyond our reach”,News item,https://www.wto.org/english/news_e/news23_e/gc_06mar23_e.htm
DG Okonjo-Iweala: “We cannot afford to have an MC13 that does not deliver”,News item,https://www.wto.org/english/news_e/news23_e/hod_28feb23_e.htm
"EU gives EUR 450,000 to help developing countries strengthen trading know-how",Press release,https://www.wto.org/english/news_e/pres23_e/pr920_e.htm
WTO and Organisation Internationale de la Francophonie bolster trade capacity-building work,News item,https://www.wto.org/english/news_e/news23_e/devel_27feb23_e.htm
New services regulatory information will support Africa’s economic diversification — DG,News item,https://www.wto.org/english/news_e/news23_e/serv_01mar23_e.htm
The Netherlands gives CHF 1.3 million to boost developing countries’ access to food markets,Press release,https://www.wto.org/english/news_e/pres23_e/pr919_e.htm
DG Okonjo-Iweala and Christine Lagarde to exchange views at International Women’s Day event,News item,https://www.wto.org/english/news_e/news23_e/women_20feb23_e.htm
Event on decarbonization standards to promote transparency and coherence in steel sector,News item,https://www.wto.org/english/news_e/news23_e/clim_14feb23_e.htm
DG calls on Gulf ministers’ support to implement MC12 outcomes and chart path to MC13,News item,https://www.wto.org/english/news_e/news23_e/dgno_17feb23_e.htm
Singapore submits formal acceptance of Agreement on Fisheries Subsidies,News item,https://www.wto.org/english/news_e/news23_e/fish_10feb23_e.htm
DG Okonjo-Iweala highlights importance of trade cooperation at new carbon mitigation forum,News item,https://www.wto.org/english/news_e/news23_e/envir_09feb23_e.htm
Members address development dimension of WTO reform agenda,News item,https://www.wto.org/english/news_e/news23_e/devel_03feb23_e.htm
DG Okonjo-Iweala welcomes the 2023 cohort of WTO Young Professionals,News item,https://www.wto.org/english/news_e/news23_e/ypp_31jan23_e.htm
DG Okonjo-Iweala welcomes Switzerland’s President Alain Berset to the WTO,News item,https://www.wto.org/english/news_e/news23_e/dgno_26jan23_e.htm
WTO must bolster cooperation in a fragmented world — DG Okonjo-Iweala in Davos,News item,https://www.wto.org/english/news_e/news23_e/igo_20jan23_e.htm
"Liechtenstein gives CHF 40,000 to help developing countries participate in world trade",Press release,https://www.wto.org/english/news_e/pres23_e/pr915_e.htm
"DG Okonjo-Iweala: During these difficult times, the WTO “cannot afford to stand aside”",News item,https://www.wto.org/english/news_e/news22_e/dgno_20dec22_e.htm
"WTO members accept UAE, Cameroon offers to host Ministerial Conferences",News item,https://www.wto.org/english/news_e/news22_e/gc_19dec22_e.htm
Circulation of draft Agreement marks major milestone in investment facilitation talks,News item,https://www.wto.org/english/news_e/news22_e/infac_16dec22_e.htm
Structured Discussions on Investment Facilitation for Development,Speech,https://www.wto.org/english/news_e/spno_e/spno36_e.htm
"Technical Symposium (WHO, WIPO and WTO) on “COVID-19 Pandemic: Response, Preparedness, Resilience”",Speech,https://www.wto.org/english/news_e/spno_e/spno37_e.htm
DG Okonjo-Iweala welcomes Colombia’s Vice President Francia Márquez to the WTO,News item,https://www.wto.org/english/news_e/news22_e/dgno_06dec22_e.htm
"Report shows increase in trade restrictions amidst economic uncertainty, multiple crises",News item,https://www.wto.org/english/news_e/news22_e/tmwto_06dec22_e.htm
Overview of developments in the international trading environment,Speech,https://www.wto.org/english/news_e/spno_e/spno35_e.htm
"Trade and gender congress opens with call for inclusive, research-backed path to recovery",News item,https://www.wto.org/english/news_e/news22_e/women_05dec22_e.htm
DG Okonjo-Iweala bids farewell to 2022 trainees and young professionals,News item,https://www.wto.org/english/news_e/news22_e/ypp_06dec22_e.htm
TESSD High-Level Stocktaking Event,Speech,https://www.wto.org/english/news_e/spno_e/spno34_e.htm
"Members put trade facilitation support in sharper focus, aim to close gaps in next 2 years",News item,https://www.wto.org/english/news_e/news22_e/fac_01dec22_e.htm
Trade Facilitation Committee — Dedicated Session on Technical Assistance and Capacity Building Support,Speech,https://www.wto.org/english/news_e/spno_e/spno33_e.htm
DG Okonjo-Iweala: “We must move from discussion and reflection to action”,News item,https://www.wto.org/english/news_e/news22_e/tnc_30nov22_e.htm
Australia pledges AUD 2 million to WTO Fisheries Funding Mechanism,Press release,https://www.wto.org/english/news_e/pres22_e/pr913_e.htm
DG Okonjo-Iweala receives honorary doctorate from Nyenrode Business University,News item,https://www.wto.org/english/news_e/news22_e/dgno_28nov22_e.htm
World Trade Congress on Gender programme is now available,News item,https://www.wto.org/english/news_e/news22_e/women_22nov22_e.htm
DG Okonjo-Iweala: “We need multilateral cooperation and solidarity more than ever”,Speech,https://www.wto.org/english/news_e/spno_e/spno32_e.htm
"United States donates USD 600,000 to enhance developing countries’ trade expertise",Press release,https://www.wto.org/english/news_e/pres22_e/pr911_e.htm
"DG Okonjo-Iweala to G20 leaders: “We need to strengthen trade cooperation, not weaken it”",News item,https://www.wto.org/english/news_e/news22_e/igo_16nov22_e.htm
Members hold informal talks on WTO reform,News item,https://www.wto.org/english/news_e/news22_e/gc_11nov22_e.htm
DG Okonjo-Iweala: Make trade and investment a key part of delivering on climate action,News item,https://www.wto.org/english/news_e/news22_e/cop27_10nov22_e.htm
DG Okonjo-Iweala: Trade is critical in global response to climate change,News item,https://www.wto.org/english/news_e/news22_e/cop27_08nov22_e.htm
DG Okonjo-Iweala: World “cannot afford to leave trade and WTO behind” in climate actions,News item,https://www.wto.org/english/news_e/news22_e/publ_08nov22_e.htm
"Trade must be a cornerstone of climate action, urges World Trade Report released at COP27",News item,https://www.wto.org/english/news_e/news22_e/publ_07nov22_e.htm
DG Okonjo-Iweala: Trade is essential part of climate action efforts to achieve food security,News item,https://www.wto.org/english/news_e/news22_e/fsec_08nov22_e.htm
WTO to champion importance of trade in climate action toolkit at COP27 climate summit,News item,https://www.wto.org/english/news_e/news22_e/cop27_04nov22_e.htm
Director-General meets with CEOs to discuss improved access to COVID-19 therapeutics,News item,https://www.wto.org/english/news_e/news22_e/dgno_03nov22_e.htm
"France gives EUR 50,000 to boost safe food exports from developing countries",Press release,https://www.wto.org/english/news_e/pres22_e/pr910_e.htm
"WTO, IFC launch joint publication on trade finance in West Africa",News item,https://www.wto.org/english/news_e/news22_e/publ_12oct22_e.htm
Members brainstorm on initiating “second wave” of WTO fisheries subsidies talks,News item,https://www.wto.org/english/news_e/news22_e/fish_10oct22_e.htm
"DG Okonjo-Iweala stresses importance of SPS, TBT transparency to facilitate trade",News item,https://www.wto.org/english/news_e/news22_e/tech_10oct22_e.htm
DG Okonjo-Iweala: Let WTO be an institution people can trust to deliver in difficult times,News item,https://www.wto.org/english/news_e/news22_e/gc_06oct22_e.htm
"WTO, WCO publication looks at how new technologies can assist cross-border trade",News item,https://www.wto.org/english/news_e/news22_e/publ_03oct22_e.htm
Public Forum session highlights importance of youth engagement in trade and peacebuilding,News item,https://www.wto.org/english/news_e/news22_e/pf22_30sep22_e.htm
"With right tools and policies, women can break the glass ceiling in trade — DG Okonjo-Iweala",News item,https://www.wto.org/english/news_e/news22_e/dgno_29sep22_e.htm
"WTO, FIFA team up to use trade and football as drivers of economic and social development",News item,https://www.wto.org/english/news_e/news22_e/igo_27sep22_e.htm
Public Forum 2022 opens with DG Okonjo-Iweala warning against “business as usual”,News item,https://www.wto.org/english/news_e/news22_e/pf22_27sep22_e.htm
"DG Okonjo-Iweala thanks outgoing Chair, urges members to build on fish subsidies deal",News item,https://www.wto.org/english/news_e/news22_e/fish_26sep22_e.htm
DG Okonjo-Iweala: Global trade a powerful instrument for improving the lives of women,News item,https://www.wto.org/english/news_e/news22_e/dgno_22sep22_e.htm
"DG Okonjo-Iweala: Trade policy must catalyse green transformation, support climate adaptation",News item,https://www.wto.org/english/news_e/news22_e/dgno_19sep22_e.htm
DG Okonjo-Iweala expressed sorrow on the passing of HM Queen Elizabeth II,News item,https://www.wto.org/english/news_e/news22_e/dgno_09sep22_e.htm
"Integrate trade into climate strategies, DG Okonjo-Iweala says at Africa Adaptation Summit",News item,https://www.wto.org/english/news_e/news22_e/dgno_05sep22_e.htm
DG Okonjo-Iweala mourns the passing of Central African Republic Ambassador Samba,News item,https://www.wto.org/english/news_e/news22_e/dgno_02sep22_e.htm
DG Okonjo-Iweala — “enormous scope” for Africa to benefit from trade and investment,News item,https://www.wto.org/english/news_e/news22_e/dgno_30aug22_e.htm
DG Okonjo-Iweala highlights success of Nigeria’s Growth Platform in driving digital trade,News item,https://www.wto.org/english/news_e/news22_e/dtech_28jul22_e.htm
WTO members show restraint in trade-restrictive measures despite economic uncertainty,News item,https://www.wto.org/english/news_e/news22_e/trdev_27jul22_e.htm
"In a world of polycrisis, Aid for Trade Global Review focuses on recovery, resilience",News item,https://www.wto.org/english/news_e/news22_e/aid_27jul22_e.htm
Report of the TPRB from the Director-General on trade-related developments,Speech,https://www.wto.org/english/news_e/spno_e/spno30_e.htm
"DG Okonjo-Iweala calls for more support for sustainable fisheries, launches new report",News item,https://www.wto.org/english/news_e/news22_e/fish_29jul22_e.htm
Aid for Trade Global Review 2022 — Session 35 — “Implementing the WTO Agreement on Fisheries Subsidies — Challenges and Opportunities for Developing Members”,Speech,https://www.wto.org/english/news_e/spno_e/spno31_e.htm
"DG calls for increased investment on cotton projects, welcomes Afreximbank pledge",News item,https://www.wto.org/english/news_e/news22_e/cott_27jul22_e.htm
DG Okonjo-Iweala urges members to build on MC12 success to revitalize WTO core functions,News item,https://www.wto.org/english/news_e/news22_e/gc_25jul22_e.htm
DG stresses at Chairs Programme Annual Conference importance of implementing MC12 outcomes,News item,https://www.wto.org/english/news_e/news22_e/chair_25jul22_e.htm
DG Okonjo-Iweala to African Union: MC12 outcomes will make a material difference for people,News item,https://www.wto.org/english/news_e/news22_e/dgno_17jul22_e.htm
"DG Okonjo-Iweala underlines vital role of trade in addressing food crisis, inflation",News item,https://www.wto.org/english/news_e/news22_e/dgno_15jul22_e.htm
DG Okonjo-Iweala welcomes Cabo Verde Prime Minister H.E. José Ulisses Correia e Silva to WTO,News item,https://www.wto.org/english/news_e/news22_e/dgno_14jul22_e.htm
“Trade is part of the solution to the big problems we face” — DG Okonjo-Iweala,News item,https://www.wto.org/english/news_e/news22_e/devel_13jul22_e.htm
G20 economies show restraint in use of trade restrictions amidst ongoing instability,News item,https://www.wto.org/english/news_e/news22_e/trdev_07jul22_e.htm
DG Okonjo-Iweala: “The world expects us to keep delivering”,News item,https://www.wto.org/english/news_e/news22_e/hod_08jul22_e.htm
DG Okonjo-Iweala welcomes Spanish Prime Minister Pedro Sánchez to the WTO,News item,https://www.wto.org/english/news_e/news22_e/dgno_06jul22_e.htm
WTO Hosts 20th Edition of John H. Jackson Moot Court Competition,News item,https://www.wto.org/english/news_e/news22_e/stud_02jul22_e.htm
Fisheries subsidies deal will contribute to sustainable blue economy: DG Okonjo-Iweala,Speech,https://www.wto.org/english/news_e/spno_e/spno28_e.htm
DG Okonjo-Iweala: Commonwealth can benefit from positive MC12 outcomes,Speech,https://www.wto.org/english/news_e/spno_e/spno29_e.htm
MC12 Closing Session,Speech,https://www.wto.org/english/news_e/spno_e/spno27_e.htm
"DG Okonjo-Iweala meets with business, civil society representatives on margins of MC12",News item,https://www.wto.org/english/news_e/news22_e/bus_14jun22_e.htm
