title,type,url
Statement by the Chair of the General Council,News item,https://www.wto.org/english/news_e/news21_e/gc_16feb21_e.htm
History is made: Ngozi Okonjo-Iweala chosen as Director-General,News item,https://www.wto.org/english/news_e/news21_e/dgno_15feb21_e.htm
WTO General Council to consider appointment of next Director-General,News item,https://www.wto.org/english/news_e/news21_e/gc_09feb21_e.htm
General Council meeting on DG selection postponed,News item,https://www.wto.org/english/news_e/news20_e/dgsel_06nov20_e.htm
Members indicate strong preference for Ngozi Okonjo-Iweala as DG but US objects,News item,https://www.wto.org/english/news_e/news20_e/dgsel_28oct20_e.htm
WTO members narrow field of DG candidates,News item,https://www.wto.org/english/news_e/news20_e/dgsel_08oct20_e.htm
WTO members narrow field of DG candidates,(*),https://www.wto.org/english/news_e/news20_e/hod_18sep20_e.htm#fnt-1
WTO members narrow field of DG candidates,News item,https://www.wto.org/english/news_e/news20_e/hod_18sep20_e.htm
General Council agrees guidelines for final stage of DG selection,News item,https://www.wto.org/english/news_e/news20_e/gc_31jul20_e.htm
WTO members meet the candidates for Director-General,News item,https://www.wto.org/english/news_e/news20_e/dgsel_17jul20_e.htm
General Council Chair Walker announces timelines for next stages of DG selection process,News item,https://www.wto.org/english/news_e/news20_e/dgsel_10jul20_e.htm
The United Kingdom nominates Dr Liam Fox for post of WTO Director-General,News item,https://www.wto.org/english/news_e/news20_e/dgsel_gbr_08jul20_e.htm
The Kingdom of Saudi Arabia nominates Mr Mohammad Maziad Al-Tuwaijri for post of WTO Director-General,News item,https://www.wto.org/english/news_e/news20_e/dgsel_sau_08jul20_e.htm
Kenya nominates Ms Amina C. Mohamed for post of WTO Director-General,News item,https://www.wto.org/english/news_e/news20_e/dgsel_ken_08jul20_e.htm
Republic of Korea nominates Ms Yoo Myung-hee for post of WTO Director-General,News item,https://www.wto.org/english/news_e/news20_e/dgsel_kor_24jun20_e.htm
The Republic of Moldova nominates Mr Tudor Ulianovschi for post of WTO Director-General,News item,https://www.wto.org/english/news_e/news20_e/dgsel_mda_16jun20_e.htm
Egypt nominates Mr Abdel-Hamid Mamdouh for post of WTO Director-General,News item,https://www.wto.org/english/news_e/news20_e/dgsel_egy_09jun20_e.htm
Nigeria nominates Dr Ngozi Okonjo-Iweala for post of WTO Director-General,News item,https://www.wto.org/english/news_e/news20_e/dgsel_nga_09jun20_e.htm
