title,type,url
Summary of the General Council meeting,Summary,https://www.wto.org/english/news_e/news19_e/sum_gc_dec19_e.htm
Summary of General Council,Summary of the General Council meeting,https://www.wto.org/english/news_e/news19_e/sum_gc_jul19_e.htm
Summary of General Council,Summary of the General Council meeting,https://www.wto.org/english/news_e/news19_e/sum_gc_may19_e.htm
Summary of General Council,Summary,https://www.wto.org/english/thewto_e/gcounc_e/meet_mar19_e.htm
General Council meeting,Summary,https://www.wto.org/english/news_e/news18_e/sum_gc_dec18_e.htm
General Council: Proposed agenda,Summary of the General Council meeting,https://www.wto.org/english/news_e/news18_e/sum_gc_oct18_e.htm
General Council: Proposed agenda,Proposed agenda,https://www.wto.org/english/thewto_e/gcounc_e/meet_oct18_e.htm
DG Azevêdo: Debate on WTO reform should reflect all perspectives,News item,https://www.wto.org/english/news_e/news18_e/tnc_infstat_16oct18_e.htm
"Liechtenstein gives CHF 40,000 to deepen negotiating skill-set of developing countries",Press release,https://www.wto.org/english/news_e/pres18_e/pr823_e.htm
General Council: Proposed agenda,Summary of the General Council meeting,https://www.wto.org/english/news_e/news18_e/sum_gc_jul18_e.htm
General Council: Proposed agenda,Proposed agenda,https://www.wto.org/english/thewto_e/gcounc_e/meet_jul18_e.htm
General Council: Proposed agenda,Summary of the General Council meeting,https://www.wto.org/english/news_e/news18_e/sum_gc_may18_e.htm
General Council: Proposed agenda,Proposed agenda,https://www.wto.org/english/thewto_e/gcounc_e/meet_may18_e.htm
General Council: Proposed agenda,Summary of the General Council meeting,https://www.wto.org/english/news_e/news17_e/sum_gc_nov17_e.htm
26 October 2017,Summary of the General Council meeting,https://www.wto.org/english/news_e/news17_e/sum_gc_oct17_e.htm
"Liechtenstein donates CHF 40,000 to enhance negotiating skill-set of developing countries",Press release,https://www.wto.org/english/news_e/pres17_e/pr806_e.htm
WTO members urged to step up efforts to secure farm trade deal in Buenos Aires,News item,https://www.wto.org/english/news_e/news17_e/agng_30oct17_e.htm
"Agriculture negotiators resume talks after summer break, gaps remain",News item with audio,https://www.wto.org/english/news_e/news17_e/agng_13sep17_e.htm
Azevêdo reports on status of negotiations; stresses continued importance of transparency,News story,https://www.wto.org/english/news_e/news17_e/tnc_infstat_25jul17_e.htm
New proposals in agriculture talks form “tangible steps” forward,News item with audio,https://www.wto.org/english/news_e/news17_e/agng_19jul17_e.htm
Agriculture negotiators exchange views on issues for potential outcomes at MC11,News,https://www.wto.org/english/news_e/news17_e/agng_01jun17_e.htm
General Council: Proposed agenda,Summary of the General Council meeting,https://www.wto.org/english/news_e/news17_e/sum_gc_feb17_e.htm
General Council: Proposed agenda,Proposed agenda,https://www.wto.org/english/thewto_e/gcounc_e/meet_feb17_e.htm
General Council: Proposed agenda,Summary of the General Council meeting,https://www.wto.org/english/news_e/news16_e/sum_gc_dec16_e.htm
General Council: Proposed agenda,Proposed agenda,https://www.wto.org/english/thewto_e/gcounc_e/meet_dec16_e.htm
Latin American Faculty of Social Sciences organizes course on trade and climate change,News item,https://www.wto.org/english/news_e/news16_e/chair_14dec16_e.htm
DG Azevêdo presents Ban Ki-Moon with WTO Agreement contributing to UN Development Goals,News item,https://www.wto.org/english/news_e/news16_e/dgra_10nov16_e.htm
WTO members accept Argentina’s invitation to host 2017 Ministerial Conference,Report by the Chairman of the Trade Negotiations Committee,https://www.wto.org/english/news_e/news16_e/gc_rpt_03oct16_e.htm
WTO members accept Argentina’s invitation to host 2017 Ministerial Conference,Summary of the General Council meeting,https://www.wto.org/english/news_e/news16_e/sum_gc_oct16_e.htm
WTO members accept Argentina’s invitation to host 2017 Ministerial Conference,Proposed agenda,https://www.wto.org/english/thewto_e/gcounc_e/meet_oct16_e.htm
Norway donates over CHF 3 million to help developing countries build trade capacity,Press release,https://www.wto.org/english/news_e/pres16_e/pr780_e.htm
General Council: Argentina & Uruguay submit bids to host 11th WTO Ministerial Conference,Report by the Chairman of the Trade Negotiations Committee,https://www.wto.org/english/news_e/news16_e/gc_rpt_27jul16_e.htm
General Council: Argentina & Uruguay submit bids to host 11th WTO Ministerial Conference,Audio: Press conference,https://www.wto.org/audio/2016_07_27_gc_azevedo_pc.mp3
General Council: Argentina & Uruguay submit bids to host 11th WTO Ministerial Conference,Proposed agenda,https://www.wto.org/english/thewto_e/gcounc_e/meet_jul16_e.htm
New submissions on table but uneven progress in farm talks,News item,https://www.wto.org/english/news_e/news16_e/agng_27jul16_e.htm
Domestic subsidies a priority in farm talks,News item with audio,https://www.wto.org/english/news_e/news16_e/agng_13may16_e.htm
WTO Members look at way forward in agriculture talks,News,https://www.wto.org/english/news_e/news16_e/agng_09mar16_e.htm
DG Azevêdo urges WTO members to deepen their dialogue to build on recent successes,Report by the Chairman of the Trade Negotiations Committee,https://www.wto.org/english/news_e/news16_e/gc_rpt_24feb16_e.htm
DG Azevêdo urges WTO members to deepen their dialogue to build on recent successes,Audio: Statement by Roberto Azevêdo,https://www.wto.org/audio/2016_02_24_gc_azevedo_stat.mp3
DG Azevêdo urges WTO members to deepen their dialogue to build on recent successes,Summary of the General Council meeting,https://www.wto.org/english/news_e/news16_e/sum_gc_feb16_e.htm
DG Azevêdo urges WTO members to deepen their dialogue to build on recent successes,Proposed agenda,https://www.wto.org/english/thewto_e/gcounc_e/meet_feb16_e.htm
WTO members secure “historic” Nairobi Package for Africa and the world,News item,https://www.wto.org/english/news_e/news15_e/mc10_19dec15_e.htm
Summary of the General Council meeting,Summary of the General Council meeting,https://www.wto.org/english/news_e/news15_e/sum_gc_nov15_e.htm
Draft decision agreed on “non-violation” cases in intellectual property,News item,https://www.wto.org/english/news_e/news15_e/trip_ss_23nov15_e.htm
Divergence remains as WTO members look at new agriculture proposals,News item with audio,https://www.wto.org/english/news_e/news15_e/agng_18nov15_e.htm
DG Azevêdo addresses International Organization of La Francophonie,Speech,https://www.wto.org/english/news_e/spra_e/spra96_e.htm
"Export competition a possible deliverable in Nairobi, despite gaps",News item with audio,https://www.wto.org/english/news_e/news15_e/agng_30oct15_e.htm
DG Azevêdo: Nairobi ministerial will be a milestone for the future of the WTO,News item,https://www.wto.org/english/news_e/news15_e/dgra_21oct15_e.htm
DG Azevêdo: WTO members have identified a road to success in Nairobi,News item,https://www.wto.org/english/news_e/news15_e/dgra_08oct15_e.htm
Report by the Chairman of the Trade Negotiations Committee,Report by the Chairman of the Trade Negotiations Committee,https://www.wto.org/english/news_e/news15_e/gc_rpt_08oct15_e.htm
Report by the Chairman of the Trade Negotiations Committee,Summary of the General Council meeting,https://www.wto.org/english/news_e/news15_e/sum_gc_oct15_e.htm
Report by the Chairman of the Trade Negotiations Committee,Proposed agenda,https://www.wto.org/english/thewto_e/gcounc_e/meet_oct15_e.htm
"Amid uncertain outlook for farm talks, WTO members consider the “Nairobi Package”",News item with audio,https://www.wto.org/english/news_e/news15_e/agng_02oct15_e.htm
DG Azevêdo: a package of issues for Nairobi may be within reach,News item,https://www.wto.org/english/news_e/news15_e/hod_17sep15_e.htm
Azevêdo: Nairobi Ministerial must deliver on development,Speech,https://www.wto.org/english/news_e/spra_e/spra78_e.htm
WTO members elect new chair of farm trade talks,News item with audio,https://www.wto.org/english/news_e/news15_e/agng_08sep15_e.htm
"DG Azevêdo: Expect “intense, relentless” engagement on DDA issues in September",News item,https://www.wto.org/english/news_e/news15_e/tnc_31jul15_e.htm
Azevêdo urges WTO members to hit the ground running in September,Report by the Chairman of the Trade Negotiations Committee,https://www.wto.org/english/news_e/news15_e/gc_rpt_27jul15_e.htm
Azevêdo urges WTO members to hit the ground running in September,Audio: Statement by Roberto Azevêdo,https://www.wto.org/audio/2015_07_28_dgremarks.mp3
Azevêdo urges WTO members to hit the ground running in September,Summary of the General Council meeting,https://www.wto.org/english/news_e/news15_e/sum_gc_jul15_e.htm
Azevêdo urges WTO members to hit the ground running in September,Proposed agenda,https://www.wto.org/english/thewto_e/gcounc_e/meet_jul15_e.htm
WTO members remain divided on how to advance agriculture negotiations,News item with audio,https://www.wto.org/english/news_e/news15_e/agng_22jul15_e.htm
DG Azevêdo tells members it is “decision time” on the Doha work programme,News item,https://www.wto.org/english/news_e/news15_e/hod_17jun15_e.htm
Differences persist on farm tariff reduction plan despite greater engagement,News item with audio,https://www.wto.org/english/news_e/news15_e/agng_16jun15_e.htm
DG Azevêdo welcomes strong support of G7 leaders,News item,https://www.wto.org/english/news_e/news15_e/dgra_08jun15_e.htm
"Members welcome progress on export competition, cite “doability” of proposed Doha deal",News item,https://www.wto.org/english/news_e/news15_e/agcom_04jun15_e.htm
Azevêdo voices concern with slow progress in key negotiating areas,News item,https://www.wto.org/english/news_e/news15_e/hod_01jun15_e.htm
Azevêdo completes three country visit to Southeast Asia,News item,https://www.wto.org/english/news_e/news15_e/dgra_26may15_e.htm
WTO & RSIS: Annual Parliamentarians Workshop “WTO at 20: What Challenges for the Future?”,Speech,https://www.wto.org/english/news_e/spra_e/spra62_e.htm
Azevêdo welcomes strong APEC support for WTO work programme,News item,https://www.wto.org/english/news_e/spra_e/spra60_e.htm
Azevêdo cautions APEC ministers to be realistic on work programme as July deadline looms,Speech,https://www.wto.org/english/news_e/spra_e/spra59_e.htm
WTO helps underpin Philippine economic success — Azevêdo,Speech,https://www.wto.org/english/news_e/spra_e/spra58_e.htm
Azevêdo launches 10th WTO Ministerial Conference logo,Report by the Chairman of the Trade Negotiations Committee,https://www.wto.org/english/news_e/news15_e/gc_rpt_05may15_e.htm
Azevêdo launches 10th WTO Ministerial Conference logo,Audio: Statement by Roberto Azevêdo,https://www.wto.org/audio/2015_05_05_gc_azevedo_stat.mp3
Azevêdo launches 10th WTO Ministerial Conference logo,Summary of the General Council meeting,https://www.wto.org/english/news_e/news15_e/sum_gc_may15_e.htm
Azevêdo launches 10th WTO Ministerial Conference logo,Proposed agenda,https://www.wto.org/english/thewto_e/gcounc_e/meet_may15_e.htm
"Azevêdo reports progress on Doha work programme, asks members to focus on what is “doable”",News story with audio and Azevêdo’s statement,https://www.wto.org/english/news_e/news15_e/tnc_stat_27apr15_e.htm
"Azevêdo reports progress on Doha work programme, asks members to focus on what is “doable”",Audio: Statement by Roberto Azevêdo to the TNC,https://www.wto.org/audio/2015_04_27_tnc_azevedo_stat.mp3
Chair cites “urgent need” to find solutions in farm trade talks,News item with audio,https://www.wto.org/english/news_e/news15_e/agng_24apr15_e.htm
"Farm talks see more detailed discussion on new ideas, but differences remain",News item with audio,https://www.wto.org/english/news_e/news15_e/agng_20mar15_e.htm
Azevêdo reports continued progress on Doha work programme talks,News item,https://www.wto.org/english/news_e/news15_e/hod_18mar15_e.htm
TRIPS down memory lane — for a very current purpose,News item,https://www.wto.org/english/news_e/news15_e/trip_ss_26feb15_e.htm
Azevêdo urges members to move to solution-finding mode in developing work programme to conclude Round,Report by the Chairman of the Trade Negotiations Committee,https://www.wto.org/english/news_e/news15_e/gc_rpt_20feb15_e.htm
Azevêdo urges members to move to solution-finding mode in developing work programme to conclude Round,Audio: Statement by Roberto Azevêdo,https://www.wto.org/audio/2015_02_20_gc_azevedo_stat.mp3
Azevêdo urges members to move to solution-finding mode in developing work programme to conclude Round,Summary of the General Council meeting,https://www.wto.org/english/news_e/news15_e/sum_gc_feb15_e.htm
US donates USD 1 million for training programmes for developing countries,Press release,https://www.wto.org/english/news_e/pres15_e/pr736_e.htm
New paper on farm supports kicks off discussion of what might be negotiable,News item with audio,https://www.wto.org/english/news_e/news15_e/agng_28jan15_e.htm
Azevêdo launches intensive process to agree Doha work programme,News item,https://www.wto.org/english/news_e/news15_e/dgra_21jan15_e.htm
Azevêdo invited to participate in informal meeting of African ministers,News item,https://www.wto.org/english/news_e/news15_e/dgra_18jan15_e.htm
"Liechtenstein pledges CHF 40,000 to help developing countries participate in Doha Round",Press release,https://www.wto.org/english/news_e/pres14_e/pr734_e.htm
WTO members discuss how to advance services negotiations for post-Bali work programme,News item,https://www.wto.org/english/news_e/news14_e/snegs_17dec14_e.htm
WTO members ready to discuss how to advance talks in environment negotiations,News item,https://www.wto.org/english/news_e/news14_e/envir_19dec14_e.htm
Let’s make sure 2015 will be a year to remember for the WTO – Azevêdo,Report by the Chairman of the Trade Negotiations Committee,https://www.wto.org/english/news_e/news14_e/gc_rpt_10dec14_e.htm
Let’s make sure 2015 will be a year to remember for the WTO – Azevêdo,Audio: Statement by Roberto Azevêdo,https://www.wto.org/audio/2014_12_10_gc_azevedo_stat.mp3
Let’s make sure 2015 will be a year to remember for the WTO – Azevêdo,Audio: Press conference,https://www.wto.org/audio/2014_12_10_gc_azevedo_pc.mp3
Let’s make sure 2015 will be a year to remember for the WTO – Azevêdo,Summary of the General Council meeting,https://www.wto.org/english/news_e/news14_e/sum_gc_dec14_e.htm
Let’s make sure 2015 will be a year to remember for the WTO – Azevêdo,Proposed agenda,https://www.wto.org/english/thewto_e/gcounc_e/meet_dec14_e.htm
"WTO farm talks: ‘the old gang is back,’ but …",News item with audio,https://www.wto.org/english/news_e/news14_e/agng_04dec14_e.htm
Members seek more information on policies affecting latest cotton market trends,News item,https://www.wto.org/english/news_e/news14_e/agng_02dec14_e.htm
"WTO work is “back on track”, says Azevêdo",News Item,https://www.wto.org/english/news_e/news14_e/gc_rpt_27nov14_e.htm
"WTO work is “back on track”, says Azevêdo",Audio: Statement by Roberto Azevêdo,https://www.wto.org/audio/2014_11_27_gc_azevedo_stat.mp3
"WTO work is “back on track”, says Azevêdo",Audio: Press conference,https://www.wto.org/audio/2014_11_27_gc_azevedo_pc.mp3
DG Azevedo urges rapid action on Bali Issues,News item,https://www.wto.org/english/news_e/news14_e/dgra_16nov14_e.htm
Azevêdo urges members to continue talking about ways to move forward beyond Bali impasse,News story with audio and Azevêdo’s statement,https://www.wto.org/english/news_e/news14_e/tnc_infstat_31oct14_e.htm
Azevêdo urges members to continue talking about ways to move forward beyond Bali impasse,Audio: Statement by Roberto Azevêdo,https://www.wto.org/audio/2014_10_31_tnc_azevedo_stat.mp3
Azevêdo announces consultations on future of Bali decisions and post-Bali work programme,Report by the Chairman of the Trade Negotiations Committee,https://www.wto.org/english/news_e/news14_e/gc_rpt_21oct14_e.htm
Azevêdo announces consultations on future of Bali decisions and post-Bali work programme,Audio: Director-General Roberto Azevêdo Opening Remarks,https://www.wto.org/audio/2014_10_21_gc_azevedo_stat.mp3
Azevêdo announces consultations on future of Bali decisions and post-Bali work programme,Audio: Statement by DG Azevêdo on Aid for Trade,https://www.wto.org/audio/2014_10_21_gc_azevedo_stat2.mp3
Azevêdo announces consultations on future of Bali decisions and post-Bali work programme,Proposed agenda,https://www.wto.org/english/thewto_e/gcounc_e/meet_oct14_e.htm
"Azevêdo says Bali impasse paralyzing WTO work, chairs report no progress in consultations",News story with audio and Azevêdo’s statement,https://www.wto.org/english/news_e/news14_e/tnc_stat_16oct14_e.htm
"Azevêdo says Bali impasse paralyzing WTO work, chairs report no progress in consultations",Audio,https://www.wto.org/audio/2014_10_16_tnc_azevedo_stat.mp3
"Austria pledges EUR 200,000 to strengthen participation of developing countries in Doha Round",Press release,https://www.wto.org/english/news_e/pres14_e/pr726_e.htm
"No consensus on how to take negotiations forward, farm talks’ chair concludes",News item with audio,https://www.wto.org/english/news_e/news14_e/agng_23sep14_e.htm
Azevêdo: Members unable to bridge the gap on trade facilitation,News story,https://www.wto.org/english/news_e/news14_e/tnc_infstat_31jul14_e.htm
Azevêdo: Members unable to bridge the gap on trade facilitation,Audio: Statement by Roberto Azevêdo to the TNC,https://www.wto.org/audio/2014_07_31_tnc_azevedo_stat.mp3
Azevêdo reports “very good level of engagement” on Doha Round work programme,News item,https://www.wto.org/english/news_e/news14_e/gc_25jul14_e.htm
Azevêdo says trade must play a central role in the Post-2015 Development Agenda,Statement by Roberto Azevêdo,https://www.wto.org/english/news_e/news14_e/gc_rpt_24jul14_e.htm
Azevêdo says trade must play a central role in the Post-2015 Development Agenda,Summary of the General Council meeting,https://www.wto.org/english/news_e/news14_e/sum_gc_jul14_e.htm
Agriculture negotiators edge into substantive discussion for post-Bali work programme,News item with audio,https://www.wto.org/english/news_e/news14_e/agng_23jul14_e.htm
Bali can herald a new era in the WTO — Azevêdo,Speech,https://www.wto.org/english/news_e/spra_e/spra28_e.htm
Farm talks chair urges members to air ‘give’ as well as ‘take’ in talks among themselves,News item with audio,https://www.wto.org/english/news_e/news14_e/agng_07jul14_e.htm
Azevêdo warns against revisiting Bali decisions,News story with audio and Azevêdo’s statement,https://www.wto.org/english/news_e/news14_e/tnc_infstat_25jun14_e.htm
Azevêdo warns against revisiting Bali decisions,Statement by TNC Chair and Oral Reports by Chairs of the negotiating groups,https://www.wto.org/audio/2014_06_25_tnc_azevedo_stat.mp3
First meeting on Bali cotton decision gets new data and discusses improvements,News item with audio,https://www.wto.org/english/news_e/news14_e/agng_20jun14_e.htm
"Members discuss green technology, ‘incubation’ and IP disputes when no rules breached",News item,https://www.wto.org/english/news_e/news14_e/trip_ss_11jun14_e.htm
Azevêdo underlines leadership role of Bangladesh in post-Bali work,Speech,https://www.wto.org/english/news_e/spra_e/spra21_e.htm
Azevêdo asks members to be prepared for “a busy June and July”,Report by the Chairman of the Trade Negotiations Committee,https://www.wto.org/english/news_e/news14_e/gc_rpt_12may14_e.htm
Azevêdo asks members to be prepared for “a busy June and July”,Audio: Statement by Roberto Azevêdo,https://www.wto.org/audio/2014_05_12_gc_azevedo_stat.mp3
Azevêdo asks members to be prepared for “a busy June and July”,Summary of the General Council meeting,https://www.wto.org/english/news_e/news14_e/sum_gc_may14_e.htm
Azevêdo asks members to be prepared for “a busy June and July”,Proposed agenda,https://www.wto.org/english/thewto_e/gcounc_e/meet_may14_e.htm
Azevêdo to push for trade role in future sustainable development goals,Speech,https://www.wto.org/english/news_e/spra_e/spra17_e.htm
Azevêdo to push for trade role in future sustainable development goals,Statement by Roberto Azevêdo,https://www.wto.org/audio/dgra_28gvaweek_05052014.mp3
Azevêdo: Our aim now should be nothing less than to complete the Round and do it quickly,Speech,https://www.wto.org/english/news_e/spra_e/spra10_e.htm
"Bali trade facilitation deal challenged conventional WTO wisdom, new paper says",News item,https://www.wto.org/english/news_e/news14_e/rese_07apr14_e.htm
Azevêdo asks members to shift up a gear on Doha preparation,News story with audio and Azevêdo’s statement,https://www.wto.org/english/news_e/news14_e/tnc_stat_07apr14_e.htm
Azevêdo asks members to shift up a gear on Doha preparation,Audio: Statement by Roberto Azevêdo to the TNC,https://www.wto.org/audio/2014_04_07_tnc_azevedo_stat.mp3
WTO launches call for proposals for 2014 Public Forum,News item,https://www.wto.org/english/news_e/news14_e/pfor_02apr14_e.htm
Members ‘not ready to move forward yet’ on wines and spirits register negotiations,News item,https://www.wto.org/english/news_e/news14_e/trip_01apr14_e.htm
Farm talks chair urges members to avoid ‘sterile’ debate on best post-Bali starting point,News item with audio,https://www.wto.org/english/news_e/news14_e/agng_28mar14_e.htm
Azevêdo reports “excellent start” on efforts to put Doha Round back on track,Report by the Chairman of the Trade Negotiations Committee,https://www.wto.org/english/news_e/news14_e/gc_rpt_14mar14_e.htm
Azevêdo reports “excellent start” on efforts to put Doha Round back on track,Audio: Statement by Roberto Azevêdo,https://www.wto.org/audio/2014_03_14_gc_azevedo_stat.mp3
