title,type,url
Report finds strong expansion of global value chains but warns of increased vulnerability,News item,https://www.wto.org/english/news_e/news23_e/publ_16nov23_e.htm
WTO issues new edition of Trade Profiles,News item,https://www.wto.org/english/news_e/news23_e/publ_31oct23_e.htm
Trade in wine and vine products on the rise,Blog,https://www.wto.org/english/blogs_e/data_blog_e/blog_dta_20oct23_e.htm
What are the prospects for global trade growth in 2023 and 2024?,Blog,https://www.wto.org/english/blogs_e/ce_ralph_ossa_e/blog_ro_05oct23_e.htm
WTO lowers 2023 trade growth forecast amid global manufacturing slowdown,News item,https://www.wto.org/english/news_e/news23_e/tfore_05oct23_e.htm
WTO announces winner of 2023 Essay Award for Young Economists,News item,https://www.wto.org/english/news_e/news23_e/essay_14sep23_e.htm
"Re-globalization for a secure, inclusive and sustainable future",Blog,https://www.wto.org/english/blogs_e/ce_ralph_ossa_e/blog_ro_12sep23_e.htm
World Trade Report 2023 makes case for “re-globalization” amid early signs of fragmentation,News item,https://www.wto.org/english/news_e/news23_e/wtr_12sep23_e.htm
Two years at the WTO: My take on the future of the multilateral trading system,Blog,https://www.wto.org/english/blogs_e/ddg_anabel_gonzalez_e/blog_ag_03aug23_e.htm
WTO issues 2023 edition of the World Trade Statistical Review,News item,https://www.wto.org/english/news_e/news23_e/stat_31jul23_e.htm
Today’s supply chain disruptions reaffirm the importance of a multilateral trading system based on WTO rules,Blog,https://www.wto.org/english/blogs_e/ce_ralph_ossa_e/blog_ro_02jun23_e.htm
New Global Trade Data Portal offers real-time access to trade data,News item,https://www.wto.org/english/news_e/news23_e/rese_31may23_e.htm
Trade in medical goods stabilises after peaking during pandemic,Blog,https://www.wto.org/english/blogs_e/data_blog_e/blog_dta_23may23_e.htm
Building on research for better trade outcomes,Blog,https://www.wto.org/english/blogs_e/ddg_anabel_gonzalez_e/blog_ag_16may23_e.htm
"DDG González urges academics, researchers to support evidence-based policymaking",News item,https://www.wto.org/english/news_e/news23_e/ddgag_11may23_e.htm
What’s the outlook for global trade in 2023?,Blog,https://www.wto.org/english/blogs_e/ce_ralph_ossa_e/blog_ro_05apr23_e.htm
Trade growth to slow to 1.7% in 2023 following 2.7% expansion in 2022,News item,https://www.wto.org/english/news_e/news23_e/tfore_05apr23_e.htm
One year of war in Ukraine. What has been the impact on global trade?,Blog,https://www.wto.org/english/blogs_e/ce_ralph_ossa_e/blog_ro_23feb23_e.htm
WTO note finds global trade resilient following one year of war in Ukraine,News item,https://www.wto.org/english/news_e/news23_e/publ_23feb23_e.htm
Exports of intermediate goods post sustained growth in second quarter of 2022,News item,https://www.wto.org/english/news_e/news23_e/stat_01feb23_e.htm
WTO issues call for papers for 2023 Essay Award for Young Economists,News item,https://www.wto.org/english/news_e/news23_e/essay_27jan23_e.htm
WTO issues 2022 edition of flagship statistical publication,News item,https://www.wto.org/english/news_e/news22_e/publ_30nov22_e.htm
DG Okonjo-Iweala: World “cannot afford to leave trade and WTO behind” in climate actions,News item,https://www.wto.org/english/news_e/news22_e/publ_08nov22_e.htm
"Trade must be a cornerstone of climate action, urges World Trade Report released at COP27",News item,https://www.wto.org/english/news_e/news22_e/publ_07nov22_e.htm
WTO announces winner of 2022 Essay Award for Young Economists,News item,https://www.wto.org/english/news_e/news22_e/essay_08sep22_e.htm
WTO Advanced Trade Policy Course (ATPC) concludes in Geneva,News item,https://www.wto.org/english/news_e/news22_e/tra_29jul22a_e.htm
WTO advanced course on economic analysis of trade policy concludes in Geneva,News item,https://www.wto.org/english/news_e/news22_e/tra_29jul22_e.htm
WTO issues new edition of World Tariff Profiles,News item,https://www.wto.org/english/news_e/news22_e/publ_29jul22_e.htm
WTO issues latest edition of Annual Report,News item,https://www.wto.org/english/news_e/news22_e/anrp_28jul22_e.htm
WTO-World Bank publication stresses key role of trade in responding to health crises,News item,https://www.wto.org/english/news_e/news22_e/heal_03jun22_e.htm
"Transparency, analysis, cooperation key to address trade impacts of subsidies — report",News item,https://www.wto.org/english/news_e/news22_e/scm_06may22_e.htm
WTO Secretariat note examines impact of the crisis in Ukraine on global trade and development,News item,https://www.wto.org/english/news_e/news22_e/devel_08apr22_e.htm
WTO issues call for papers for 2022 Essay Award for Young Economists,News item,https://www.wto.org/english/news_e/news22_e/essay_16feb22_e.htm
"New publication examines global value chain resilience, shift beyond manufacturing sector",News item,https://www.wto.org/english/news_e/news21_e/publ_15nov21_e.htm
"Vulnerabilities, resilience in global trading system examined in World Trade Report 2021",News item,https://www.wto.org/english/news_e/news21_e/wtr_16nov21_e.htm
Slash services trade red tape. At the WTO,Blog,https://www.wto.org/english/blogs_e/ddg_anabel_gonzalez_e/blog_ag_red_tape_e.htm
Logistics services critical for trade and economic development — DDG González,News item,https://www.wto.org/english/news_e/news21_e/ddgag_18oct21_e.htm
100 days at the WTO. What have I learned?,Blog,https://www.wto.org/english/blogs_e/ddg_anabel_gonzalez_e/blog_ag_100days_e.htm
WTO announces winners of 2021 Essay Award for Young Economists,News item,https://www.wto.org/english/news_e/news21_e/essay_13sep21_e.htm
Call for papers issued for WTO Trade for Peace Programme,News item,https://www.wto.org/english/news_e/news21_e/tfp_13aug21_e.htm
WTO issues 2021 edition of flagship statistical publication,News item,https://www.wto.org/english/news_e/news21_e/publ_30jul21_e.htm
WTO issues new edition of World Tariff Profiles,News item,https://www.wto.org/english/news_e/news21_e/publ_14jul21_e.htm
WTO report: Trade policy restraint prevented destructive acceleration of protectionism,News item,https://www.wto.org/english/news_e/news21_e/trdev_28jun21_e.htm
Merchandise trade posts strong gains in first quarter despite growing regional disparities,News item,https://www.wto.org/english/news_e/news21_e/rese_24jun21_e.htm
