title,type,url
"Members discuss product safety in e-commerce, use of digital tools, air 65 trade concerns",News item,https://www.wto.org/english/news_e/news23_e/tbt_10nov23_e.htm
E-commerce co-convenors: “We must lock in the credible package that we have in our hands”,News item,https://www.wto.org/english/news_e/news23_e/jsec_27oct23_e.htm
Facilitator of e-commerce work programme seeks members’ views on way forward,News item,https://www.wto.org/english/news_e/news23_e/ecwp_19oct23_e.htm
WTO training course on services aspects of e-commerce concludes,News item,https://www.wto.org/english/news_e/news23_e/ecom_13oct23_e.htm
DDG Ellard highlights impact of technological developments on global trade,News item,https://www.wto.org/english/news_e/news23_e/ddgae_06oct23_e.htm
"E-commerce co-convenors call on negotiators to intensify efforts, exercise flexibility",News item,https://www.wto.org/english/news_e/news23_e/jsec_29sep23_e.htm
WTO members address electronic commerce and technology transfer in final thematic session,News item,https://www.wto.org/english/news_e/news23_e/ecom_21sep23_e.htm
E-commerce co-convenors to issue updated negotiating text,News item,https://www.wto.org/english/news_e/news23_e/ecom_28jul23_e.htm
The WTO and the Organisation Internationale de la Francophonie launch a call for submissions on digital trade,News item,https://www.wto.org/english/news_e/news23_e/igo_28jul23_e.htm
New publication sets out common framework for measuring digital trade,News item,https://www.wto.org/english/news_e/news23_e/dtech_28jul23_e.htm
DG Okonjo-Iweala: Africa has many of the ingredients for digital success,News item,https://www.wto.org/english/news_e/news23_e/dgno_21jul23_e.htm
WTO members intensify discussion on e-commerce moratorium,News item,https://www.wto.org/english/news_e/news23_e/ecom_18jul23_e.htm
"Co-convenors of e-commerce negotiations review progress, reflect on way forward",News item,https://www.wto.org/english/news_e/news23_e/jsec_06jul23_e.htm
WTO members highlight importance of “digital industrialisation” to economic growth,News item,https://www.wto.org/english/news_e/news23_e/ecwp_23jun23_e.htm
E-commerce negotiators continue to seek “landing zones” on text proposals,News item,https://www.wto.org/english/news_e/news23_e/jsec_22jun23_e.htm
"DG Okonjo-Iweala: E-commerce has emerged as major force in global economic output, trade",News item,https://www.wto.org/english/news_e/news23_e/ecom_02jun23_e.htm
"E-commerce negotiations maintain positive momentum, focus on key issues",News item,https://www.wto.org/english/news_e/news23_e/jsec_25may23_e.htm
WTO members review ways to facilitate digital trade and electronic transactions,News item,https://www.wto.org/english/news_e/news23_e/ecom_16may23_e.htm
WTO members deepen discussion on e-commerce moratorium,News item,https://www.wto.org/english/news_e/news23_e/ecom_21apr23_e.htm
WTO members discuss bolstering developing countries’ participation in global trade,News item,https://www.wto.org/english/news_e/news23_e/devel_05apr23_e.htm
"E-commerce negotiators advance work, discuss development and data issues",News item,https://www.wto.org/english/news_e/news23_e/jsec_30mar23_e.htm
"DDG Ellard: The future of globalization is services, digital technology",News item,https://www.wto.org/english/news_e/news23_e/ddgae_29mar23_e.htm
Members exchange information on regulatory and legal frameworks on e-commerce,News item,https://www.wto.org/english/news_e/news23_e/ecom_22mar23_e.htm
Ironing out diverging standards. One reason for business to support the WTO,Blog,https://www.wto.org/english/blogs_e/ddg_anabel_gonzalez_e/blog_ag_21mar23_e.htm
Members’ discussion on e-commerce work programme highlights need to bridge digital divide,News item,https://www.wto.org/english/news_e/news23_e/ecom_21feb23_e.htm
DDG Ellard: Technology presents challenges and opportunities for future of trade,News item,https://www.wto.org/english/news_e/news23_e/ddgae_16feb23_e.htm
Members’ discussion on e-commerce work programme highlights importance of consumer protection,News item,https://www.wto.org/english/news_e/news23_e/ecom_26jan23_e.htm
WTO must bolster cooperation in a fragmented world — DG Okonjo-Iweala in Davos,News item,https://www.wto.org/english/news_e/news23_e/igo_20jan23_e.htm
WTO members advance discussions on Services Council’s role in implementing MC12 outcomes,News item,https://www.wto.org/english/news_e/news22_e/serv_08dec22_e.htm
E-commerce negotiators vow to intensify work in coming year,News item,https://www.wto.org/english/news_e/news22_e/ecom_02dec22_e.htm
WTO members resume discussions on e-commerce following MC12 outcome,News item,https://www.wto.org/english/news_e/news22_e/jsec_18nov22_e.htm
"E-commerce talks progress, aim at issuing a revised negotiating text by end-2022",News item,https://www.wto.org/english/news_e/news22_e/ecom_28oct22_e.htm
High-level panel explores the need to leverage technology to promote inclusive growth,News item,https://www.wto.org/english/news_e/news22_e/pf22_28sep22_e.htm
"E-commerce talks resume following summer break, Mauritius joins the initiative",News item,https://www.wto.org/english/news_e/news22_e/ecom_16sep22_e.htm
E-commerce talks mark new phase in negotiations,News item,https://www.wto.org/english/news_e/news22_e/ecom_14jul22_e.htm
Development Committee welcomes MC12 decision on e-commerce work programme,News item,https://www.wto.org/english/news_e/news22_e/devel_20jun22_e.htm
WTO members secure unprecedented package of trade outcomes at MC12,News item,https://www.wto.org/english/news_e/news22_e/mc12_17jun22_e.htm
"Co-convenors welcome good progress in e-commerce talks, launch capacity-building framework",News item,https://www.wto.org/english/news_e/news22_e/jsec_13jun22_e.htm
Co-convenors update participants on latest progress in e-commerce discussions,News item,https://www.wto.org/english/news_e/news22_e/ecom_20may22_e.htm
"E-commerce negotiators seek to find common ground, revisit text proposals",News item,https://www.wto.org/english/news_e/news22_e/jsec_23feb22_e.htm
E-commerce negotiations resume with call for intensified efforts in 2022,News item,https://www.wto.org/english/news_e/news22_e/jsec_04feb22_e.htm
DDG Ellard: “Deeds not words” as the WTO becomes more gender-responsive,News item,https://www.wto.org/english/news_e/news22_e/ddgae_27jan22_e.htm
"DDG Ellard discusses trends in global trade, WTO reform",News item,https://www.wto.org/english/news_e/news21_e/ddgae_14dec21_e.htm
E-commerce co-convenors welcome substantial progress in negotiations,News item,https://www.wto.org/english/news_e/news21_e/ecom_14dec21_e.htm
"Negotiations on e-commerce advance, eyeing a statement at MC12",News item,https://www.wto.org/english/news_e/news21_e/ecom_10nov21_e.htm
"WTO members continue review of LDC services waiver, e-commerce work programme",News item,https://www.wto.org/english/news_e/news21_e/serv_01jul21_e.htm
WTO report looks at role of e-commerce during the COVID-19 pandemic,News item,https://www.wto.org/english/news_e/news20_e/rese_04may20_e.htm
"WTO members agree to extend e-commerce, non-violation moratoriums",News item,https://www.wto.org/english/news_e/news19_e/gc_10dec19_e.htm
Forum participants look at how statistics can better capture trends in trade,News item,https://www.wto.org/english/news_e/news19_e/pfor_14oct19_e.htm
DG Azevêdo: E-commerce needs to be a force for inclusion,Speech,https://www.wto.org/english/news_e/spra_e/spra274_e.htm
G20 trade ministers renew commitment to WTO reform with “sense of urgency”,News item,https://www.wto.org/english/news_e/news19_e/dgra_09jun19_e.htm
Azevêdo: E-commerce must be a force for inclusion,Speech,https://www.wto.org/english/news_e/spra_e/spra264_e.htm
"Consumer groups express support for multilateral trade, stress priorities for e-commerce",News item,https://www.wto.org/english/news_e/news19_e/trdia_06may19_e.htm
WTO members examine e-commerce moratorium,News item,https://www.wto.org/english/news_e/news19_e/ecom_29apr19_e.htm
Azevêdo: E-commerce moratorium has long been a feature of the multilateral trading system,Speech,https://www.wto.org/english/news_e/spra_e/spra260_e.htm
DG Azevêdo: The conversation on digital trade and e-commerce concerns us all,Speech,https://www.wto.org/english/news_e/spra_e/spra254_e.htm
New WTO publication analyses potential impact of Blockchain on international trade,News item,https://www.wto.org/english/news_e/news18_e/publ_26nov18_e.htm
High-level panel highlights potential of e-commerce as driver for growth and inclusion,News item,https://www.wto.org/english/news_e/news18_e/pf18_04oct18_e.htm
Public Forum explores new ways to achieve inclusive trade in era of technological revolution,News item,https://www.wto.org/english/news_e/news18_e/ecom_04oct18_e.htm
DG Azevêdo calls on international community to ensure nobody is left behind in digital era,News item,https://www.wto.org/english/news_e/news18_e/ecom_02oct18_e.htm
Business leaders express support for the WTO and call for action on priority issues,News item,https://www.wto.org/english/news_e/news18_e/trdia_07jun18_e.htm
DG Azevêdo in Brazil: Global Cooperation is essential to overcome economic challenges,News item,https://www.wto.org/english/news_e/news18_e/dgra_15mar18_e.htm
DDG Yi : Inclusiveness and transparency have been the guiding principles of our work,News item,https://www.wto.org/english/news_e/news18_e/ddgra_14mar18_e.htm
"New initiatives on electronic commerce, investment facilitation and MSMEs",News item,https://www.wto.org/english/news_e/news17_e/minis_13dec17_e.htm
"Ministerial ends with decisions on fish subsidies, e-commerce duties; ongoing work continues",News item,https://www.wto.org/english/news_e/news17_e/mc11_13dec17_e.htm
WTO-eWTP-WEF Enabling E-commerce Launch Event,Remarks by DG Azevêdo,https://www.wto.org/english/news_e/spra_e/spra206_e.htm
"WTO, World Economic Forum and eWTP launch joint public-private dialogue to open up e-commerce for small business",News item,https://www.wto.org/english/news_e/news17_e/ecom_11dec17_e.htm
Goods Council discusses US proposal to enhance transparency,News item,https://www.wto.org/english/news_e/news17_e/good_16nov17_e.htm
Workshop on trade and inclusive growth takes place at University of Jordan,News item,https://www.wto.org/english/news_e/news17_e/chair_10nov17_e.htm
Members review new WTO disciplines on domestic regulation of service providers,News item,https://www.wto.org/english/news_e/news17_e/devel_16oct17_e.htm
Azevêdo: Trade can help energize economic recovery,Speech,https://www.wto.org/english/news_e/spra_e/spra168_e.htm
DG Azevêdo and Jack Ma discuss the power of technology to boost small businesses,News item,https://www.wto.org/english/news_e/news17_e/dgra_25apr17_e.htm
DG Azevêdo: E-commerce can help to improve livelihoods and boost development,News item,https://www.wto.org/english/news_e/news17_e/ecom_25apr17_e.htm
Members discuss development dimension of e-commerce at Goods Council,News item,https://www.wto.org/english/news_e/news17_e/good_13apr17_e.htm
WTO members discuss the role of e-commerce in fostering development,News item,https://www.wto.org/english/news_e/news17_e/devel_14mar17_e.htm
