title,type,url
MC11 Closing Ceremony,"Remarks by Susana Malcorra, Argentine minister and Chair of MC11",https://www.wto.org/english/news_e/news17_e/malcora_13dec17_e.htm
MC11 Closing Ceremony,Remarks by DG Azevêdo,https://www.wto.org/english/news_e/spra_e/spra209_e.htm
"New initiatives on electronic commerce, investment facilitation and MSMEs",News item,https://www.wto.org/english/news_e/news17_e/minis_13dec17_e.htm
"Ministerial ends with decisions on fish subsidies, e-commerce duties; ongoing work continues",News item,https://www.wto.org/english/news_e/news17_e/mc11_13dec17_e.htm
EU gives EUR 1 million to enhance trading skills of developing countries,Press release,https://www.wto.org/english/news_e/pres17_e/pr814_e.htm
ICC presents recommendations from the Buenos Aires Business Forum,News item,https://www.wto.org/english/news_e/news17_e/bus_13dec17_e.htm
UK pledges US$ 21.3 million to innovative trade programme for least-developed countries,News item,https://www.wto.org/english/news_e/news17_e/if_12dec17_e.htm
Buenos Aires Declaration on Women and Trade outlines actions to empower women,News item,https://www.wto.org/english/news_e/news17_e/mc11_12dec17_e.htm
Public and private sector leaders exchange best practices to implement Trade Facilitation Agreement,News item,https://www.wto.org/english/news_e/news17_e/fac_12dec17_e.htm
“We must be able to connect with our citizens“: MC11 Chair,News item,https://www.wto.org/english/news_e/news17_e/minis_12dec17_e.htm
DG Azevêdo: “WTO provides the stability and certainty that businesses need”,Speech,https://www.wto.org/english/news_e/spra_e/spra208_e.htm
WTO and ICC announce third successful proposal under “Small Business Champions” initiative,News item,https://www.wto.org/english/news_e/news17_e/bus_12dec17_e.htm
WTO and ICC announce winners of small business video competition,News item,https://www.wto.org/english/news_e/news17_e/sbc_12dec17_e.htm
Joint WTO-ITC Cotton Portal Launch,Remarks by DG Azevêdo,https://www.wto.org/english/news_e/spra_e/spra207_e.htm
WTO-eWTP-WEF Enabling E-commerce Launch Event,Remarks by DG Azevêdo,https://www.wto.org/english/news_e/spra_e/spra206_e.htm
"WTO, World Economic Forum and eWTP launch joint public-private dialogue to open up e-commerce for small business",News item,https://www.wto.org/english/news_e/news17_e/ecom_11dec17_e.htm
More than 40 ministers issue joint statement affirming support for the WTO,News item,https://www.wto.org/english/news_e/news17_e/mc11_11dec17_e.htm
Book launch: WTO issues updated compendium of legal texts,News item,https://www.wto.org/english/news_e/news17_e/publ_11dec17_e.htm
"ITC, UNCTAD, WTO launch Global Trade Helpdesk",News item,https://www.wto.org/english/news_e/news17_e/bus_11dec17_e.htm
WTO and ITC launch Cotton Portal to enhance transparency and support development,News item,https://www.wto.org/english/news_e/news17_e/igo_11dec17_e.htm
MC11 Opening Ceremony,Remarks by President Mauricio Macri of Argentina,https://www.wto.org/english/news_e/news17_e/macri_10dec17_e.htm
The g7+ WTO Accessions Group launched to help post-conflict and fragile economies,News item,https://www.wto.org/english/news_e/news17_e/minis_10dec17_e.htm
MC11 Opening Ceremony,Remarks by DG Azevêdo,https://www.wto.org/english/news_e/spra_e/spra205_e.htm
Ministerial Conference opens with signing of presidential declaration in support of WTO,News item,https://www.wto.org/english/news_e/news17_e/mc11_10dec17_e.htm
EIF High-level Dialogue: “Investing in Trade in the LDCs”,Opening remarks by DG Azevêdo,https://www.wto.org/english/news_e/spra_e/spra204_e.htm
Sixth China Round Table: Strengthening the Rules-based Multilateral Trading System and Building a Network to Promote Accessions,Remarks by DG Azevêdo,https://www.wto.org/english/news_e/spra_e/spra203_e.htm
DG Azevêdo urges parliamentarians to remain engaged in WTO issues,News item,https://www.wto.org/english/news_e/news17_e/ddgra_09dec17_e.htm
Sixth China Round Table reaffirms commitment to LDCs seeking WTO accession,News item,https://www.wto.org/english/news_e/news17_e/acc_09dec17_e.htm
New WTO book examines the impact of accessions on the multilateral trading system,News item,https://www.wto.org/english/news_e/news17_e/publ_09dec17_e.htm
"2017 WTO Chairs Programme Annual Conference held in Buenos Aires, Argentina",News item,https://www.wto.org/english/news_e/news17_e/chair_06dec17_e.htm
DG Azevêdo welcomes Mali’s Prime Minister Maïga to WTO,News item,https://www.wto.org/english/news_e/news17_e/dgra_29nov17_e.htm
DG Azevêdo details process for MC11 as preparations enter final stages,Statement by Director-General Roberto Azevêdo,https://www.wto.org/english/news_e/spra_e/spra201_e.htm
"United Kingdom donates GBP 100,000 to support LDCs’ participation in Ministerial Conference",Press release,https://www.wto.org/english/news_e/pres17_e/pr810_e.htm
"Canada donates CAD 100,000 to support LDCs’ participation in Ministerial Conference",Press release,https://www.wto.org/english/news_e/pres17_e/pr808_e.htm
Members streamline texts on subsidy prohibitions for IUU fishing and overfished stocks,News item,https://www.wto.org/english/news_e/news17_e/fish_13nov17_e.htm
Goods Council discusses US proposal to enhance transparency,News item,https://www.wto.org/english/news_e/news17_e/good_16nov17_e.htm
Members’ views diverge on prospect of short-term outcome on domestic regulation,News item,https://www.wto.org/english/news_e/news17_e/serv_08nov17_e.htm
DG Azevêdo calls for APEC’s support for a successful MC11,News item,https://www.wto.org/english/news_e/news17_e/dgra_08nov17_e.htm
DG Azevêdo: Singapore’s support is essential to strengthen trading system,News item,https://www.wto.org/english/news_e/news17_e/dgra_07nov17_e.htm
Pesticide residues top of agenda of WTO food safety body,News item,https://www.wto.org/english/news_e/news17_e/sps_02nov17_e.htm
New proposals submitted for draft agreement on fisheries subsidies,News item,https://www.wto.org/english/news_e/news17_e/fish_03nov17_e.htm
DDG Wolff: A strong agricultural trading system can contribute to realizing the SDGs,News item,https://www.wto.org/english/news_e/news17_e/ddgra_24oct17_e.htm
DG Azevêdo: Flexibility and pragmatism essential ahead of MC11,News item,https://www.wto.org/english/news_e/news17_e/hod_24oct17_e.htm
"Sweden donates SEK 500,000 to support LDCs’ participation in Ministerial Conference",Press release,https://www.wto.org/english/news_e/pres17_e/pr805_e.htm
WTO members urged to step up efforts to secure farm trade deal in Buenos Aires,News item,https://www.wto.org/english/news_e/news17_e/agng_30oct17_e.htm
Malcorra tells WTO members “there is life after Buenos Aires”,News item,https://www.wto.org/english/news_e/news17_e/hod_19oct17_e.htm
Azevêdo updates ACP group on preparations for Ministerial Conference,Speech,https://www.wto.org/english/news_e/spra_e/spra194_e.htm
Representatives from Francophone countries meeting in Cambodia discuss MC11 preparations,News item,https://www.wto.org/english/news_e/news17_e/igo_17oct17_e.htm
WTO fisheries negotiations take a step forward with compilation text and chair’s assessment,News item,https://www.wto.org/english/news_e/news17_e/fish_17oct17_e.htm
Susana Malcorra notes a positive and constructive atmosphere for a successful Eleventh Ministerial Conference in Buenos Aires,News item,https://www.wto.org/english/news_e/news17_e/mc11_12oct17_e.htm
Azevêdo tells ministers more commitment is needed to deliver success at MC11,News item,https://www.wto.org/english/news_e/news17_e/dgra_10oct17_e.htm
DG Azevêdo discusses preparations for MC11 with the WTO’s Africa Group,News item,https://www.wto.org/english/news_e/news17_e/dgra_04oct17_e.htm
DG Azevêdo: China’s commitment to openness will continue to drive the economy forward,News item,https://www.wto.org/english/news_e/news17_e/dgra_12sep17_e.htm
Media accreditation for 11th Ministerial Conference is now open,News item,https://www.wto.org/english/news_e/news17_e/mc11_14aug17_e.htm
"Azevêdo meets Nicaraguan leaders, stresses need for good result at MC11",News item,https://www.wto.org/english/news_e/news17_e/dgra_01aug17_e.htm
"Ireland gives EUR 350,000 to promote participation of developing countries in world trade",Press release,https://www.wto.org/english/news_e/pres17_e/pr799_e.htm
General Council elects Vice Chairs for Buenos Aires Ministerial Conference,News item,https://www.wto.org/english/news_e/news17_e/gc_26jul17_e.htm
Members issue joint call for safeguarding the WTO-based global trading system,News item,https://www.wto.org/english/news_e/news17_e/mc11_26jul17_e.htm
"DG Azevêdo, MC11 chair & negotiating group chairs discuss the road to Buenos Aires",News item,https://www.wto.org/english/news_e/news17_e/dgra_24jul17_e.htm
New proposals in agriculture talks form “tangible steps” forward,News item with audio,https://www.wto.org/english/news_e/news17_e/agng_19jul17_e.htm
"Switzerland donates CHF 50,000 for LDCs’ participation in Ministerial Conference",Press release,https://www.wto.org/english/news_e/pres17_e/pr796_e.htm
WTO opens NGO accreditation for Buenos Aires Ministerial Conference,News item,https://www.wto.org/english/news_e/news17_e/mc11_20jun17_e.htm
Azevêdo briefs ministers on MC11 outlook; says flexibility is key to success,News item,https://www.wto.org/english/news_e/news17_e/dgra_09jun17_e.htm
"Finland donates CHF 48,000 for LDCs’ participation in Ministerial Conference",Press release,https://www.wto.org/english/news_e/pres17_e/pr793_e.htm
