title,type,url
DDG Zhang calls on LDCs to explore ways of boosting agriculture and services trade,News item,https://www.wto.org/english/news_e/news23_e/devel_03nov23_e.htm
EIF Annual Report underlines resilience of least-developed countries amid global polycrisis,News item,https://www.wto.org/english/news_e/news23_e/if_14jul23_e.htm
DDG Zhang calls on least developed countries to “strategize on their trade priorities”,News item,https://www.wto.org/english/news_e/news23_e/ldevc_22jun23_e.htm
"Combat inequality amid global upheavals, Okonjo-Iweala and Lagarde urge on Women’s Day",News item,https://www.wto.org/english/news_e/news23_e/women_08mar23_e.htm
Least-developed countries discuss trade priorities ahead of UN Conference on LDCs,News item,https://www.wto.org/english/news_e/news23_e/ldevc_30jan23_e.htm
"EIF partnership helping LDCs enhance trade capacities, Annual Report reveals",News item,https://www.wto.org/english/news_e/news22_e/if_28jun22_e.htm
DG Okonjo-Iweala welcomes project in support of African Continental Free Trade Area,News item,https://www.wto.org/english/news_e/news22_e/if_10mar22_e.htm
"LDC members exchange views, experiences on impact of graduation",News item,https://www.wto.org/english/news_e/news21_e/ldcs_12nov21_e.htm
EIF Annual Report highlights resilience of poorest countries despite COVID-19 crisis,News item,https://www.wto.org/english/news_e/news21_e/if_25jun21_e.htm
Norway commits NOK 45 million to EIF to spur economic recovery in least-developed countries,News item,https://www.wto.org/english/news_e/news21_e/if_22jun21_e.htm
EIF launches policy briefs to develop trade opportunities for least-developed countries,News item,https://www.wto.org/english/news_e/news21_e/if_04may21_e.htm
Finland gives EUR 2 million to EIF to help poorest countries harness benefits of trade,Press release,https://www.wto.org/english/news_e/pres21_e/pr875_e.htm
"Japan supports EIF to help poorest countries recover from COVID 19, expand trade capacity",Press release,https://www.wto.org/english/news_e/pres21_e/pr872_e.htm
"Germany, Estonia contribute to EIF to help poorest countries expand role in world trade",News item,https://www.wto.org/english/news_e/news20_e/if_03dec20_e.htm
EIF launches virtual campaign to help ramp up trade in least-developed countries,News item,https://www.wto.org/english/news_e/news20_e/if_25nov20_e.htm
Enhanced Integrated Framework issues 2019 Annual Report,News item,https://www.wto.org/english/news_e/news20_e/if_02jul20_e.htm
WTO issues report on trade impacts for WTO members graduating from LDC status,News item,https://www.wto.org/english/news_e/news20_e/rese_08may20_e.htm
"EIF sets up web page, hosts webinars to examine trade impacts of COVID-19 on LDCs",News item,https://www.wto.org/english/news_e/news20_e/if_24apr20_e.htm
Germany commits EUR 1.3 million to support trade initiatives in world’s poorest countries,News item,https://www.wto.org/english/news_e/news19_e/if_17dec19_e.htm
"EIF launches analyses on 4th Industrial Revolution, climate change and trade landscape",News item,https://www.wto.org/english/news_e/news19_e/if_29oct19_e.htm
Aid for Trade Global Review — “Seeing Impact and Looking Forward: EIF Past and Future”,Speech,https://www.wto.org/english/news_e/spra_e/spra272_e.htm
Six countries announce USD 13 million to support trade in the world’s poorest countries,News item,https://www.wto.org/english/news_e/news19_e/if_03jul19_e.htm
New EIF policy series highlights key trade issues for least-developed countries,News item,https://www.wto.org/english/news_e/news19_e/if_06jun19_e.htm
New EIF initiative targets economic empowerment of women in least developed countries,News item,https://www.wto.org/english/news_e/news19_e/if_27mar19_e.htm
EIF strategic plan seeks to help least developed countries gain more from trade,News item,https://www.wto.org/english/news_e/news19_e/if_26feb19_e.htm
WTO members shed light on challenges of increasing trade for small economies,News item,https://www.wto.org/english/news_e/news18_e/msmes_13nov18_e.htm
DG Azevêdo meets Prime Minister Hun Sen of Cambodia at the WTO,News item,https://www.wto.org/english/news_e/news18_e/dgra_24oct18_e.htm
High-level panel calls for integration of fragile states into the global economy,News item,https://www.wto.org/english/news_e/news18_e/if_05oct18_e.htm
Trade can make a vital contribution to meeting the Sustainable Development Goals — Azevêdo,News item,https://www.wto.org/english/news_e/news18_e/sdgs_03oct18_e.htm
EIF symposium looks at how to make trade more inclusive for LDCs,News item,https://www.wto.org/english/news_e/news18_e/if_13jun18_e.htm
Launch of news portal to raise awareness of trade development in least-developed countries,News item,https://www.wto.org/english/news_e/news18_e/if_26feb18_e.htm
UK pledges US$ 21.3 million to innovative trade programme for least-developed countries,News item,https://www.wto.org/english/news_e/news17_e/if_12dec17_e.htm
EIF High-level Dialogue: “Investing in Trade in the LDCs”,Opening remarks by DG Azevêdo,https://www.wto.org/english/news_e/spra_e/spra204_e.htm
EIF and ITFC join forces to increase trading opportunities for least-developed countries,News item,https://www.wto.org/english/news_e/news17_e/if_27sep17_e.htm
EU provides EUR 10 million to support sustainable development in poorest countries,News item,https://www.wto.org/english/news_e/news17_e/if_11jul17_e.htm
2017 Global Review of Aid for Trade: Enhanced Integrated Framework — championing change through inclusive trade,Remarks by DG Azevêdo at high-level lunch discussion,https://www.wto.org/english/news_e/spra_e/spra184_e.htm
Saudi Arabia gives USD 4 million to help lift poor countries out of poverty through trade,Press release,https://www.wto.org/english/news_e/pres17_e/pr789_e.htm
Sweden gives SEK 100 million to help poorest countries use trade to alleviate poverty,News item,https://www.wto.org/english/news_e/news17_e/if_02mar17_e.htm
