title,type,url
WTO announces winner of 2023 Essay Award for Young Economists,News item,https://www.wto.org/english/news_e/news23_e/essay_14sep23_e.htm
WTO issues call for papers for 2023 Essay Award for Young Economists,News item,https://www.wto.org/english/news_e/news23_e/essay_27jan23_e.htm
WTO announces winner of 2022 Essay Award for Young Economists,News item,https://www.wto.org/english/news_e/news22_e/essay_08sep22_e.htm
WTO issues call for papers for 2022 Essay Award for Young Economists,News item,https://www.wto.org/english/news_e/news22_e/essay_16feb22_e.htm
WTO announces winners of 2021 Essay Award for Young Economists,News item,https://www.wto.org/english/news_e/news21_e/essay_13sep21_e.htm
WTO issues call for papers for 2021 Essay Award for Young Economists,News item,https://www.wto.org/english/news_e/news21_e/essay_22apr21_e.htm
WTO announces winner of the 2020 Trade Economist Thematic Award,News item,https://www.wto.org/english/news_e/news20_e/rese_15dec20_e.htm
WTO announces winner of 2020 Essay Award for Young Economists,News item,https://www.wto.org/english/news_e/news20_e/rese_17sep20_e.htm
WTO issues call for papers for 2020 Essay Award for Young Economists,News item,https://www.wto.org/english/news_e/news20_e/stud_17feb20_e.htm
WTO announces winners of 2019 Essay Award for Young Economists,News item,https://www.wto.org/english/news_e/news19_e/essay_12sep19_e.htm
WTO issues call for papers for 2019 Essay Award for Young Economists,News item,https://www.wto.org/english/news_e/news19_e/essay_13feb19_e.htm
WTO announces winner of 2018 Essay Award for Young Economists,News item,https://www.wto.org/english/news_e/news18_e/rese_13sep18_e.htm
WTO issues call for papers for 2018 Essay Award for Young Economists,News item,https://www.wto.org/english/news_e/news18_e/rese_20feb18_e.htm
WTO announces winner of 2017 Essay Award for Young Economists,News item,https://www.wto.org/english/news_e/news17_e/stud_14sep17_e.htm
WTO issues call for papers for 2017 Essay Award for Young Economists,News item,https://www.wto.org/english/news_e/news17_e/rese_06mar17_e.htm
WTO announces outcome of 2016 Essay Award for Young Economists,News item,https://www.wto.org/english/news_e/news16_e/rese_08sep16_e.htm
WTO issues call for papers for 2016 WTO Essay Award for Young Economists,News item,https://www.wto.org/english/news_e/news16_e/stud_08feb16_e.htm
WTO announces winners of 2015 Essay Award for Young Economists,News item,https://www.wto.org/english/news_e/news15_e/stud_10sep15_e.htm
WTO issues call for papers for 2015 Essay Award for Young Economists,News item,https://www.wto.org/english/news_e/news15_e/rese_04feb15_e.htm
WTO announces winners of 2014 Essay Award for Young Economists,News item,https://www.wto.org/english/news_e/news14_e/stud_11sep14_e.htm
WTO announces call for papers for 2014 Essay Award for Young Economists,News item,https://www.wto.org/english/news_e/news14_e/rese_24feb14_e.htm
WTO announces winner of 2013 Essay Award for Young Economists,News item,https://www.wto.org/english/news_e/news13_e/rese_12sep13_e.htm
WTO launches 2013 Essay Award for Young Economists,News item,https://www.wto.org/english/news_e/news13_e/rese_18feb13_e.htm
WTO announces winner of 2012 Essay Award for Young Economists,News item,https://www.wto.org/english/news_e/news12_e/stud_17sep12_e.htm
WTO launches essay award for young economists,News item,https://www.wto.org/english/news_e/news12_e/rese_16feb12_e.htm
Essays on labour markets and policy uncertainty win 2011 WTO young economists’ award,News item,https://www.wto.org/english/news_e/news11_e/rese_09sep11_e.htm
WTO launches essay award for young economists,News item,https://www.wto.org/english/news_e/news11_e/rese_15feb11_e.htm
WTO announces winners of Young Economists Award,News item,https://www.wto.org/english/news_e/news10_e/rese_09sep10_e.htm
WTO launches 2010 Essay Award for Young Economists,News item,https://www.wto.org/english/news_e/news10_e/rese_02mar10_e.htm
WTO announces Essay Award for Young Economists,News item,https://www.wto.org/english/news_e/news09_e/rese_27apr09_e.htm
