title,type,url
Norway donates NOK 9 million to WTO Fisheries Funding Mechanism,Press release,https://www.wto.org/english/news_e/pres23_e/pr939_e.htm
Spain donates EUR 2 million to WTO Fisheries Funding Mechanism,Press release,https://www.wto.org/english/news_e/pres23_e/pr937_e.htm
"Iceland donates CHF 500,000 to WTO Fisheries Funding Mechanism",Press release,https://www.wto.org/english/news_e/pres23_e/pr932_e.htm
Sweden donates SEK 5 million to WTO Fisheries Funding Mechanism,Press release,https://www.wto.org/english/news_e/pres23_e/pr930_e.htm
France commits EUR 1 million to WTO Fisheries Funding Mechanism,Press release,https://www.wto.org/english/news_e/pres23_e/pr929_e.htm
The Netherlands donates EUR 1 million to WTO Fisheries Funding Mechanism,Press release,https://www.wto.org/english/news_e/pres23_e/pr928_e.htm
Australia donates AUD 2 million to WTO Fisheries Funding Mechanism,Press release,https://www.wto.org/english/news_e/pres23_e/pr927_e.htm
"Iceland formally accepts Agreement on Fisheries Subsidies, pledges CHF 500,000 to Fund",News item,https://www.wto.org/english/news_e/news23_e/fish_10may23_e.htm
Germany provides first of a series of donations to the Fisheries Fund and offers expertise,Press release,https://www.wto.org/english/news_e/pres23_e/pr925_e.htm
DDG Ellard highlights importance of WTO work on fisheries subsidies for Africa,News item,https://www.wto.org/english/news_e/news23_e/fish_02may23a_e.htm
WTO Workshop on Fisheries Subsidies for English-speaking Africa,News item,https://www.wto.org/english/news_e/news23_e/ddgae_02may23_e.htm
Canada donates CAD 1.4 million to WTO Fisheries Funding Mechanism,Press release,https://www.wto.org/english/news_e/pres23_e/pr924_e.htm
Japan is first donor to WTO Fisheries Funding Mechanism,Press release,https://www.wto.org/english/news_e/pres23_e/pr918_e.htm
Australia pledges AUD 2 million to WTO Fisheries Funding Mechanism,Press release,https://www.wto.org/english/news_e/pres22_e/pr913_e.htm
WTO Fisheries Funding Mechanism now operational to assist developing countries and LDCs,News item,https://www.wto.org/english/news_e/news22_e/fish_08nov22_e.htm
WTO Fisheries Funding Mechanism readied to provide support for ending harmful subsidies,News item,https://www.wto.org/english/news_e/news22_e/fish_14jun22_e.htm
