title,type,url
WTO report shows members moving to facilitate imports even as trade restrictions remain high,News item,https://www.wto.org/english/news_e/news20_e/trdev_24jul20_e.htm
Informal Trade Policy Review Body meeting — trade monitoring report,Speech,https://www.wto.org/english/news_e/spra_e/spra305_e.htm
"DG Azevêdo: “We’ve achieved a lot, but much remains to be done”",Speech,https://www.wto.org/english/news_e/spra_e/spra304_e.htm
DG Azevêdo: “Decisions made at the WTO will matter” for economic recovery from COVID-19 crisis,News item,https://www.wto.org/english/news_e/news20_e/tnc_20jul20_e.htm
WTO members meet the candidates for Director-General,News item,https://www.wto.org/english/news_e/news20_e/dgsel_17jul20_e.htm
General Council Chair Walker announces timelines for next stages of DG selection process,News item,https://www.wto.org/english/news_e/news20_e/dgsel_10jul20_e.htm
DG Azevêdo: Tackling challenges facing MSMEs is critically important,News item,https://www.wto.org/english/news_e/news20_e/dgra_26jun20_e.htm
DG Azevêdo to Ottawa Group: Cooperation at the WTO would help the global economy recover from COVID-19,News item,https://www.wto.org/english/news_e/news20_e/dgra_16jun20_e.htm
DG Azevêdo and rules negotiations chair highlight importance of fisheries subsidies deal on World Oceans Day,News item,https://www.wto.org/english/news_e/news20_e/fish_08jun20_e.htm
WTO establishes nomination window for DG selection,News item,https://www.wto.org/english/news_e/news20_e/dgsel_20may20_e.htm
"Chancellor Merkel, DG Azevêdo and other agency heads discuss COVID-19 pandemic",News item,https://www.wto.org/english/news_e/news20_e/dgra_20may20_e.htm
DG Azevêdo announces he will step down on 31 August,News item,https://www.wto.org/english/news_e/news20_e/dgra_14may20_e.htm
IMF and WTO heads call for lifting trade restrictions on medical supplies and food,News item,https://www.wto.org/english/news_e/news20_e/igo_15apr20_e.htm
DG Azevêdo welcomes G20 farm ministers’ commitment to safeguard global food security,News item,https://www.wto.org/english/news_e/news20_e/dgra_21apr20_e.htm
WTO members discuss use of virtual platforms during COVID-19 lockdown,News item,https://www.wto.org/english/news_e/news20_e/hod_17apr20_e.htm
Trade forecast press conference,Speech,https://www.wto.org/english/news_e/spra_e/spra303_e.htm
"WTO, WCO chiefs pledge joint efforts to facilitate trade in essential goods",News item,https://www.wto.org/english/news_e/news20_e/igo_06apr20_e.htm
"ICC, WTO heads urge business dialogue to inform response to trade fallout from COVID-19",News item,https://www.wto.org/english/news_e/news20_e/igo_02apr20_e.htm
Agency chiefs issue joint call to keep food trade flowing in response to COVID-19,News item,https://www.wto.org/english/news_e/news20_e/igo_26mar20_e.htm
DG Azevêdo welcomes G20 ministers’ commitment to notify WTO of COVID-19 related trade measures,News item,https://www.wto.org/english/news_e/news20_e/dgra_30mar20_e.htm
DG Azevêdo welcomes G20 pledge on COVID-19 response and economic recovery,News item,https://www.wto.org/english/news_e/news20_e/dgra_26mar20_e.htm
DG Azevêdo requests WTO members to share information on trade measures related to COVID-19,News item,https://www.wto.org/english/news_e/news20_e/dgra_24mar20_e.htm
"Azevêdo sees sharp fall in trade, calls for global solutions to COVID-19 crisis",News item,https://www.wto.org/english/news_e/news20_e/dgra_25mar20_e.htm
WTO DG welcomes G7 leaders’ statement on COVID-19,News item,https://www.wto.org/english/news_e/news20_e/dgra_17mar20_e.htm
DG Azevêdo communicates COVID-19 measures to WTO members and staff,News item,https://www.wto.org/english/news_e/news20_e/dgra_15mar20_e.htm
DG Azevêdo provides urgent information to WTO members on MC12 date and venue,News item,https://www.wto.org/english/news_e/news20_e/minis_12mar20_e.htm
DG Azevêdo announces suspension of WTO meetings following confirmation of COVID-19 case,News item,https://www.wto.org/english/news_e/news20_e/dgra_10mar20_e.htm
DG Azevêdo on Women’s Day: WTO has important role to play in promoting gender equality,Speech,https://www.wto.org/english/news_e/spra_e/spra302_e.htm
DG Azevêdo: Weeks ahead are “window of opportunity” for WTO members to shape future of multilateral rule-making,News item,https://www.wto.org/english/news_e/news20_e/hod_02mar20_e.htm
"DG Azevêdo: To modernize the WTO, we will need vision and determination",Speech,https://www.wto.org/english/news_e/spra_e/spra301_e.htm
WTO mourns the passing of former Director-General Mike Moore,News item,https://www.wto.org/english/news_e/news20_e/gen_02feb20_e.htm
DG Azevêdo: ACP’s support is key to strengthen the trading system,News item,https://www.wto.org/english/news_e/news20_e/dgra_31jan20_e.htm
New cohort of WTO young professionals welcomed by DG Azevêdo,News item,https://www.wto.org/english/news_e/news20_e/ypp_28jan20_e.htm
"Ministerial meeting on investment facilitation for development, Davos",Speech,https://www.wto.org/english/news_e/spra_e/spra299_e.htm
"In Davos, DG Azevêdo hears support — and urgency — for WTO reform",News item,https://www.wto.org/english/news_e/news20_e/minis_24jan20_e.htm
"Joint Statement on E-commerce, Davos meeting",Speech,https://www.wto.org/english/news_e/spra_e/spra300_e.htm
The WTO’s 25 years of achievement and challenges,News item,https://www.wto.org/english/news_e/news20_e/dgra_01jan20_e.htm
Report shows trade restrictions by WTO members at historically high levels,News item,https://www.wto.org/english/news_e/news19_e/dgra_12dec19_e.htm
DG Azevêdo welcomes progress in investment facilitation discussions,Speech,https://www.wto.org/english/news_e/spra_e/spra298_e.htm
"WTO members agree to extend e-commerce, non-violation moratoriums",News item,https://www.wto.org/english/news_e/news19_e/gc_10dec19_e.htm
DG Azevêdo to launch intensive consultations on resolving Appellate Body impasse,News item,https://www.wto.org/english/news_e/news19_e/gc_09dec19_e.htm
Summary of the General Council meeting,Summary,https://www.wto.org/english/news_e/news19_e/sum_gc_dec19_e.htm
DG Azevêdo urges WTO members to find ways forward on the dispute settlement system,News item,https://www.wto.org/english/news_e/news19_e/tnc_06dec19_e.htm
Dynamic services markets need well-functioning regulatory frameworks — DG Azevêdo,Speech,https://www.wto.org/english/news_e/spra_e/spra297_e.htm
30 years of the Trade Policy Review Mechanism,Speech,https://www.wto.org/english/news_e/spra_e/spra296_e.htm
DG Azevêdo: Members have the opportunity to address global plastic pollution at the WTO,Speech,https://www.wto.org/english/news_e/spra_e/spra295_e.htm
DG Azevêdo thanks 2019 WTO Young Professionals for their work and contributions,News item,https://www.wto.org/english/news_e/news19_e/ypp_25nov19_e.htm
Azevêdo on World Fisheries Day: Time to end harmful fishing subsidies,News item,https://www.wto.org/english/news_e/news19_e/fish_21nov19_e.htm
Trade restrictions among G20 economies remain at historic highs,News item,https://www.wto.org/english/news_e/news19_e/trdev_21nov19_e.htm
Businesses want more transparent and predictable services regulations — DG Azevêdo,Speech,https://www.wto.org/english/news_e/spra_e/spra294_e.htm
DG Azevêdo and President Xi participate in opening ceremony of China International Import Expo,News item,https://www.wto.org/english/news_e/news19_e/dgra_05nov19_e.htm
Azevêdo urges ministers to step up work on the road to MC12,News item,https://www.wto.org/english/news_e/news19_e/infac_05nov19_e.htm
China International Import Expo opening ceremony,Speech,https://www.wto.org/english/news_e/spra_e/spra292_e.htm
Luncheon on investment facilitation for development,Speech,https://www.wto.org/english/news_e/spra_e/spra293_e.htm
"Technical Symposium (WHO, WIPO and WTO): Cutting-edge health technologies — opportunities and challenges",Speech,https://www.wto.org/english/news_e/spra_e/spra291_e.htm
DG Azevêdo: Enhanced participation of LDCs in services trade should be key priority,Speech,https://www.wto.org/english/news_e/spra_e/spra288_e.htm
Advanced Course on the WTO’s SPS Agreement,Speech,https://www.wto.org/english/news_e/spra_e/spra289_e.htm
DG Azevêdo and Kazakh Trade Minister Sultanov sign 12th Ministerial Conference Agreement,News item,https://www.wto.org/english/news_e/news19_e/minis_29oct19_e.htm
DG Azevêdo: Voices of business community can help rebuild confidence in trading system,Speech,https://www.wto.org/english/news_e/spra_e/spra290_e.htm
DG Azevêdo: Regional and multilateral efforts are key to Africa’s integration strategies,News item,https://www.wto.org/english/news_e/news19_e/dgra_25oct19_e.htm
