title,type,url
DG Okonjo-Iweala: “Our work is cut out for us” on achieving concrete MC13 outcomes,News item,https://www.wto.org/english/news_e/news23_e/gc_01nov23_e.htm
Senior Officials Meeting paves way for progress on deliverables at MC13,News item,https://www.wto.org/english/news_e/news23_e/gc_24oct23_e.htm
WTO members reach deal to support least-developed countries on path to graduation,News item,https://www.wto.org/english/news_e/news23_e/ldevc_23oct23_e.htm
Members share views in informal talks on trade and industrial policy,News item,https://www.wto.org/english/news_e/news23_e/gc_26sep23_e.htm
Members examine “road map” for MC13 on the WTO’s reform of its deliberative function,News item,https://www.wto.org/english/news_e/news23_e/gc_25jul23_e.htm
WTO members elect Chairperson for 13th Ministerial Conference in Abu Dhabi,News item,https://www.wto.org/english/news_e/news23_e/gc_24jul23_e.htm
"Members examine deliberative functions, institutional matters on WTO reform agenda",News item,https://www.wto.org/english/news_e/news23_e/gc_16jun23_e.htm
DG Okonjo-Iweala: Delivering meaningful development outcomes key to successful MC13,News item,https://www.wto.org/english/news_e/news23_e/gc_08may23_e.htm
WTO chairpersons for 2023,Press release,https://www.wto.org/english/news_e/pres23_e/pr921_e.htm
DG Okonjo-Iweala: Delivering meaningful outcomes at MC13 “not beyond our reach”,News item,https://www.wto.org/english/news_e/news23_e/gc_06mar23_e.htm
Members address development dimension of WTO reform agenda,News item,https://www.wto.org/english/news_e/news23_e/devel_03feb23_e.htm
"DG Okonjo-Iweala: During these difficult times, the WTO “cannot afford to stand aside”",News item,https://www.wto.org/english/news_e/news22_e/dgno_20dec22_e.htm
"WTO members accept UAE, Cameroon offers to host Ministerial Conferences",News item,https://www.wto.org/english/news_e/news22_e/gc_19dec22_e.htm
Members hold informal talks on WTO reform,News item,https://www.wto.org/english/news_e/news22_e/gc_11nov22_e.htm
DG Okonjo-Iweala: Let WTO be an institution people can trust to deliver in difficult times,News item,https://www.wto.org/english/news_e/news22_e/gc_06oct22_e.htm
DG Okonjo-Iweala urges members to build on MC12 success to revitalize WTO core functions,News item,https://www.wto.org/english/news_e/news22_e/gc_25jul22_e.htm
DG Okonjo-Iweala urges members to seize opportunity at MC12 to deliver meaningful outcomes,News item,https://www.wto.org/english/news_e/news22_e/gc_07jun22_e.htm
Members welcome Quad document as basis for text-based negotiations on pandemic IP response,News item,https://www.wto.org/english/news_e/news22_e/gc_10may22_e.htm
DG Okonjo-Iweala urges WTO members to “meet the many challenges of our time”,News item,https://www.wto.org/english/news_e/news22_e/gc_09may22_e.htm
General Council endorses final decision on Bali tariff rate quota underfill mechanism,News item,https://www.wto.org/english/news_e/news22_e/gc_31mar22_e.htm
Informal General Council meeting,News item,https://www.wto.org/english/news_e/news22_e/gc_28mar22_e.htm
DG Okonjo-Iweala: “This is not the time to retreat inward”,News item,https://www.wto.org/english/news_e/news22_e/dgno_28mar22_e.htm
WTO chairpersons for 2022,Press release,https://www.wto.org/english/news_e/pres22_e/pr898_e.htm
WTO members agree on mid-June dates for reconvening MC12,News item,https://www.wto.org/english/news_e/news22_e/mc12_23feb22_e.htm
