title,type,url
Intermediate goods exports continue to fall in second quarter of 2023,News item,https://www.wto.org/english/news_e/news23_e/miwi_20nov23_e.htm
Report finds strong expansion of global value chains but warns of increased vulnerability,News item,https://www.wto.org/english/news_e/news23_e/publ_16nov23_e.htm
"Standards cooperation, quality infrastructure key to boosting value chains — DDG Paugam",News item,https://www.wto.org/english/news_e/news23_e/ddgjp_01sep23_e.htm
Two years at the WTO: My take on the future of the multilateral trading system,Blog,https://www.wto.org/english/blogs_e/ddg_anabel_gonzalez_e/blog_ag_03aug23_e.htm
Intermediate goods exports fall in fourth quarter of 2022 amid supply chain disruptions,News item,https://www.wto.org/english/news_e/news23_e/miwi_12jun23_e.htm
Today’s supply chain disruptions reaffirm the importance of a multilateral trading system based on WTO rules,Blog,https://www.wto.org/english/blogs_e/ce_ralph_ossa_e/blog_ro_02jun23_e.htm
"WTO offers venue for cooperation amid geostrategic competition, says DDG González",News item,https://www.wto.org/english/news_e/news23_e/ddgag_11apr23_e.htm
Exports of intermediate goods post sustained growth in second quarter of 2022,News item,https://www.wto.org/english/news_e/news23_e/stat_01feb23_e.htm
Standards transparency champions programme kicks off in Geneva,News item,https://www.wto.org/english/news_e/news22_e/tbt_19oct22_e.htm
Symposium highlights importance of WTO’s work on easing regulatory bottlenecks,News item,https://www.wto.org/english/news_e/news22_e/tbt_18oct22_e.htm
TBT Symposium on Alleviating Regulatory Bottlenecks in Global Supply Chains,News item,https://www.wto.org/english/news_e/news22_e/ddgjp_17oct22_e.htm
"Technical Barriers Committee helps strengthen value chains, acts as incubator for WTO reforms",News item,https://www.wto.org/english/news_e/news22_e/tbt_14oct22_e.htm
Exports of intermediate goods see continued growth in fourth quarter of 2021,News item,https://www.wto.org/english/news_e/news22_e/stat_25may22_e.htm
DDG González: “Trade is essential to win the fight against climate change”,News item,https://www.wto.org/english/news_e/news22_e/ddgag_20may22_e.htm
DDG Paugam highlights public-private sector dialogue in addressing supply chain challenges,News item,https://www.wto.org/english/news_e/news22_e/ddgjp_23may22_e.htm
"Supply chains are essential to trade, job creation, and decent work — DDG Ellard",News item,https://www.wto.org/english/news_e/news22_e/ddgae_12apr22_e.htm
WTO releases update to statistical profiles on trade in value-added for 66 economies,News item,https://www.wto.org/english/news_e/news22_e/miwi_30mar22_e.htm
"DDG González: Resilient supply chains call for trade diversification, not decoupling",News item,https://www.wto.org/english/news_e/news22_e/ddgag_29mar22_e.htm
Supply chain challenges and heightened uncertainty: How can the WTO help?,Blog,https://www.wto.org/english/blogs_e/ddg_anabel_gonzalez_e/blog_ag_22mar22_e.htm
WTO offers unique forum for dialogue on global supply chain issues — DG Okonjo-Iweala,News item,https://www.wto.org/english/news_e/news22_e/miwi_21mar22_e.htm
WTO to host Global Supply Chains Forum to explore ways of easing disruptions to trade,News item,https://www.wto.org/english/news_e/news22_e/miwi_04mar22_e.htm
Exports of intermediate goods continue to grow in third quarter of 2021,News item,https://www.wto.org/english/news_e/news22_e/stat_04feb22_e.htm
"New publication examines global value chain resilience, shift beyond manufacturing sector",News item,https://www.wto.org/english/news_e/news21_e/publ_15nov21_e.htm
DDG Gonzalez highlights benefits of global value chains for LDCs,News item,https://www.wto.org/english/news_e/news21_e/ddgag_16nov21_e.htm
Exports of intermediate goods gain momentum in Q2 with 47% year-on-year increase,News item,https://www.wto.org/english/news_e/news21_e/stat_03nov21_e.htm
