title,type,url
"Parties to government procurement pact welcome new party, new acceding country",News item,https://www.wto.org/english/news_e/news23_e/gpro_10nov23_e.htm
North Macedonia ratifies revised government procurement pact,News item,https://www.wto.org/english/news_e/news23_e/gpro_30sep23_e.htm
Costa Rica submits application to join government procurement pact,News item,https://www.wto.org/english/news_e/news23_e/gpro_28sep23_e.htm
North Macedonia set to become new party to government procurement pact,News item,https://www.wto.org/english/news_e/news23_e/gpro_07jun23_e.htm
Advanced online workshop on Government Procurement Agreement concludes,News item,https://www.wto.org/english/news_e/news23_e/gpro_12may23_e.htm
Application opens for online workshop on WTO Agreement on Government Procurement,News item,https://www.wto.org/english/news_e/news23_e/gpro_10mar23_e.htm
"DG Okonjo-Iweala: WTO rules can support fight against corruption, illicit trade and enhance transparency",Speech,https://www.wto.org/english/news_e/spno_e/spno21_e.htm
Advanced global workshop on Government Procurement Agreement concludes,News item,https://www.wto.org/english/news_e/news21_e/gpro_30nov21_e.htm
New webpage to mark government procurement pact anniversary,News item,https://www.wto.org/english/news_e/news21_e/gpro_12oct21_e.htm
Applications open for online workshop on Government Procurement Agreement,News item,https://www.wto.org/english/news_e/news21_e/gpro_22sep21_e.htm
Talks kick off for Brazil’s accession to government procurement pact,News item,https://www.wto.org/english/news_e/news21_e/gpro_03mar21_e.htm
First online global workshop on government procurement concludes,News item,https://www.wto.org/english/news_e/news20_e/gpro_17dec20_e.htm
Advanced Global E-workshop on the Plurilateral WTO Agreement on Government Procurement (GPA),News item,https://www.wto.org/english/news_e/news20_e/ddgyx_07dec20_e.htm
UK and Switzerland confirm participation in revised government procurement pact,News item,https://www.wto.org/english/news_e/news20_e/gpro_02dec20_e.htm
UK to join government procurement pact in its own right in the new year,News item,https://www.wto.org/english/news_e/news20_e/gpro_07oct20_e.htm
"Brazil underlines bid to join government procurement pact, Côte d’Ivoire becomes observer",News item,https://www.wto.org/english/news_e/news20_e/gpro_21jul20_e.htm
Brazil submits application to join government procurement pact,News item,https://www.wto.org/english/news_e/news20_e/gpro_19may20_e.htm
Kazakhstan prepares to negotiate accession to Government Procurement Agreement,News item,https://www.wto.org/english/news_e/news20_e/gpro_26feb20_e.htm
Kazakhstan submits application to join government procurement pact,News item,https://www.wto.org/english/news_e/news19_e/gpro_03dec19_e.htm
China submits revised offer for joining government procurement pact,News item,https://www.wto.org/english/news_e/news19_e/gpro_23oct19_e.htm
"Workshop on public health, intellectual property and government procurement for WAEMU Members held in Dakar",News item,https://www.wto.org/english/news_e/news19_e/tra_04jul19_e.htm
"Workshop on public health, intellectual property and government procurement for WAEMU Members held in Dakar",Activity sheet for the course,https://www.wto.org/french/news_f/news19_f/tra_04jul19_f.pdf
Parties welcome new observers to WTO government procurement committee,News item,https://www.wto.org/english/news_e/news19_e/gpro_27jun19_e.htm
Advanced Global Workshop on Government Procurement,News item,https://www.wto.org/english/news_e/news19_e/ddgyx_17may19_e.htm
Workshop on government procurement concludes in Geneva,News item,https://www.wto.org/english/news_e/news19_e/gpro_17may19_e.htm
Philippines submits request for observer status in WTO Committee on Government Procurement,News item,https://www.wto.org/english/news_e/news19_e/gpro_06may19_e.htm
Australia ratifies WTO procurement pact,News item,https://www.wto.org/english/news_e/news19_e/gpro_05apr19_e.htm
UK set to become a party to the Government Procurement Agreement in its own right,News item,https://www.wto.org/english/news_e/news19_e/gpro_27feb19_e.htm
Parties to government procurement pact approve UK’s terms of participation post-Brexit,News item,https://www.wto.org/english/news_e/news18_e/gpro_28nov18_e.htm
WTO hosts first workshop on government procurement and governance,News item,https://www.wto.org/english/news_e/news18_e/gpro_13nov18_e.htm
DG Azevêdo opens first workshop on government procurement and governance,Speech,https://www.wto.org/english/news_e/spra_e/spra245_e.htm
DDG Wolff: Government Procurement Agreement is a pillar of the global trading system,News item,https://www.wto.org/english/news_e/news18_e/ddgra_23oct18_e.htm
Australia accepted as new party to government procurement pact,News item,https://www.wto.org/english/news_e/news18_e/gpro_17oct18_e.htm
Workshop on government procurement concludes in Geneva,News item,https://www.wto.org/english/news_e/news18_e/gpro_14sep18_e.htm
DG Azevêdo opens week-long workshop on government procurement,Speech,https://www.wto.org/english/news_e/spra_e/spra232_e.htm
Australia’s accession negotiations for government procurement pact reach milestone — Chair,News item,https://www.wto.org/english/news_e/news18_e/gpro_27jun18_e.htm
