title,type,url
New Import Licensing Notification Portal now available,News item,https://www.wto.org/english/news_e/news23_e/impl_31oct23_e.htm
In-person WTO workshop on import licensing and notifications concludes in Geneva,News item,https://www.wto.org/english/news_e/news23_e/impl_27sep23_e.htm
"Members advance work on online notification portal, import licensing database",News item,https://www.wto.org/english/news_e/news23_e/impl_23may23_e.htm
Virtual workshop on import licensing and notifications concludes,News item,https://www.wto.org/english/news_e/news22_e/impl_29sep22_e.htm
Members advance work to improve transparency in import licensing procedures,News item,https://www.wto.org/english/news_e/news22_e/impl_08apr22_e.htm
EU initiates WTO dispute complaint regarding Egyptian import registration requirements,News item,https://www.wto.org/english/news_e/news22_e/ds609rfc_27jan22_e.htm
Online workshop on import licensing concludes,News item,https://www.wto.org/english/news_e/news21_e/impl_06oct21_e.htm
WTO launches new import licensing platform,News item,https://www.wto.org/english/news_e/news20_e/impl_09oct20_e.htm
"Peru initiates WTO dispute complaint against Brazil’s PET duties, tax treatment of imports",News item,https://www.wto.org/english/news_e/news20_e/ds596rfc_15jul20_e.htm
Myanmar queried on import licensing requirements for agricultural products,News item,https://www.wto.org/english/news_e/news19_e/impl_04oct19_e.htm
United States initiates WTO dispute against Indian duties on US imports,News item,https://www.wto.org/english/news_e/news19_e/ds585rfc_04jul19_e.htm
Members advance work on new import licensing website and database,News item,https://www.wto.org/english/news_e/news19_e/impl_04apr19_e.htm
WTO farm negotiators reopen talks on export competition and export restrictions,News item,https://www.wto.org/english/news_e/news18_e/agng_15nov18_e.htm
Viet Nam’s measures on cyber security products questioned at import licensing meeting,News item,https://www.wto.org/english/news_e/news18_e/impl_23oct18_e.htm
Workshop on Import Licensing concludes at the WTO,News item,https://www.wto.org/english/news_e/news18_e/impl_30apr18_e.htm
"Members reiterate concerns over waste products, feed wheat, pulses and other goods",News item,https://www.wto.org/english/news_e/news18_e/impl_24apr18_e.htm
China’s import ban on solid waste queried at import licensing meeting,News item,https://www.wto.org/english/news_e/news17_e/impl_03oct17_e.htm
Emerging economies question EU surveillance measure on steel imports,News item,https://www.wto.org/english/news_e/news16_e/impl_03nov16_e.htm
Import procedures for tyres and apples questioned by several WTO members,News item,https://www.wto.org/english/news_e/news15_e/impl_20oct15_e.htm
WTO members discuss how to step up notifications on import licensing,News item,https://www.wto.org/english/news_e/news15_e/impl_23apr15_e.htm
Appellate Body issues report on Argentina’s import measures,Appellate Body Report,https://www.wto.org/english/news_e/news15_e/438_444_445abr_e.htm
Chairman urges members to step up notification efforts on import licensing,News item,https://www.wto.org/english/news_e/news14_e/impl_20oct14_e.htm
"Russia, Viet Nam, Indonesia and Brazil among members queried on import licensing",News item,https://www.wto.org/english/news_e/news13_e/impl_22apr13_e.htm
Members continue to criticize Argentina’s import licensing,News item,https://www.wto.org/english/news_e/news12_e/impl_27apr12_e.htm
Plaudits for newcomer Ukraine’s import licensing efforts,News item,https://www.wto.org/english/news_e/news08_e/implic_20oct08_e.htm
2006 import licensing review completed,News item,https://www.wto.org/english/news_e/news06_e/implic_30oct06_e.htm
