title,type,url
"Small business group discusses access to information, capacity building, MC13 plans",News item,https://www.wto.org/english/news_e/news23_e/msmes_09oct23_e.htm
"MSMEs Group discusses digitalization, access to finance for women-owned small businesses",News item,https://www.wto.org/english/news_e/news23_e/igmsm_03jul23_e.htm
"Working Group announces Small Business Champions, Trade4MSMEs update and new Trade Game",News item,https://www.wto.org/english/news_e/news23_e/igmsm_27jun23_e.htm
"Small business group appoints new coordinator, discusses digitalisation, finance and standards",News item,https://www.wto.org/english/news_e/news23_e/igmsm_26apr23_e.htm
2023 Small Business Champions Competition launched,News item,https://www.wto.org/english/news_e/news23_e/igmsm_16mar23_e.htm
"Working group on small business approves work program, issues a call for papers",News item,https://www.wto.org/english/news_e/news23_e/igmsm_15mar23_e.htm
"Group on small business discusses implementation of 2020 recommendations, future work",News item,https://www.wto.org/english/news_e/news22_e/msmes_12oct22_e.htm
Winners of Small Business Champions Competition announced,News item,https://www.wto.org/english/news_e/news22_e/sbc_26sep22_e.htm
Working group on small business reflects on way forward post MC12,News item,https://www.wto.org/english/news_e/news22_e/igmsm_15jul22_e.htm
Working group highlights progress in integrating small businesses into international trade,News item,https://www.wto.org/english/news_e/news22_e/igmsm_15jun22_e.htm
Working group on small business launches Trade4MSMEs network,News item,https://www.wto.org/english/news_e/news22_e/igmsm_08jun22_e.htm
Working group on small business welcomes three more members,News item,https://www.wto.org/english/news_e/news22_e/msmes_08feb22_e.htm
Working group on small business launches Trade4MSMEs platform,News item,https://www.wto.org/english/news_e/news21_e/igmsm_02dec21_e.htm
Working group on small business discusses preparations for MC12,News item,https://www.wto.org/english/news_e/news21_e/msmes_08nov21_e.htm
Working group on small business finalises MC12 draft declaration,News item,https://www.wto.org/english/news_e/news21_e/msmes_28sep21_e.htm
Working group on small business close to finalizing ministerial declaration,News item,https://www.wto.org/english/news_e/news21_e/msmes_26jul21_e.htm
Call for proposals for “Digital Champions for Small Business” initiative,News item,https://www.wto.org/english/news_e/news21_e/msmes_25jun21_e.htm
Working group on small business reviews draft ministerial declaration,News item,https://www.wto.org/english/news_e/news21_e/msmes_24jun21_e.htm
Working group on small business discusses roadmap to MC12 and explores new topics,News item,https://www.wto.org/english/news_e/news21_e/msmes_04may21_e.htm
Working group on small business reflects on topics for 2021 workplan,News item,https://www.wto.org/english/news_e/news21_e/msmes_18feb21_e.htm
Coordinators of joint initiatives cite substantial progress in discussions,News item,https://www.wto.org/english/news_e/news20_e/jsec_18dec20_e.htm
Package of declarations and recommendations adopted to help small businesses trade globally,News item,https://www.wto.org/english/news_e/news20_e/msmes_11dec20_e.htm
Working group finalises package of declarations and recommendations to assist small business,News item,https://www.wto.org/english/news_e/news20_e/msmes_05nov20_e.htm
World MSME Day: DG Azevêdo cites WTO members’ progress in helping small businesses,Speech,https://www.wto.org/english/news_e/spra_e/spra227_e.htm
DDG Wolff: MSMEs need your support and they need action,News item,https://www.wto.org/english/news_e/news18_e/ddgra_27mar18_e.htm
Azevêdo: MSMEs are now at the heart of the trade debate,Speech,https://www.wto.org/english/news_e/spra_e/spra210_e.htm
"New initiatives on electronic commerce, investment facilitation and MSMEs",News item,https://www.wto.org/english/news_e/news17_e/minis_13dec17_e.htm
