title,type,url
Trade and Gender Informal Working Group co-chairs launch work plan for 2023-24,News item,https://www.wto.org/english/news_e/news23_e/iwgtg_20jun23_e.htm
El Salvador minister calls on WTO members to take action on promoting gender equality,News item,https://www.wto.org/english/news_e/news23_e/iwgtg_24apr23_e.htm
Deadline for applying to the WTO Training on Trade and Gender extended to 20 March,News item,https://www.wto.org/english/news_e/news23_e/women_13mar23_e.htm
DDG Ellard: We need to make trade work for women,News item,https://www.wto.org/english/news_e/news23_e/ddgae_07mar23_e.htm
Trade and Gender Informal Working Group co-chairs present draft work plan for 2023,News item,https://www.wto.org/english/news_e/news23_e/women_15feb23_e.htm
"Members highlight progress on trade and gender, aim for long-term work programme in 2023",News item,https://www.wto.org/english/news_e/news22_e/women_12dec22_e.htm
Trade and gender co-chairs affirm commitment to gender equality in trade at MC12,News item,https://www.wto.org/english/news_e/news22_e/iwgtg_13jun22_e.htm
Trade and Gender Informal Working Group co-chairs present draft outcome document for MC12,News item,https://www.wto.org/english/news_e/news21_e/women_23sep21_e.htm
Members discuss how Aid for Trade can support women’s economic empowerment,News item,https://www.wto.org/english/news_e/news21_e/iwgtg_16jul21_e.htm
WTO launches Gender Research Hub to promote cooperation on trade and gender issues,News item,https://www.wto.org/english/news_e/news21_e/iwgtg_31may21_e.htm
Members of Trade and Gender Informal Working Group discuss women empowerment initiatives,News item,https://www.wto.org/english/news_e/news21_e/women_28apr21_e.htm
Members of Informal Working Group on Trade and Gender agree on work plan for 2021,News item,https://www.wto.org/english/news_e/news21_e/women_12mar21_e.htm
New WTO working group established to deepen trade and gender discussions,News item,https://www.wto.org/english/news_e/news20_e/women_23sep20_e.htm
Buenos Aires Declaration on Women and Trade outlines actions to empower women,News item,https://www.wto.org/english/news_e/news17_e/mc11_12dec17_e.htm
