title,type,url
Timor-Leste's participation in Information Technology Agreement and its Expansion approved,News item,https://www.wto.org/english/news_e/news23_e/ita_19oct23_e.htm
WTO dispute panels issue reports regarding Indian tech tariffs,Panel report,https://www.wto.org/english/news_e/news23_e/582_584_588r_e.htm
Members welcome Timor-Leste’s request to join Information Technology Agreement,News item,https://www.wto.org/english/news_e/news23_e/ita_03apr23_e.htm
DDG Ellard: Technology presents challenges and opportunities for future of trade,News item,https://www.wto.org/english/news_e/news23_e/ddgae_16feb23_e.htm
"WTO members discuss implementation of Information Technology Agreement, new IT developments",News item,https://www.wto.org/english/news_e/news22_e/ita_12oct22_e.htm
Participants reflect on future work of the ITA Committee,News item,https://www.wto.org/english/news_e/news22_e/ita_06apr22_e.htm
Lao PDR joins information technology agreements,News item,https://www.wto.org/english/news_e/news21_e/ita_02dec21_e.htm
Symposium celebrates 25 years of Information Technology Agreement,News item,https://www.wto.org/english/news_e/news21_e/ita_17sep21_e.htm
Lao PDR on course to join information technology agreements,News item,https://www.wto.org/english/news_e/news21_e/ita_30jul21_e.htm
Workshop on Information Technology Agreement to be held in September 2021,News item,https://www.wto.org/english/news_e/news21_e/ita_19apr21_e.htm
Workshop on Information Technology Agreement to be held in spring 2021,News item,https://www.wto.org/english/news_e/news20_e/ita_05nov20_e.htm
Japan initiates WTO dispute complaint against Indian tech tariffs,News item,https://www.wto.org/english/news_e/news19_e/ds584rfc_14may19_e.htm
EU initiates WTO dispute complaint against Indian tech tariffs,News item,https://www.wto.org/english/news_e/news19_e/ds582rfc_08apr19_e.htm
New WTO publication reviews evolution of tariff negotiations and renegotiations,News item,https://www.wto.org/english/news_e/news18_e/publ_04dec18_e.htm
WTO members shed light on challenges of increasing trade for small economies,News item,https://www.wto.org/english/news_e/news18_e/msmes_13nov18_e.htm
WTO members discuss implementation of Information Technology Agreement,News item,https://www.wto.org/english/news_e/news18_e/ita_30oct18_e.htm
"WTO members discuss ITA implementation, symposium and non-tariff barriers",News item,https://www.wto.org/english/news_e/news17_e/ita_30jun17_e.htm
Symposium on the 20th Anniversary of the Information Technology Agreement,Speech,https://www.wto.org/english/news_e/spra_e/spra179_e.htm
WTO marks 20 years of the Information Technology Agreement (ITA),News item,https://www.wto.org/english/news_e/news17_e/ita_27jun17_e.htm
Majority of participants have now implemented ITA expansion commitments,News item,https://www.wto.org/english/news_e/news16_e/ita_01nov16_e.htm
Support expressed for advancing WTO work on electronic commerce,News item,https://www.wto.org/english/news_e/news16_e/good_14jul16_e.htm
ITA expansion participants get ready for first tariff cuts,News item,https://www.wto.org/english/news_e/news16_e/ita_20apr16_e.htm
DG Azevêdo: WTO can support Qatar’s economic goals,News item,https://www.wto.org/english/news_e/news16_e/dgra_01mar16_e.htm
Azevêdo: Build on historic success of Nairobi to tackle urgent challenges facing the WTO,Speech,https://www.wto.org/english/news_e/spra_e/spra109_e.htm
Information Technology Agreement press conference: Remarks by Director-General Roberto Azevêdo,Speech,https://www.wto.org/english/news_e/spra_e/spra104_e.htm
WTO members conclude landmark $1.3 trillion IT trade deal,News item,https://www.wto.org/english/news_e/news15_e/ita_16dec15_e.htm
"Chinese Taipei, Thailand confirm acceptance of landmark IT deal",News item,https://www.wto.org/english/news_e/news15_e/ita_28jul15_e.htm
WTO members reach landmark $1.3 trillion IT trade deal,News item,https://www.wto.org/english/news_e/news15_e/ita_23jul15_e.htm
WTO members move close to deal on ITA expansion,News item,https://www.wto.org/english/news_e/news15_e/ita_20jul15_e.htm
Public Lecture at S. Rajaratnam School of International Studies: “WTO 20th Anniversary — Building a Stronger Global Trading System”,Speech,https://www.wto.org/english/news_e/spra_e/spra61_e.htm
WTO helps underpin Philippine economic success — Azevêdo,Speech,https://www.wto.org/english/news_e/spra_e/spra58_e.htm
Azevêdo urges Malaysia’s continued leadership in advancing WTO agenda,Speech,https://www.wto.org/english/news_e/spra_e/spra57_e.htm
Participants urge swift conclusion to ITA 2 negotiations,News item,https://www.wto.org/english/news_e/news15_e/ita_08may15_e.htm
DG Azevêdo urges members to remain actively engaged on ITA,News item,https://www.wto.org/english/news_e/news14_e/ita_12dec14_e.htm
Azevêdo hails breakthrough on the WTO’s Information Technology Agreement,News item,https://www.wto.org/english/news_e/news14_e/ita_11nov14_e.htm
Russia joins WTO’s Information Technology Agreement,News item,https://www.wto.org/english/news_e/news13_e/ita_13sep13_e.htm
Negotiators aim to finalize expanded information technology coverage by end July,News item,https://www.wto.org/english/news_e/news13_e/ita_04jun13_e.htm
Information technology: progress reported on expanding product coverage,News item,https://www.wto.org/english/news_e/news12_e/ita_01nov12_e.htm
Informal talks set to begin on expanding the Information Technology Agreement,News item,https://www.wto.org/english/news_e/news12_e/ita_15may12_e.htm
Lamy says Information Technology Agreement success could inspire further trade opening in other sectors,Speech,https://www.wto.org/english/news_e/sppl_e/sppl228_e.htm
Lamy says Information Technology Agreement success could inspire further trade opening in other sectors,Welcome address and launching of the publication,https://www.wto.org/audio/2012_05_14_ita_lamy_opening.mp3
Information Technology Agreement marks 15th anniversary with two-day symposium,News item,https://www.wto.org/english/news_e/news12_e/ita_04may12_e.htm
Colombia joins WTO’s Information Technology Agreement,News item,https://www.wto.org/english/news_e/news12_e/ita_28mar12_e.htm
"EU pushes for ITA expansion, Russia wishes to join",News item,https://www.wto.org/english/news_e/news11_e/ita_24oct11_e.htm
EU pushes for review of Information Technology Agreement,News item,https://www.wto.org/english/news_e/news10_e/ita_11nov10_e.htm
