title,type,url
Youth Trade Summit emphasizes contribution of youth to the trade and gender debate,News item,https://www.wto.org/english/news_e/news23_e/women_14nov23_e.htm
Registration opens for the Youth Trade Summit on Gender,News item,https://www.wto.org/english/news_e/news23_e/women_17oct23_e.htm
"WTO, St. Gallen University launch trade for peace research project",News item,https://www.wto.org/english/news_e/news23_e/tfp_28sep23_e.htm
WTO to support developing country team coaches in Moot Court competition,News item,https://www.wto.org/english/news_e/news23_e/disp_18sep23_e.htm
WTO announces winner of 2023 Essay Award for Young Economists,News item,https://www.wto.org/english/news_e/news23_e/essay_14sep23_e.htm
Nomination deadline for Youth Trade Summit on Gender extended to 12 September,News item,https://www.wto.org/english/news_e/news23_e/women_10jul23_e.htm
WTO congratulates participants in 21st Edition of John H. Jackson Moot Court Competition,News item,https://www.wto.org/english/news_e/news23_e/disp_17jun23_e.htm
Youth Trade Summit on Gender to foster next generation of trade and gender experts,News item,https://www.wto.org/english/news_e/news23_e/women_12jun23_e.htm
DG Okonjo-Iweala welcomes Joint University Study Tour students to the WTO,News item,https://www.wto.org/english/news_e/news23_e/dgno_05jun23_e.htm
WTO launches call for candidates for the 2024 Young Professionals Programme,News item,https://www.wto.org/english/news_e/news23_e/ypp_20mar23_e.htm
WTO welcomes first participation of South Pacific students in Moot Court Competition,News item,https://www.wto.org/english/news_e/news23_e/stud_02mar23_e.htm
DG Okonjo-Iweala welcomes the 2023 cohort of WTO Young Professionals,News item,https://www.wto.org/english/news_e/news23_e/ypp_31jan23_e.htm
WTO issues call for papers for 2023 Essay Award for Young Economists,News item,https://www.wto.org/english/news_e/news23_e/essay_27jan23_e.htm
WTO launches new e-Learning platform,News item,https://www.wto.org/english/news_e/news22_e/tech_12dec22_e.htm
"International Forum for Inclusive and Sustainable Development in the Southeast Asia, Latin America and the Caribbean (SEA-LAC) Region",News item,https://www.wto.org/english/news_e/news22_e/ddgxz_12dec22_e.htm
"WTO Chair in Indonesia hosts interregional forum for inclusive, sustainable development",News item,https://www.wto.org/english/news_e/news22_e/chair_12dec22_e.htm
DDG Ellard welcomes launch of first-ever study on trade and disability,News item,https://www.wto.org/english/news_e/news22_e/ddgae_09dec22_e.htm
DG Okonjo-Iweala bids farewell to 2022 trainees and young professionals,News item,https://www.wto.org/english/news_e/news22_e/ypp_06dec22_e.htm
DG Okonjo-Iweala receives honorary doctorate from Nyenrode Business University,News item,https://www.wto.org/english/news_e/news22_e/dgno_28nov22_e.htm
Public Forum session highlights importance of youth engagement in trade and peacebuilding,News item,https://www.wto.org/english/news_e/news22_e/pf22_30sep22_e.htm
"WTO Chairs Programme launches activities at Universidad de los Andes, Colombia",News item,https://www.wto.org/english/news_e/news22_e/chair_26sep22_e.htm
WTO to provide coaching help to developing country team coaches in Moot Court Competition,News item,https://www.wto.org/english/news_e/news22_e/devel_12sep22_e.htm
WTO announces winner of 2022 Essay Award for Young Economists,News item,https://www.wto.org/english/news_e/news22_e/essay_08sep22_e.htm
National University of Lesotho launches activities under WTO Chairs Programme,News item,https://www.wto.org/english/news_e/news22_e/chair_13jul22_e.htm
WTO Hosts 20th Edition of John H. Jackson Moot Court Competition,News item,https://www.wto.org/english/news_e/news22_e/stud_02jul22_e.htm
"DDG Ellard discusses significance of multilateralism, MC12 outcomes",News item,https://www.wto.org/english/news_e/news22_e/ddgae_08jul22_e.htm
Costa Rica National University launches activities under WTO Chairs Programme,News item,https://www.wto.org/english/news_e/news22_e/chair_28jun22_e.htm
DDG Ellard addresses the role of multilateralism in a world of polycrisis,News item,https://www.wto.org/english/news_e/news22_e/ddgae_24jun22_e.htm
WTO Chairs Programme activities launched in Peru,News item,https://www.wto.org/english/news_e/news22_e/chair_09jun22_e.htm
Model WTO concludes 2022 edition,News item,https://www.wto.org/english/news_e/news22_e/stud_20apr22_e.htm
"Two programmes for interns from developing countries, LDCs get underway at WTO",News item,https://www.wto.org/english/news_e/news22_e/tech_11mar22_e.htm
DG Okonjo-Iweala welcomes new cohort of WTO young professionals,News item,https://www.wto.org/english/news_e/news22_e/ypp_02feb22_e.htm
"DG Okonjo-Iweala bids farewell to internship, young professionals participants",News item,https://www.wto.org/english/news_e/news21_e/ypp_07dec21_e.htm
WTO members approve 2022-23 technical assistance priorities for developing countries,News item,https://www.wto.org/english/news_e/news21_e/tech_10nov21_e.htm
DDG Zhang welcomes selection of new projects for WTO Chairs Programme,News item,https://www.wto.org/english/news_e/news21_e/chair_06aug21_e.htm
WTO and ELSA formalize agreement to boost Moot Court Competition,News item,https://www.wto.org/english/news_e/news21_e/dsb_06aug21_e.htm
WTO announces winners of John H. Jackson Moot Court Competition,News item,https://www.wto.org/english/news_e/news21_e/stud_29jun21_e.htm
WTO issues call for papers for 2021 Essay Award for Young Economists,News item,https://www.wto.org/english/news_e/news21_e/essay_22apr21_e.htm
2021 Model WTO initiative focuses on trade and health,News item,https://www.wto.org/english/news_e/news21_e/stud_15apr21_e.htm
Calling young professionals: the WTO wants you!,News item,https://www.wto.org/english/news_e/news21_e/ypp_09apr21_e.htm
Two internship programmes for developing countries and LDCs get under way,News item,https://www.wto.org/english/news_e/news21_e/stud_05mar21_e.htm
DDG Agah welcomes fifth cohort of WTO young professionals,News item,https://www.wto.org/english/news_e/news21_e/ypp_03feb21_e.htm
