title,type,url
Intermediate goods exports continue to fall in second quarter of 2023,News item,https://www.wto.org/english/news_e/news23_e/miwi_20nov23_e.htm
WTO issues new edition of Trade Profiles,News item,https://www.wto.org/english/news_e/news23_e/publ_31oct23_e.htm
What are the prospects for global trade growth in 2023 and 2024?,Blog,https://www.wto.org/english/blogs_e/ce_ralph_ossa_e/blog_ro_05oct23_e.htm
WTO lowers 2023 trade growth forecast amid global manufacturing slowdown,News item,https://www.wto.org/english/news_e/news23_e/tfore_05oct23_e.htm
Goods barometer signals upturn in trade backed by strong auto demand,News item,https://www.wto.org/english/news_e/news23_e/wtoi_24aug23_e.htm
WTO issues 2023 edition of the World Trade Statistical Review,News item,https://www.wto.org/english/news_e/news23_e/stat_31jul23_e.htm
"WTO members facilitate imports, reduce trade restrictions, but food export curbs persist",News item,https://www.wto.org/english/news_e/news23_e/tmwto_27jul23_e.htm
WTO issues new edition of World Tariff Profiles,News item,https://www.wto.org/english/news_e/news23_e/publ_06jul23_e.htm
Intermediate goods exports fall in fourth quarter of 2022 amid supply chain disruptions,News item,https://www.wto.org/english/news_e/news23_e/miwi_12jun23_e.htm
Global imports of seaborne wheat maintain upward trend,Blog,https://www.wto.org/english/blogs_e/data_blog_e/blog_dta_08jun23_e.htm
New Global Trade Data Portal offers real-time access to trade data,News item,https://www.wto.org/english/news_e/news23_e/rese_31may23_e.htm
"Goods barometer stabilizes, indicating possible turning point for trade",News item,https://www.wto.org/english/news_e/news23_e/wtoi_31may23_e.htm
New data reveals regional variations in digitally delivered services trade,News item,https://www.wto.org/english/news_e/news23_e/serv_26apr23_e.htm
DG Okonjo-Iweala: WTO must contribute solutions to economic challenges the world is facing,News item,https://www.wto.org/english/news_e/news23_e/tnc_19apr23_e.htm
Tariffs applied by WTO members have almost halved since 1996,Blog,https://www.wto.org/english/blogs_e/data_blog_e/blog_dta_13apr23_e.htm
Trade growth to slow to 1.7% in 2023 following 2.7% expansion in 2022,News item,https://www.wto.org/english/news_e/news23_e/tfore_05apr23_e.htm
WTO issues note on trade policy developments following one year of war in Ukraine,News item,https://www.wto.org/english/news_e/news23_e/trdev_02mar23_e.htm
"Goods barometer declines further, hinting at fourth quarter trade slump",News item,https://www.wto.org/english/news_e/news23_e/wtoi_01mar23_e.htm
Exports of intermediate goods post sustained growth in second quarter of 2022,News item,https://www.wto.org/english/news_e/news23_e/stat_01feb23_e.htm
