title,type,url
Negotiators advance discussion on IFD Agreement integration into WTO legal structure,News item,https://www.wto.org/english/news_e/news23_e/infac_13oct23_e.htm
Public Forum looks at how investment facilitation agreement can support sustainable future,News item,https://www.wto.org/english/news_e/news23_e/infac_15sep23_e.htm
Investment facilitation negotiators announce deal on Agreement’s text,News item,https://www.wto.org/english/news_e/news23_e/infac_06jul23_e.htm
Investment facilitation talks aim at concluding draft text negotiations in early July,News item,https://www.wto.org/english/news_e/news23_e/infac_08jun23_e.htm
Investment facilitation negotiators welcome substantive progress in Draft Agreement,News item,https://www.wto.org/english/news_e/news23_e/infac_04may23_e.htm
Investment facilitation talks resolve remaining issues in Annex to Draft Agreement,News item,https://www.wto.org/english/news_e/news23_e/infac_05apr23_e.htm
Investment facilitation talks advance work towards finalizing negotiating text,News item,https://www.wto.org/english/news_e/news23_e/infac_03mar23_e.htm
Investment facilitation talks intensify to conclude draft agreement in first half of 2023,News item,https://www.wto.org/english/news_e/news23_e/infac_02feb23_e.htm
A new WTO deal to facilitate investment could be ready in 2023. It could not be more timely,Blog,https://www.wto.org/english/blogs_e/ddg_anabel_gonzalez_e/blog_ag_18jan23_e.htm
Structured Discussions on Investment Facilitation for Development,Speech,https://www.wto.org/english/news_e/spno_e/spno36_e.htm
Circulation of draft Agreement marks major milestone in investment facilitation talks,News item,https://www.wto.org/english/news_e/news22_e/infac_16dec22_e.htm
Investment facilitation talks gear up to deliver stabilized text by end of the year,News item,https://www.wto.org/english/news_e/news22_e/infac_25nov22_e.htm
Investment facilitation talks make headway on solving remaining issues in negotiating text,News item,https://www.wto.org/english/news_e/news22_e/infac_03nov22_e.htm
Investment facilitation talks intensify towards achieving “stabilized” negotiating text,News item,https://www.wto.org/english/news_e/news22_e/infac_18oct22_e.htm
Investment facilitation negotiators reaffirm aim of concluding text-based talks this year,News item,https://www.wto.org/english/news_e/news22_e/infac_22sep22_e.htm
Investment facilitation negotiators confirm aim of finalizing text-based talks by end-2022,News item,https://www.wto.org/english/news_e/news22_e/infac_08jul22_e.htm
Investment facilitation negotiators take steps to assess needs of developing countries,News item,https://www.wto.org/english/news_e/news22_e/infac_23feb22_e.htm
"Investment facilitation negotiators resume work, aim at conclusion by end of 2022",News item,https://www.wto.org/english/news_e/news22_e/infac_27jan22_e.htm
More than two-thirds of WTO membership now part of investment facilitation negotiations,News item,https://www.wto.org/english/news_e/news21_e/infac_01dec21_e.htm
"Investment facilitation negotiations end productive year, aim at conclusion by end 2022",News item,https://www.wto.org/english/news_e/news21_e/infac_24nov21_e.htm
Investment facilitation agreement negotiators advance work for MC12,News item,https://www.wto.org/english/news_e/news21_e/infac_03nov21_e.htm
Investment facilitation talks explore future Agreement integration into WTO legal structure,News item,https://www.wto.org/english/news_e/news21_e/infac_05oct21_e.htm
"Investment facilitation talks address S&DT, technical assistance and sustainable investment",News item,https://www.wto.org/english/news_e/news21_e/infac_15sep21_e.htm
DG Okonjo-Iweala welcomes progress on investment facilitation,News item,https://www.wto.org/english/news_e/news21_e/infac_13jul21_e.htm
"Investment facilitation talks advance, delve into implementation and technical assistance",News item,https://www.wto.org/english/news_e/news21_e/infac_17jun21_e.htm
Productive new negotiating round for an investment facilitation agreement,News item,https://www.wto.org/english/news_e/news21_e/infac_12may21_e.htm
“Easter text” to facilitate negotiations for an investment facilitation agreement,News item,https://www.wto.org/english/news_e/news21_e/infac_27apr21_e.htm
Steady progress in the negotiations for an investment facilitation agreement,News item,https://www.wto.org/english/news_e/news21_e/infac_09mar21_e.htm
Investment facilitation agreement negotiators set up roadmap towards Ministerial Conference,News item,https://www.wto.org/english/news_e/news21_e/infac_29jan21_e.htm
Coordinators of joint initiatives cite substantial progress in discussions,News item,https://www.wto.org/english/news_e/news20_e/jsec_18dec20_e.htm
Investment facilitation agreement negotiators wrap up productive year,News item,https://www.wto.org/english/news_e/news20_e/infac_08dec20_e.htm
Good progress in the formal negotiations for an investment facilitation agreement,News item,https://www.wto.org/english/news_e/news20_e/infac_09nov20_e.htm
Negotiations on an investment facilitation agreement show high level of engagement,News item,https://www.wto.org/english/news_e/news20_e/infac_09oct20_e.htm
Structured discussions on investment facilitation for development move into negotiating mode,News item,https://www.wto.org/english/news_e/news20_e/infac_25sep20_e.htm
"Ministerial meeting on investment facilitation for development, Davos",Speech,https://www.wto.org/english/news_e/spra_e/spra299_e.htm
DG Azevêdo welcomes progress in investment facilitation discussions,Speech,https://www.wto.org/english/news_e/spra_e/spra298_e.htm
Azevêdo urges ministers to step up work on the road to MC12,News item,https://www.wto.org/english/news_e/news19_e/infac_05nov19_e.htm
DG Azevêdo welcomes progress in discussions on investment facilitation,News item,https://www.wto.org/english/news_e/news19_e/infac_18jul19_e.htm
DG Azevêdo urges open and inclusive discussions on investment facilitation,Speech,https://www.wto.org/english/news_e/spra_e/spra250_e.htm
High-level forum on advancing trade and investment facilitation for development: a Eurasian perspective,Speech,https://www.wto.org/english/news_e/spra_e/spra236_e.htm
Business leaders express support for the WTO and call for action on priority issues,News item,https://www.wto.org/english/news_e/news18_e/trdia_07jun18_e.htm
DG Azevêdo addresses the Informal Dialogue on Investment Facilitation,Speech,https://www.wto.org/english/news_e/spra_e/spra219_e.htm
"New initiatives on electronic commerce, investment facilitation and MSMEs",News item,https://www.wto.org/english/news_e/news17_e/minis_13dec17_e.htm
Azevêdo highlights important role of trade and investment in promoting sustainable development,Speech,https://www.wto.org/english/news_e/spra_e/spra197_e.htm
Trade Dialogues: Business groups present their recommendations on tackling trade barriers to WTO members,News item,https://www.wto.org/english/news_e/news17_e/trdia_04jul17_e.htm
