title,type,url
E-commerce co-convenors: “We must lock in the credible package that we have in our hands”,News item,https://www.wto.org/english/news_e/news23_e/jsec_27oct23_e.htm
"E-commerce co-convenors call on negotiators to intensify efforts, exercise flexibility",News item,https://www.wto.org/english/news_e/news23_e/jsec_29sep23_e.htm
E-commerce co-convenors to issue updated negotiating text,News item,https://www.wto.org/english/news_e/news23_e/ecom_28jul23_e.htm
"Co-convenors of e-commerce negotiations review progress, reflect on way forward",News item,https://www.wto.org/english/news_e/news23_e/jsec_06jul23_e.htm
E-commerce negotiators continue to seek “landing zones” on text proposals,News item,https://www.wto.org/english/news_e/news23_e/jsec_22jun23_e.htm
"E-commerce negotiations maintain positive momentum, focus on key issues",News item,https://www.wto.org/english/news_e/news23_e/jsec_25may23_e.htm
"E-commerce negotiators advance work, discuss development and data issues",News item,https://www.wto.org/english/news_e/news23_e/jsec_30mar23_e.htm
"E-commerce negotiations enter final lap, Kyrgyz Republic joins initiative",News item,https://www.wto.org/english/news_e/news23_e/ecom_17feb23_e.htm
DDG Ellard: Technology presents challenges and opportunities for future of trade,News item,https://www.wto.org/english/news_e/news23_e/ddgae_16feb23_e.htm
WTO must bolster cooperation in a fragmented world — DG Okonjo-Iweala in Davos,News item,https://www.wto.org/english/news_e/news23_e/igo_20jan23_e.htm
E-commerce negotiators vow to intensify work in coming year,News item,https://www.wto.org/english/news_e/news22_e/ecom_02dec22_e.htm
"E-commerce talks progress, aim at issuing a revised negotiating text by end-2022",News item,https://www.wto.org/english/news_e/news22_e/ecom_28oct22_e.htm
High-level panel explores the need to leverage technology to promote inclusive growth,News item,https://www.wto.org/english/news_e/news22_e/pf22_28sep22_e.htm
"E-commerce talks resume following summer break, Mauritius joins the initiative",News item,https://www.wto.org/english/news_e/news22_e/ecom_16sep22_e.htm
E-commerce talks mark new phase in negotiations,News item,https://www.wto.org/english/news_e/news22_e/ecom_14jul22_e.htm
"Co-convenors welcome good progress in e-commerce talks, launch capacity-building framework",News item,https://www.wto.org/english/news_e/news22_e/jsec_13jun22_e.htm
Co-convenors update participants on latest progress in e-commerce discussions,News item,https://www.wto.org/english/news_e/news22_e/ecom_20may22_e.htm
"E-commerce negotiators seek to find common ground, revisit text proposals",News item,https://www.wto.org/english/news_e/news22_e/jsec_23feb22_e.htm
E-commerce negotiations resume with call for intensified efforts in 2022,News item,https://www.wto.org/english/news_e/news22_e/jsec_04feb22_e.htm
E-commerce co-convenors welcome substantial progress in negotiations,News item,https://www.wto.org/english/news_e/news21_e/ecom_14dec21_e.htm
"Negotiations on e-commerce advance, eyeing a statement at MC12",News item,https://www.wto.org/english/news_e/news21_e/ecom_10nov21_e.htm
E-commerce negotiations: Co-convenors urge members to intensify efforts ahead of MC12,News item,https://www.wto.org/english/news_e/news21_e/ecom_18oct21_e.htm
E-commerce talks: two “foundational” articles cleaned; development issues discussed,News item,https://www.wto.org/english/news_e/news21_e/jsec_12sep21_e.htm
Further progress cited in e-commerce negotiations,News item,https://www.wto.org/english/news_e/news21_e/jsec_22jul21_e.htm
"E-commerce negotiations: Members share updates, discuss legal architecture of future outcome",News item,https://www.wto.org/english/news_e/news21_e/ecom_21jun21_e.htm
"E-commerce negotiations advance, delve deeper into data issues",News item,https://www.wto.org/english/news_e/news21_e/jsec_20may21_e.htm
E-commerce negotiations: Members finalise “clean text” on e-signatures and authentication,News item,https://www.wto.org/english/news_e/news21_e/ecom_20apr21_e.htm
Co-convenors of e-commerce negotiations: We are heartened by progress made so far,News item,https://www.wto.org/english/news_e/news21_e/ecom_16mar21_e.htm
E-commerce negotiations: Members finalise “clean text” on unsolicited commercial messages,News item,https://www.wto.org/english/news_e/news21_e/ecom_05feb21_e.htm
Coordinators of joint initiatives cite substantial progress in discussions,News item,https://www.wto.org/english/news_e/news20_e/jsec_18dec20_e.htm
"E-commerce co-convenors release update on the negotiations, welcome encouraging progress",News item,https://www.wto.org/english/news_e/news20_e/ecom_14dec20_e.htm
"Co-conveners of e-commerce negotiations cite commendable progress, discuss next steps",News item,https://www.wto.org/english/news_e/news20_e/ecom_10dec20_e.htm
Co-conveners of e-commerce negotiations: We are seeing convergence being built but need to move faster,News item,https://www.wto.org/english/news_e/news20_e/ecom_17nov20_e.htm
"Negotiations on e-commerce continue, eyeing a consolidated text by the end of the year",News item,https://www.wto.org/english/news_e/news20_e/ecom_26oct20_e.htm
"Joint Statement on E-commerce, Davos meeting",Speech,https://www.wto.org/english/news_e/spra_e/spra300_e.htm
DG Azevêdo meets ministers in Davos: discussions focus on reform; progress on e-commerce,News item,https://www.wto.org/english/news_e/news19_e/dgra_25jan19_e.htm
DDG Yi : Inclusiveness and transparency have been the guiding principles of our work,News item,https://www.wto.org/english/news_e/news18_e/ddgra_14mar18_e.htm
"New initiatives on electronic commerce, investment facilitation and MSMEs",News item,https://www.wto.org/english/news_e/news17_e/minis_13dec17_e.htm
