title,type,url
Members to continue dialogue on extending TRIPS Decision to therapeutics and diagnostics,News item,https://www.wto.org/english/news_e/news23_e/trip_31oct23_e.htm
"Members briefed on US report on COVID diagnostics and therapeutics, TRIPS flexibilities",News item,https://www.wto.org/english/news_e/news23_e/covid_19oct23_e.htm
Members address WTO reform and agree to hold thematic sessions on supply chain resilience,News item,https://www.wto.org/english/news_e/news23_e/mark_17oct23_e.htm
"Members discuss improvements to service exports data in LDCs, COVID-19, WTO reform",News item,https://www.wto.org/english/news_e/news23_e/serv_05oct23_e.htm
Members advance discussion on challenges in SPS Agreement implementation ahead of MC13,News item,https://www.wto.org/english/news_e/news23_e/sps_29sep23_e.htm
Members meet external stakeholders to advance discussion on extending TRIPS Decision,News item,https://www.wto.org/english/news_e/news23_e/trip_28sep23_e.htm
Fisheries subsidies chair opens fourth “Fish Week” to help distil elements for negotiation,News item,https://www.wto.org/english/news_e/news23_e/fish_10jul23_e.htm
Goods Council reviews work on MC12 follow-up,News item,https://www.wto.org/english/news_e/news23_e/good_07jul23_e.htm
"Members examine deliberative functions, institutional matters on WTO reform agenda",News item,https://www.wto.org/english/news_e/news23_e/gc_16jun23_e.htm
Members to meet external stakeholders to advance discussion on extending TRIPS Decision,News item,https://www.wto.org/english/news_e/news23_e/trip_15jun23_e.htm
"Members address financial inclusion, transport and logistics during services week",News item,https://www.wto.org/english/news_e/news23_e/serv_14jun23_e.htm
Members consider new proposals on subsidies contributing to overcapacity and overfishing,News item,https://www.wto.org/english/news_e/news23_e/fish_09jun23_e.htm
"DG Okonjo-Iweala: Faced with risk of fragmentation, WTO members must stick together",News item,https://www.wto.org/english/news_e/news23_e/dgno_09jun23_e.htm
Members renew talks on Agreement-specific proposals in development committee,News item,https://www.wto.org/english/news_e/news23_e/devel_07jun23_e.htm
"Members advance work to identify, address challenges in implementing SPS Agreement",News item,https://www.wto.org/english/news_e/news23_e/sps_11may23_e.htm
Canada formally accepts Agreement on Fisheries Subsidies,News item,https://www.wto.org/english/news_e/news23_e/fish_02may23_e.htm
Canada donates CAD 1.4 million to WTO Fisheries Funding Mechanism,Press release,https://www.wto.org/english/news_e/pres23_e/pr924_e.htm
United States formally accepts Agreement on Fisheries Subsidies,News item,https://www.wto.org/english/news_e/news23_e/fish_11apr23_e.htm
DDG Paugam: Ensuring safe agriculture trade crucial for a sustainable future,News item,https://www.wto.org/english/news_e/news23_e/ddgjp_06apr23_e.htm
