title,type,url
Committee on Market Access holds first thematic session on supply chain resilience,News item,https://www.wto.org/english/news_e/news23_e/mark_21nov23_e.htm
Members address WTO reform and agree to hold thematic sessions on supply chain resilience,News item,https://www.wto.org/english/news_e/news23_e/mark_17oct23_e.htm
New WTO publication provides insights into the world of export regulations and controls,News item,https://www.wto.org/english/news_e/news23_e/pf23_15sep23_e.htm
"Private sector shares views on trading goods in digital era, post-pandemic changes",News item,https://www.wto.org/english/news_e/news23_e/mark_01jun23_e.htm
WTO members praise value of capturing lessons learned from COVID-19 pandemic,News item,https://www.wto.org/english/news_e/news23_e/mark_27apr23_e.htm
"Workshop promotes understanding of quantitative restrictions, notification requirements",News item,https://www.wto.org/english/news_e/news23_e/qres_24apr23_e.htm
Least-developed countries share experiences on trade in essential goods to fight COVID-19,News item,https://www.wto.org/english/news_e/news23_e/mark_24mar23_e.htm
"Members discuss lessons learned from COVID-19 pandemic, hear views of external stakeholders",News item,https://www.wto.org/english/news_e/news22_e/mark_23nov22_e.htm
"Members welcome enhanced WCO-WTO cooperation, take note of large number of trade concerns",News item,https://www.wto.org/english/news_e/news22_e/mark_19oct22_e.htm
WTO-WCO workshop discusses update of classification system for traded goods,News item,https://www.wto.org/english/news_e/news22_e/mark_17oct22_e.htm
Members share lessons learned on export restrictions during COVID-19 pandemic,News item,https://www.wto.org/english/news_e/news22_e/mark_16sep22_e.htm
Goods Barometer points to stagnating global trade growth,News item,https://www.wto.org/english/news_e/news22_e/wtoi_22aug22_e.htm
Members share experiences on measures adopted to ease trade in COVID-19 essential goods,News item,https://www.wto.org/english/news_e/news22_e/mark_19jul22_e.htm
"Goods barometer remains flat as Ukraine conflict, COVID-19 weigh on trade",News item,https://www.wto.org/english/news_e/news22_e/wtoi_23may22_e.htm
Members discuss improving data collection on trade in essential goods to fight COVID-19,News item,https://www.wto.org/english/news_e/news22_e/mark_26apr22_e.htm
"Members welcome COVID-19 trade-related measures report, agree on future experience sharing",News item,https://www.wto.org/english/news_e/news22_e/mark_05apr22_e.htm
New WTO statistics dashboard provides graphical presentation of trade and tariff data,News item,https://www.wto.org/english/news_e/news22_e/stat_31mar22_e.htm
"Members exchange views on challenges, lessons learnt on trade in COVID-19-related goods",News item,https://www.wto.org/english/news_e/news22_e/mark_07mar22_e.htm
Goods barometer signals possible turning point for trade as supply pressures ease,News item,https://www.wto.org/english/news_e/news22_e/wtoi_21feb22_e.htm
WTO Secretariat updates members on COVID-19 reports and new tools,News item,https://www.wto.org/english/news_e/news22_e/nama_28jan22_e.htm
Market Access Committee updates WTO members on COVID-19 trade-related measures,News item,https://www.wto.org/english/news_e/news21_e/mark_13oct21_e.htm
Exports of intermediate goods sustain gains in Q1 of 2021 after rebound from pandemic,News item,https://www.wto.org/english/news_e/news21_e/miwi_02sep21_e.htm
Members welcome ongoing efforts to monitor trade-related measures during COVID-19 crisis,News item,https://www.wto.org/english/news_e/news21_e/mark_30apr21_e.htm
"Brexit, EU’s carbon border adjustment mechanism take centre stage at Market Access Committee",News item,https://www.wto.org/english/news_e/news20_e/mark_16nov20_e.htm
United States appeals panel report regarding US tariffs on Chinese goods,News item,https://www.wto.org/english/news_e/news20_e/ds543apl_26oct20_e.htm
WTO launches Goods Schedules e-Library,News item,https://www.wto.org/english/news_e/news20_e/mark_17sep20_e.htm
WTO members commend efforts to monitor governments’ trade measures during COVID-19 crisis,News item,https://www.wto.org/english/news_e/news20_e/mark_08jun20_e.htm
DG Azevêdo announces suspension of WTO meetings following confirmation of COVID-19 case,News item,https://www.wto.org/english/news_e/news20_e/dgra_10mar20_e.htm
UK notifies WTO on implications of withdrawal from the EU for itself and other members,News item,https://www.wto.org/english/news_e/news20_e/mark_03feb20_e.htm
UK notifies WTO members of withdrawal from the EU,News item,https://www.wto.org/english/news_e/news20_e/mark_01feb20_e.htm
WTO members engage in exploratory talks on market access for environmental services,News item,https://www.wto.org/english/news_e/news19_e/serv_30sep19_e.htm
