title,type,url
"Small business group discusses access to information, capacity building, MC13 plans",News item,https://www.wto.org/english/news_e/news23_e/msmes_09oct23_e.htm
"DG Okonjo-Iweala: Trade is important for innovation, women’s economic empowerment, climate",News item,https://www.wto.org/english/news_e/news23_e/msmes_28sep23_e.htm
Trade and Gender co-chairs outline joint work with MSMEs Group for women entrepreneurs,News item,https://www.wto.org/english/news_e/news23_e/women_22sep23_e.htm
"MSMEs Group discusses digitalization, access to finance for women-owned small businesses",News item,https://www.wto.org/english/news_e/news23_e/igmsm_03jul23_e.htm
"Working Group announces Small Business Champions, Trade4MSMEs update and new Trade Game",News item,https://www.wto.org/english/news_e/news23_e/igmsm_27jun23_e.htm
"Small business group appoints new coordinator, discusses digitalisation, finance and standards",News item,https://www.wto.org/english/news_e/news23_e/igmsm_26apr23_e.htm
2023 Small Business Champions Competition launched,News item,https://www.wto.org/english/news_e/news23_e/igmsm_16mar23_e.htm
"Working group on small business approves work program, issues a call for papers",News item,https://www.wto.org/english/news_e/news23_e/igmsm_15mar23_e.htm
TESSD High-Level Stocktaking Event,News item,https://www.wto.org/english/news_e/news22_e/ddgjp_02dec22_e.htm
TESSD High-Level Stocktaking Event,Speech,https://www.wto.org/english/news_e/spno_e/spno34_e.htm
"Members take stock of sustainability discussions, signal priorities for concrete action",News item,https://www.wto.org/english/news_e/news22_e/tessd_02dec22_e.htm
Investment facilitation talks gear up to deliver stabilized text by end of the year,News item,https://www.wto.org/english/news_e/news22_e/infac_25nov22_e.htm
"Group on small business discusses implementation of 2020 recommendations, future work",News item,https://www.wto.org/english/news_e/news22_e/msmes_12oct22_e.htm
Winners of Small Business Champions Competition announced,News item,https://www.wto.org/english/news_e/news22_e/sbc_26sep22_e.htm
DG Okonjo-Iweala highlights success of Nigeria’s Growth Platform in driving digital trade,News item,https://www.wto.org/english/news_e/news22_e/dtech_28jul22_e.htm
Working group on small business reflects on way forward post MC12,News item,https://www.wto.org/english/news_e/news22_e/igmsm_15jul22_e.htm
Virtual event marks launch of 2022 Small Business Champions Competition,News item,https://www.wto.org/english/news_e/news22_e/bus_27jun22_e.htm
WTO issues research papers on small business and international trade on MSMEs Day,News item,https://www.wto.org/english/news_e/news22_e/msmes_27jun22_e.htm
Working group highlights progress in integrating small businesses into international trade,News item,https://www.wto.org/english/news_e/news22_e/igmsm_15jun22_e.htm
Working group on small business launches Trade4MSMEs network,News item,https://www.wto.org/english/news_e/news22_e/igmsm_08jun22_e.htm
Working group hears updates on work related to small business,News item,https://www.wto.org/english/news_e/news22_e/msmes_07apr22_e.htm
DDG González: The WTO’s work on trade facilitation benefits small businesses,News item,https://www.wto.org/english/news_e/news22_e/ddgag_10mar22_e.htm
Members updated on progress to further integrate small economies into world trading system,News item,https://www.wto.org/english/news_e/news22_e/devel_23feb22_e.htm
Working group on small business welcomes three more members,News item,https://www.wto.org/english/news_e/news22_e/msmes_08feb22_e.htm
Applications now open for WIPO—WTO advanced course on intellectual property,News item,https://www.wto.org/english/news_e/news21_e/trip_21dec21_e.htm
"DDG Zhang stresses importance of small business, blue economy for small island states",News item,https://www.wto.org/english/news_e/news21_e/ddgxz_09dec21_e.htm
Winners of “Digital Champions for Small Business” announced,News item,https://www.wto.org/english/news_e/news21_e/msmes_02dec21_e.htm
Working group on small business launches Trade4MSMEs platform,News item,https://www.wto.org/english/news_e/news21_e/igmsm_02dec21_e.htm
Working group on small business discusses preparations for MC12,News item,https://www.wto.org/english/news_e/news21_e/msmes_08nov21_e.htm
DDG Zhang highlights importance of ITC-WTO collaboration for “positive trade outcomes”,News item,https://www.wto.org/english/news_e/news21_e/ddgxz_02nov21_e.htm
Coordinated global response key to MSMEs’ post-pandemic economic recovery — DDG Zhang,News item,https://www.wto.org/english/news_e/news21_e/msmes_22oct21_e.htm
Public Forum discusses how to help small businesses become more resilient,News item,https://www.wto.org/english/news_e/news21_e/pf21_01oct21_e.htm
Working group on small business finalises MC12 draft declaration,News item,https://www.wto.org/english/news_e/news21_e/msmes_28sep21_e.htm
Working group on small business close to finalizing ministerial declaration,News item,https://www.wto.org/english/news_e/news21_e/msmes_26jul21_e.htm
Call for proposals for “Digital Champions for Small Business” initiative,News item,https://www.wto.org/english/news_e/news21_e/msmes_25jun21_e.htm
Working group on small business reviews draft ministerial declaration,News item,https://www.wto.org/english/news_e/news21_e/msmes_24jun21_e.htm
WTO launches call for MSME stories on “Building resilience through trade during COVID-19”,News item,https://www.wto.org/english/news_e/news21_e/pf21_18jun21_e.htm
Working group on small business discusses roadmap to MC12 and explores new topics,News item,https://www.wto.org/english/news_e/news21_e/msmes_04may21_e.htm
Global Trade and Blockchain Forum 2021,News item,https://www.wto.org/english/news_e/news21_e/ddgyx_30mar21_e.htm
Blockchain forum looks at how to accelerate digitalization to facilitate trade,News item,https://www.wto.org/english/news_e/news21_e/rese_30mar21_e.htm
DG Okonjo-Iweala makes official visit to Nigeria,News item,https://www.wto.org/english/news_e/news21_e/dgno_15mar21_e.htm
"Members discuss TRIPS waiver, LDC transition period and green tech role for small business",News item,https://www.wto.org/english/news_e/news21_e/trip_11mar21_e.htm
Working group on small business reflects on topics for 2021 workplan,News item,https://www.wto.org/english/news_e/news21_e/msmes_18feb21_e.htm
Coordinators of joint initiatives cite substantial progress in discussions,News item,https://www.wto.org/english/news_e/news20_e/jsec_18dec20_e.htm
Package of declarations and recommendations adopted to help small businesses trade globally,News item,https://www.wto.org/english/news_e/news20_e/msmes_11dec20_e.htm
Working group finalises package of declarations and recommendations to assist small business,News item,https://www.wto.org/english/news_e/news20_e/msmes_05nov20_e.htm
"WTO, ICC and B20 call for action to narrow the growing trade finance gap",News item,https://www.wto.org/english/news_e/news20_e/trfin_08jul20_e.htm
