title,type,url
Media accreditation for 13th Ministerial Conference is now open,News item,https://www.wto.org/english/news_e/news23_e/mc13_15nov23_e.htm
Reminder: NGO accreditation for Abu Dhabi Ministerial Conference closes on 24 November,News item,https://www.wto.org/english/news_e/news23_e/mc13_25oct23_e.htm
"Small business group discusses access to information, capacity building, MC13 plans",News item,https://www.wto.org/english/news_e/news23_e/msmes_09oct23_e.htm
WTO opens NGO accreditation for Abu Dhabi Ministerial Conference,News item,https://www.wto.org/english/news_e/news23_e/mc13_06sep23_e.htm
Members examine “road map” for MC13 on the WTO’s reform of its deliberative function,News item,https://www.wto.org/english/news_e/news23_e/gc_25jul23_e.htm
WTO members elect Chairperson for 13th Ministerial Conference in Abu Dhabi,News item,https://www.wto.org/english/news_e/news23_e/gc_24jul23_e.htm
DG Okonjo-Iweala: Delivering meaningful development outcomes key to successful MC13,News item,https://www.wto.org/english/news_e/news23_e/gc_08may23_e.htm
DDG Ellard highlights importance of WTO work on fisheries subsidies for Africa,News item,https://www.wto.org/english/news_e/news23_e/fish_02may23a_e.htm
Fish Week 2 — Closing plenary remarks by DDG Angela Ellard,News item,https://www.wto.org/english/news_e/news23_e/ddgae_28apr23_e.htm
Director-General Okonjo-Iweala urges ECOWAS to harness trade for sustainable growth,News item,https://www.wto.org/english/news_e/news23_e/dgno_28apr23_e.htm
"DDG Ellard urges parliamentarians to deepen support for WTO, ratify Fisheries Agreement",News item,https://www.wto.org/english/news_e/news23_e/ddgae_27apr23_e.htm
"Technical Assistance Coordination Group reviews Comoros, Timor-Leste post-accession needs",News item,https://www.wto.org/english/news_e/news23_e/acc_26apr23_e.htm
Timor-Leste drives WTO membership bid into final stages,News item,https://www.wto.org/english/news_e/news23_e/acc_20apr23_e.htm
DDG Paugam: Trade is essential in responding to food security crisis,News item,https://www.wto.org/english/news_e/news23_e/ddgjp_20apr23_e.htm
DG Okonjo-Iweala: WTO must contribute solutions to economic challenges the world is facing,News item,https://www.wto.org/english/news_e/news23_e/tnc_19apr23_e.htm
DG Okonjo-Iweala: WTO can advance sustainable development goals by delivering results at MC13,News item,https://www.wto.org/english/news_e/news23_e/dgno_20mar23_e.htm
"Plastics Dialogue participants brainstorm on MC13 outcomes, welcome US co-sponsorship",News item,https://www.wto.org/english/news_e/news23_e/ppesp_14mar23_e.htm
It is time to boost LDCs’ integration into trading system — DDG Zhang at LDC5 Conference,News item,https://www.wto.org/english/news_e/news23_e/devel_07mar23_e.htm
DG Okonjo-Iweala: Delivering meaningful outcomes at MC13 “not beyond our reach”,News item,https://www.wto.org/english/news_e/news23_e/gc_06mar23_e.htm
DDG Ellard emphasizes importance of achieving outcomes at MC13 to reinvigorate WTO,News item,https://www.wto.org/english/news_e/news23_e/ddgae_03mar23_e.htm
"Chair reports positive outlook for fisheries subsidies negotiations, readies ‘fish weeks’",News item,https://www.wto.org/english/news_e/news23_e/fish_20feb23_e.htm
Second Fossil Fuel Subsidy Reform meeting focuses on social and development issues,News item,https://www.wto.org/english/news_e/news23_e/envir_15feb23_e.htm
DG calls on Gulf ministers’ support to implement MC12 outcomes and chart path to MC13,News item,https://www.wto.org/english/news_e/news23_e/dgno_17feb23_e.htm
Trade and Gender Informal Working Group co-chairs present draft work plan for 2023,News item,https://www.wto.org/english/news_e/news23_e/women_15feb23_e.htm
Members advance discussions on addressing challenges in implementing SPS Agreement,News item,https://www.wto.org/english/news_e/news23_e/sps_14feb23_e.htm
DG Okonjo-Iweala welcomes Switzerland’s President Alain Berset to the WTO,News item,https://www.wto.org/english/news_e/news23_e/dgno_26jan23_e.htm
WTO must bolster cooperation in a fragmented world — DG Okonjo-Iweala in Davos,News item,https://www.wto.org/english/news_e/news23_e/igo_20jan23_e.htm
Members commend Comoros’ efforts to clear final hurdles on path to WTO accession by MC13,News item,https://www.wto.org/english/news_e/news23_e/acc_19jan23_e.htm
"DG Okonjo-Iweala: During these difficult times, the WTO “cannot afford to stand aside”",News item,https://www.wto.org/english/news_e/news22_e/dgno_20dec22_e.htm
"WTO members accept UAE, Cameroon offers to host Ministerial Conferences",News item,https://www.wto.org/english/news_e/news22_e/gc_19dec22_e.htm
World Trade Congress on Gender,News item,https://www.wto.org/english/news_e/news22_e/women_07dec22_e.htm
World Trade Congress on Gender,News item,https://www.wto.org/english/news_e/news22_e/ddgae_07dec22_e.htm
World Trade Congress on Gender closes with call for further action on women’s empowerment,News item,https://www.wto.org/english/news_e/news22_e/women_08dec22_e.htm
Plastics Dialogue advances on ministerial mandate to seek outcomes by MC13,News item,https://www.wto.org/english/news_e/news22_e/ppesp_11oct22_e.htm
DG Okonjo-Iweala: Let WTO be an institution people can trust to deliver in difficult times,News item,https://www.wto.org/english/news_e/news22_e/gc_06oct22_e.htm
Preparations under way for high-level event on environmental sustainability in December,News item,https://www.wto.org/english/news_e/news22_e/tessd_20jul22_e.htm
WTO members secure unprecedented package of trade outcomes at MC12,News item,https://www.wto.org/english/news_e/news22_e/mc12_17jun22_e.htm
MC12 Closing Session,Speech,https://www.wto.org/english/news_e/spno_e/spno27_e.htm
WTO 12th Ministerial Conference extended by one day to facilitate outcomes,News item,https://www.wto.org/english/news_e/news22_e/mc12_15jun22_e.htm
"DG Okonjo-Iweala meets with business, civil society representatives on margins of MC12",News item,https://www.wto.org/english/news_e/news22_e/bus_14jun22_e.htm
DG Okonjo-Iweala: Time is running out to reach credible outcomes at MC12,News item,https://www.wto.org/english/news_e/news22_e/mc12_14jun22_e.htm
Parliamentarians show strong support for WTO and role of multilateral trading system,News item,https://www.wto.org/english/news_e/news22_e/parl_14jun22_e.htm
WTO Fisheries Funding Mechanism readied to provide support for ending harmful subsidies,News item,https://www.wto.org/english/news_e/news22_e/fish_14jun22_e.htm
"Trade ministers present early results, pledge to advance plastics dialogue at MC12 event",News item,https://www.wto.org/english/news_e/news22_e/ppesp_13jun22_e.htm
"WTO response to the pandemic, trade and food security take centre stage at MC12",News item,https://www.wto.org/english/news_e/news22_e/mc12_13jun22_e.htm
DG Okonjo-Iweala welcomes trade ministers’ efforts to build a coalition on climate,News item,https://www.wto.org/english/news_e/news22_e/clim_13jun22_e.htm
WTO members share early results and plans to ramp up action on trade and environment,News item,https://www.wto.org/english/news_e/news22_e/envir_13jun22_e.htm
"Georgia, Timor-Leste and United Arab Emirates join initiative on services domestic regulation",News item,https://www.wto.org/english/news_e/news22_e/serv_13jun22_e.htm
"Co-convenors welcome good progress in e-commerce talks, launch capacity-building framework",News item,https://www.wto.org/english/news_e/news22_e/jsec_13jun22_e.htm
g7+ Accessions Group urges WTO to play active role in promoting peace,News item,https://www.wto.org/english/news_e/news22_e/acc_20jun22_e.htm
Working group highlights progress in integrating small businesses into international trade,News item,https://www.wto.org/english/news_e/news22_e/igmsm_15jun22_e.htm
Trade and gender co-chairs affirm commitment to gender equality in trade at MC12,News item,https://www.wto.org/english/news_e/news22_e/iwgtg_13jun22_e.htm
Members urged to demonstrate the WTO can deliver for international community,News item,https://www.wto.org/english/news_e/news22_e/mc12_12jun22a_e.htm
Members urged to address needs of women entrepreneurs at MC12 event,News item,https://www.wto.org/english/news_e/news22_e/women_12jun22_e.htm
MC12 Opening Session: Opening remarks by the Director-General,Speech,https://www.wto.org/english/news_e/spno_e/spno26_e.htm
Ministers’ statements published as MC12 kicks-off in Geneva,News item,https://www.wto.org/english/news_e/news22_e/mc12_12jun22_e.htm
LDC trade ministers welcome renewed cooperation between WTO and UN on LDC trade development,News item,https://www.wto.org/english/news_e/news22_e/ldevc_11jun22_e.htm
"Australia contributes CHF 70,000 to support LDCs’ participation in MC12",Press release,https://www.wto.org/english/news_e/pres22_e/pr905_e.htm
Revised draft agreement on fisheries subsidies sets stage for pivotal negotiations at MC12,News item,https://www.wto.org/english/news_e/news22_e/fish_10jun22_e.htm
"Draft texts on WTO response to pandemic, IP response sent to ministers for decision",News item,https://www.wto.org/english/news_e/news22_e/covid_10jun22_e.htm
"DG Okonjo-Iweala, Chair urge members to support draft agriculture texts on eve of MC12",News item,https://www.wto.org/english/news_e/news22_e/agri_10jun22_e.htm
DG Okonjo-Iweala and negotiations chair join call to ‘stop the fish meltdown’ on Ocean Day,News item,https://www.wto.org/english/news_e/news22_e/envir_08jun22_e.htm
DG Okonjo-Iweala urges members to seize opportunity at MC12 to deliver meaningful outcomes,News item,https://www.wto.org/english/news_e/news22_e/gc_07jun22_e.htm
Chair introduces streamlined agriculture negotiation texts for MC12,News item,https://www.wto.org/english/news_e/news22_e/agri_07jun22_e.htm
DG Okonjo-Iweala: Time for members to show restraint and agree on texts for MC12,News item,https://www.wto.org/english/news_e/news22_e/agri_03jun22_e.htm
"Plastics dialogue discusses MC12 plans, next steps to implement Ministerial Statement",News item,https://www.wto.org/english/news_e/news22_e/ppesp_24may22_e.htm
Chair of fisheries subsidies negotiations reports on progress made during “Fish Week”,News item,https://www.wto.org/english/news_e/news22_e/fish_20may22_e.htm
Agriculture negotiators strive for results in final stretch to Ministerial Conference,News item,https://www.wto.org/english/news_e/news22_e/agri_19may22_e.htm
"Members discuss e-commerce, trade concerns and LDCs’ participation in services trade",News item,https://www.wto.org/english/news_e/news22_e/serv_18may22_e.htm
DG Okonjo-Iweala calls on LDCs to focus on most pressing priorities for MC12,News item,https://www.wto.org/english/news_e/news22_e/devel_16may22_e.htm
DG receives letter from environmental groups seeking global deal on fishing subsidies,News item,https://www.wto.org/english/news_e/news22_e/fish_16may22_e.htm
"Members discuss potential outcome on cotton at MC12, World Cotton Day, Partners’ Conference",News item,https://www.wto.org/english/news_e/news22_e/cott_12may22_e.htm
DG Okonjo-Iweala shares views with international agency heads on key issues ahead of MC12,News item,https://www.wto.org/english/news_e/news22_e/dgno_13may22_e.htm
“This might well be our Bretton Woods moment. Let’s not waste it.” — DDG Ellard,News item,https://www.wto.org/english/news_e/news22_e/ddgae_10may22_e.htm
DG Okonjo-Iweala urges WTO members to “meet the many challenges of our time”,News item,https://www.wto.org/english/news_e/news22_e/gc_09may22_e.htm
TRIPS Council hears initial reactions to Quad’s outcome document on IP COVID-19 response,News item,https://www.wto.org/english/news_e/news22_e/trip_06may22_e.htm
DG Okonjo-Iweala: Members can deliver results at MC12 despite challenging circumstances,News item,https://www.wto.org/english/news_e/news22_e/tnc_04may22_e.htm
Media accreditation for 12th Ministerial Conference re-opens,News item,https://www.wto.org/english/news_e/news22_e/mc12_04may22_e.htm
"MC12 outcome must help end hunger, improve food security, says chair",News item,https://www.wto.org/english/news_e/news22_e/agng_02may22_e.htm
Dates fixed for 12th Ministerial Conference in June,News item,https://www.wto.org/english/news_e/news22_e/mc12_25apr22_e.htm
Webinar revisits trade preferences and factors impacting their use,News item,https://www.wto.org/english/news_e/news22_e/roi_07apr22_e.htm
DDG Ellard: WTO is essential to the rules-based international order,News item,https://www.wto.org/english/news_e/news22_e/ddgae_31mar22_e.htm
General Council endorses final decision on Bali tariff rate quota underfill mechanism,News item,https://www.wto.org/english/news_e/news22_e/gc_31mar22_e.htm
Informal General Council meeting,News item,https://www.wto.org/english/news_e/news22_e/gc_28mar22_e.htm
"Members explore innovative approaches to facilitate food safety, trade opportunities",News item,https://www.wto.org/english/news_e/news22_e/sps_25mar22_e.htm
DDG Ellard: “Forward momentum in our work”,News item,https://www.wto.org/english/news_e/news22_e/ddgae_23mar22_e.htm
"Agriculture Committee’s 100th session discusses food security, farm policies, Nairobi Decision",News item,https://www.wto.org/english/news_e/news22_e/agri_16mar22_e.htm
"DDG Ellard discusses upcoming Ministerial Conference, WTO reform",News item,https://www.wto.org/english/news_e/news22_e/ddgae_02mar22a_e.htm
"DDG Ellard discusses WTO reform, challenges facing global trade",News item,https://www.wto.org/english/news_e/news22_e/ddgae_01mar22_e.htm
WTO members agree on mid-June dates for reconvening MC12,News item,https://www.wto.org/english/news_e/news22_e/mc12_23feb22_e.htm
WTO members initiate membership talks for Turkmenistan,News item,https://www.wto.org/english/news_e/news22_e/acc_23feb22_e.htm
DDG Ellard highlights state of play in current negotiations and WTO reform agenda,News item,https://www.wto.org/english/news_e/news22_e/ddgae_31jan22_e.htm
"DDG Paugam underscores important role of trade for food security, sustainable land use",News item,https://www.wto.org/english/news_e/news22_e/ddgjp_28jan22_e.htm
DDG Ellard points to work by members to increase negotiating momentum,News item,https://www.wto.org/english/news_e/news22_e/ddgae_28jan22_e.htm
DDG Ellard outlines state of play in the WTO negotiations,News item,https://www.wto.org/english/news_e/news22_e/ddgae_25jan22_e.htm
"General Council discusses convening of Ministerial Conference, advancing work agenda",News item,https://www.wto.org/english/news_e/news22_e/gc_25jan22_e.htm
Farm talks forge ahead despite MC12 uncertainty,News item,https://www.wto.org/english/news_e/news22_e/agng_24jan22_e.htm
"DG Okonjo-Iweala calls on ministers to step up negotiating efforts, harvest outcomes",News item,https://www.wto.org/english/news_e/news22_e/dgno_21jan22_e.htm
"DDG Ellard stresses need to maintain WTO momentum, importance of dispute settlement reform",News item,https://www.wto.org/english/news_e/news21_e/ddgae_06dec21_e.htm
