title,type,url
"Liechtenstein donates CHF 40,000 to WTO Fisheries Funding Mechanism",Press release,https://www.wto.org/english/news_e/pres23_e/pr941_e.htm
EU donates EUR 1 million to WTO Fisheries Funding Mechanism,Press release,https://www.wto.org/english/news_e/pres23_e/pr940_e.htm
Norway donates NOK 9 million to WTO Fisheries Funding Mechanism,Press release,https://www.wto.org/english/news_e/pres23_e/pr939_e.htm
Spain donates EUR 2 million to WTO Fisheries Funding Mechanism,Press release,https://www.wto.org/english/news_e/pres23_e/pr937_e.htm
DG and fisheries subsidies chair urge members to bridge differences before year-end,News item,https://www.wto.org/english/news_e/news23_e/fish_10nov23_e.htm
Fiji formally accepts Agreement on Fisheries Subsidies,News item,https://www.wto.org/english/news_e/news23_e/fish_24oct23_e.htm
Surge of formal acceptances of Agreement on Fisheries Subsidies — entry into force closer,News item,https://www.wto.org/english/news_e/news23_e/fish_23oct23_e.htm
"Macao, China formally accepts Agreement on Fisheries Subsidies",News item,https://www.wto.org/english/news_e/news23_e/fish_19oct23_e.htm
Members complete sixth Fish Week this year of fisheries subsidies negotiations,News item,https://www.wto.org/english/news_e/news23_e/fish_13oct23_e.htm
WTO members embark on sixth “Fish Week” ahead of Senior Officials Meeting,News item,https://www.wto.org/english/news_e/news23_e/fish_09oct23_e.htm
"Japan gives over CHF 55,000 to help LDCs engage in fisheries subsidies negotiations",Press release,https://www.wto.org/english/news_e/pres23_e/pr933_e.htm
Members prepare for line-by-line negotiations on draft fisheries subsidies text in October,News item,https://www.wto.org/english/news_e/news23_e/fish_22sep23_e.htm
"Fisheries subsidies chair introduces draft text, seeks members’ views at fifth “Fish Week”",News item,https://www.wto.org/english/news_e/news23_e/fish_18sep23_e.htm
"Iceland donates CHF 500,000 to WTO Fisheries Funding Mechanism",Press release,https://www.wto.org/english/news_e/pres23_e/pr932_e.htm
New Zealand formally accepts Agreement on Fisheries Subsidies,News item,https://www.wto.org/english/news_e/news23_e/fish_06sep23_e.htm
"Hong Kong, China formally accepts Agreement on Fisheries Subsidies",News item,https://www.wto.org/english/news_e/news23_e/fish_21aug23_e.htm
Ukraine formally accepts Agreement on Fisheries Subsidies,News item,https://www.wto.org/english/news_e/news23_e/fish_17aug23_e.htm
Sweden donates SEK 5 million to WTO Fisheries Funding Mechanism,Press release,https://www.wto.org/english/news_e/pres23_e/pr930_e.htm
DDG Ellard showcases WTO’s work in delivering global public goods at award event,News item,https://www.wto.org/english/news_e/news23_e/ddgae_19jul23_e.htm
Peru formally accepts Agreement on Fisheries Subsidies,News item,https://www.wto.org/english/news_e/news23_e/fish_19jul23_e.htm
Fisheries subsidies negotiations ramp up ahead of text-based discussions in the autumn,News item,https://www.wto.org/english/news_e/news23_e/fish_14jul23_e.htm
Gabon formally accepts Agreement on Fisheries Subsidies,News item,https://www.wto.org/english/news_e/news23_e/fish_12jul23_e.htm
Fisheries subsidies chair opens fourth “Fish Week” to help distil elements for negotiation,News item,https://www.wto.org/english/news_e/news23_e/fish_10jul23_e.htm
Japan formally accepts Agreement on Fisheries Subsidies,News item,https://www.wto.org/english/news_e/news23_e/fish_04jul23_e.htm
China formally accepts Agreement on Fisheries Subsidies,News item,https://www.wto.org/english/news_e/news23_e/fish_27jun23_e.htm
France commits EUR 1 million to WTO Fisheries Funding Mechanism,Press release,https://www.wto.org/english/news_e/pres23_e/pr929_e.htm
First members to formally accept Fisheries Subsidies Agreement urge others to follow suit,News item,https://www.wto.org/english/news_e/news23_e/fish_21jun23_e.htm
The Netherlands donates EUR 1 million to WTO Fisheries Funding Mechanism,Press release,https://www.wto.org/english/news_e/pres23_e/pr928_e.htm
Belize formally accepts the Agreement on Fisheries Subsidies,News item,https://www.wto.org/english/news_e/news23_e/fish_16jun23_e.htm
"DDG Ellard urges acceptance of Fisheries Subsidies Agreement, progress on new disciplines",News item,https://www.wto.org/english/news_e/news23_e/ddgae_13jun23_e.htm
Nigeria formally accepts the Agreement on Fisheries Subsidies,News item,https://www.wto.org/english/news_e/news23_e/fish_12jun23_e.htm
Members consider new proposals on subsidies contributing to overcapacity and overfishing,News item,https://www.wto.org/english/news_e/news23_e/fish_09jun23_e.htm
"On World Oceans Day, DG Okonjo-Iweala welcomes EU acceptance of fishing subsidies agreement",News item,https://www.wto.org/english/news_e/news23_e/fish_08jun23_e.htm
Australia donates AUD 2 million to WTO Fisheries Funding Mechanism,Press release,https://www.wto.org/english/news_e/pres23_e/pr927_e.htm
WTO Workshop on Fisheries Subsidies for the Asia Region,News item,https://www.wto.org/english/news_e/news23_e/ddgae_25may23a_e.htm
DDG Ellard highlights importance of Fisheries Subsidies Agreement at workshop in Malaysia,News item,https://www.wto.org/english/news_e/news23_e/ddgae_25may23_e.htm
DG Okonjo-Iweala praises Viet Nam for using trade to drive growth and reduce poverty,News item,https://www.wto.org/english/news_e/news23_e/dgno_18may23_e.htm
United Arab Emirates formally accepts Agreement on Fisheries Subsidies,News item,https://www.wto.org/english/news_e/news23_e/fish_16may23_e.htm
DDG Ellard urges prompt ratification of Fisheries Subsidies Agreement,News item,https://www.wto.org/english/news_e/news23_e/ddgae_15may23_e.htm
"Iceland formally accepts Agreement on Fisheries Subsidies, pledges CHF 500,000 to Fund",News item,https://www.wto.org/english/news_e/news23_e/fish_10may23_e.htm
Germany provides first of a series of donations to the Fisheries Fund and offers expertise,Press release,https://www.wto.org/english/news_e/pres23_e/pr925_e.htm
DDG Ellard highlights importance of WTO work on fisheries subsidies for Africa,News item,https://www.wto.org/english/news_e/news23_e/fish_02may23a_e.htm
WTO Workshop on Fisheries Subsidies for English-speaking Africa,News item,https://www.wto.org/english/news_e/news23_e/ddgae_02may23_e.htm
Canada formally accepts Agreement on Fisheries Subsidies,News item,https://www.wto.org/english/news_e/news23_e/fish_02may23_e.htm
Fish Week 2 — Closing plenary remarks by DDG Angela Ellard,News item,https://www.wto.org/english/news_e/news23_e/ddgae_28apr23_e.htm
WTO members advance fisheries subsidies negotiations at second Fish Week,News item,https://www.wto.org/english/news_e/news23_e/fish_28apr23_e.htm
Director-General Okonjo-Iweala urges ECOWAS to harness trade for sustainable growth,News item,https://www.wto.org/english/news_e/news23_e/dgno_28apr23_e.htm
"DDG Ellard urges parliamentarians to deepen support for WTO, ratify Fisheries Agreement",News item,https://www.wto.org/english/news_e/news23_e/ddgae_27apr23_e.htm
Canada donates CAD 1.4 million to WTO Fisheries Funding Mechanism,Press release,https://www.wto.org/english/news_e/pres23_e/pr924_e.htm
United States formally accepts Agreement on Fisheries Subsidies,News item,https://www.wto.org/english/news_e/news23_e/fish_11apr23_e.htm
"DDG Ellard urges prompt acceptance of Fisheries Subsidies Agreement, completion of talks",News item,https://www.wto.org/english/news_e/news23_e/ddgae_06apr23_e.htm
First Fish Week concludes with “illuminating” discussion of negotiating objectives,News item,https://www.wto.org/english/news_e/news23_e/fish_24mar23_e.htm
Seychelles is first WTO member from Africa to formally accept fishing subsidies agreement,News item,https://www.wto.org/english/news_e/news23_e/fish_10mar23_e.htm
DDG Ellard emphasizes importance of achieving outcomes at MC13 to reinvigorate WTO,News item,https://www.wto.org/english/news_e/news23_e/ddgae_03mar23_e.htm
"DDG Ellard calls on the EU to ratify Fisheries Agreement, show leadership in ongoing talks",News item,https://www.wto.org/english/news_e/news23_e/ddgae_01mar23_e.htm
DDG Ellard calls for strengthening global ocean governance at World Ocean Summit,News item,https://www.wto.org/english/news_e/news23_e/ddgae_28feb23_e.htm
"Chair reports positive outlook for fisheries subsidies negotiations, readies ‘fish weeks’",News item,https://www.wto.org/english/news_e/news23_e/fish_20feb23_e.htm
"DDG Ellard discusses WTO success, need for reform, relevance to addressing climate crisis",News item,https://www.wto.org/english/news_e/news23_e/ddgae_14feb23_e.htm
Singapore submits formal acceptance of Agreement on Fisheries Subsidies,News item,https://www.wto.org/english/news_e/news23_e/fish_10feb23_e.htm
Japan is first donor to WTO Fisheries Funding Mechanism,Press release,https://www.wto.org/english/news_e/pres23_e/pr918_e.htm
Members discuss data on fishing subsidies and ocean resources for second wave negotiations,News item,https://www.wto.org/english/news_e/news23_e/fish_31jan23_e.htm
WTO members appoint new chairs for fisheries and agriculture talks,News item,https://www.wto.org/english/news_e/news23_e/agrifish_27jan23_e.htm
DG Okonjo-Iweala welcomes Switzerland’s President Alain Berset to the WTO,News item,https://www.wto.org/english/news_e/news23_e/dgno_26jan23_e.htm
Switzerland is first WTO member to formally accept new Agreement on Fisheries Subsidies,News item,https://www.wto.org/english/news_e/news23_e/fish_20jan23_e.htm
WTO going green,Blog,https://www.wto.org/english/blogs_e/ddg_anabel_gonzalez_e/blog_ag_19dec22_e.htm
DG Okonjo-Iweala welcomes Colombia’s Vice President Francia Márquez to the WTO,News item,https://www.wto.org/english/news_e/news22_e/dgno_06dec22_e.htm
Australia pledges AUD 2 million to WTO Fisheries Funding Mechanism,Press release,https://www.wto.org/english/news_e/pres22_e/pr913_e.htm
Members start knowledge building for second wave of fisheries subsidies negotiations,News item,https://www.wto.org/english/news_e/news22_e/fish_23nov22_e.htm
"The 2050 Strategy for The Blue Pacific Continent, the Multilateral Trading System and Fisheries Subsidies",News item,https://www.wto.org/english/news_e/news22_e/ddgae_18nov22_e.htm
"WTO, Pacific Islands affirm cooperation for work on fisheries subsidies and key issues",News item,https://www.wto.org/english/news_e/news22_e/fish_18nov22_e.htm
WTO Fisheries Funding Mechanism now operational to assist developing countries and LDCs,News item,https://www.wto.org/english/news_e/news22_e/fish_08nov22_e.htm
DDG Ellard calls for more strategic multilateralism to address problems of global commons,News item,https://www.wto.org/english/news_e/news22_e/ddgae_27oct22_e.htm
"DDG Ellard discusses trade remedy trends, MC12 outcomes",News item,https://www.wto.org/english/news_e/news22_e/ddgae_14oct22_e.htm
Members brainstorm on initiating “second wave” of WTO fisheries subsidies talks,News item,https://www.wto.org/english/news_e/news22_e/fish_10oct22_e.htm
"Put landmark Fisheries Subsidies Agreement into motion, governments urged at Public Forum",News item,https://www.wto.org/english/news_e/news22_e/fish_29sep22_e.htm
"DG Okonjo-Iweala thanks outgoing Chair, urges members to build on fish subsidies deal",News item,https://www.wto.org/english/news_e/news22_e/fish_26sep22_e.htm
"WTO, OECD to redouble collaborative efforts in addressing challenges of the global commons",News item,https://www.wto.org/english/news_e/news22_e/igo_14sep22_e.htm
DDG Ellard: Conclusion of Fisheries Agreement creates positive momentum at the WTO,News item,https://www.wto.org/english/news_e/news22_e/ddgae_28jul22_e.htm
Aid for Trade Global Review 2022 — Session 35 — “Implementing the WTO Agreement on Fisheries Subsidies — Challenges and Opportunities for Developing Members”,Speech,https://www.wto.org/english/news_e/spno_e/spno31_e.htm
"DG Okonjo-Iweala calls for more support for sustainable fisheries, launches new report",News item,https://www.wto.org/english/news_e/news22_e/fish_29jul22_e.htm
DDG Ellard urges prompt acceptance of Fisheries Subsidies Agreement,News item,https://www.wto.org/english/news_e/news22_e/ddgae_26jul22_e.htm
DDG Ellard urges members to secure entry into force of Fisheries Subsidies Agreement,News item,https://www.wto.org/english/news_e/news22_e/ddgae_11jul22_e.htm
Fisheries subsidies deal will contribute to sustainable blue economy: DG Okonjo-Iweala,Speech,https://www.wto.org/english/news_e/spno_e/spno28_e.htm
WTO members secure unprecedented package of trade outcomes at MC12,News item,https://www.wto.org/english/news_e/news22_e/mc12_17jun22_e.htm
WTO Fisheries Funding Mechanism readied to provide support for ending harmful subsidies,News item,https://www.wto.org/english/news_e/news22_e/fish_14jun22_e.htm
Revised draft agreement on fisheries subsidies sets stage for pivotal negotiations at MC12,News item,https://www.wto.org/english/news_e/news22_e/fish_10jun22_e.htm
"Japan gives CHF 125,000 to help LDCs engage in fisheries subsidies talks at MC12",Press release,https://www.wto.org/english/news_e/pres22_e/pr904_e.htm
DG Okonjo-Iweala and negotiations chair join call to ‘stop the fish meltdown’ on Ocean Day,News item,https://www.wto.org/english/news_e/news22_e/envir_08jun22_e.htm
DG Okonjo-Iweala urges members to seize opportunity at MC12 to deliver meaningful outcomes,News item,https://www.wto.org/english/news_e/news22_e/gc_07jun22_e.htm
Chair of fisheries subsidies negotiations reports on progress made during “Fish Week”,News item,https://www.wto.org/english/news_e/news22_e/fish_20may22_e.htm
DG receives letter from environmental groups seeking global deal on fishing subsidies,News item,https://www.wto.org/english/news_e/news22_e/fish_16may22_e.htm
Chair convenes “Fish Week” to close gaps in fishing subsidies negotiations ahead of MC12,News item,https://www.wto.org/english/news_e/news22_e/fish_12may22_e.htm
Chair of fisheries subsidies negotiations reports on consultations with members,News item,https://www.wto.org/english/news_e/news22_e/fish_15feb22_e.htm
Chair of fisheries subsidies negotiations outlines next steps for work in the new year,News item,https://www.wto.org/english/news_e/news21_e/fish_10dec21_e.htm
"DG calls on members to agree on pandemic response, fisheries subsidies by end-February",News item,https://www.wto.org/english/news_e/news21_e/hod_02dec21_e.htm
Draft agreement on fisheries subsidies submitted for ministers’ attention ahead of MC12,News item,https://www.wto.org/english/news_e/news21_e/fish_25nov21_e.htm
"DDG Ellard highlights recent trade remedy trends, importance of concluding fisheries talks",News item,https://www.wto.org/english/news_e/news21_e/ddgae_15nov21_e.htm
Roundtable explores impact of fisheries subsidies negotiations in Latin America,News item,https://www.wto.org/english/news_e/news21_e/fish_10nov21_e.htm
"Japan gives CHF 125,000 to help LDCs participate in fisheries subsidies discussions",Press release,https://www.wto.org/english/news_e/pres21_e/pr891_e.htm
Revised fisheries subsidies text kicks off intensified negotiations ahead of MC12,News item,https://www.wto.org/english/news_e/news21_e/fish_08nov21_e.htm
Scientists urging members to reach MC12 fishing subsidies agreement present letter to DG Okonjo-Iweala,News item,https://www.wto.org/english/news_e/news21_e/fish_05nov21_e.htm
