title,type,url
"Goods negotiations restart, members divided on transparency proposal",News item,https://www.wto.org/english/news_e/news17_e/mark_21jul17_e.htm
Chair cites some interest for negotiations on non-tariff barriers to non-agricultural goods,News item,https://www.wto.org/english/news_e/news16_e/nama_25nov16_e.htm
Chair cites some interest for negotiations on non-tariff barriers to non-agricultural goods,More on the non-agricultural market access negotiations,https://www.wto.org/english/tratop_e/markacc_e/markacc_negoti_e.htm
Chair cites some interest for negotiations on non-tariff barriers to non-agricultural goods,More on market access for goods,https://www.wto.org/english/tratop_e/markacc_e/markacc_e.htm
Chair of WTO talks for non-agricultural goods updates members on consultations,News item with audio,https://www.wto.org/english/news_e/news16_e/nama_11apr16_e.htm
Chair of WTO talks for non-agricultural goods updates members on consultations,More on the non-agricultural market access negotiations,https://www.wto.org/english/tratop_e/markacc_e/markacc_negoti_e.htm
WTO members secure “historic” Nairobi Package for Africa and the world,News item,https://www.wto.org/english/news_e/news15_e/mc10_19dec15_e.htm
Industrial goods negotiators still waiting for clear signal from agriculture talks,News item with audio,https://www.wto.org/english/news_e/news15_e/nama_03jun15_e.htm
Industrial goods negotiators still waiting for clear signal from agriculture talks,More on the non-agricultural market access negotiations,https://www.wto.org/english/tratop_e/markacc_e/markacc_negoti_e.htm
Industrial goods negotiators do not find consensus on post-Bali agenda,News item with audio,https://www.wto.org/english/news_e/news14_e/nama_22sep14_e.htm
Industrial goods negotiators do not find consensus on post-Bali agenda,More on the non-agricultural market access negotiations,https://www.wto.org/english/tratop_e/markacc_e/markacc_negoti_e.htm
Azevêdo reports “very good level of engagement” on Doha Round work programme,News item,https://www.wto.org/english/news_e/news14_e/gc_25jul14_e.htm
New chair stresses importance of successful outcome in industrial goods negotiations,News item with audio,https://www.wto.org/english/news_e/news12_e/nama_29nov12_e.htm
New chair stresses importance of successful outcome in industrial goods negotiations,More on the non-agricultural market access negotiations,https://www.wto.org/english/tratop_e/markacc_e/markacc_negoti_e.htm
WTO launches new “International Trade and Market Access” interactive tool,News item,https://www.wto.org/english/news_e/news12_e/stat_19nov12_e.htm
Chairman of industrial goods negotiation will explore new ideas for moving forward on tariff discussions,News item with audio,https://www.wto.org/english/news_e/news12_e/nama_14mar12_e.htm
Chairman of industrial goods negotiation will explore new ideas for moving forward on tariff discussions,More on the non-agricultural market access negotiations,https://www.wto.org/english/tratop_e/markacc_e/markacc_negoti_e.htm
Industrial goods group to resume discussions on tariffs,News item with audio,https://www.wto.org/english/news_e/news12_e/nama_01mar12_e.htm
Industrial goods group to resume discussions on tariffs,More on the non-agricultural market access negotiations,https://www.wto.org/english/tratop_e/markacc_e/markacc_negoti_e.htm
Industrial goods negotiations to resume,News item with audio,https://www.wto.org/english/news_e/news12_e/nama_24jan12_e.htm
Industrial goods negotiations to resume,More on the non-agricultural market access negotiations,https://www.wto.org/english/tratop_e/markacc_e/markacc_negoti_e.htm
"Lamy: Package of negotiating documents underscores value of Doha progress
But DG says differences over industrial tariff cuts effectively block further progress and put at risk conclusion in 2011",Documents from the negotiating chairs,https://www.wto.org/english/tratop_e/dda_e/chair_texts11_e/chair_texts11_e.htm
Industrial goods chairman calls for flexibility to finalize texts,News item with audio,https://www.wto.org/english/news_e/news11_e/nama_17mar11_e.htm
Industrial goods chairman calls for flexibility to finalize texts,More on the non-agricultural market access negotiations,https://www.wto.org/english/tratop_e/markacc_e/markacc_negoti_e.htm
Chair sees a “change of spirit” in the industrial goods negotiations,News item,https://www.wto.org/english/news_e/news11_e/nama_20jan11_e.htm
Chair sees a “change of spirit” in the industrial goods negotiations,More on the non-agricultural market access negotiations,https://www.wto.org/english/tratop_e/markacc_e/markacc_negoti_e.htm
Chair sees a “change of spirit” in the industrial goods negotiations,More on the Doha Development Agenda,https://www.wto.org/english/tratop_e/dda_e/dda_e.htm
Market access chair calls for intensified negotiations to meet April goal,"Audio: Chairperson Luzius Wasescha’s opening statement, 24 November 2010",https://www.wto.org/audio/2010_11_24_wasescha_opening.mp3
Market access chair calls for intensified negotiations to meet April goal,"Audio: Chairperson Luzius Wasescha’s remarks, 26 November 2010",https://www.wto.org/audio/2010_11_26_wasescha.mp3
Market access chair calls for intensified negotiations to meet April goal,More on the non-agricultural market access negotiations,https://www.wto.org/english/tratop_e/markacc_e/markacc_negoti_e.htm
Market access chair calls for intensified negotiations to meet April goal,More on the Doha Development Agenda,https://www.wto.org/english/tratop_e/dda_e/dda_e.htm
Industrial goods chair reports on progress in the negotiations,Audio: Chair’s concluding comments,https://www.wto.org/audio/2010_09_23_wasescha_closing.mp3
Industrial goods chair reports on progress in the negotiations,More on the non-agricultural market access negotiations,https://www.wto.org/english/tratop_e/markacc_e/markacc_negoti_e.htm
"Negotiators discuss market-access barriers to autos, electronics and remanufactured goods","Audio: Chairperson Luzius Wasescha’s opening statement, 12 July 2010",https://www.wto.org/audio/2010_07_12_wasescha_opening.mp3
"Negotiators discuss market-access barriers to autos, electronics and remanufactured goods","Audio: Chairperson Luzius Wasescha’s opening remarks, 15 July 2010",https://www.wto.org/audio/2010_07_15_wasescha_opening.mp3
"Negotiators discuss market-access barriers to autos, electronics and remanufactured goods","audio: Chairperson Luzius Wasescha’s concluding comments, 15 July 2010",https://www.wto.org/audio/2010_07_15_wasescha_closing.mp3
"Negotiators discuss market-access barriers to autos, electronics and remanufactured goods",More on the non-agricultural market access negotiations,https://www.wto.org/english/tratop_e/markacc_e/markacc_negoti_e.htm
Market-access chair sees work advancing on non-tariff measures,Audio: NAMA chair’s opening statement,https://www.wto.org/audio/2010_05_20_wasescha_opening.mp3
Market-access chair sees work advancing on non-tariff measures,More on the non-agricultural market access negotiations,https://www.wto.org/english/tratop_e/markacc_e/markacc_negoti_e.htm
Canada eliminates tariffs on manufacturing inputs and machinery,News item,https://www.wto.org/english/news_e/news10_e/nama_29apr10_e.htm
Lamy opens stocktaking week with hope for strong signal on concluding the Round,Statement by Pascal Lamy to the TNC,https://www.wto.org/english/news_e/news10_e/tnc_dg_stat_22mar10_e.htm
Market access chair detects common issues in non-tariff barrier proposals,Audio: Chair’s opening statement,https://www.wto.org/audio/2010_03_19_wasescha_opening.mp3
Market access chair detects common issues in non-tariff barrier proposals,More on the non-agricultural market access negotiations,https://www.wto.org/english/tratop_e/markacc_e/markacc_negoti_e.htm
Industrial goods negotiations focus on “priority” non-tariff barriers,Audio: Chair’s concluding comments,https://www.wto.org/audio/2010_02_05_wasescha_closing.mp3
Industrial goods negotiations focus on “priority” non-tariff barriers,More on the non-agricultural market access negotiations,https://www.wto.org/english/tratop_e/markacc_e/markacc_negoti_e.htm
Industrial goods chair praises members for hard work on non-tariff barriers,Audio: Chair’s opening statement,https://www.wto.org/audio/2009_12_10_wasescha_opening.mp3
Industrial goods chair praises members for hard work on non-tariff barriers,More on the non-agricultural market access negotiations,https://www.wto.org/english/tratop_e/markacc_e/markacc_negoti_e.htm
Industrial goods negotiation concludes intensive week on “non-tariff barriers”,Audio: Chair’s opening statement,https://www.wto.org/audio/2009_11_06_wasescha_opening.mp3
Industrial goods negotiation concludes intensive week on “non-tariff barriers”,More on the non-agricultural market access negotiations,https://www.wto.org/english/tratop_e/markacc_e/markacc_negoti_e.htm
Industrial goods negotiations continue to focus on non-tariff barriers to trade,Audio: Chair’s opening statement,https://www.wto.org/audio/2009_11_02_wasescha_opening.mp3
Industrial goods negotiations continue to focus on non-tariff barriers to trade,More on the non-agricultural market access negotiations,https://www.wto.org/english/tratop_e/markacc_e/markacc_negoti_e.htm
Industrial goods negotiations focus on non-tariff barriers and sectoral issues,Audio: Chair’s opening statement,https://www.wto.org/audio/2009_09_23_wasescha_opening.mp3
Industrial goods negotiations focus on non-tariff barriers and sectoral issues,More on the non-agricultural market access negotiations,https://www.wto.org/english/tratop_e/markacc_e/markacc_negoti_e.htm
Industrial goods chair commends WTO workshops on tariff schedules,Chairperson Luzius Wasescha’s opening statement,https://www.wto.org/audio/2009_07_17_wasescha.mp3
Industrial goods chair commends WTO workshops on tariff schedules,More on the non-agricultural market access negotiations,https://www.wto.org/english/tratop_e/markacc_e/markacc_negoti_e.htm
Industrial goods negotiations to continue focus on non-tariff trade barriers,Audio: Chairperson Luzius Wasescha’s statement,https://www.wto.org/audio/2009_05_20_wasescha.mp3
Industrial goods negotiations to continue focus on non-tariff trade barriers,More on the non-agricultural market access negotiations,https://www.wto.org/english/tratop_e/markacc_e/markacc_negoti_e.htm
Industrial goods chair sees readiness to push forward on technical work,Audio: Chair’s opening statement,https://www.wto.org/audio/2009_02_27_wasescha.mp3
Chair urges industrial-tariff talks to focus on technical work,Audio: Chairperson Luzius Wasescha’s statement,https://www.wto.org/audio/2009_01_28_wasescha.mp3
Chair urges industrial-tariff talks to focus on technical work,More on the non-agricultural market access negotiations,https://www.wto.org/english/tratop_e/markacc_e/markacc_negoti_e.htm
Industrial goods chair provides further detail on the latest negotiating text,Audio: Press Conference — Chairperson Luzius Wasescha,https://www.wto.org/audio/wasescha_2008_12_09_pc.mp3
Industrial goods chair provides further detail on the latest negotiating text,More on the non-agricultural market access negotiations,https://www.wto.org/english/tratop_e/markacc_e/markacc_negoti_e.htm
"Lamy welcomes revised ag and NAMA texts, considers next steps",Press release,https://www.wto.org/english/news_e/pres08_e/pr543_e.htm
Revised drafts issued for farm and non-farm trade talks,Details,https://www.wto.org/english/news_e/news08_e/ag_nama_dec08_e.htm
Revised drafts issued for farm and non-farm trade talks,Statement from Lamy on the release of the texts,https://www.wto.org/english/news_e/pres08_e/pr543_e.htm
Revised drafts issued for farm and non-farm trade talks,Agriculture text,https://www.wto.org/english/tratop_e/agric_e/chair_texts08_e.htm
Revised drafts issued for farm and non-farm trade talks,NAMA text,https://www.wto.org/english/tratop_e/markacc_e/markacc_chair_texts07_e.htm
"Industrial goods chair set to issue new text, asks for further flexibility from members",Audio: Chair’s opening statement,https://www.wto.org/audio/wasescha_2008_12_02_opening.mp3
"Industrial goods chair set to issue new text, asks for further flexibility from members",Audio: Chair’s concluding comments,https://www.wto.org/audio/wasescha_2008_12_02_closing.mp3
"Industrial goods chair set to issue new text, asks for further flexibility from members",More on the non-agricultural market access negotiations,https://www.wto.org/english/tratop_e/markacc_e/markacc_negoti_e.htm
Chair to continue consultations on non-agriculture issues,Audio: Chair’s opening statement,https://www.wto.org/audio/wasescha_2008_11_13_opening.mp3
Chair to continue consultations on non-agriculture issues,Audio: Chair’s concluding comments,https://www.wto.org/audio/wasescha_2008_11_13_closing.mp3
Chair to continue consultations on non-agriculture issues,More on the non-agricultural market access negotiations,https://www.wto.org/english/tratop_e/markacc_e/markacc_negoti_e.htm
Non-agriculture Chair announces intensive consultations starting next week,Audio: Chair’s opening statement,https://www.wto.org/audio/wasescha_2008_10_22_opening.mp3
Non-agriculture Chair announces intensive consultations starting next week,Audio: Chair’s concluding comments,https://www.wto.org/audio/wasescha_2008_10_22_closing.mp3
Non-agriculture Chair announces intensive consultations starting next week,More on the non-agricultural market access negotiations,https://www.wto.org/english/tratop_e/markacc_e/markacc_negoti_e.htm
Lamy convenes meeting to ensure developing-country access to trade finance,Talking points for the Director-General,https://www.wto.org/english/news_e/news08_e/tnc_dg_stat_oct08_e.htm
Swiss ambassador is new chair of non-agricultural negotiating group,News item,https://www.wto.org/english/news_e/news08_e/nama_2oct08_e.htm
Swiss ambassador is new chair of non-agricultural negotiating group,Audio: Chairperson Luzius Wasescha’s statement,https://www.wto.org/audio/wasescha_2008_10_02.mp3
Non-farm talks’ chair submits his ‘July package’ report,Report to the TNC,https://www.wto.org/english/tratop_e/markacc_e/chair_texts_12aug08_e.doc
