title,type,url
DDG Ellard urges prompt ratification of Fisheries Subsidies Agreement,News item,https://www.wto.org/english/news_e/news23_e/ddgae_15may23_e.htm
"DDG Ellard urges parliamentarians to deepen support for WTO, ratify Fisheries Agreement",News item,https://www.wto.org/english/news_e/news23_e/ddgae_27apr23_e.htm
"Parliamentarians from Latin America and Caribbean discuss challenges facing world trade, MC12 outcomes",News item,https://www.wto.org/english/news_e/news22_e/parl_29nov22_e.htm
Parliamentarians show strong support for WTO and role of multilateral trading system,News item,https://www.wto.org/english/news_e/news22_e/parl_14jun22_e.htm
Virtual event on global trade outlook concludes for Asia-Pacific parliamentarians,News item,https://www.wto.org/english/news_e/news22_e/parl_12may22_e.htm
“This might well be our Bretton Woods moment. Let’s not waste it.” — DDG Ellard,News item,https://www.wto.org/english/news_e/news22_e/ddgae_10may22_e.htm
DDG Ellard: WTO is essential to the rules-based international order,News item,https://www.wto.org/english/news_e/news22_e/ddgae_31mar22_e.htm
2022 Public Forum to focus on theme of sustainable and inclusive recovery,News item,https://www.wto.org/english/news_e/news22_e/pfor_15mar22_e.htm
DDG Paugam highlights MC12 expectations for WTO at EU Parliament event,News item,https://www.wto.org/english/news_e/news21_e/ddgjp_11nov21_e.htm
Parliamentary Conference on the WTO addresses major issues facing world trade,News item,https://www.wto.org/english/news_e/news18_e/parl_12dec18_e.htm
Annual session of Parliamentary Conference on the WTO gets under way,News item,https://www.wto.org/english/news_e/news18_e/parl_07dec18_e.htm
DG Azevêdo urges parliamentarians to remain engaged in WTO issues,News item,https://www.wto.org/english/news_e/news17_e/ddgra_09dec17_e.htm
Azevêdo: Parliamentarians play a particularly important role in the work of the WTO,Speech,https://www.wto.org/english/news_e/spra_e/spra178_e.htm
Parliamentarians’ involvement “crucial” to WTO work — Azevedo,Speech,https://www.wto.org/english/news_e/spra_e/spra47_e.htm
Parliamentarians’ involvement “crucial” to WTO work — Azevedo,Statement by Roberto Azevêdo,https://www.wto.org/audio/dgspeechipu17022015.mp3
Parliamentarians echo Azevêdo call for prompt ratification of Trade Facilitation Agreement,News item,https://www.wto.org/english/news_e/news15_e/parl_16feb15_e.htm
WTO launches call for proposals for 2014 Public Forum,News item,https://www.wto.org/english/news_e/news14_e/pfor_02apr14_e.htm
"Help WTO keep up the Bali momentum, Azevêdo asks parliamentarians",Speech,https://www.wto.org/english/news_e/spra_e/spra7_e.htm
“WTO accession is an important step to integrate with the global economy”—DDG Rugwabiza,News item,https://www.wto.org/english/news_e/news12_e/acc_lao_27nov12_e.htm
IPU Parliamentary Conference on WTO,IPU Parliamentary Conference on WTO,https://www.wto.org/english/news_e/sppl_e/sppl257_e.htm
IPU Parliamentary Conference on WTO,"Welcoming Remarks by the WTO Director-General, Mr. Pascal Lamy",https://www.wto.org/audio/2012_11_16_ipu_dgspeech.mp3
Parliamentarians and business leaders attend WTO workshop in Vanuatu,News item,https://www.wto.org/english/news_e/news11_e/tech_11may11_e.htm
Lamy cautions against weakening the WTO,Speech,https://www.wto.org/english/news_e/sppl_e/sppl189_e.htm
DDG Singh cites important role of parliamentarians in the world trading system,News item,https://www.wto.org/english/news_e/news10_e/parl_24jun10_e.htm
"WTO, Temasek Foundation organize workshop for ASEAN parliamentarians",News item,https://www.wto.org/english/news_e/news09_e/parl_22jun09_e.htm
Members asking to build on “enormous progress” for final agreement — Lamy,Speech,https://www.wto.org/english/news_e/sppl_e/sppl99_e.htm
A consensual international accord on climate change is needed — Lamy,Speech,https://www.wto.org/english/news_e/sppl_e/sppl91_e.htm
Lamy underscores major stake of EU in the Round’s conclusion,Speech,https://www.wto.org/english/news_e/sppl_e/sppl90_e.htm
Lamy asks parliamentarians to support relaunch of full negotiations,Speech,https://www.wto.org/english/news_e/sppl_e/sppl51_e.htm
Lamy warns Doha failure will seriously weaken the trading system,Speech,https://www.wto.org/english/news_e/sppl_e/sppl44_e.htm
Draft modalities announce the beginning of a marathon — Lamy,Speech,https://www.wto.org/english/news_e/sppl_e/sppl30_e.htm
Lamy: “We have no more time to lose”,Speech,https://www.wto.org/english/news_e/sppl_e/sppl21_e.htm
