title,type,url
Report finds strong expansion of global value chains but warns of increased vulnerability,News item,https://www.wto.org/english/news_e/news23_e/publ_16nov23_e.htm
WTO issues new edition of Trade Profiles,News item,https://www.wto.org/english/news_e/news23_e/publ_31oct23_e.htm
WTO lowers 2023 trade growth forecast amid global manufacturing slowdown,News item,https://www.wto.org/english/news_e/news23_e/tfore_05oct23_e.htm
New WTO publication provides insights into the world of export regulations and controls,News item,https://www.wto.org/english/news_e/news23_e/pf23_15sep23_e.htm
New WTO publication underlines need to boost women’s participation in trade,News item,https://www.wto.org/english/news_e/news23_e/women_14sep23_e.htm
World Trade Report 2023 makes case for “re-globalization” amid early signs of fragmentation,News item,https://www.wto.org/english/news_e/news23_e/wtr_12sep23_e.htm
WTO issues 2023 edition of the World Trade Statistical Review,News item,https://www.wto.org/english/news_e/news23_e/stat_31jul23_e.htm
New publication sets out common framework for measuring digital trade,News item,https://www.wto.org/english/news_e/news23_e/dtech_28jul23_e.htm
WTO issues 2023 Annual Report,News item,https://www.wto.org/english/news_e/news23_e/anrp_20jul23_e.htm
WTO issues new edition of “One-Page Case Summaries”,News item,https://www.wto.org/english/news_e/news23_e/disp_18jul23_e.htm
"Second update of information note on integrated health, trade, IP response to COVID-19 launched",News item,https://www.wto.org/english/news_e/news23_e/heal_14jul23_e.htm
WTO issues new edition of World Tariff Profiles,News item,https://www.wto.org/english/news_e/news23_e/publ_06jul23_e.htm
New report looks into boosting developing countries’ participation in services trade,News item,https://www.wto.org/english/news_e/news23_e/publ_03jul23_e.htm
Trade growth to slow to 1.7% in 2023 following 2.7% expansion in 2022,News item,https://www.wto.org/english/news_e/news23_e/tfore_05apr23_e.htm
WTO note finds global trade resilient following one year of war in Ukraine,News item,https://www.wto.org/english/news_e/news23_e/publ_23feb23_e.htm
WTO issues 2022 edition of flagship statistical publication,News item,https://www.wto.org/english/news_e/news22_e/publ_30nov22_e.htm
DG Okonjo-Iweala: World “cannot afford to leave trade and WTO behind” in climate actions,News item,https://www.wto.org/english/news_e/news22_e/publ_08nov22_e.htm
"Trade must be a cornerstone of climate action, urges World Trade Report released at COP27",News item,https://www.wto.org/english/news_e/news22_e/publ_07nov22_e.htm
WTO issues new edition of Trade Profiles,News item,https://www.wto.org/english/news_e/news22_e/publ_26oct22_e.htm
"WTO, IFC launch joint publication on trade finance in West Africa",News item,https://www.wto.org/english/news_e/news22_e/publ_12oct22_e.htm
"WTO, WCO publication looks at how new technologies can assist cross-border trade",News item,https://www.wto.org/english/news_e/news22_e/publ_03oct22_e.htm
WTO issues new edition of World Tariff Profiles,News item,https://www.wto.org/english/news_e/news22_e/publ_29jul22_e.htm
WTO issues latest edition of Annual Report,News item,https://www.wto.org/english/news_e/news22_e/anrp_28jul22_e.htm
Aid for Trade Global Review 2022 — Session 35 — “Implementing the WTO Agreement on Fisheries Subsidies — Challenges and Opportunities for Developing Members”,Speech,https://www.wto.org/english/news_e/spno_e/spno31_e.htm
"In a world of polycrisis, Aid for Trade Global Review focuses on recovery, resilience",News item,https://www.wto.org/english/news_e/news22_e/aid_27jul22_e.htm
New joint publication highlights benefits of paperless trade,News item,https://www.wto.org/english/news_e/news22_e/publ_30jun22_e.htm
New report highlights positive impact of WTO technical assistance activities,News item,https://www.wto.org/english/news_e/news22_e/tech_02jun22_e.htm
WTO-WEF publication looks at policy approaches to harness “TradeTech” potential,News item,https://www.wto.org/english/news_e/news22_e/publ_12apr22_e.htm
"WTO launches book on trade in knowledge in today’s technological, commercial environment",News item,https://www.wto.org/english/news_e/news22_e/trip_04apr22_e.htm
"WTO, WCO launch publication on role of latest technologies in facilitating trade",News item,https://www.wto.org/english/news_e/news22_e/publ_29mar22_e.htm
WTO report looks into steps taken to boost LDCs’ participation in international trade,News item,https://www.wto.org/english/news_e/news22_e/devel_19jan22_e.htm
WTO report recommends ways to ease trade bottlenecks in landlocked developing countries,News item,https://www.wto.org/english/news_e/news21_e/publ_08dec21_e.htm
"New publication examines global value chain resilience, shift beyond manufacturing sector",News item,https://www.wto.org/english/news_e/news21_e/publ_15nov21_e.htm
"Vulnerabilities, resilience in global trading system examined in World Trade Report 2021",News item,https://www.wto.org/english/news_e/news21_e/wtr_16nov21_e.htm
WTO issues new edition of “Trade Profiles”,News item,https://www.wto.org/english/news_e/news21_e/publ_11oct21_e.htm
"WTO, WIPO launch book on competition policy and IP in today’s global economy",News item,https://www.wto.org/english/news_e/news21_e/trip_16sep21_e.htm
WTO issues 2021 edition of flagship statistical publication,News item,https://www.wto.org/english/news_e/news21_e/publ_30jul21_e.htm
"Open trade policies vital to support growth in solar energy, highlights new booklet",News item,https://www.wto.org/english/news_e/news21_e/publ_28jul21_e.htm
"WTO booklet highlights members’ activities in 2020 on food safety, animal and plant health",News item,https://www.wto.org/english/news_e/news21_e/sps_27jul21_e.htm
WTO issues new edition of World Tariff Profiles,News item,https://www.wto.org/english/news_e/news21_e/publ_14jul21_e.htm
WTO issues 2021 Annual Report,News item,https://www.wto.org/english/news_e/news21_e/anrp_08jul21_e.htm
WTO issues updated edition of “One-Page Case Summaries”,News item,https://www.wto.org/english/news_e/news21_e/disp_06jul21_e.htm
New booklet highlights key results of 2020 work on standards and regulations,News item,https://www.wto.org/english/news_e/news21_e/tbt_10may21_e.htm
Blockchain forum looks at how to accelerate digitalization to facilitate trade,News item,https://www.wto.org/english/news_e/news21_e/rese_30mar21_e.htm
New WTO report examines ways of increasing Africa’s trading capacities,News item,https://www.wto.org/english/news_e/news21_e/publ_23mar21_e.htm
New WTO handbook sheds light on the Technical Barriers to Trade Agreement,News item,https://www.wto.org/english/news_e/news21_e/tbt_22feb21_e.htm
