title,type,url
"Members consider five regional trade agreements, discuss improving functioning of Committee",News item,https://www.wto.org/english/news_e/news23_e/rta_05jul23_e.htm
"Members consider five trade agreements, discuss how to improve functioning of Committee",News item,https://www.wto.org/english/news_e/news23_e/rta_27mar23_e.htm
"Working group on small business approves work program, issues a call for papers",News item,https://www.wto.org/english/news_e/news23_e/igmsm_15mar23_e.htm
"Members review trade agreements involving Egypt, Israel, Kenya, Korea, Mexico, Türkiye, UK",News item,https://www.wto.org/english/news_e/news22_e/rta_14nov22_e.htm
Members consider five regional trade agreements,News item,https://www.wto.org/english/news_e/news22_e/rta_22sep22_e.htm
WTO launches database on gender equality provisions in regional trade agreements,News item,https://www.wto.org/english/news_e/news22_e/women_28jul22_e.htm
"WTO members review six free trade agreements, stress importance of transparency",News item,https://www.wto.org/english/news_e/news22_e/rta_27jun22_e.htm
"WTO members review UK-Turkey, UK-Singapore and China-Mauritius trade agreements",News item,https://www.wto.org/english/news_e/news22_e/rta_29mar22_e.htm
"DDG Ellard: Multilateralism is the solution to challenges of global commons, unilateralism",News item,https://www.wto.org/english/news_e/news22_e/ddgae_08feb22_e.htm
DDG Ellard stresses WTO’s commitment to support AfCFTA implementation,News item,https://www.wto.org/english/news_e/news21_e/ddgae_25nov21_e.htm
DDG Ellard underlines co-existence between plurilateral negotiations and multilateralism,News item,https://www.wto.org/english/news_e/news21_e/ddgae_12nov21_e.htm
"WTO issues information briefs on trade, climate, related issues with COP26 talks underway",News item,https://www.wto.org/english/news_e/news21_e/clim_03nov21_e.htm
"WTO members review three RTAs, receive update on Transparency Mechanism",News item,https://www.wto.org/english/news_e/news21_e/rta_01nov21_e.htm
100th session of the Committee on Regional Trade Agreements,Speech,https://www.wto.org/english/news_e/spno_e/spno10_e.htm
WTO members review CPTPP at 100th session of Committee on Regional Trade Agreements,News item,https://www.wto.org/english/news_e/news21_e/rta_22jun21_e.htm
"WTO members consider EU-Singapore, Peru-Australia trade agreements",News item,https://www.wto.org/english/news_e/news21_e/rta_22mar21_e.htm
WTO members consider six regional trade agreements,News item,https://www.wto.org/english/news_e/news20_e/rta_18nov20_e.htm
WTO members review four regional trade agreements between developing countries,News item,https://www.wto.org/english/news_e/news20_e/rta_29sep20_e.htm
"WTO members consider EU-Armenia, MERCOSUR-Israel trade agreements",News item,https://www.wto.org/english/news_e/news20_e/rta_23sep20_e.htm
DDG Wolff: The future belongs to trade agreements of varying geometries,News item,https://www.wto.org/english/news_e/news20_e/ddgaw_11aug20_e.htm
Online regional trade policy course for Caribbean countries under way,News item,https://www.wto.org/english/news_e/news20_e/tech_10aug20_e.htm
WTO members review five regional trade agreements,News item,https://www.wto.org/english/news_e/news20_e/rta_27jul20_e.htm
WTO issues new report on treatment of medical products in regional trade agreements,News item,https://www.wto.org/english/news_e/news20_e/rta_27apr20_e.htm
"WTO members consider EU-Japan, Turkey-Singapore trade agreements",News item,https://www.wto.org/english/news_e/news19_e/rta_08nov19_e.htm
Advanced Course on Regional Trade Agreements and the WTO concludes in Geneva,News item,https://www.wto.org/english/news_e/news19_e/tech_19sep19_e.htm
"Members review regional trade agreements of Pacific Alliance, EAEU members and Viet Nam",News item,https://www.wto.org/english/news_e/news19_e/rta_17sep19_e.htm
WTO members consider six regional trade agreements,News item,https://www.wto.org/english/news_e/news19_e/rta_04apr19_e.htm
Members urge follow-up to Bali decision on monitoring flexibilities for developing countries,News item,https://www.wto.org/english/news_e/news18_e/devel_21nov18_e.htm
"WTO members review regional trade agreements covering EU, Ghana and EAEU",News item,https://www.wto.org/english/news_e/news18_e/rta_19nov18_e.htm
Regional Trade Policy Course concludes in Thailand,News item,https://www.wto.org/english/news_e/news18_e/tech_22oct18_e.htm
"WTO members review two regional trade agreements covering Africa, the Caribbean and the EU",News item,https://www.wto.org/english/news_e/news18_e/rta_18sep18_e.htm
WTO members review four regional trade agreements,News item,https://www.wto.org/english/news_e/news18_e/rta_19jun18_e.htm
DDG Wolff: Regional agreements must contribute to advancing multilateral trade,News item,https://www.wto.org/english/news_e/news18_e/ddgra_17may18_e.htm
WTO members discuss ways of improving the transparency of regional trade agreements,News item,https://www.wto.org/english/news_e/news18_e/rta_09apr18_e.htm
