title,type,url
WTO members edge closer to fisheries subsidies agreement,News item,https://www.wto.org/english/news_e/news21_e/fish_15jul21_e.htm
WTO hosts forum to exchange views on trade challenges from certificates of origin,News item,https://www.wto.org/english/news_e/news18_e/roi_20apr18_e.htm
New Negotiating Group on Rules chair kicks off consultations on fisheries subsidies,News item,https://www.wto.org/english/news_e/news18_e/rule_28mar18_e.htm
"China seeks special consideration for SMEs in anti-dumping, countervailing probes",News item,https://www.wto.org/english/news_e/news17_e/rule_16oct17_e.htm
Members review implementation of preferential rules of origin for LDCs,News item,https://www.wto.org/english/news_e/news17_e/roi_11oct17_e.htm
Fisheries subsidies talks move forward with seven proposals and forthcoming compilation,News item,https://www.wto.org/english/news_e/news17_e/fish_20jul17_e.htm
"China, EU seek to strengthen WTO trade remedy, notification disciplines",News item,https://www.wto.org/english/news_e/news17_e/rule_14jul17_e.htm
Chair outlines way forward for talks on fisheries subsidies,News item,https://www.wto.org/english/news_e/news17_e/fish_01mar17_e.htm
WTO members review proposals for addressing fisheries subsidies,News item,https://www.wto.org/english/news_e/news17_e/fish_24jan17_e.htm
WTO members engage on new fisheries subsidies proposals,News item,https://www.wto.org/english/news_e/news16_e/fish_09dec16_e.htm
Chair cites broad support for outcome on fisheries subsidies at 2017 Ministerial Conference,News item,https://www.wto.org/english/news_e/news16_e/rule_17nov16_e.htm
"WTO members affirm interest in new international fisheries subsidies rules, but differ on way forward",News item,https://www.wto.org/english/news_e/news16_e/rule_06jul16_e.htm
“Clear interest” in securing outcomes in rules negotiations for 2017 Ministerial,News item,https://www.wto.org/english/news_e/news16_e/rule_25may16_e.htm
"Problems in steel sector prompting rise in trade remedy measures, WTO members told",News item,https://www.wto.org/english/news_e/news16_e/anti_29apr16_e.htm
WTO members “still interested” in securing results in rules negotiations,News item,https://www.wto.org/english/news_e/news16_e/rule_30mar16_e.htm
Chair urges negotiators to “get to the starting blocks” in addressing rules negotiations,News item,https://www.wto.org/english/news_e/news15_e/rule_29jul15_e.htm
"FANs push transparency, due process, but members reluctant to engage in rules negotiations",News item,https://www.wto.org/english/news_e/news15_e/rule_25jun15_e.htm
"Members welcome refresher course on “rules” negotiations, Chair to continue consultations",News item,https://www.wto.org/english/news_e/news15_e/rule_04may15_e.htm
Members endorse Chair plan for advancing talks on “rules” role in post-Bali work programme,News item,https://www.wto.org/english/news_e/news15_e/rule_15apr15_e.htm
Members continue to be divided on “rules” role in post-Bali work programme,News item,https://www.wto.org/english/news_e/news15_e/rule_26feb15_e.htm
Rules Group elects new chair,News item,https://www.wto.org/english/news_e/news12_e/rule_29feb12_e.htm
"Lamy: Package of negotiating documents underscores value of Doha progress
But DG says differences over industrial tariff cuts effectively block further progress and put at risk conclusion in 2011",Documents from the negotiating chairs,https://www.wto.org/english/tratop_e/dda_e/chair_texts11_e/chair_texts11_e.htm
Regional trade agreement negotiators urged to move towards “zone of accommodation”,News item,https://www.wto.org/english/news_e/news11_e/rta_17mar11_e.htm
Rules Group begins review of transparency mechanism for regional trade agreements,News item,https://www.wto.org/english/news_e/news11_e/rule_04feb11_e.htm
Rules Group launches review of transparency mechanism for regional trade agreements,News item,https://www.wto.org/english/news_e/news10_e/rule_13dec10_e.htm
Rules Group elects new chair,News item,https://www.wto.org/english/news_e/news10_e/rule_13jul10_e.htm
Rules Group elects new chair,Audio: Statement of Ambassador Francis,https://www.wto.org/audio/2010_07_13_francis_stat.mp3
Lamy opens stocktaking week with hope for strong signal on concluding the Round,Statement by Pascal Lamy to the TNC,https://www.wto.org/english/news_e/news10_e/tnc_dg_stat_22mar10_e.htm
Chair gives overview of Rules negotiations,Statement by the Chairman,http://docsonline.wto.org/imrd/directdoc.asp?DDFDocuments/t/tn/rl/W246.doc
Lamy urges Doha deal for sustainable fishing,Mr Lamy’s statement,https://www.wto.org/english/news_e/sppl_e/sppl129_e.htm
Rules Chair issues new negotiating texts,News item,https://www.wto.org/english/news_e/news08_e/rules_19dec08_e.htm
Chair outlines future work in Rules negotiations,Text of the Chair’s fax,https://www.wto.org/english/news_e/news08_e/rules_14july08_e.htm
Chair issues working document on rules,News item,https://www.wto.org/english/news_e/news08_e/rules_28may08_e.htm
Chair circulates draft text on rules,News item,https://www.wto.org/english/news_e/news07_e/rules_draft_text_nov07_e.htm
Lamy welcomes WTO agreement on regional trade agreements,News item,https://www.wto.org/english/news_e/news06_e/rta_july06_e.htm
