title,type,url
Report highlights committee work on preferential rules of origin for least developed countries,News item,https://www.wto.org/english/news_e/news23_e/roi_24nov23_e.htm
WTO to host event on easing trade barriers related to product origin requirements,News item,https://www.wto.org/english/news_e/news23_e/roi_03oct23_e.htm
"Members address LDC concerns, transparency at Rules of Origin Committee meeting",News item,https://www.wto.org/english/news_e/news23_e/roi_06jun23_e.htm
WTO dispute panel issues report regarding US origin marking requirements,Panel report,https://www.wto.org/english/news_e/news22_e/597r_e.htm
Members seek to advance transparency decision for non-preferential rules of origin,News item,https://www.wto.org/english/news_e/news22_e/roi_13oct22_e.htm
Webinar revisits trade preferences and factors impacting their use,News item,https://www.wto.org/english/news_e/news22_e/roi_07apr22_e.htm
"Webinar examines challenges, opportunities in the use of trade preferences",News item,https://www.wto.org/english/news_e/news21_e/roi_19may21_e.htm
WTO members discuss implementation of preferential rules of origin for LDCs,News item,https://www.wto.org/english/news_e/news20_e/rule_13nov20_e.htm
"Hong Kong, China initiates dispute complaint against US origin marking requirements",News item,https://www.wto.org/english/news_e/news20_e/ds597rfc_03nov20_e.htm
LDCs seek strengthened mandate for Committee on Rules of Origin,News item,https://www.wto.org/english/news_e/news20_e/roi_05mar20_e.htm
Event marks 25th anniversary of the WTO’s Agreement on Rules of Origin,News item,https://www.wto.org/english/news_e/news20_e/roi_04mar20_e.htm
WTO members examine impact of direct shipment requirements on preference use by LDCs,News item,https://www.wto.org/english/news_e/news19_e/roi_18oct19_e.htm
New rules of origin initiative to help firms better utilize trade preferences,News item,https://www.wto.org/english/news_e/news19_e/roi_17oct19_e.htm
"WTO members examine utilization of tariff preferences for LDCs, links to rules of origin",News item,https://www.wto.org/english/news_e/news19_e/roi_16may19_e.htm
"WTO members review use, application of preferential rules of origin for LDCs",News item,https://www.wto.org/english/news_e/news18_e/roi_15oct18_e.htm
WTO reports improved notification of preferential rules of origin for LDCs,News item,https://www.wto.org/english/news_e/news18_e/rule_19apr18_e.htm
WTO hosts forum to exchange views on trade challenges from certificates of origin,News item,https://www.wto.org/english/news_e/news18_e/roi_20apr18_e.htm
Members review implementation of preferential rules of origin for LDCs,News item,https://www.wto.org/english/news_e/news17_e/roi_11oct17_e.htm
WTO website offers easier access to members’ rules of origin,News item,https://www.wto.org/english/news_e/news17_e/roi_15jun17_e.htm
Chair urges members to identify areas for future work on non-preferential rules of origin,News item,https://www.wto.org/english/news_e/news16_e/roi_22sep16_e.htm
WTO members gear up for implementing Nairobi agreement on preferential rules of origin,News item,https://www.wto.org/english/news_e/news16_e/roi_26apr16_e.htm
WTO members secure “historic” Nairobi Package for Africa and the world,News item,https://www.wto.org/english/news_e/news15_e/mc10_19dec15_e.htm
LDC Group seeks Nairobi outcome on preferential rules of origin,News item,https://www.wto.org/english/news_e/news15_e/roi_20oct15_e.htm
Azevêdo: Nairobi Ministerial must deliver on development,Speech,https://www.wto.org/english/news_e/spra_e/spra78_e.htm
LDCs urge movement on implementing Bali Decision on preferential rules of origin,News item,https://www.wto.org/english/news_e/news15_e/roi_01may15_e.htm
Exports of poorest countries rebounded in 2013 but their trade share remains marginal,News item,https://www.wto.org/english/news_e/news14_e/devel_06nov14_e.htm
Committee advances post-Bali work on preferential rules of origin,News item,https://www.wto.org/english/news_e/news14_e/roi_30oct14_e.htm
Steps agreed on implementing Bali decision on rules of origin for LDCs,News item,https://www.wto.org/english/news_e/news14_e/roi_10apr14_e.htm
Members divided on way forward for rules of origin,News item,https://www.wto.org/english/news_e/news13_e/roi_26sep13_e.htm
Outgoing chair says 55% of rules of origin agreed,News item,https://www.wto.org/english/news_e/news10_e/roi_25mar10_e.htm
Outgoing chair says 55% of rules of origin agreed,Audio,http://workingserver/audio/2010_03_25_thorstensen.mp3
