title,type,url
Members advance discussion on addressing challenges in implementing SPS Agreement,News item,https://www.wto.org/english/news_e/news23_e/sps_17nov23_e.htm
Advanced course on Sanitary and Phytosanitary Agreement begins in Geneva,News item,https://www.wto.org/english/news_e/news23_e/sps_10oct23_e.htm
Members advance discussion on challenges in SPS Agreement implementation ahead of MC13,News item,https://www.wto.org/english/news_e/news23_e/sps_29sep23_e.htm
Members make headway on enhancing SPS Agreement implementation ahead of MC13,News item,https://www.wto.org/english/news_e/news23_e/sps_14jul23_e.htm
STDF Annual Report: Adapting and learning to facilitate safe trade in food,News item,https://www.wto.org/english/news_e/news23_e/stdf_07jul23_e.htm
First SPS Transparency Champions Course concludes in Geneva,News item,https://www.wto.org/english/news_e/news23_e/sps_15jun23_e.htm
"Germany commits EUR 150,000 to boost safe food exports from developing countries",Press release,https://www.wto.org/english/news_e/pres23_e/pr926_e.htm
"Members advance work to identify, address challenges in implementing SPS Agreement",News item,https://www.wto.org/english/news_e/news23_e/sps_11may23_e.htm
DDG Paugam explores closer WTO-IICA cooperation on agriculture and food security,News item,https://www.wto.org/english/news_e/news23_e/ddgjp_05may23_e.htm
DDG Paugam: Ensuring safe agriculture trade crucial for a sustainable future,News item,https://www.wto.org/english/news_e/news23_e/ddgjp_06apr23_e.htm
"Members endorse tools, recommendations to enhance SPS Agreement implementation",News item,https://www.wto.org/english/news_e/news23_e/sps_28mar23_e.htm
"Canada commits CAD 700,000 to strengthen developing countries’ food safety systems",Press release,https://www.wto.org/english/news_e/pres23_e/pr922_e.htm
Members advance discussions on addressing challenges in implementing SPS Agreement,News item,https://www.wto.org/english/news_e/news23_e/sps_14feb23_e.htm
Germany gives EUR 2.85 million to support safe agriculture trade in developing countries,Press release,https://www.wto.org/english/news_e/pres23_e/pr914_e.htm
Managing trade tensions at the WTO,Blog,https://www.wto.org/english/blogs_e/ddg_anabel_gonzalez_e/blog_ag_28nov22_e.htm
First course on Essentials for SPS Committee Participation concludes,News item,https://www.wto.org/english/news_e/news22_e/tech_24nov22_e.htm
First virtual course on essentials for SPS Committee participation gets under way,News item,https://www.wto.org/english/news_e/news22_e/sps_16nov22_e.htm
Members agree on process aimed at enhancing implementation of SPS Agreement,News item,https://www.wto.org/english/news_e/news22_e/sps_11nov22_e.htm
"DG Okonjo-Iweala stresses importance of SPS, TBT transparency to facilitate trade",News item,https://www.wto.org/english/news_e/news22_e/tech_10oct22_e.htm
Improved online platform launched to ease access to product information,News item,https://www.wto.org/english/news_e/news22_e/igo_13jul22_e.htm
Members launch discussion on work programme to enhance SPS Agreement implementation,News item,https://www.wto.org/english/news_e/news22_e/sps_29jun22_e.htm
"Members laud Ministerial Declaration addressing food safety, animal, plant health challenges",News item,https://www.wto.org/english/news_e/news22_e/sps_22jun22_e.htm
STDF Annual Report shows strong partnerships keep safe trade flowing,News item,https://www.wto.org/english/news_e/news22_e/stdf_22jun22_e.htm
WTO members secure unprecedented package of trade outcomes at MC12,News item,https://www.wto.org/english/news_e/news22_e/mc12_17jun22_e.htm
"STDF, Asian Development Bank champion “smart” regulations to promote safe food trade",News item,https://www.wto.org/english/news_e/news22_e/sps_10may22_e.htm
STDF partners explore impact of climate change on the global food system,News item,https://www.wto.org/english/news_e/news22_e/stdf_11may22_e.htm
WTO panel issues report regarding Costa Rican import restrictions on Mexican avocados,Panel report,https://www.wto.org/english/news_e/news22_e/524r_e.htm
"Members explore innovative approaches to facilitate food safety, trade opportunities",News item,https://www.wto.org/english/news_e/news22_e/sps_25mar22_e.htm
