title,type,url
WTO training course on services aspects of e-commerce concludes,News item,https://www.wto.org/english/news_e/news23_e/ecom_13oct23_e.htm
DDG Ellard highlights impact of technological developments on global trade,News item,https://www.wto.org/english/news_e/news23_e/ddgae_06oct23_e.htm
"Members discuss improvements to service exports data in LDCs, COVID-19, WTO reform",News item,https://www.wto.org/english/news_e/news23_e/serv_05oct23_e.htm
Advanced Course on Trade in Services for government officials concludes at WTO,News item,https://www.wto.org/english/news_e/news23_e/tra_22sep23_e.htm
New report looks into boosting developing countries’ participation in services trade,News item,https://www.wto.org/english/news_e/news23_e/publ_03jul23_e.htm
"Members address financial inclusion, transport and logistics during services week",News item,https://www.wto.org/english/news_e/news23_e/serv_14jun23_e.htm
New data reveals regional variations in digitally delivered services trade,News item,https://www.wto.org/english/news_e/news23_e/serv_26apr23_e.htm
"Public Forum 2023 to examine how trade can contribute to a greener, more sustainable future",News item,https://www.wto.org/english/news_e/news23_e/pf23_30mar23_e.htm
"DDG Ellard: The future of globalization is services, digital technology",News item,https://www.wto.org/english/news_e/news23_e/ddgae_29mar23_e.htm
WTO members discuss contribution of Services Council to implementing MC12 outcomes,News item,https://www.wto.org/english/news_e/news23_e/serv_09mar23_e.htm
New services regulatory information will support Africa’s economic diversification — DG,News item,https://www.wto.org/english/news_e/news23_e/serv_01mar23_e.htm
Services trade activity likely to weaken with slowing growth in major economies,News item,https://www.wto.org/english/news_e/news22_e/wtoi_22dec22_e.htm
New commitments for domestic regulation of services move step closer to entry into force,News item,https://www.wto.org/english/news_e/news22_e/jssdr_20dec22_e.htm
China initiates WTO dispute complaint targeting US semiconductor chip measures,News item,https://www.wto.org/english/news_e/news22_e/ds615rfc_15dec22_e.htm
WTO members advance discussions on Services Council’s role in implementing MC12 outcomes,News item,https://www.wto.org/english/news_e/news22_e/serv_08dec22_e.htm
WTO members discuss future work on trade in services following MC12 outcomes,News item,https://www.wto.org/english/news_e/news22_e/serv_19oct22_e.htm
Advanced Thematic Course on General Agreement on Trade in Services underway at WTO,News item,https://www.wto.org/english/news_e/news22_e/tech_22sep22_e.htm
DDG González: “More cooperation on services trade key to building the WTO of tomorrow”,News item,https://www.wto.org/english/news_e/news22_e/ddgag_27jun22_e.htm
Barometer indicates continued services trade recovery despite Ukraine conflict,News item,https://www.wto.org/english/news_e/news22_e/wtoi_23jun22_e.htm
"Georgia, Timor-Leste and United Arab Emirates join initiative on services domestic regulation",News item,https://www.wto.org/english/news_e/news22_e/serv_13jun22_e.htm
WTO-World Bank publication stresses key role of trade in responding to health crises,News item,https://www.wto.org/english/news_e/news22_e/heal_03jun22_e.htm
"Members discuss e-commerce, trade concerns and LDCs’ participation in services trade",News item,https://www.wto.org/english/news_e/news22_e/serv_18may22_e.htm
New WTO statistics dashboard provides graphical presentation of trade and tariff data,News item,https://www.wto.org/english/news_e/news22_e/stat_31mar22_e.htm
"Members share experiences on e-commerce, talk LDC services waiver and services commitments",News item,https://www.wto.org/english/news_e/news22_e/serv_11mar22_e.htm
High shipping rates and digital services sustain services trade recovery in Q3 of 2021,News item,https://www.wto.org/english/news_e/news22_e/serv_01feb22_e.htm
Negotiations on services domestic regulation conclude successfully in Geneva,News item,https://www.wto.org/english/news_e/news21_e/jssdr_02dec21_e.htm
"OECD, WTO issue joint study on economic benefits of new services domestic regulation deal",News item,https://www.wto.org/english/news_e/news21_e/jssdr_26nov21_e.htm
Services domestic regulation negotiations on track for MC12 outcome,News item,https://www.wto.org/english/news_e/news21_e/jssdr_18nov21_e.htm
Event looks at how to mitigate impact of rising shipping rates on trade flows,News item,https://www.wto.org/english/news_e/news21_e/serv_11nov21_e.htm
Participants make headway in finalizing negotiations on services domestic regulation at MC12,News item,https://www.wto.org/english/news_e/news21_e/jssdr_05nov21_e.htm
Participants on track to conclude negotiations on services domestic regulation at MC12,News item,https://www.wto.org/english/news_e/news21_e/serv_25oct21_e.htm
"WTO members hear LDC priorities on services trade for MC12, address various trade concerns",News item,https://www.wto.org/english/news_e/news21_e/serv_22oct21_e.htm
Logistics services critical for trade and economic development — DDG González,News item,https://www.wto.org/english/news_e/news21_e/ddgag_18oct21_e.htm
"Participants in domestic regulation talks conclude text negotiations, on track for MC12 deal",News item,https://www.wto.org/english/news_e/news21_e/serv_27sep21_e.htm
"Global services trade recovering but below pre-pandemic levels, WTO barometer indicates",News item,https://www.wto.org/english/news_e/news21_e/wtoi_23sep21_e.htm
DDG Ellard stresses need to reduce trade barriers for environmental goods and services,News item,https://www.wto.org/english/news_e/news21_e/ddgae_14sep21_e.htm
EU challenges Russian import substitution measures in new WTO dispute complaint,News item,https://www.wto.org/english/news_e/news21_e/ds604rfc_26jul21_e.htm
Services trade slump persists as travel wanes; other service sectors post diverse gains,News item,https://www.wto.org/english/news_e/news21_e/serv_23jul21_e.htm
"US joins services domestic regulation talks, participants move closer to MC12 outcome",News item,https://www.wto.org/english/news_e/news21_e/jssdr_20jul21_e.htm
"WTO members continue review of LDC services waiver, e-commerce work programme",News item,https://www.wto.org/english/news_e/news21_e/serv_01jul21_e.htm
Participants in services regulation talks outline steps taken to implement new disciplines,News item,https://www.wto.org/english/news_e/news21_e/serv_14jun21_e.htm
DG Okonjo-Iweala calls for enhancing LDCs’ integration in global services trade,News item,https://www.wto.org/english/news_e/news21_e/serv_04jun21_e.htm
Participants in services domestic regulation talks share national practices,News item,https://www.wto.org/english/news_e/news21_e/jssdr_10may21_e.htm
What’s up on services? The WTO’s Trade Monitoring Database can help!,News item,https://www.wto.org/english/news_e/news21_e/serv_20apr21_e.htm
Participants in talks on services domestic regulation share implementation experiences,News item,https://www.wto.org/english/news_e/news21_e/jssdr_14apr21_e.htm
Training course on trade in services for acceding governments concludes,News item,https://www.wto.org/english/news_e/news21_e/tra_26mar21_e.htm
"Barometer points to services trade rebound in short run, long term outlook less clear",News item,https://www.wto.org/english/news_e/news21_e/wtoi_11mar21_e.htm
WTO members to hold workshop on preferences for services exporters in LDCs,News item,https://www.wto.org/english/news_e/news21_e/serv_09mar21_e.htm
Participants in domestic regulation negotiations for services commit to maintain momentum,News item,https://www.wto.org/english/news_e/news21_e/jssdr_05feb21_e.htm
Services trade recovery not yet in sight,News item,https://www.wto.org/english/news_e/news21_e/serv_26jan21_e.htm
"WTO, OECD launch dataset on bilateral trade in services",News item,https://www.wto.org/english/news_e/news21_e/stat_13jan21_e.htm
Chair of services domestic regulation talks issues revised negotiating text,News item,https://www.wto.org/english/news_e/news20_e/serv_18dec20_e.htm
WTO members explore market access issues regarding trade in logistics and financial services,News item,https://www.wto.org/english/news_e/news20_e/serv_09dec20_e.htm
WTO members consider holding a workshop on preferences for services exporters in LDCs,News item,https://www.wto.org/english/news_e/news20_e/serv_04dec20_e.htm
Thailand joins negotiations on services domestic regulation,News item,https://www.wto.org/english/news_e/news20_e/jssdr_11nov20_e.htm
Services trade drops 30% in Q2 as COVID-19 ravages international travel,News item,https://www.wto.org/english/news_e/news20_e/serv_22oct20_e.htm
Members discuss proposals on trade in environmental and agricultural services,News item,https://www.wto.org/english/news_e/news20_e/serv_23oct20_e.htm
Negotiations on domestic regulation disciplines for services “very advanced” — Chair,News item,https://www.wto.org/english/news_e/news20_e/serv_15oct20_e.htm
Members address proposal to advance discussions on preferences for LDC service suppliers,News item,https://www.wto.org/english/news_e/news20_e/serv_02oct20_e.htm
Services trade barometer signals resilience in key sectors amid overall decline,News item,https://www.wto.org/english/news_e/news20_e/wtoi_17sep20_e.htm
"WTO issues report on measures to expedite access to COVID-19 critical goods, services",News item,https://www.wto.org/english/news_e/news20_e/serv_16sep20_e.htm
WTO issues new report on how COVID-19-related restrictions on cross-border mobility are affecting global trade,News item,https://www.wto.org/english/news_e/news20_e/covid_26aug20_e.htm
Members discuss challenges and opportunities of online services trade amid COVID-19 crisis,News item,https://www.wto.org/english/news_e/news20_e/serv_01jul20_e.htm
WTO report looks at impact of COVID-19 pandemic on services trade,News item,https://www.wto.org/english/news_e/news20_e/serv_29may20_e.htm
Services trade growth weakens as COVID-19 crisis hits global economy,News item,https://www.wto.org/english/news_e/news20_e/wtoi_11mar20_e.htm
UK notifies WTO on implications of withdrawal from the EU for itself and other members,News item,https://www.wto.org/english/news_e/news20_e/mark_03feb20_e.htm
UK notifies WTO members of withdrawal from the EU,News item,https://www.wto.org/english/news_e/news20_e/mark_01feb20_e.htm
WTO and World Bank showcase updated version of Services Trade Policy Database,News item,https://www.wto.org/english/news_e/news20_e/serv_16jan20_e.htm
WTO-UNCTAD Course on Trade in Services Statistics concludes in Geneva,News item,https://www.wto.org/english/news_e/news19_e/tech_16dec19_e.htm
Workshop discusses domestic regulation role in facilitating trade in services,News item,https://www.wto.org/english/news_e/news19_e/serv_14nov19_e.htm
WTO members review preferences granted to LDCs’ service suppliers,News item,https://www.wto.org/english/news_e/news19_e/serv_30oct19_e.htm
DG Azevêdo: Enhanced participation of LDCs in services trade should be key priority,Speech,https://www.wto.org/english/news_e/spra_e/spra288_e.htm
Public Forum reflects on how to adapt to services-based trading future,News item,https://www.wto.org/english/news_e/news19_e/serv_14oct19_e.htm
WTO members engage in exploratory talks on market access for environmental services,News item,https://www.wto.org/english/news_e/news19_e/serv_30sep19_e.htm
Advanced course on trade in services concludes at WTO,News item,https://www.wto.org/english/news_e/news19_e/tech_20sep19_e.htm
New WTO indicator finds services trade weakening into second half of 2019,News item,https://www.wto.org/english/news_e/news19_e/wtoi_12sep19_e.htm
WTO launches trade in services dataset by sector and mode of supply,News item,https://www.wto.org/english/news_e/news19_e/serv_31jul19_e.htm
Azevêdo urges ministers’ action on systemic issues and to intensify fisheries subsidies work,News item,https://www.wto.org/english/news_e/news19_e/dgra_23may19_e.htm
Members discuss proposal on market access for tourism and related services,News item,https://www.wto.org/english/news_e/news19_e/serv_08apr19_e.htm
WTO members hold latest “cluster” of services meetings,News item,https://www.wto.org/english/news_e/news19_e/serv_21mar19_e.htm
Members agree to hold meeting on the use of the LDC Services Waiver,News item,https://www.wto.org/english/news_e/news18_e/serv_07dec18_e.htm
United Kingdom submits draft post-Brexit services commitments to WTO,News item,https://www.wto.org/english/news_e/news18_e/mark_03dec18_e.htm
Poorest countries call for review of preferential access for exporters of services,News item,https://www.wto.org/english/news_e/news18_e/serv_10oct18_e.htm
Course on trade in services for developing economies ends in Geneva,News item,https://www.wto.org/english/news_e/news18_e/serv_21sep18_e.htm
WTO to hold seminar on cross-border movement of service-providing individuals,News item,https://www.wto.org/english/news_e/news18_e/serv_30may18_e.htm
WTO members appoint new chair of services negotiations,News item,https://www.wto.org/english/news_e/news18_e/snegs_12apr18_e.htm
Least-developed countries urge WTO members to facilitate use of services waiver,News item,https://www.wto.org/english/news_e/news18_e/serv_02mar18_e.htm
Experts discuss how to measure services trade in the digital age,News item,https://www.wto.org/english/news_e/news18_e/serv_01mar18_e.htm
Members’ views diverge on prospect of short-term outcome on domestic regulation,News item,https://www.wto.org/english/news_e/news17_e/serv_08nov17_e.htm
Azevêdo underlines growing importance of services in global trade,Speech,https://www.wto.org/english/news_e/spra_e/spra193_e.htm
WTO hosts Advanced Course on Trade in Services,News item,https://www.wto.org/english/news_e/news17_e/tech_13oct17_e.htm
Members review new WTO disciplines on domestic regulation of service providers,News item,https://www.wto.org/english/news_e/news17_e/devel_16oct17_e.htm
WTO members examine new proposals for domestic regulation in services,News item,https://www.wto.org/english/news_e/news17_e/serv_11jul17_e.htm
WTO members review further proposals to ease global trade in services,News item,https://www.wto.org/english/news_e/news17_e/serv_14mar17_e.htm
Azevêdo underscores growing importance of services in world trade,News item,https://www.wto.org/english/news_e/news17_e/publ_27jan17_e.htm
First training course on trade in services underway for countries seeking to join the WTO,News item,https://www.wto.org/english/news_e/news16_e/tra_30nov16_e.htm
First training course on trade in services underway for countries seeking to join the WTO,Activity sheet for the course,https://www.wto.org/english/news_e/news16_e/tra_30nov16_e.pdf
First Thematic Course on Trade in Services Statistics for LDCs underway at WTO,News item,https://www.wto.org/english/news_e/news16_e/tra_14nov16_e.htm
First Thematic Course on Trade in Services Statistics for LDCs underway at WTO,Activity sheet for the course,https://www.wto.org/english/news_e/news16_e/tra_14nov16_e.pdf
Chair encourages WTO members to “put train on track” for services negotiations,News item,https://www.wto.org/english/news_e/news16_e/snegs_14nov16_e.htm
WTO members debate new proposals to ease global flow of services,News item,https://www.wto.org/english/news_e/news16_e/serv_05oct16_e.htm
Businesses share ideas on rules for inclusive trade,News item,https://www.wto.org/english/news_e/news16_e/bus_28sep16_e.htm
Advanced Course on Trade in Services underway at WTO,News item,https://www.wto.org/english/news_e/news16_e/tra_19sep16_e.htm
Tourism sector highlighted as important contributor to trade and development,News item,https://www.wto.org/english/news_e/news16_e/bus_13jul16_e.htm
Services negotiations gain momentum as members show renewed interest,News item,https://www.wto.org/english/news_e/news16_e/serv_04jul16_e.htm
LDCs call on WTO members to consider post-Nairobi list of priorities,News item,https://www.wto.org/english/news_e/news16_e/sldcw_24jun16_e.htm
Most WTO members support re-engagement in talks on domestic regulation in services,News item,https://www.wto.org/english/news_e/news16_e/serv_16jun16_e.htm
Appellate Body issues report in Panama/Argentina dispute,Appellate Body Report,https://www.wto.org/english/news_e/news16_e/453abr_e.htm
LDCs urge rapid implementation of Nairobi package amid volatile commodity prices,News item,https://www.wto.org/english/news_e/news16_e/sldcw_13apr16_e.htm
Brazil’s commitments on financial services come into effect,News item,https://www.wto.org/english/news_e/news16_e/serv_18mar16_e.htm
WTO members secure “historic” Nairobi Package for Africa and the world,News item,https://www.wto.org/english/news_e/news15_e/mc10_19dec15_e.htm
LDCs welcome progress on preferential treatment for services,News item,https://www.wto.org/english/news_e/news15_e/serv_02nov15_e.htm
WTO publishes its annual suite of trade and tariff data,News item,https://www.wto.org/english/news_e/news15_e/stat_29oct15_e.htm
Panama appeals panel report on measures relating to trade in goods and services,News item,https://www.wto.org/english/news_e/news15_e/ds453apl_27oct15_e.htm
Some Members not ready to start discussions on increased transparency in services,News item,https://www.wto.org/english/news_e/news15_e/serv_15oct15_e.htm
WTO members engage in discussions on possible services outcome in Nairobi,News item,https://www.wto.org/english/news_e/news15_e/snegs_13oct15_e.htm
"WTO issues panel report on Argentinian financial, tax and forex measures affecting trade",Panel report,https://www.wto.org/english/news_e/news15_e/453r_e.htm
Eleven members notify preferential measures in support of LDC services,News item,https://www.wto.org/english/news_e/news15_e/serv_03aug15_e.htm
Services negotiators start to focus on next steps for Nairobi conference,News item,https://www.wto.org/english/news_e/news15_e/snegs_23jul15_e.htm
Services negotiators express ideas on how to shape post-Bali work programme,News item,https://www.wto.org/english/news_e/news15_e/snegs_24jun15_e.htm
Members welcome Australia’s notification on preferential treatment for services from LDCs,News item,https://www.wto.org/english/news_e/news15_e/serv_03jun15_e.htm
Most WTO members ready to start defining services component of post-Bali work programme,News item,https://www.wto.org/english/news_e/news15_e/snegs_20apr15_e.htm
Members move to enact Bali decision on LDC services waiver,News item,https://www.wto.org/english/news_e/news15_e/serv_05feb15_e.htm
WTO members discuss how to advance services negotiations for post-Bali work programme,News item,https://www.wto.org/english/news_e/news14_e/snegs_17dec14_e.htm
"Mobile banking can play key role in supporting development, says WTO seminar",News item,https://www.wto.org/english/news_e/news14_e/serv_27nov14_e.htm
Azevêdo reports “very good level of engagement” on Doha Round work programme,News item,https://www.wto.org/english/news_e/news14_e/gc_25jul14_e.htm
New book examines regulatory practices in services trade and role of WTO legal principles,News item,https://www.wto.org/english/news_e/news14_e/serv_07may14_e.htm
Members emphasize importance of services in post-Bali work programme,News item,https://www.wto.org/english/news_e/news14_e/serv_01apr14_e.htm
"WTO, OCTA hold first regional workshop on trade in services for the Pacific",News item,https://www.wto.org/english/news_e/news13_e/tra_08aug13_e.htm
"WTO, World Bank to develop services trade database",News item,https://www.wto.org/english/news_e/news13_e/serv_05aug13_e.htm
WTO extends scope of the Integrated Trade Intelligence Portal,News item,https://www.wto.org/english/news_e/news13_e/serv_23jul13_e.htm
