title,type,url
New commitments for domestic regulation of services move step closer to entry into force,News item,https://www.wto.org/english/news_e/news22_e/jssdr_20dec22_e.htm
"Georgia, Timor-Leste and United Arab Emirates join initiative on services domestic regulation",News item,https://www.wto.org/english/news_e/news22_e/serv_13jun22_e.htm
Negotiations on services domestic regulation conclude successfully in Geneva,News item,https://www.wto.org/english/news_e/news21_e/jssdr_02dec21_e.htm
"OECD, WTO issue joint study on economic benefits of new services domestic regulation deal",News item,https://www.wto.org/english/news_e/news21_e/jssdr_26nov21_e.htm
Services domestic regulation negotiations on track for MC12 outcome,News item,https://www.wto.org/english/news_e/news21_e/jssdr_18nov21_e.htm
Participants make headway in finalizing negotiations on services domestic regulation at MC12,News item,https://www.wto.org/english/news_e/news21_e/jssdr_05nov21_e.htm
Participants on track to conclude negotiations on services domestic regulation at MC12,News item,https://www.wto.org/english/news_e/news21_e/serv_25oct21_e.htm
"Participants in domestic regulation talks conclude text negotiations, on track for MC12 deal",News item,https://www.wto.org/english/news_e/news21_e/serv_27sep21_e.htm
"US joins services domestic regulation talks, participants move closer to MC12 outcome",News item,https://www.wto.org/english/news_e/news21_e/jssdr_20jul21_e.htm
Participants in services regulation talks outline steps taken to implement new disciplines,News item,https://www.wto.org/english/news_e/news21_e/serv_14jun21_e.htm
Participants in services domestic regulation talks share national practices,News item,https://www.wto.org/english/news_e/news21_e/jssdr_10may21_e.htm
Participants in talks on services domestic regulation share implementation experiences,News item,https://www.wto.org/english/news_e/news21_e/jssdr_14apr21_e.htm
Talks on domestic regulation in services focus on disciplines in regional trade accords,News item,https://www.wto.org/english/news_e/news21_e/jssdr_08mar21_e.htm
Participants in domestic regulation negotiations for services commit to maintain momentum,News item,https://www.wto.org/english/news_e/news21_e/jssdr_05feb21_e.htm
Coordinators of joint initiatives cite substantial progress in discussions,News item,https://www.wto.org/english/news_e/news20_e/jsec_18dec20_e.htm
Chair of services domestic regulation talks issues revised negotiating text,News item,https://www.wto.org/english/news_e/news20_e/serv_18dec20_e.htm
Thailand joins negotiations on services domestic regulation,News item,https://www.wto.org/english/news_e/news20_e/jssdr_11nov20_e.htm
Negotiations on domestic regulation disciplines for services “very advanced” — Chair,News item,https://www.wto.org/english/news_e/news20_e/serv_15oct20_e.htm
Dynamic services markets need well-functioning regulatory frameworks — DG Azevêdo,Speech,https://www.wto.org/english/news_e/spra_e/spra297_e.htm
Workshop discusses domestic regulation role in facilitating trade in services,News item,https://www.wto.org/english/news_e/news19_e/serv_14nov19_e.htm
Azevêdo urges ministers’ action on systemic issues and to intensify fisheries subsidies work,News item,https://www.wto.org/english/news_e/news19_e/dgra_23may19_e.htm
