title,type,url
WTO members discuss contribution of Services Council to implementing MC12 outcomes,News item,https://www.wto.org/english/news_e/news23_e/serv_09mar23_e.htm
Negotiations on services domestic regulation conclude successfully in Geneva,News item,https://www.wto.org/english/news_e/news21_e/jssdr_02dec21_e.htm
"WTO members continue review of LDC services waiver, e-commerce work programme",News item,https://www.wto.org/english/news_e/news21_e/serv_01jul21_e.htm
Services trade recovery not yet in sight,News item,https://www.wto.org/english/news_e/news21_e/serv_26jan21_e.htm
WTO members explore market access issues regarding trade in logistics and financial services,News item,https://www.wto.org/english/news_e/news20_e/serv_09dec20_e.htm
WTO members consider holding a workshop on preferences for services exporters in LDCs,News item,https://www.wto.org/english/news_e/news20_e/serv_04dec20_e.htm
Members discuss proposals on trade in environmental and agricultural services,News item,https://www.wto.org/english/news_e/news20_e/serv_23oct20_e.htm
WTO members engage in exploratory talks on market access for environmental services,News item,https://www.wto.org/english/news_e/news19_e/serv_30sep19_e.htm
Members discuss proposal on market access for tourism and related services,News item,https://www.wto.org/english/news_e/news19_e/serv_08apr19_e.htm
WTO members appoint new chair of services negotiations,News item,https://www.wto.org/english/news_e/news18_e/snegs_12apr18_e.htm
Least-developed countries urge WTO members to facilitate use of services waiver,News item,https://www.wto.org/english/news_e/news18_e/serv_02mar18_e.htm
Members review new WTO disciplines on domestic regulation of service providers,News item,https://www.wto.org/english/news_e/news17_e/devel_16oct17_e.htm
WTO members examine new proposals for domestic regulation in services,News item,https://www.wto.org/english/news_e/news17_e/serv_11jul17_e.htm
Chair encourages WTO members to “put train on track” for services negotiations,News item,https://www.wto.org/english/news_e/news16_e/snegs_14nov16_e.htm
WTO members debate new proposals to ease global flow of services,News item,https://www.wto.org/english/news_e/news16_e/serv_05oct16_e.htm
Services negotiations gain momentum as members show renewed interest,News item,https://www.wto.org/english/news_e/news16_e/serv_04jul16_e.htm
Most WTO members support re-engagement in talks on domestic regulation in services,News item,https://www.wto.org/english/news_e/news16_e/serv_16jun16_e.htm
WTO members secure “historic” Nairobi Package for Africa and the world,News item,https://www.wto.org/english/news_e/news15_e/mc10_19dec15_e.htm
LDCs welcome progress on preferential treatment for services,News item,https://www.wto.org/english/news_e/news15_e/serv_02nov15_e.htm
Some Members not ready to start discussions on increased transparency in services,News item,https://www.wto.org/english/news_e/news15_e/serv_15oct15_e.htm
WTO members engage in discussions on possible services outcome in Nairobi,News item,https://www.wto.org/english/news_e/news15_e/snegs_13oct15_e.htm
Eleven members notify preferential measures in support of LDC services,News item,https://www.wto.org/english/news_e/news15_e/serv_03aug15_e.htm
Services negotiators start to focus on next steps for Nairobi conference,News item,https://www.wto.org/english/news_e/news15_e/snegs_23jul15_e.htm
Services negotiators express ideas on how to shape post-Bali work programme,News item,https://www.wto.org/english/news_e/news15_e/snegs_24jun15_e.htm
Members welcome Australia’s notification on preferential treatment for services from LDCs,News item,https://www.wto.org/english/news_e/news15_e/serv_03jun15_e.htm
Most WTO members ready to start defining services component of post-Bali work programme,News item,https://www.wto.org/english/news_e/news15_e/snegs_20apr15_e.htm
Members move to enact Bali decision on LDC services waiver,News item,https://www.wto.org/english/news_e/news15_e/serv_05feb15_e.htm
WTO members discuss how to advance services negotiations for post-Bali work programme,News item,https://www.wto.org/english/news_e/news14_e/snegs_17dec14_e.htm
Members emphasize importance of services in post-Bali work programme,News item,https://www.wto.org/english/news_e/news14_e/serv_01apr14_e.htm
WTO ministers adopt waiver to permit preferential treatment of LDC service suppliers,News item,https://www.wto.org/english/news_e/news11_e/serv_17dec11_e.htm
"Lamy: Package of negotiating documents underscores value of Doha progress
But DG says differences over industrial tariff cuts effectively block further progress and put at risk conclusion in 2011",Documents from the negotiating chairs,https://www.wto.org/english/tratop_e/dda_e/chair_texts11_e/chair_texts11_e.htm
Lamy opens stocktaking week with hope for strong signal on concluding the Round,Statement by Pascal Lamy to the TNC,https://www.wto.org/english/news_e/news10_e/tnc_dg_stat_22mar10_e.htm
Lamy circulates report on market access commitments in services,News item,https://www.wto.org/english/news_e/news08_e/serv_signalling_july08_e.htm
"Day 10: Capture progress and continue work, members say",News item,https://www.wto.org/english/news_e/news08_e/meet08_summary_30july_e.htm
Services Chair issues report on Doha negotiations,News item,https://www.wto.org/english/news_e/news08_e/serv_may08_e.htm
Doha success will need positive outcome in services — Lamy,Speech,https://www.wto.org/english/news_e/sppl_e/sppl77_e.htm
Talks suspended. ‘Today there are only losers.’,News item,https://www.wto.org/english/news_e/news06_e/mod06_summary_24july_e.htm
Talks suspended. ‘Today there are only losers.’,Statement by Pascal Lamy at the informal Trade Negotiations Committee meeting,https://www.wto.org/english/news_e/news06_e/tnc_dg_stat_24july06_e.htm
Talks suspended. ‘Today there are only losers.’,Audio: Statement by Pascal Lamy at the informal Trade Negotiations Committee meeting,https://www.wto.org/audio/2006_07_24_tnc_dgreport.mp3
Talks suspended. ‘Today there are only losers.’,Audio: Highlights from the press conference,https://www.wto.org/audio/2006_07_24_tnc_pc.mp3
