title,type,url
Launch of the WTO Data portal,News item,https://www.wto.org/english/news_e/news18_e/stts_16nov18_e.htm
WTO issues 2018 editions of its flagship statistical publications,News item,https://www.wto.org/english/news_e/news18_e/publ_30jul18_e.htm
WTO issues annual flagship statistical publications,News item,https://www.wto.org/english/news_e/news17_e/publ_28jul17_e.htm
WTO launches new World Trade Outlook Indicator,News item,https://www.wto.org/english/news_e/news16_e/rese_08jul16_e.htm
World trade weakens in first quarter as imports decline in Asia,News item,https://www.wto.org/english/news_e/news16_e/rese_15jun16_e.htm
"Falling import demand, lower commodity prices push down trade growth prospects",Press release,https://www.wto.org/english/news_e/pres15_e/pr752_e.htm
WTO updates its Statistics Database with revised data for 2014,News item,https://www.wto.org/english/news_e/news15_e/rese_30jul15_e.htm
World trade registers modest growth in first quarter of 2015,News item,https://www.wto.org/english/news_e/news15_e/stts_24jun15_e.htm
WTO lowers forecast after sub-par trade growth in first half of 2014,Press release,https://www.wto.org/english/news_e/pres14_e/pr722_e.htm
WTO sees gradual recovery in coming months despite cut in trade forecasts,Press release,https://www.wto.org/english/news_e/pres13_e/pr694_e.htm
"Slow global growth to hit trade in 2012 and 2013, WTO says",Press release,https://www.wto.org/english/news_e/pres12_e/pr676_e.htm
Trade value up by 5% in the first quarter of 2012,News item,https://www.wto.org/english/news_e/news12_e/stts_13jun12_e.htm
WTO scales back its trade forecast to 5.8% as downside risks build,Press release,https://www.wto.org/english/news_e/pres11_e/pr641_e.htm
Trade value up by about 22% in the first quarter of 2011,News item,https://www.wto.org/english/news_e/news11_e/stts_01jun11_e.htm
Trade value up by about 17% in the fourth quarter of 2010,News item,https://www.wto.org/english/news_e/news11_e/rese_14mar11_e.htm
Trade value growth slows in the third quarter of 2010,News item,https://www.wto.org/english/news_e/news10_e/stts_01dec10_e.htm
Trade value still up by about 25% in the first half of 2010,Press release,https://www.wto.org/english/news_e/pres10_e/pr614_e.htm
First quarter of 2010 sees trade value rise by about 25%,Press release,https://www.wto.org/english/news_e/pres10_e/pr604_e.htm
