title,type,url
Launch of the WTO Data portal,News item,https://www.wto.org/english/news_e/news18_e/stts_16nov18_e.htm
WTO issues 2018 editions of its flagship statistical publications,News item,https://www.wto.org/english/news_e/news18_e/publ_30jul18_e.htm
WTO issues annual flagship statistical publications,News item,https://www.wto.org/english/news_e/news17_e/publ_28jul17_e.htm
World trade weakens in first quarter as imports decline in Asia,News item,https://www.wto.org/english/news_e/news16_e/rese_15jun16_e.htm
"Falling import demand, lower commodity prices push down trade growth prospects",Press release,https://www.wto.org/english/news_e/pres15_e/pr752_e.htm
WTO updates its Statistics Database with revised data for 2014,News item,https://www.wto.org/english/news_e/news15_e/rese_30jul15_e.htm
World trade registers modest growth in first quarter of 2015,News item,https://www.wto.org/english/news_e/news15_e/stts_24jun15_e.htm
WTO lowers forecast after sub-par trade growth in first half of 2014,Press release,https://www.wto.org/english/news_e/pres14_e/pr722_e.htm
WTO sees gradual recovery in coming months despite cut in trade forecasts,Press release,https://www.wto.org/english/news_e/pres13_e/pr694_e.htm
"Slow global growth to hit trade in 2012 and 2013, WTO says",Press release,https://www.wto.org/english/news_e/pres12_e/pr676_e.htm
World exports of commercial services up by 3% in the first quarter of 2012,News item,https://www.wto.org/english/news_e/news12_e/stss_13jul12_e.htm
World exports of commercial services slowed sharply in 4th quarter 2011 — WTO and UNCTAD,News item,https://www.wto.org/english/news_e/news12_e/stts_20mar12_e.htm
World commercial services trade rises 12% according to new WTO figures,News item,https://www.wto.org/english/news_e/news12_e/stts_20jan12_e.htm
World services exports rise 16% according to new WTO figures,News item,https://www.wto.org/english/news_e/news11_e/stts_31oct11_e.htm
WTO scales back its trade forecast to 5.8% as downside risks build,Press release,https://www.wto.org/english/news_e/pres11_e/pr641_e.htm
Trade value still up by about 25% in the first half of 2010,Press release,https://www.wto.org/english/news_e/pres10_e/pr614_e.htm
