title,type,url
"New WTO report underscores role of trade in meeting SDGs, bolstering economic recovery",News item,https://www.wto.org/english/news_e/news23_e/sdgs_06sep23_e.htm
DG Okonjo-Iweala: WTO can advance sustainable development goals by delivering results at MC13,News item,https://www.wto.org/english/news_e/news23_e/dgno_20mar23_e.htm
Event on decarbonization standards to promote transparency and coherence in steel sector,News item,https://www.wto.org/english/news_e/news23_e/clim_14feb23_e.htm
WTO going green,Blog,https://www.wto.org/english/blogs_e/ddg_anabel_gonzalez_e/blog_ag_19dec22_e.htm
"International Forum for Inclusive and Sustainable Development in the Southeast Asia, Latin America and the Caribbean (SEA-LAC) Region",News item,https://www.wto.org/english/news_e/news22_e/ddgxz_12dec22_e.htm
"WTO Chair in Indonesia hosts interregional forum for inclusive, sustainable development",News item,https://www.wto.org/english/news_e/news22_e/chair_12dec22_e.htm
High-level conference highlights synergies between Timor-Leste’s WTO and ASEAN accessions,News item,https://www.wto.org/english/news_e/news22_e/acc_15jul22_e.htm
DDG Ellard urges members to secure entry into force of Fisheries Subsidies Agreement,News item,https://www.wto.org/english/news_e/news22_e/ddgae_11jul22_e.htm
WTO report highlights role of trade in meeting SDGs and assisting economic recovery,News item,https://www.wto.org/english/news_e/news22_e/sdgs_08jun22_e.htm
DG Okonjo-Iweala tells sustainability conference “trade is part of the solution to challenges we face”,News item,https://www.wto.org/english/news_e/news22_e/dgno_28jan22_e.htm
Trade can help put UN Sustainable Development Goals back on track: DG Okonjo-Iweala,News item,https://www.wto.org/english/news_e/news21_e/sdgs_06jul21_e.htm
"Members discuss sustainable food, fisheries and new environmental initiatives",News item,https://www.wto.org/english/news_e/news21_e/envir_02jul21_e.htm
"Plastics pollution dialogue advances discussions, eyeing MC12 outcome",News item,https://www.wto.org/english/news_e/news21_e/ega_21jun21_e.htm
Future of special treatment for developing countries talks lies in members’ hands — chair,News item,https://www.wto.org/english/news_e/news21_e/XX_27apr21_e.htm
DDG Wolff: “The WTO must not continue as it is”,News item,https://www.wto.org/english/news_e/news20_e/ddgaw_10dec20_e.htm
New portal reveals progress in attaining trade-related Sustainable Development Goals,News item,https://www.wto.org/english/news_e/news20_e/sdgs_20oct20_e.htm
Keeping trade open amid COVID-19 crisis central to achieving SDGs and economic recovery,News item,https://www.wto.org/english/news_e/news20_e/sdgs_13jul20_e.htm
WTO members prepare to intensify fisheries subsidies negotiations in 2020,News item,https://www.wto.org/english/news_e/news19_e/fish_06dec19_e.htm
New chair highlights importance of concluding fisheries subsidies negotiations,News item,https://www.wto.org/english/news_e/news19_e/fish_12nov19_e.htm
Public Forum reflects on how to adapt to services-based trading future,News item,https://www.wto.org/english/news_e/news19_e/serv_14oct19_e.htm
WTO members engage in exploratory talks on market access for environmental services,News item,https://www.wto.org/english/news_e/news19_e/serv_30sep19_e.htm
DDG Agah: International community must redouble efforts to help meet SDGs,News item,https://www.wto.org/english/news_e/news19_e/sdgs_16jul19_e.htm
DG Azevêdo and UNSG Guterres discuss ongoing cooperation to deliver SDGs,News item,https://www.wto.org/english/news_e/news18_e/dgra_07dec18_e.htm
Trade can make a vital contribution to meeting the Sustainable Development Goals — Azevêdo,News item,https://www.wto.org/english/news_e/news18_e/sdgs_03oct18_e.htm
DG Azevêdo: “Our efforts in the WTO must translate into real trade gains for LDCs”,Speech,https://www.wto.org/english/news_e/spra_e/spra228_e.htm
Business leaders express support for the WTO and call for action on priority issues,News item,https://www.wto.org/english/news_e/news18_e/trdia_07jun18_e.htm
DG Azevêdo launches report on role of trade in advancing the Sustainable Development Goals,News item,https://www.wto.org/english/news_e/news18_e/sdgs_03may18_e.htm
IWD 2018 : WTO International Women’s Day — Delivering Opportunities For Women,Remarks by DG Azevêdo,https://www.wto.org/english/news_e/spra_e/spra215_e.htm
WTO event highlights role of trade in delivering opportunities for women,News item,https://www.wto.org/english/news_e/news18_e/women_08mar18_e.htm
Symposium highlights role of innovative technologies in advancing the SDGs,News item,https://www.wto.org/english/news_e/news18_e/trip_02mar18_e.htm
Trilateral symposium to examine how innovative technologies can promote health-related SDGs,News item,https://www.wto.org/english/news_e/news18_e/igo_22jan18_e.htm
DDG Wolff: WTO plays a vital role in working towards achievement of SDG on food security,News item,https://www.wto.org/english/news_e/news18_e/ddgra_18jan18_e.htm
DDG Wolff: A strong agricultural trading system can contribute to realizing the SDGs,News item,https://www.wto.org/english/news_e/news17_e/ddgra_24oct17_e.htm
Azevêdo: International community must work together to fulfil the right to health,Speech,https://www.wto.org/english/news_e/spra_e/spra190_e.htm
Role of trade key in achieving UN Sustainable Development Goals,News item,https://www.wto.org/english/news_e/news17_e/pf17_28sep17_e.htm
Role of trade highlighted in safe management of hazardous chemicals and waste,News item,https://www.wto.org/english/news_e/news17_e/envir_15may17_e.htm
Saudi Arabia gives USD 4 million to help lift poor countries out of poverty through trade,Press release,https://www.wto.org/english/news_e/pres17_e/pr789_e.htm
Chair outlines way forward for talks on fisheries subsidies,News item,https://www.wto.org/english/news_e/news17_e/fish_01mar17_e.htm
WTO members engage on new fisheries subsidies proposals,News item,https://www.wto.org/english/news_e/news16_e/fish_09dec16_e.htm
Chair cites broad support for outcome on fisheries subsidies at 2017 Ministerial Conference,News item,https://www.wto.org/english/news_e/news16_e/rule_17nov16_e.htm
DG Azevêdo presents Ban Ki-Moon with WTO Agreement contributing to UN Development Goals,News item,https://www.wto.org/english/news_e/news16_e/dgra_10nov16_e.htm
DG Azevêdo: Trade is vital in meeting Sustainable Development Goals,News item,https://www.wto.org/english/news_e/news16_e/dgra_21sep16_e.htm
DG Azevêdo welcomes progress in Environmental Goods Agreement,News item,https://www.wto.org/english/news_e/news15_e/envir_14dec15_e.htm
DDG Brauner urges trade community to build on COP21 momentum and support climate action,News item,https://www.wto.org/english/news_e/news15_e/ddgra_09dec15_e.htm
Azevêdo meets UN heads to discuss Sustainable Development Goals and climate change,News item,https://www.wto.org/english/news_e/news15_e/dgra_19nov15_e.htm
WTO members agree to extend drug patent exemption for poorest members,News item,https://www.wto.org/english/news_e/news15_e/trip_06nov15_e.htm
"Trade must play a central role in post-2015 international work on development, Azevêdo tells UNCTAD meeting",Speech,https://www.wto.org/english/news_e/spra_e/spra13_e.htm
