title,type,url
Trade in wine and vine products on the rise,Blog,https://www.wto.org/english/blogs_e/data_blog_e/blog_dta_20oct23_e.htm
Key trends in world trade revealed by new classification system,Blog,https://www.wto.org/english/blogs_e/data_blog_e/blog_dta_14jul23_e.htm
WTO issues new edition of World Tariff Profiles,News item,https://www.wto.org/english/news_e/news23_e/publ_06jul23_e.htm
WTO dispute panels issue reports regarding Indian tech tariffs,Panel report,https://www.wto.org/english/news_e/news23_e/582_584_588r_e.htm
Tariffs applied by WTO members have almost halved since 1996,Blog,https://www.wto.org/english/blogs_e/data_blog_e/blog_dta_13apr23_e.htm
Argentina initiates WTO dispute complaint targeting Peruvian duties on biodiesel imports,News item,https://www.wto.org/english/news_e/news22_e/ds614rfc_06sep22_e.htm
WTO issues new edition of World Tariff Profiles,News item,https://www.wto.org/english/news_e/news22_e/publ_29jul22_e.htm
WTO issues papers on vaccine inputs tariffs and bottlenecks on critical COVID-19 products,News item,https://www.wto.org/english/news_e/news21_e/covid_08oct21_e.htm
WTO issues new edition of World Tariff Profiles,News item,https://www.wto.org/english/news_e/news21_e/publ_14jul21_e.htm
Australia initiates WTO dispute complaint against Chinese wine duties,News item,https://www.wto.org/english/news_e/news21_e/ds602rfc_28jun21_e.htm
WTO panel issues report regarding US tariffs on Chinese goods,Panel report,https://www.wto.org/english/news_e/news20_e/543r_e.htm
WTO issues latest edition of World Tariff Profiles,News item,https://www.wto.org/english/news_e/news20_e/publ_06jul20_e.htm
UK notifies WTO members of withdrawal from the EU,News item,https://www.wto.org/english/news_e/news20_e/mark_01feb20_e.htm
WTO members examine impact of direct shipment requirements on preference use by LDCs,News item,https://www.wto.org/english/news_e/news19_e/roi_18oct19_e.htm
Chinese Taipei initiates WTO dispute complaint against Indian tech tariffs,News item,https://www.wto.org/english/news_e/news19_e/ds588rfc_04sep19_e.htm
China initiates WTO dispute against additional US duties on Chinese imports,News item,https://www.wto.org/english/news_e/news19_e/ds587rfc_04sep19_e.htm
WTO issues new edition of World Tariff Profiles,News item,https://www.wto.org/english/news_e/news19_e/publ_01jul19_e.htm
WTO issues panel report regarding Chinese tariff rate quotas on agricultural imports,Panel report,https://www.wto.org/english/news_e/news19_e/517r_e.htm
Members make progress towards improving how tariff and import data is collected by the WTO,News item,https://www.wto.org/english/news_e/news19_e/mark_09apr19_e.htm
"New book chronicles history, evolution of GATT dispute settlement",News item,https://www.wto.org/english/news_e/news18_e/publ_14dec18_e.htm
New WTO publication reviews evolution of tariff negotiations and renegotiations,News item,https://www.wto.org/english/news_e/news18_e/publ_04dec18_e.htm
WTO farm negotiators reopen talks on export competition and export restrictions,News item,https://www.wto.org/english/news_e/news18_e/agng_15nov18_e.htm
China initiates WTO dispute complaint against additional US tariffs on Chinese imports,News item,https://www.wto.org/english/news_e/news18_e/ds565rfc_27aug18_e.htm
"Russia initiates WTO dispute complaint against US steel, aluminium duties",News item,https://www.wto.org/english/news_e/news18_e/ds554rfc_02jul18_e.htm
"Norway initiates WTO dispute complaint against US steel, aluminium duties",News item,https://www.wto.org/english/news_e/news18_e/ds552rfc_13jun18_e.htm
70th anniversary of the General Agreement on Tariffs and Trade,News item,https://www.wto.org/english/news_e/news17_e/gen_30oct17_e.htm
WTO health and safety body reviews trade measures on food and pesticide use,News item,https://www.wto.org/english/news_e/news16_e/sps_30jun16_e.htm
WTO publishes its annual suite of trade and tariff data,News item,https://www.wto.org/english/news_e/news15_e/stat_29oct15_e.htm
China files dispute against the European Union over poultry meat products,News item,https://www.wto.org/english/news_e/news15_e/ds492rfc_08apr15_e.htm
WTO publishes annual package of trade and tariff data,News item,https://www.wto.org/english/news_e/news14_e/publ_27oct14_e.htm
WTO releases annual package of trade and tariff data,News item,https://www.wto.org/english/news_e/news13_e/stat_24oct13_e.htm
WTO extends scope of the Integrated Trade Intelligence Portal,News item,https://www.wto.org/english/news_e/news13_e/serv_23jul13_e.htm
WTO launches new “International Trade and Market Access” interactive tool,News item,https://www.wto.org/english/news_e/news12_e/stat_19nov12_e.htm
WTO releases 2011 trade and tariff data,News item,https://www.wto.org/english/news_e/news12_e/stat_23oct12_e.htm
WTO releases trade and tariff data for 2010,News item,https://www.wto.org/english/news_e/news11_e/stat_21oct11_e.htm
Magic-number date sees latest WTO annual trade and tariff data released,News item,https://www.wto.org/english/news_e/news10_e/stat_20oct10_e.htm
Interactive service gives tariff research new sophistication,News item,https://www.wto.org/english/news_e/news10_e/tar_03feb10_e.htm
New website database offers comprehensive tariff information,News item,https://www.wto.org/english/news_e/news09_e/tar_09jul09_e.htm
New edition of World Tariff Profiles issued,News item,https://www.wto.org/english/news_e/news08_e/world_tariff_profiles_1sep08_e.htm
Comprehensive tariff data now available on WTO website,News item,https://www.wto.org/english/news_e/news07_e/tariff_sept07_e.htm
WTO publishes “World Tariff Profiles” with UNCTAD and ITC,News item,https://www.wto.org/english/news_e/news07_e/tariff_profiles_june07_e.htm
