title,type,url
"Liechtenstein donates CHF 40,000 to WTO Fisheries Funding Mechanism",Press release,https://www.wto.org/english/news_e/pres23_e/pr941_e.htm
EU donates EUR 1 million to WTO Fisheries Funding Mechanism,Press release,https://www.wto.org/english/news_e/pres23_e/pr940_e.htm
The United States extends its strategic partnership with the STDF until 2028,Press release,https://www.wto.org/english/news_e/pres23_e/pr938_e.htm
Norway donates NOK 9 million to WTO Fisheries Funding Mechanism,Press release,https://www.wto.org/english/news_e/pres23_e/pr939_e.htm
Spain donates EUR 2 million to WTO Fisheries Funding Mechanism,Press release,https://www.wto.org/english/news_e/pres23_e/pr937_e.htm
Regional trade policy course concludes for English-speaking African government officials,News item,https://www.wto.org/english/news_e/news23_e/tech_10nov23_e.htm
WTO launches new online course on trade and sustainable waste management,News item,https://www.wto.org/english/news_e/news23_e/tech_07nov23_e.htm
"US gives USD 600,000 to support trade-related capacity-building in developing economies",Press release,https://www.wto.org/english/news_e/pres23_e/pr936_e.htm
WTO training course on trade and gender for Geneva-based delegates concludes,News item,https://www.wto.org/english/news_e/news23_e/women_06nov23_e.htm
WTO Regional Trade Policy Course begins in Lomé,News item,https://www.wto.org/english/news_e/news23_e/tra_30oct23_e.htm
Participants in Netherlands Trainee Programme at WTO take part in trade policy study visit,News item,https://www.wto.org/english/news_e/news23_e/tra_27oct23_e.htm
"China commits USD 450,000 to support WTO accession and least-developed countries",News item,https://www.wto.org/english/news_e/news23_e/tech_23oct23_e.htm
"Germany gives EUR 500,000 to enhance developing economies’ trading skills",Press release,https://www.wto.org/english/news_e/pres23_e/pr935_e.htm
WTO training course on services aspects of e-commerce concludes,News item,https://www.wto.org/english/news_e/news23_e/ecom_13oct23_e.htm
Advanced course on Sanitary and Phytosanitary Agreement begins in Geneva,News item,https://www.wto.org/english/news_e/news23_e/sps_10oct23_e.htm
Introductory course on WTO trade policy concludes in Geneva,News item,https://www.wto.org/english/news_e/news23_e/tech_11oct23_e.htm
"Australia gives CHF 30,000 to support LDCs’ participation in MC13",Press release,https://www.wto.org/english/news_e/pres23_e/pr934_e.htm
Conclusion of first phase of advanced workshop on agricultural notifications,News item,https://www.wto.org/english/news_e/news23_e/agri_05oct23_e.htm
"Japan gives over CHF 55,000 to help LDCs engage in fisheries subsidies negotiations",Press release,https://www.wto.org/english/news_e/pres23_e/pr933_e.htm
Advanced Course on Trade in Services for government officials concludes at WTO,News item,https://www.wto.org/english/news_e/news23_e/tra_22sep23_e.htm
"Iceland donates CHF 500,000 to WTO Fisheries Funding Mechanism",Press release,https://www.wto.org/english/news_e/pres23_e/pr932_e.htm
DG Okonjo-Iweala congratulates participants in Caribbean regional trade policy course,News item,https://www.wto.org/english/news_e/news23_e/tra_08sep23_e.htm
Sweden gives SEK 15 million to help developing economies deepen their trade know-how,Press release,https://www.wto.org/english/news_e/pres23_e/pr931_e.htm
WTO Regional Trade Policy Course underway in Trinidad and Tobago,News item,https://www.wto.org/english/news_e/news23_e/tra_01aug23_e.htm
French-speaking officials complete 30th WTO Advanced Trade Policy Course,News item,https://www.wto.org/english/news_e/news23_e/tra_28jul23_e.htm
DG Okonjo-Iweala congratulates participants in Latin America regional trade policy course,News item,https://www.wto.org/english/news_e/news23_e/tech_07jul23_e.htm
WTO Advanced Trade Policy Course underway in Geneva,News item,https://www.wto.org/english/news_e/news23_e/tech_13jun23_e.htm
New report looks at WTO technical assistance activities in post-pandemic era,News item,https://www.wto.org/english/news_e/news23_e/tech_26may23_e.htm
Trade Policy Course underway in Mexico for Latin American countries,News item,https://www.wto.org/english/news_e/news23_e/tech_25may23_e.htm
"Germany commits EUR 150,000 to boost safe food exports from developing countries",Press release,https://www.wto.org/english/news_e/pres23_e/pr926_e.htm
Advanced online workshop on Government Procurement Agreement concludes,News item,https://www.wto.org/english/news_e/news23_e/gpro_12may23_e.htm
Gender-responsive trade policymaking skills enhanced for 23 government officials,News item,https://www.wto.org/english/news_e/news23_e/women_05may23_e.htm
WTO introductory course for government officials from least-developed countries underway,News item,https://www.wto.org/english/news_e/news23_e/tech_28apr23_e.htm
"Technical Assistance Coordination Group reviews Comoros, Timor-Leste post-accession needs",News item,https://www.wto.org/english/news_e/news23_e/acc_26apr23_e.htm
Advanced Trade Policy Course for government officials concludes in Geneva,News item,https://www.wto.org/english/news_e/news23_e/tech_24mar23_e.htm
"Japan pledges CHF 160,000 to help developing countries and LDCs broaden trade expertise",Press release,https://www.wto.org/english/news_e/pres23_e/pr923_e.htm
Workshop highlights cooperation on technology transfer to meet LDCs’ development priorities,News item,https://www.wto.org/english/news_e/news23_e/tech_16mar23_e.htm
"DDG Zhang welcomes new cohort of interns from developing countries, LDCs at WTO",News item,https://www.wto.org/english/news_e/news23_e/tech_14mar23_e.htm
Deadline for applying to the WTO Training on Trade and Gender extended to 20 March,News item,https://www.wto.org/english/news_e/news23_e/women_13mar23_e.htm
"Canada commits CAD 700,000 to strengthen developing countries’ food safety systems",Press release,https://www.wto.org/english/news_e/pres23_e/pr922_e.htm
Applications now open for WTO Training Course on Trade and Gender,News item,https://www.wto.org/english/news_e/news23_e/women_28feb23_e.htm
WTO and Organisation Internationale de la Francophonie bolster trade capacity-building work,News item,https://www.wto.org/english/news_e/news23_e/devel_27feb23_e.htm
"EU gives EUR 450,000 to help developing countries strengthen trading know-how",Press release,https://www.wto.org/english/news_e/pres23_e/pr920_e.htm
The Netherlands gives CHF 1.3 million to boost developing countries’ access to food markets,Press release,https://www.wto.org/english/news_e/pres23_e/pr919_e.htm
WTO upgrades technical assistance dashboards to provide more data on training programmes,News item,https://www.wto.org/english/news_e/news23_e/tech_26jan23_e.htm
WTO Advanced Trade Policy Course underway in Geneva,News item,https://www.wto.org/english/news_e/news23_e/tech_09feb23_e.htm
Japan is first donor to WTO Fisheries Funding Mechanism,Press release,https://www.wto.org/english/news_e/pres23_e/pr918_e.htm
"Austria gives EUR 200,000 to Chairs network to boost developing countries’ trade expertise",Press release,https://www.wto.org/english/news_e/pres23_e/pr917_e.htm
The Netherlands commits CHF 4.3 million to extend Netherlands Trainee Programme,Press release,https://www.wto.org/english/news_e/pres23_e/pr916_e.htm
"Liechtenstein gives CHF 40,000 to help developing countries participate in world trade",Press release,https://www.wto.org/english/news_e/pres23_e/pr915_e.htm
Germany gives EUR 2.85 million to support safe agriculture trade in developing countries,Press release,https://www.wto.org/english/news_e/pres23_e/pr914_e.htm
"China commits USD 500,000 to support WTO accession and least developed countries",News item,https://www.wto.org/english/news_e/news23_e/tech_01dec23_e.htm
WTO commemorates 20th anniversary of regional trade policy courses,News item,https://www.wto.org/english/news_e/news22_e/tech_20dec22_e.htm
WTO launches new e-Learning platform,News item,https://www.wto.org/english/news_e/news22_e/tech_12dec22_e.htm
Advanced Trade Policy Course for Spanish speakers concludes in Geneva,News item,https://www.wto.org/english/news_e/news22_e/tech_09dec22_e.htm
Officials from least-developed countries outline trade priorities at Geneva seminar,News item,https://www.wto.org/english/news_e/news22_e/devel_07dec22_e.htm
Australia pledges AUD 2 million to WTO Fisheries Funding Mechanism,Press release,https://www.wto.org/english/news_e/pres22_e/pr913_e.htm
First course on Essentials for SPS Committee Participation concludes,News item,https://www.wto.org/english/news_e/news22_e/tech_24nov22_e.htm
Sweden provides CHF 1.7 million to improve developing countries’ trade expertise,Press release,https://www.wto.org/english/news_e/pres22_e/pr912_e.htm
"United States donates USD 600,000 to enhance developing countries’ trade expertise",Press release,https://www.wto.org/english/news_e/pres22_e/pr911_e.htm
First virtual course on essentials for SPS Committee participation gets under way,News item,https://www.wto.org/english/news_e/news22_e/sps_16nov22_e.htm
"Members review trade agreements involving Egypt, Israel, Kenya, Korea, Mexico, Türkiye, UK",News item,https://www.wto.org/english/news_e/news22_e/rta_14nov22_e.htm
"France gives EUR 50,000 to boost safe food exports from developing countries",Press release,https://www.wto.org/english/news_e/pres22_e/pr910_e.htm
Standards transparency champions programme kicks off in Geneva,News item,https://www.wto.org/english/news_e/news22_e/tbt_19oct22_e.htm
Officials from French-speaking African countries complete a three-week course in Geneva,News item,https://www.wto.org/english/news_e/news22_e/ldevc_07oct22_e.htm
"DG Okonjo-Iweala stresses importance of SPS, TBT transparency to facilitate trade",News item,https://www.wto.org/english/news_e/news22_e/tech_10oct22_e.htm
Virtual workshop on import licensing and notifications concludes,News item,https://www.wto.org/english/news_e/news22_e/impl_29sep22_e.htm
Advanced Thematic Course on General Agreement on Trade in Services underway at WTO,News item,https://www.wto.org/english/news_e/news22_e/tech_22sep22_e.htm
WTO concludes second phase of advanced workshop on agriculture notifications,News item,https://www.wto.org/english/news_e/news22_e/tech_16sep22_e.htm
"Ireland gives EUR 400,000 to strengthen developing countries’ participation in world trade",Press release,https://www.wto.org/english/news_e/pres22_e/pr908_e.htm
WTO Advanced Trade Policy Course (ATPC) concludes in Geneva,News item,https://www.wto.org/english/news_e/news22_e/tra_29jul22a_e.htm
WTO advanced course on economic analysis of trade policy concludes in Geneva,News item,https://www.wto.org/english/news_e/news22_e/tra_29jul22_e.htm
"Germany commits EUR 150,000 to boost safe food exports from developing countries",Press release,https://www.wto.org/english/news_e/pres22_e/pr907_e.htm
Australia pledges AUD 2.9 million to boost developing-country exports of safe food,Press release,https://www.wto.org/english/news_e/pres22_e/pr906_e.htm
"Australia contributes CHF 70,000 to support LDCs’ participation in MC12",Press release,https://www.wto.org/english/news_e/pres22_e/pr905_e.htm
"Japan gives CHF 125,000 to help LDCs engage in fisheries subsidies talks at MC12",Press release,https://www.wto.org/english/news_e/pres22_e/pr904_e.htm
WTO resumes in-person training courses in Geneva,News item,https://www.wto.org/english/news_e/news22_e/tech_08jun22_e.htm
WTO launches first online Regional Trade Policy Course for Asia-Pacific region,News item,https://www.wto.org/english/news_e/news22_e/tech_03jun22_e.htm
New report highlights positive impact of WTO technical assistance activities,News item,https://www.wto.org/english/news_e/news22_e/tech_02jun22_e.htm
Online training on WTO activities concludes for officials from least-developed countries,News item,https://www.wto.org/english/news_e/news22_e/tech_25may22_e.htm
WTO virtual event looks at finance and trade lessons learned from COVID-19 pandemic,News item,https://www.wto.org/english/news_e/news22_e/covid_20may22_e.htm
Spring sessions of WTO Training Course on Trade and Gender concludes for officials,News item,https://www.wto.org/english/news_e/news22_e/women_13may22_e.htm
WTO introductory course for government officials from poorest countries underway,News item,https://www.wto.org/english/news_e/news22_e/tech_04may22_e.htm
"Korea contributes CHF 260,000 to enhance developing countries’ trading skills",Press release,https://www.wto.org/english/news_e/pres22_e/pr903_e.htm
Seven-week online course concludes for senior officials from developing countries,News item,https://www.wto.org/english/news_e/news22_e/tech_14apr22_e.htm
"WHO, WIPO, WTO launch trilateral COVID-19 technical assistance platform",News item,https://www.wto.org/english/news_e/news22_e/igo_11apr22_e.htm
"Estonia donates EUR 20,000 to help developing economies boost trading capacities",Press release,https://www.wto.org/english/news_e/pres22_e/pr901_e.htm
"Canada commits CAD 200,000 to support developing-country exports of safe, quality food",Press release,https://www.wto.org/english/news_e/pres22_e/pr900_e.htm
"Two programmes for interns from developing countries, LDCs get underway at WTO",News item,https://www.wto.org/english/news_e/news22_e/tech_11mar22_e.htm
"Japan provides CHF 160,000 to strengthen developing countries’ trade skills",Press release,https://www.wto.org/english/news_e/pres22_e/pr899_e.htm
Applications now open for the WTO Training Course on Trade and Gender,News item,https://www.wto.org/english/news_e/news22_e/women_17feb22_e.htm
Virtual executive trade course underway for senior officials from developing countries,News item,https://www.wto.org/english/news_e/news22_e/devel_14feb22_e.htm
"Registrations open for WTO workshop on COVID-19 vaccines R&D, manufacturing and distribution",News item,https://www.wto.org/english/news_e/news22_e/trip_28jan22_e.htm
"Austria gives EUR 200,000 to boost developing countries’ trade expertise via chairs network",Press release,https://www.wto.org/english/news_e/pres22_e/pr897_e.htm
Norway pledges NOK 25 million to back developing countries’ growth through safe food,Press release,https://www.wto.org/english/news_e/pres22_e/pr896_e.htm
"Liechtenstein gives CHF 40,000 to support developing countries’ participation in trade talks",Press release,https://www.wto.org/english/news_e/pres21_e/pr895_e.htm
"Germany gives CHF 2.8 million to help developing countries meet SPS standards, combat COVID-19",Press release,https://www.wto.org/english/news_e/pres21_e/pr894_e.htm
"Czech Republic gives CZK 550,000 to help developing countries implement TFA",Press release,https://www.wto.org/english/news_e/pres21_e/pr893_e.htm
"Sweden donates SEK 500,000 to support LDCs’ participation in Ministerial Conference",Press release,https://www.wto.org/english/news_e/pres21_e/pr892_e.htm
First online Regional Trade Policy Course for Latin America concludes,News item,https://www.wto.org/english/news_e/news21_e/tech_12nov21_e.htm
WTO members approve 2022-23 technical assistance priorities for developing countries,News item,https://www.wto.org/english/news_e/news21_e/tech_10nov21_e.htm
"Japan gives CHF 125,000 to help LDCs participate in fisheries subsidies discussions",Press release,https://www.wto.org/english/news_e/pres21_e/pr891_e.htm
WTO concludes first phase of advanced workshop on agriculture notifications,News item,https://www.wto.org/english/news_e/news21_e/agri_22oct21_e.htm
"EU contributes EUR 75,000 to help LDCs participate in 12th Ministerial Conference",Press release,https://www.wto.org/english/news_e/pres21_e/pr890_e.htm
WTO delivers first edition of SPS In-depth Virtual Course,News item,https://www.wto.org/english/news_e/news21_e/sps_19oct21_e.htm
"Lithuania gives EUR 30,000 to strengthen developing countries’ negotiating capacities",Press release,https://www.wto.org/english/news_e/pres21_e/pr888_e.htm
Sweden donates CHF 2 million to help developing countries strengthen negotiating skills,Press release,https://www.wto.org/english/news_e/pres21_e/pr887_e.htm
"WTO, WHO, WIPO to hold virtual workshop on innovation and access to COVID-19 technologies",News item,https://www.wto.org/english/news_e/news21_e/tech_16sep21_e.htm
"Investment facilitation talks address S&DT, technical assistance and sustainable investment",News item,https://www.wto.org/english/news_e/news21_e/infac_15sep21_e.htm
