title,type,url
"Members discuss product safety in e-commerce, use of digital tools, air 65 trade concerns",News item,https://www.wto.org/english/news_e/news23_e/tbt_10nov23_e.htm
"Members discuss cybersecurity, intangible digital products, raise over 60 trade concerns",News item,https://www.wto.org/english/news_e/news23_e/tbt_23jun23_e.htm
Programme for standards transparency champions concludes in Nairobi,News item,https://www.wto.org/english/news_e/news23_e/tbt_28apr23_e.htm
Ironing out diverging standards. One reason for business to support the WTO,Blog,https://www.wto.org/english/blogs_e/ddg_anabel_gonzalez_e/blog_ag_21mar23_e.htm
"Members share experiences on environmental regulations, standards for climate and plastics",News item,https://www.wto.org/english/news_e/news23_e/tbt_10mar23_e.htm
Cooperation on standards at WTO could speed up steel sector decarbonization: Trade Forum,News item,https://www.wto.org/english/news_e/news23_e/clim_09mar23_e.htm
"WTO issues information note on steel decarbonization standards, readies for March event",News item,https://www.wto.org/english/news_e/news22_e/clim_21dec22_e.htm
Managing trade tensions at the WTO,Blog,https://www.wto.org/english/blogs_e/ddg_anabel_gonzalez_e/blog_ag_28nov22_e.htm
"WTO members discuss good practices for regulations and standards, raise 81 trade concerns",News item,https://www.wto.org/english/news_e/news22_e/tbt_16nov22_e.htm
WTO issues information note on technical barriers to trade discussions relating to COVID-19,News item,https://www.wto.org/english/news_e/news22_e/covid_31oct22_e.htm
Standards transparency champions programme kicks off in Geneva,News item,https://www.wto.org/english/news_e/news22_e/tbt_19oct22_e.htm
Symposium highlights importance of WTO’s work on easing regulatory bottlenecks,News item,https://www.wto.org/english/news_e/news22_e/tbt_18oct22_e.htm
TBT Symposium on Alleviating Regulatory Bottlenecks in Global Supply Chains,News item,https://www.wto.org/english/news_e/news22_e/ddgjp_17oct22_e.htm
"Technical Barriers Committee helps strengthen value chains, acts as incubator for WTO reforms",News item,https://www.wto.org/english/news_e/news22_e/tbt_14oct22_e.htm
"DG Okonjo-Iweala stresses importance of SPS, TBT transparency to facilitate trade",News item,https://www.wto.org/english/news_e/news22_e/tech_10oct22_e.htm
"Standards committee showcases work on transparency, discusses digital and environmental issues",News item,https://www.wto.org/english/news_e/news22_e/tbt_15jul22_e.htm
Improved online platform launched to ease access to product information,News item,https://www.wto.org/english/news_e/news22_e/igo_13jul22_e.htm
"WTO rules on product standards help align carbon content measurements, new report finds",News item,https://www.wto.org/english/news_e/news22_e/clim_25mar22_e.htm
"Standards committee advances transparency, discusses accreditation and digital issues",News item,https://www.wto.org/english/news_e/news22_e/tbt_15mar22_e.htm
Members agree on workplan for standards and regulations committee for next three years,News item,https://www.wto.org/english/news_e/news21_e/tbt_12nov21_e.htm
WTO issues papers on vaccine inputs tariffs and bottlenecks on critical COVID-19 products,News item,https://www.wto.org/english/news_e/news21_e/covid_08oct21_e.htm
"Members discuss COVID-19, climate change, digital issues at review of standards agreement",News item,https://www.wto.org/english/news_e/news21_e/tbt_11jun21_e.htm
Webinar to explore role of regulatory cooperation in easing access to medical technologies,News item,https://www.wto.org/english/news_e/news21_e/trip_28may21_e.htm
