title,type,url
"DDG González: WTO rulebook instrumental in tackling fraud, weeding out illicit trade",News item,https://www.wto.org/english/news_e/news22_e/ddgag_03mar22_e.htm
Trade Dialogues event looks at role of trade in supporting climate action,News item,https://www.wto.org/english/news_e/news21_e/clim_28oct21_e.htm
Virtual Trade Dialogues with Business — “Trade 4 Climate”,Speech,https://www.wto.org/english/news_e/spno_e/spno18_e.htm
"Business leaders express support for WTO, underline priorities for MC12",News item,https://www.wto.org/english/news_e/news21_e/trdia_23jun21_e.htm
“Pressing needs for a breakthrough” in WTO farm trade talks,News item,https://www.wto.org/english/news_e/news20_e/ddgaw_02dec20_e.htm
DDG Wolff: WTO needs a more robust agricultural rule book,News item,https://www.wto.org/english/news_e/news20_e/ddgaw_02oct20_e.htm
"WTO, ICC and B20 call for action to narrow the growing trade finance gap",News item,https://www.wto.org/english/news_e/news20_e/trfin_08jul20_e.htm
Business leaders stress role of trade and WTO in COVID-19 response,News item,https://www.wto.org/english/news_e/news20_e/trdia_19may20_e.htm
DDG Wolff: Reliance on international trade for food security likely to grow,News item,https://www.wto.org/english/news_e/news20_e/ddgaw_30apr20_e.htm
"Consumer groups express support for multilateral trade, stress priorities for e-commerce",News item,https://www.wto.org/english/news_e/news19_e/trdia_06may19_e.htm
DG Azevêdo: Economic research vital to strengthen trade cooperation,News item,https://www.wto.org/english/news_e/news18_e/rese_11dec18_e.htm
WTO-World Bank joint publication highlights need for policies to maximize trade gains for extreme poor,News item,https://www.wto.org/english/news_e/news18_e/publ_11dec18_e.htm
Trade dialogues — Public Forum,Speech,https://www.wto.org/english/news_e/spra_e/spra239_e.htm
Trade Dialogues: ICC and B20 present recommendations on strengthening global trade,News item,https://www.wto.org/english/news_e/news18_e/trdia_02oct18_e.htm
Business leaders express support for the WTO and call for action on priority issues,News item,https://www.wto.org/english/news_e/news18_e/trdia_07jun18_e.htm
ICC presents recommendations from the Buenos Aires Business Forum,News item,https://www.wto.org/english/news_e/news17_e/bus_13dec17_e.htm
"WTO, World Economic Forum and eWTP launch joint public-private dialogue to open up e-commerce for small business",News item,https://www.wto.org/english/news_e/news17_e/ecom_11dec17_e.htm
Azevêdo calls for greater inclusivity to maximize the benefits of economic progress,News item,https://www.wto.org/english/news_e/news17_e/bus_22nov17_e.htm
High-level Seminar on Global Deal and Trade: Making Globalisation Work for Everyone,Remarks by DG Azevêdo,https://www.wto.org/english/news_e/spra_e/spra200_e.htm
Azevêdo: Global trading system has constructive role to play to help drive inclusivity,Speech,https://www.wto.org/english/news_e/spra_e/spra195_e.htm
Trade Dialogues: Business groups present their recommendations on tackling trade barriers to WTO members,News item,https://www.wto.org/english/news_e/news17_e/trdia_04jul17_e.htm
Azevêdo: Trade can help energize economic recovery,Speech,https://www.wto.org/english/news_e/spra_e/spra168_e.htm
Trade Dialogues: Business focus groups issue final recommendations,News item,https://www.wto.org/english/news_e/news17_e/bus_06apr17_e.htm
New lecture series examines effects of trade and technology on labour markets,News item,https://www.wto.org/english/news_e/news16_e/rese_21nov16_e.htm
Trade Dialogues session – Public Forum,DG Azevêdo’s speaking notes,https://www.wto.org/english/news_e/spra_e/spra137_e.htm
Businesses share ideas on rules for inclusive trade,News item,https://www.wto.org/english/news_e/news16_e/bus_28sep16_e.htm
Azevêdo welcomes ideas on future negotiating work at T20 ‘Trade Dialogues’ event,News item,https://www.wto.org/english/news_e/news16_e/dgra_07jun16_e.htm
Business leaders call for WTO to address pressing business issues,News item,https://www.wto.org/english/news_e/news16_e/bus_30may16_e.htm
